REE[294],TEE[294]
5.247795,7.766888
4.465464,7.827850
3.952519,7.806953
3.948774,7.786153
3.957958,7.746632
3.953287,7.822378
3.949031,7.758120
3.954727,7.787144
3.954086,7.754759
3.945446,7.771433
3.949990,7.811913
3.957127,7.806985
3.941382,7.761480
3.953990,7.824809
3.955622,7.757896
3.949478,7.757576
3.955654,7.823818
3.950470,7.790024
3.952422,7.784168
3.954502,7.761224
3.952710,7.825065
3.955207,7.820394
3.953831,7.809866
3.957574,7.793353
3.945958,7.811562
3.952582,7.826282
3.952263,7.758856
3.954502,7.768552
3.950758,7.800777
3.949990,7.775752
3.957734,7.757639
3.951398,7.822889
3.955815,7.790984
3.946438,7.800265
3.961574,7.755304
3.969959,7.760007
3.952774,7.817641
3.952487,7.756552
3.957511,7.762887
3.948518,7.764168
3.955846,7.810473
3.958759,7.755656
3.952518,7.789608
3.955174,7.825898
3.957862,7.795305
3.956646,7.780040
3.950662,7.787528
3.947718,7.796329
3.955654,7.811881
3.955014,7.751143
3.959239,7.760008
3.952678,7.757032
3.950695,7.822378
3.952262,7.827882
3.954246,7.760040
3.951206,7.815497
3.951238,7.735783
3.950534,7.830378
3.946342,7.826506
3.950982,7.793384
3.955238,7.756871
3.957895,7.769320
3.952966,7.754983
3.952934,7.789449
3.951046,7.784872
3.953414,7.833002
3.952679,7.825802
3.961062,7.804649
3.951974,7.833226
3.953383,7.821962
3.949798,7.762696
3.950695,7.759528
3.951430,7.812681
3.948742,7.754119
3.944070,7.813802
3.952742,7.755816
3.949543,7.814377
3.952775,7.859084
3.951206,7.767880
3.953094,7.759591
3.953350,7.784680
3.959942,7.822506
3.952646,7.759144
3.949830,7.822217
3.952070,7.782248
3.956103,7.821354
3.952646,7.755047
3.953414,7.804777
3.954567,7.816426
3.951366,7.774312
3.955015,7.804361
3.959463,7.764424
3.948071,7.767752
3.956358,7.758664
3.958727,7.809289
3.951590,7.819369
3.954887,7.798569
3.953478,7.756455
3.948710,7.793737
3.950919,7.754664
3.955142,7.771272
3.952550,7.759176
3.950790,7.826698
3.946086,7.756872
3.951782,7.813769
3.953702,7.763848
3.952487,7.755976
3.948998,7.796297
3.956038,7.753543
3.953126,7.769800
3.952550,7.804969
3.952710,7.786281
3.953126,7.805897
3.954278,7.821769
3.955782,7.761384
3.942278,7.751400
3.957126,7.756232
3.951142,7.778248
3.957543,7.751783
3.947718,7.821770
3.955207,7.768296
3.948902,7.758792
3.956966,7.822698
3.956807,7.790248
3.956134,7.757960
3.957319,7.759720
3.956710,7.755208
3.954215,7.815594
3.953415,7.807625
3.946630,7.785608
3.956294,7.763944
3.949926,7.817737
3.953350,7.764712
3.953671,7.807593
3.955495,7.761544
3.946470,7.754984
3.947206,7.764584
3.954310,7.785192
3.958375,7.753351
3.944774,7.810730
3.955654,7.769448
3.958727,7.758215
3.937093,7.756200
3.954631,7.753544
3.942886,7.757640
3.957542,7.750695
3.956326,7.758600
3.959271,7.816745
3.959206,7.812137
3.960166,7.814697
3.955526,7.757223
3.955431,7.757448
3.959430,7.810378
3.956775,7.741415
3.952390,7.821321
3.953350,7.815977
3.960646,7.754215
3.954758,7.755112
3.962406,7.858860
3.963175,7.785065
3.962150,7.756103
3.940934,7.762728
3.940486,7.839562
