Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-8],OUT[8],TEE[7-8],Layer[9],Layer[10],classifier
0.505103,0.017985,0.197382,0.004928,0.047201,0.000800,0.013441,0.076258,0.036385,0.058114,0.173925,0.002912,0.000384,0.971389
0.397932,0.017953,0.193478,0.004832,0.047969,0.001056,0.013825,0.111587,0.038529,0.062114,0.215398,0.001888,0.000416,0.903131
0.397771,0.017441,0.192902,0.005120,0.048417,0.000992,0.013793,0.123587,0.036385,0.059938,0.223046,0.002048,0.000416,0.909530
0.397323,0.017409,0.193350,0.004864,0.049185,0.000992,0.014305,0.108131,0.036321,0.059522,0.207046,0.001568,0.000608,0.893562
0.396971,0.017568,0.192294,0.004864,0.049153,0.000832,0.014561,0.108771,0.033281,0.056770,0.201958,0.001600,0.000320,0.886810
0.396204,0.018273,0.192229,0.005569,0.048225,0.000800,0.014497,0.117923,0.036449,0.059938,0.217702,0.001792,0.000416,0.904539
0.412460,0.017888,0.192550,0.005152,0.048514,0.001024,0.014016,0.110339,0.035682,0.057921,0.206886,0.001792,0.000448,0.908474
0.396332,0.017600,0.192134,0.005312,0.048545,0.000992,0.014336,0.108931,0.044290,0.060801,0.216774,0.001440,0.000416,0.901179
0.396235,0.017537,0.191846,0.004896,0.048577,0.000960,0.014049,0.133092,0.041185,0.058242,0.235303,0.001504,0.000352,0.918331
0.395436,0.017504,0.191750,0.037089,0.051074,0.001024,0.014176,0.110020,0.043489,0.061986,0.218471,0.001248,0.000320,0.936828
0.401195,0.017856,0.194054,0.005376,0.047745,0.001088,0.014145,0.136516,0.044641,0.063266,0.247847,0.003072,0.000576,0.943963
0.395980,0.017729,0.192133,0.005377,0.047745,0.000800,0.014528,0.113571,0.035681,0.060034,0.212423,0.001504,0.000672,0.897627
0.396204,0.018017,0.192069,0.004864,0.048162,0.000832,0.014304,0.110756,0.036001,0.059586,0.209607,0.001440,0.000544,0.893563
0.395595,0.017665,0.192166,0.004832,0.048097,0.000800,0.013953,0.108899,0.035649,0.059138,0.206790,0.001312,0.000576,0.888058
0.396908,0.017408,0.191974,0.005376,0.050882,0.000800,0.014080,0.109667,0.041730,0.067650,0.221959,0.001440,0.000864,0.908667
0.396492,0.017569,0.191717,0.005056,0.048386,0.000640,0.013792,0.107011,0.037538,0.058913,0.206534,0.001856,0.000544,0.889530
0.396267,0.017377,0.208838,0.005408,0.050242,0.000864,0.013792,0.111332,0.040705,0.062018,0.217319,0.001504,0.000576,0.920187
0.395115,0.017505,0.191814,0.004864,0.047873,0.000832,0.013761,0.106947,0.037153,0.059778,0.206918,0.001472,0.000352,0.887194
0.395499,0.017633,0.192070,0.005312,0.048033,0.000608,0.013793,0.106275,0.036385,0.058402,0.204038,0.001344,0.000352,0.885466
0.396235,0.017985,0.191558,0.005280,0.049281,0.000608,0.013857,0.107715,0.032385,0.056002,0.198982,0.001216,0.000320,0.882522
0.395276,0.017984,0.191718,0.004832,0.048001,0.000609,0.013760,0.108227,0.033185,0.058498,0.202694,0.001376,0.000320,0.883642
0.395628,0.017824,0.191814,0.004864,0.047554,0.000608,0.013664,0.108771,0.040577,0.064962,0.217670,0.001504,0.000385,0.899387
0.396332,0.017953,0.191685,0.004897,0.048769,0.000608,0.013728,0.104324,0.036449,0.059617,0.203366,0.001344,0.000384,0.885531
0.398028,0.017857,0.211334,0.005440,0.047713,0.000800,0.013569,0.130116,0.039617,0.060738,0.233383,0.001408,0.000384,0.936636
0.396523,0.017537,0.191782,0.004864,0.047489,0.000800,0.013697,0.106371,0.035969,0.059074,0.204486,0.001344,0.000416,0.885658
0.395372,0.017440,0.191494,0.004896,0.047617,0.000832,0.013728,0.105027,0.036801,0.058338,0.203270,0.001376,0.000352,0.883162
0.396236,0.017376,0.191782,0.004928,0.047425,0.000832,0.013793,0.108131,0.043905,0.061698,0.216742,0.001504,0.000384,0.897786
0.396140,0.017536,0.192230,0.004832,0.047425,0.000896,0.013697,0.106499,0.035457,0.059330,0.204262,0.001376,0.000320,0.885274
0.396011,0.017345,0.191718,0.004864,0.047361,0.000608,0.013505,0.104035,0.036289,0.058370,0.201478,0.001376,0.000352,0.880922
0.395371,0.017281,0.191909,0.004768,0.047521,0.001056,0.013697,0.102915,0.035681,0.058465,0.199781,0.001216,0.000321,0.879130
0.395275,0.017761,0.210598,0.005344,0.048098,0.000832,0.013664,0.114147,0.037058,0.059265,0.213606,0.001312,0.000640,0.914203
0.395596,0.017313,0.191525,0.005121,0.047649,0.000832,0.013696,0.111748,0.034241,0.057409,0.206311,0.001536,0.000352,0.887163
0.394380,0.017313,0.191333,0.004896,0.047458,0.000832,0.013792,0.103267,0.034689,0.060130,0.201190,0.001376,0.000384,0.879386
0.394732,0.017376,0.191334,0.004896,0.047201,0.000832,0.013697,0.103715,0.036641,0.060994,0.204326,0.001184,0.000384,0.882426
0.411532,0.017504,0.192998,0.005312,0.047202,0.000608,0.013536,0.110083,0.042050,0.063522,0.218727,0.001344,0.000480,0.916251
