Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-7],OUT[7],TEE[6-7],Layer[8],Layer[9],Layer[10],classifier
0.510147,0.017856,0.207298,0.004896,0.047840,0.000736,0.110657,0.048448,0.061313,0.224226,0.002432,0.009664,0.000640,1.033383
0.418531,0.017632,0.204385,0.005248,0.047585,0.000576,0.139425,0.066240,0.060801,0.270146,0.002720,0.001696,0.000576,0.977223
0.416867,0.017344,0.203617,0.005152,0.047841,0.000608,0.105024,0.056417,0.060896,0.225953,0.002752,0.001408,0.000640,0.928934
0.416259,0.017472,0.203170,0.004832,0.047872,0.000544,0.109345,0.049728,0.059809,0.222562,0.002560,0.001152,0.000384,0.923687
0.415363,0.017281,0.203969,0.004864,0.049408,0.000576,0.107617,0.049569,0.059840,0.220354,0.002240,0.001024,0.000352,0.921927
0.415875,0.017344,0.202785,0.004864,0.049505,0.000576,0.107841,0.059264,0.061088,0.231457,0.002688,0.001312,0.000608,0.934054
0.428195,0.017696,0.202722,0.004864,0.048544,0.000544,0.101633,0.049824,0.059457,0.214050,0.002048,0.000992,0.000416,0.926727
0.416163,0.017664,0.203393,0.004832,0.047649,0.000576,0.106560,0.049601,0.061216,0.220545,0.002304,0.000992,0.000416,0.920966
0.415939,0.017440,0.202625,0.004897,0.048000,0.000576,0.109889,0.060224,0.062369,0.235714,0.002144,0.001120,0.000416,0.935815
0.415267,0.017216,0.202562,0.004896,0.047712,0.000608,0.120033,0.058304,0.079745,0.261794,0.002528,0.000896,0.000448,0.960199
0.415491,0.017280,0.202913,0.004896,0.048257,0.000576,0.106497,0.050048,0.062656,0.222401,0.002240,0.001088,0.000448,0.922278
0.417539,0.017472,0.202466,0.004960,0.047680,0.000736,0.104641,0.058208,0.059457,0.225730,0.002336,0.000992,0.000416,0.927431
0.415043,0.017953,0.202689,0.004800,0.048384,0.000544,0.103649,0.055745,0.059456,0.222178,0.002432,0.000896,0.000384,0.921511
0.431907,0.017312,0.202689,0.005088,0.047681,0.000544,0.100417,0.047392,0.057216,0.208481,0.002176,0.000928,0.000416,0.923654
0.415971,0.017248,0.202402,0.004800,0.048416,0.000576,0.098689,0.048768,0.057504,0.208001,0.002336,0.000960,0.000448,0.907302
0.415971,0.017280,0.202530,0.005056,0.048512,0.000576,0.101825,0.047232,0.064865,0.217602,0.002240,0.000992,0.000384,0.918631
0.415747,0.017281,0.202369,0.004800,0.047712,0.000544,0.102305,0.073985,0.072896,0.252738,0.002304,0.000928,0.000448,0.951207
0.415331,0.017504,0.202690,0.005056,0.047328,0.000544,0.107969,0.054624,0.060833,0.226978,0.002304,0.001184,0.000352,0.927431
0.416067,0.017184,0.203169,0.005280,0.048032,0.000544,0.106432,0.048833,0.060992,0.219553,0.002368,0.001120,0.000576,0.920646
0.415203,0.017728,0.202530,0.005088,0.046912,0.000544,0.110753,0.048448,0.061377,0.223842,0.002272,0.000992,0.000416,0.922503
