Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],IN[8],INFER[8-9],OUT[9],TEE[8-9],Layer[10],classifier
0.416675,0.017280,0.203042,0.005216,0.047936,0.000800,0.013760,0.000576,0.099713,0.033536,0.057953,0.194050,0.000704,0.906983
0.417187,0.017504,0.203137,0.005152,0.048129,0.000800,0.013504,0.000800,0.105281,0.033984,0.055072,0.197473,0.000672,0.911398
0.417411,0.031744,0.203874,0.005312,0.047584,0.000704,0.013568,0.000448,0.100737,0.037856,0.057857,0.199490,0.000544,0.927687
0.416803,0.017633,0.203393,0.005024,0.047648,0.000768,0.013601,0.000672,0.106432,0.037473,0.057152,0.204001,0.000672,0.918087
0.417859,0.017696,0.204225,0.005312,0.047809,0.000832,0.013728,0.000416,0.118177,0.037056,0.066561,0.224962,0.001024,0.940871
0.416227,0.017761,0.203265,0.005312,0.047616,0.001088,0.014017,0.000416,0.111200,0.036993,0.076384,0.227905,0.000576,0.941543
0.416579,0.017568,0.203810,0.005120,0.047744,0.000800,0.013792,0.000672,0.112001,0.037312,0.058689,0.210786,0.000736,0.924551
0.416419,0.017600,0.204289,0.005216,0.047393,0.000800,0.014048,0.000448,0.113696,0.037569,0.058880,0.212993,0.000480,0.926630
0.416003,0.017568,0.204034,0.005152,0.047392,0.000800,0.013728,0.000384,0.110241,0.034784,0.056608,0.204641,0.000513,0.917031
0.435747,0.017728,0.204129,0.005312,0.047776,0.000800,0.013409,0.000384,0.108512,0.035201,0.056256,0.202849,0.000576,0.935847
0.417699,0.017568,0.203553,0.005184,0.049793,0.000832,0.013536,0.000384,0.102593,0.035424,0.056288,0.197505,0.000512,0.913350
0.416323,0.017568,0.202914,0.005088,0.048256,0.000768,0.013568,0.000416,0.110529,0.037312,0.058017,0.208994,0.000672,0.921511
0.416803,0.017409,0.202977,0.005280,0.066337,0.000864,0.013632,0.000640,0.110497,0.034688,0.055744,0.204161,0.000512,0.935975
0.416355,0.017792,0.203394,0.005056,0.048320,0.000864,0.013440,0.000416,0.113505,0.037760,0.058785,0.213186,0.000704,0.926759
0.416195,0.017760,0.202978,0.005184,0.047360,0.000800,0.013408,0.000416,0.108129,0.040128,0.057409,0.208834,0.000512,0.920391
0.416291,0.017472,0.202817,0.005344,0.047425,0.000832,0.013760,0.000416,0.106400,0.034433,0.055744,0.199297,0.000576,0.910918
0.436643,0.017440,0.202818,0.005280,0.047776,0.000768,0.013632,0.000416,0.102273,0.037344,0.056800,0.199425,0.000512,0.931302
0.415747,0.017472,0.203650,0.005120,0.048672,0.000576,0.013472,0.000384,0.092897,0.036064,0.058625,0.190370,0.000480,0.902247
0.416131,0.017248,0.205026,0.005120,0.047552,0.000576,0.013472,0.000384,0.102145,0.037056,0.058945,0.200994,0.000416,0.913383
0.415234,0.017664,0.202913,0.020416,0.048577,0.000576,0.013440,0.000384,0.103488,0.034625,0.056128,0.197281,0.000800,0.923686
0.416195,0.017216,0.202689,0.005056,0.047297,0.000512,0.013504,0.000416,0.102721,0.034912,0.059264,0.199521,0.000640,0.909542
0.416387,0.017600,0.202690,0.005088,0.046752,0.000544,0.013472,0.000416,0.104193,0.036064,0.057473,0.200450,0.000448,0.910695
0.416034,0.017313,0.202913,0.005120,0.047616,0.000800,0.013409,0.000384,0.107392,0.037697,0.058176,0.206369,0.000448,0.917158
0.434435,0.017376,0.202946,0.005088,0.047296,0.000800,0.013664,0.000384,0.136737,0.039616,0.058209,0.237666,0.000672,0.967655
0.416226,0.017312,0.202721,0.005088,0.047008,0.000864,0.013601,0.000384,0.107072,0.037761,0.057408,0.205505,0.000736,0.916326
0.417219,0.017536,0.203297,0.005088,0.047105,0.000864,0.013568,0.000384,0.108321,0.037312,0.060928,0.209377,0.000512,0.921542
0.416323,0.017664,0.219586,0.004928,0.047104,0.000736,0.013600,0.000416,0.108321,0.036928,0.059489,0.207618,0.000576,0.936007
0.416323,0.017504,0.203073,0.005056,0.047233,0.000832,0.013568,0.000416,0.106816,0.036737,0.057824,0.204321,0.000480,0.915398
0.416515,0.017600,0.204193,0.005280,0.047681,0.000832,0.013696,0.000448,0.112033,0.038144,0.059040,0.212065,0.000512,0.925670
0.416963,0.017728,0.204162,0.005152,0.047360,0.000864,0.013600,0.000416,0.110209,0.037152,0.058753,0.209090,0.000512,0.922503
0.416707,0.017600,0.206402,0.005120,0.047168,0.000832,0.013728,0.000384,0.111265,0.037281,0.067456,0.218850,0.000480,0.933895
0.417731,0.017664,0.203745,0.005088,0.047713,0.000800,0.013632,0.000384,0.111521,0.038624,0.060512,0.213665,0.000864,0.928422
0.418051,0.017536,0.203298,0.005504,0.048736,0.000832,0.013664,0.000416,0.107489,0.037600,0.057985,0.205826,0.000928,0.921127
0.416291,0.023776,0.203969,0.005344,0.047425,0.000928,0.013728,0.000384,0.111200,0.036929,0.060608,0.212097,0.000576,0.947207
0.418115,0.017696,0.205377,0.005409,0.047744,0.000864,0.013472,0.000416,0.110241,0.047456,0.060289,0.221346,0.001024,0.939015
0.416099,0.017568,0.203490,0.005280,0.047360,0.000864,0.013792,0.000416,0.132769,0.039777,0.058560,0.234338,0.000512,0.946247
0.416579,0.017856,0.203873,0.005056,0.047329,0.000800,0.014016,0.000416,0.107041,0.037216,0.080513,0.228002,0.000672,0.941351
0.416675,0.017440,0.203426,0.005280,0.047968,0.000768,0.013440,0.000384,0.109057,0.037920,0.061793,0.211842,0.000448,0.924071
0.416419,0.017376,0.202689,0.005056,0.048001,0.000576,0.013504,0.000352,0.107360,0.037313,0.058144,0.206049,0.000832,0.917382
0.421187,0.018656,0.206178,0.005632,0.048704,0.001344,0.013856,0.000640,0.163746,0.041632,0.058528,0.267842,0.001024,0.996551
0.437060,0.017696,0.204641,0.005120,0.048000,0.001056,0.013888,0.000416,0.112864,0.037793,0.065664,0.219681,0.000640,0.955399
0.417123,0.017472,0.203554,0.005120,0.047776,0.000736,0.013696,0.000416,0.102881,0.037600,0.059009,0.202498,0.000608,0.915879
0.416899,0.017376,0.203490,0.004864,0.050624,0.000800,0.014080,0.000384,0.107841,0.037696,0.059137,0.207554,0.000480,0.923175
0.416803,0.017536,0.221249,0.005184,0.048513,0.000800,0.013728,0.000384,0.109345,0.037312,0.065632,0.215009,0.000864,0.948166
0.417635,0.017664,0.204546,0.005184,0.049184,0.000896,0.014016,0.000640,0.111521,0.036928,0.056513,0.208418,0.000768,0.925991
0.417699,0.017440,0.203425,0.005312,0.047297,0.000832,0.013664,0.000384,0.108032,0.037217,0.062080,0.210593,0.000480,0.924198
0.417763,0.017344,0.202466,0.005056,0.047424,0.000800,0.013888,0.000416,0.098625,0.033440,0.055808,0.191201,0.000448,0.903718
0.416803,0.017216,0.203106,0.004864,0.048352,0.000768,0.013888,0.000416,0.107617,0.036960,0.056865,0.205730,0.000480,0.918023
0.417027,0.017600,0.203137,0.005312,0.047904,0.000704,0.013632,0.000416,0.104320,0.046465,0.060832,0.214625,0.000480,0.927590
0.417027,0.017632,0.202785,0.004832,0.047233,0.000544,0.013824,0.000384,0.107201,0.038208,0.058784,0.206977,0.000448,0.918054
0.417091,0.017696,0.220162,0.005024,0.047328,0.000576,0.013440,0.000640,0.105057,0.036832,0.057313,0.202274,0.000544,0.931975
0.417123,0.017536,0.203458,0.005152,0.047328,0.000800,0.013472,0.000384,0.109217,0.037281,0.058720,0.208002,0.000480,0.920199
0.418467,0.017824,0.206338,0.005120,0.048480,0.000864,0.014048,0.000736,0.122529,0.039456,0.057313,0.222562,0.000768,0.942919
0.418083,0.017696,0.204097,0.005280,0.048097,0.000832,0.013920,0.000576,0.114913,0.038336,0.079009,0.236482,0.000608,0.953703
0.417347,0.017569,0.204353,0.005184,0.047488,0.000832,0.013632,0.000385,0.113152,0.035393,0.058528,0.210401,0.000896,0.925287
0.418115,0.017504,0.203009,0.005312,0.047905,0.000736,0.014080,0.000384,0.109601,0.038144,0.059456,0.209953,0.000448,0.924038
