Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],IN[10],INFER[10-10],OUT[10],TEE[10-10],classifier
0.421699,0.017792,0.204194,0.004896,0.047360,0.000544,0.013760,0.000832,0.001408,0.000960,0.109985,0.033376,0.000064,0.146369,0.867238
0.416451,0.017600,0.203169,0.004896,0.046945,0.000576,0.013696,0.000608,0.001472,0.001088,0.104321,0.035040,0.000064,0.142017,0.855750
0.419971,0.017600,0.202785,0.004864,0.046881,0.000576,0.013696,0.000384,0.001408,0.001056,0.107009,0.033600,0.000064,0.143361,0.859846
0.448867,0.017600,0.202977,0.004832,0.046977,0.000576,0.013728,0.000384,0.001472,0.001024,0.105217,0.035072,0.000064,0.143041,0.887846
0.420131,0.017504,0.203617,0.005056,0.047937,0.000608,0.013792,0.000384,0.001440,0.001024,0.105441,0.038336,0.000032,0.146465,0.865062
0.416131,0.017440,0.202913,0.004864,0.047585,0.000608,0.013792,0.000352,0.001472,0.001024,0.105600,0.035009,0.000032,0.143137,0.856518
0.420099,0.017633,0.202913,0.004864,0.047520,0.000608,0.014113,0.000800,0.001440,0.000992,0.119328,0.034721,0.000096,0.156929,0.874951
0.415619,0.017729,0.203841,0.004864,0.046880,0.000576,0.013760,0.000384,0.001473,0.001088,0.104672,0.034977,0.000096,0.142369,0.855015
0.420227,0.017472,0.203458,0.004864,0.048256,0.000640,0.013504,0.000608,0.001376,0.001312,0.108257,0.034496,0.000032,0.145185,0.864583
0.415107,0.017664,0.203266,0.004864,0.047328,0.000576,0.013984,0.000384,0.001440,0.001280,0.101473,0.033760,0.000064,0.137633,0.849638
0.429251,0.017472,0.204994,0.004928,0.048544,0.000576,0.013440,0.000384,0.001408,0.000768,0.095233,0.030272,0.000032,0.128129,0.856358
0.416355,0.017536,0.203329,0.004896,0.047040,0.000577,0.013472,0.000416,0.001440,0.001344,0.125633,0.052352,0.000032,0.180641,0.893382
0.415459,0.017537,0.203329,0.004768,0.046880,0.000576,0.013473,0.000384,0.001440,0.000832,0.100576,0.035393,0.000064,0.138401,0.848967
0.416163,0.017440,0.202594,0.004800,0.046944,0.000576,0.013440,0.000384,0.001440,0.001280,0.127009,0.038912,0.000064,0.168513,0.880390
0.428867,0.017568,0.202946,0.005056,0.047136,0.000672,0.013312,0.000384,0.001408,0.000736,0.116385,0.033280,0.000064,0.152225,0.877094
0.415843,0.017344,0.203105,0.004896,0.046849,0.000704,0.013376,0.000384,0.001504,0.000800,0.125985,0.030208,0.000064,0.158689,0.869702
0.415811,0.017632,0.202721,0.004896,0.046880,0.000672,0.013473,0.000384,0.001472,0.001024,0.102432,0.029889,0.000064,0.134657,0.846086
0.415427,0.017408,0.203970,0.004928,0.046944,0.000448,0.013760,0.000352,0.001440,0.000736,0.150273,0.044225,0.000064,0.197250,0.909095
0.420291,0.017632,0.202978,0.004864,0.047360,0.000576,0.013440,0.000352,0.001440,0.001280,0.113089,0.035745,0.000032,0.151362,0.869095
0.416323,0.017441,0.202753,0.004832,0.046944,0.000480,0.013728,0.000352,0.001440,0.000992,0.103297,0.035392,0.000032,0.141217,0.853254
0.415811,0.017280,0.202978,0.004864,0.047104,0.000608,0.013280,0.000416,0.001408,0.000864,0.095105,0.036608,0.000032,0.134081,0.844742
0.415811,0.017216,0.222529,0.004992,0.046848,0.000544,0.013408,0.000384,0.001440,0.000896,0.104801,0.035392,0.000064,0.142561,0.873286
0.415171,0.017504,0.202881,0.004800,0.046881,0.000544,0.013504,0.000448,0.001344,0.000928,0.132993,0.048704,0.000064,0.184417,0.894406
