Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],IN[8],INFER[8-8],OUT[8],TEE[8-8],Layer[9],Layer[10],classifier
0.419939,0.017249,0.202945,0.005216,0.048032,0.000832,0.013504,0.000384,0.096737,0.033728,0.055873,0.189442,0.001184,0.000352,0.905703
0.415651,0.017216,0.203009,0.005280,0.048193,0.000736,0.013504,0.000384,0.126049,0.033088,0.057504,0.219681,0.001376,0.000384,0.932294
0.419843,0.017536,0.202530,0.004800,0.047360,0.000832,0.013504,0.000384,0.105793,0.034752,0.058273,0.201986,0.001056,0.000416,0.917479
0.415171,0.017537,0.202785,0.005280,0.047776,0.000768,0.013664,0.000384,0.106304,0.031329,0.059424,0.200033,0.001056,0.000384,0.911815
0.420163,0.017344,0.202337,0.005312,0.047329,0.000576,0.013440,0.000352,0.107009,0.034240,0.059392,0.203489,0.000992,0.000384,0.918758
0.432835,0.017440,0.202562,0.004896,0.046944,0.000800,0.013440,0.000384,0.112353,0.031488,0.055457,0.202146,0.001216,0.000352,0.930247
0.416483,0.017601,0.203201,0.004992,0.046944,0.000832,0.013505,0.000416,0.107520,0.034881,0.057760,0.202945,0.000928,0.000384,0.915143
0.420707,0.017280,0.203713,0.004800,0.047361,0.000832,0.013504,0.000416,0.109921,0.036000,0.058560,0.207713,0.001152,0.000384,0.924838
0.420355,0.017569,0.216577,0.004960,0.047169,0.000800,0.013728,0.000352,0.114784,0.041921,0.059424,0.219649,0.001504,0.000448,0.951527
0.419971,0.017696,0.202562,0.004832,0.047200,0.000832,0.013536,0.000352,0.107649,0.034272,0.058433,0.203298,0.001504,0.000384,0.919687
0.415330,0.017536,0.202657,0.005312,0.047744,0.000640,0.013665,0.000320,0.109984,0.035777,0.063360,0.212065,0.001312,0.000416,0.924582
0.421091,0.017536,0.203010,0.005216,0.048320,0.000832,0.013472,0.000320,0.103041,0.036576,0.057920,0.200321,0.001120,0.000416,0.918631
0.419587,0.017440,0.202722,0.005248,0.048064,0.000768,0.013440,0.000352,0.101793,0.031776,0.055521,0.192098,0.000960,0.000352,0.908199
0.420323,0.017664,0.203105,0.004800,0.048097,0.000800,0.013760,0.000384,0.103200,0.035489,0.056480,0.198369,0.001536,0.000448,0.916294
0.419043,0.017632,0.202914,0.005312,0.047232,0.000736,0.013632,0.000576,0.103137,0.033408,0.059776,0.199585,0.001089,0.000448,0.916199
0.444740,0.017600,0.202657,0.004800,0.047649,0.000768,0.013440,0.000384,0.137153,0.051168,0.059104,0.251489,0.001600,0.000385,0.993128
0.419683,0.017952,0.202722,0.004800,0.047136,0.000832,0.013504,0.000640,0.109697,0.034848,0.059745,0.207522,0.001056,0.000384,0.923815
0.419971,0.017472,0.203553,0.005344,0.047105,0.000864,0.013536,0.000352,0.108737,0.031872,0.056448,0.200097,0.001536,0.000384,0.917574
0.415971,0.017408,0.202402,0.005216,0.046976,0.001024,0.013696,0.000352,0.110273,0.054976,0.063777,0.232706,0.001312,0.000448,0.945447
0.415427,0.017792,0.202177,0.005280,0.047745,0.000832,0.013728,0.000352,0.106913,0.034528,0.057760,0.201889,0.001504,0.000448,0.914374
0.415619,0.017248,0.202210,0.005248,0.047232,0.000832,0.013504,0.000352,0.100129,0.036736,0.057505,0.197474,0.000960,0.000352,0.908423
0.415587,0.018049,0.202401,0.005312,0.047168,0.000608,0.013441,0.000352,0.103904,0.035585,0.058368,0.200673,0.001632,0.000320,0.912807
0.437283,0.017440,0.202081,0.004865,0.047936,0.000864,0.013440,0.000352,0.105025,0.035520,0.058592,0.201921,0.001024,0.000352,0.935206
0.419971,0.017408,0.202210,0.004864,0.047136,0.000832,0.013472,0.000608,0.096577,0.037216,0.058113,0.194786,0.001152,0.000384,0.909735
0.415459,0.017313,0.202465,0.005184,0.047776,0.000832,0.013440,0.000385,0.133152,0.034561,0.057952,0.228417,0.001056,0.000352,0.939399
0.420291,0.017504,0.202402,0.004832,0.062976,0.000832,0.013600,0.000384,0.101057,0.036096,0.059073,0.199202,0.001120,0.000352,0.930631
