Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-9],OUT[9],TEE[7-9],Layer[10],classifier
0.415203,0.017345,0.204257,0.004928,0.046880,0.000576,0.013408,0.104289,0.037440,0.060033,0.204578,0.000576,0.913639
0.415619,0.017280,0.202369,0.004864,0.046913,0.000640,0.013344,0.103584,0.037409,0.061856,0.205665,0.000544,0.912678
0.415075,0.017504,0.202913,0.004768,0.047136,0.000576,0.013376,0.104065,0.037696,0.061472,0.206241,0.000640,0.913990
0.431811,0.017536,0.203202,0.004896,0.046880,0.000608,0.013472,0.105089,0.036896,0.061761,0.206498,0.000576,0.932519
0.415651,0.017697,0.202625,0.004800,0.046880,0.000608,0.013345,0.107296,0.037633,0.064608,0.212353,0.000640,0.920711
0.416419,0.017760,0.203394,0.004832,0.047456,0.000640,0.013408,0.106209,0.034752,0.061536,0.205825,0.000544,0.916999
0.415843,0.017824,0.203330,0.004864,0.048576,0.000608,0.013600,0.128577,0.044385,0.062144,0.239106,0.000704,0.950663
0.415331,0.017472,0.203106,0.004896,0.048192,0.000576,0.014048,0.111681,0.037344,0.059841,0.212098,0.000704,0.923239
0.415235,0.017313,0.203009,0.004896,0.048128,0.000576,0.013537,0.104256,0.038081,0.060640,0.206113,0.000704,0.914983
0.415075,0.017184,0.202977,0.004768,0.049057,0.000608,0.013440,0.105025,0.037664,0.061888,0.207617,0.000704,0.917670
0.431299,0.017664,0.202818,0.004832,0.048704,0.000544,0.013376,0.105313,0.034304,0.055105,0.197634,0.000576,0.923527
0.419843,0.017281,0.202945,0.004864,0.048480,0.000576,0.013344,0.104929,0.035713,0.056992,0.200674,0.000512,0.914535
0.415107,0.021152,0.203937,0.004800,0.047841,0.000672,0.013408,0.091712,0.034081,0.054368,0.183361,0.000576,0.896838
0.415587,0.017408,0.203905,0.005248,0.066913,0.000640,0.013536,0.108833,0.045280,0.058945,0.215938,0.000608,0.945991
0.415395,0.017600,0.202530,0.004800,0.047264,0.000576,0.013440,0.102913,0.037600,0.060865,0.204258,0.000544,0.912263
0.415267,0.017344,0.203265,0.004832,0.046945,0.000608,0.013376,0.106848,0.038337,0.061632,0.209665,0.000672,0.917894
0.415715,0.017536,0.202689,0.004801,0.047072,0.000608,0.013408,0.107297,0.035008,0.058080,0.203649,0.000608,0.912486
0.417283,0.017760,0.202785,0.005280,0.048321,0.000896,0.014368,0.125953,0.036800,0.055840,0.222017,0.000672,0.937574
0.415971,0.017824,0.202370,0.004992,0.047712,0.000576,0.013728,0.105473,0.036064,0.057025,0.201922,0.000576,0.912231
0.415715,0.017760,0.202497,0.004928,0.049345,0.000608,0.013632,0.095936,0.033185,0.055872,0.188033,0.000640,0.899078
0.419619,0.017632,0.222753,0.005120,0.048864,0.000544,0.013568,0.104609,0.045792,0.060033,0.213378,0.000576,0.948583
0.420003,0.017632,0.202978,0.005088,0.047616,0.000576,0.013408,0.100129,0.035616,0.057985,0.196514,0.000640,0.910311
0.415459,0.017472,0.205281,0.004865,0.048096,0.000576,0.013408,0.105761,0.037824,0.058336,0.204929,0.000608,0.916646
0.419715,0.017504,0.202306,0.004864,0.047776,0.000576,0.013408,0.101505,0.033952,0.056481,0.194882,0.000512,0.907463
0.415203,0.017473,0.203585,0.004832,0.047712,0.000544,0.013377,0.097920,0.033600,0.057153,0.191649,0.000576,0.900935
0.414819,0.017568,0.202337,0.005024,0.047265,0.000544,0.013472,0.104800,0.038369,0.060416,0.206593,0.000608,0.913702
0.420035,0.017536,0.202466,0.004832,0.047488,0.000544,0.013344,0.109153,0.040672,0.062945,0.215906,0.000576,0.929255
0.433315,0.017537,0.202849,0.004800,0.047232,0.000576,0.013345,0.109376,0.038241,0.058752,0.209185,0.000576,0.935623
0.415267,0.017408,0.202433,0.005056,0.047329,0.000576,0.013344,0.103329,0.038752,0.056256,0.201217,0.000640,0.909318
0.415683,0.017280,0.202690,0.004832,0.047232,0.000576,0.013408,0.107425,0.037504,0.058593,0.206466,0.000576,0.914695
0.416675,0.017376,0.203010,0.004864,0.047424,0.000576,0.013600,0.108481,0.037248,0.096577,0.245570,0.000736,0.956199
