Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],IN[9],INFER[9-10],OUT[10],TEE[9-10],classifier
0.415651,0.017472,0.202209,0.005088,0.049121,0.000800,0.014176,0.000384,0.001600,0.098496,0.039328,0.057728,0.198465,0.911686
0.434307,0.017504,0.202498,0.005120,0.048512,0.000736,0.013600,0.000416,0.001760,0.104705,0.031904,0.055521,0.195298,0.926695
0.415843,0.017440,0.202594,0.005024,0.048704,0.000800,0.013472,0.000384,0.001536,0.094401,0.035744,0.056033,0.189378,0.901703
0.415235,0.017408,0.202017,0.004992,0.048289,0.000800,0.013440,0.000384,0.001472,0.104736,0.039425,0.056544,0.203969,0.914982
0.415939,0.017472,0.203201,0.005249,0.048256,0.000992,0.013568,0.000416,0.001440,0.104161,0.055232,0.085409,0.248354,0.961607
0.414978,0.017281,0.202177,0.005280,0.047776,0.000992,0.013377,0.000416,0.001440,0.129569,0.033568,0.056768,0.222913,0.933030
0.415459,0.017216,0.202113,0.005057,0.047488,0.000736,0.013472,0.000384,0.001472,0.101217,0.039360,0.057760,0.201633,0.911750
0.415299,0.017472,0.202050,0.005280,0.047232,0.000832,0.013536,0.000352,0.001440,0.107169,0.033440,0.057121,0.200738,0.911367
0.435203,0.017728,0.203105,0.004992,0.046977,0.000576,0.013600,0.000384,0.001504,0.106689,0.037888,0.058272,0.206241,0.937126
0.415811,0.017440,0.202786,0.005088,0.047584,0.000768,0.013472,0.000352,0.001728,0.104961,0.037632,0.059457,0.205378,0.917287
0.415747,0.017473,0.202113,0.005248,0.047680,0.001024,0.013440,0.000416,0.001536,0.105409,0.037825,0.058976,0.205346,0.916935
0.416195,0.017504,0.202337,0.004896,0.067393,0.000864,0.013600,0.000384,0.001536,0.098049,0.032640,0.057344,0.191329,0.923846
0.416035,0.017600,0.202114,0.005312,0.047168,0.000832,0.013536,0.000384,0.001536,0.101857,0.033376,0.059521,0.197858,0.908999
0.415523,0.017440,0.202306,0.004800,0.047072,0.001024,0.013504,0.000320,0.001376,0.097345,0.032000,0.059137,0.191810,0.902055
0.415842,0.017185,0.202145,0.005280,0.047072,0.000800,0.013505,0.000384,0.001472,0.103232,0.037665,0.064352,0.208417,0.918694
0.430243,0.017312,0.202305,0.005280,0.047200,0.001024,0.013504,0.000384,0.001536,0.107777,0.036608,0.058432,0.206209,0.931782
0.415779,0.017376,0.202594,0.005056,0.047040,0.000768,0.013408,0.000416,0.001728,0.104321,0.037600,0.063297,0.208194,0.918983
0.415939,0.017312,0.202561,0.005248,0.047105,0.001024,0.013376,0.000384,0.001760,0.105920,0.032193,0.056320,0.197889,0.909894
0.416995,0.017408,0.222913,0.005056,0.047008,0.000608,0.013472,0.000384,0.001536,0.109057,0.033408,0.057664,0.203489,0.936774
0.416003,0.017600,0.202818,0.005024,0.047360,0.000800,0.013408,0.000416,0.001440,0.101889,0.036256,0.057921,0.199394,0.911207
0.416131,0.017504,0.202529,0.005248,0.047041,0.000768,0.013440,0.000352,0.001536,0.104384,0.038593,0.058848,0.204993,0.916070
0.415491,0.017504,0.202594,0.005024,0.047200,0.000992,0.013472,0.000384,0.001728,0.113185,0.037120,0.063617,0.217474,0.929223
0.415555,0.017472,0.202273,0.005280,0.048289,0.000800,0.014496,0.000416,0.001536,0.112129,0.036032,0.058464,0.209857,0.923046
0.415907,0.017664,0.203650,0.004832,0.048768,0.000800,0.013856,0.000352,0.001536,0.110529,0.036352,0.059969,0.210434,0.925095
0.415587,0.017536,0.202369,0.005056,0.048577,0.000768,0.013888,0.000384,0.001504,0.098593,0.041920,0.057152,0.201345,0.913766
0.447171,0.017440,0.202658,0.005280,0.048288,0.000832,0.014240,0.000384,0.001728,0.113409,0.037057,0.058752,0.212770,0.958119
