Layer[0],Layer[1],IN[2],INFER[2-9],OUT[9],TEE[2-9],Layer[10],classifier
0.416163,0.017696,0.160738,0.616516,0.071169,0.852839,0.001216,1.292394
0.417027,0.017536,0.130913,0.598757,0.069120,0.803622,0.000992,1.244425
0.415491,0.017664,0.133857,0.589508,0.066913,0.793990,0.000768,1.233129
0.429987,0.017856,0.133089,0.591044,0.067520,0.795429,0.000832,1.249128
0.417763,0.018177,0.147745,0.592484,0.068192,0.812869,0.001152,1.256201
0.415779,0.017601,0.137633,0.608356,0.069984,0.819973,0.000928,1.259145
0.415779,0.017696,0.141153,0.586949,0.066848,0.798502,0.000768,1.237449
0.415875,0.017824,0.140161,0.594564,0.068449,0.807046,0.000768,1.246793
0.416515,0.017536,0.165729,0.596484,0.067969,0.834150,0.000928,1.273737
0.415683,0.017760,0.129441,0.586692,0.065888,0.786117,0.000928,1.225576
0.415299,0.017696,0.128737,0.589349,0.066912,0.789062,0.000800,1.227337
0.437187,0.017632,0.128865,0.587684,0.065665,0.785894,0.000864,1.246889
0.416035,0.017568,0.128705,0.597476,0.066304,0.796709,0.001024,1.236296
0.415491,0.017760,0.134913,0.611461,0.078240,0.828262,0.000896,1.267177
0.415971,0.017760,0.133281,0.589220,0.069537,0.795942,0.000736,1.234761
0.415939,0.017984,0.133121,0.590628,0.065793,0.793286,0.000768,1.232137
0.416067,0.017664,0.130017,0.613605,0.068704,0.816038,0.000960,1.255081
0.415619,0.017792,0.118369,0.584292,0.063969,0.770086,0.000768,1.208681
0.420323,0.017569,0.137505,0.585796,0.066400,0.793029,0.000672,1.235753
0.436963,0.017664,0.132481,0.588420,0.067009,0.791590,0.000864,1.251721
0.415779,0.017888,0.127617,0.584996,0.069824,0.785925,0.000704,1.224328
0.420515,0.017856,0.131585,0.586821,0.067936,0.790022,0.000736,1.234345
