IN[0],INFER[0-3],OUT[3],TEE[0-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.153153,1.505355,0.075009,1.742381,0.050208,0.001088,0.013920,0.000384,0.001824,0.001217,0.000352,1.815726
0.189505,1.519468,0.080576,1.797485,0.049601,0.000896,0.013952,0.000352,0.001792,0.001184,0.000608,1.870286
0.172161,1.512748,0.071072,1.765741,0.049569,0.001120,0.013856,0.000384,0.001792,0.001312,0.000416,1.838638
0.158113,1.522956,0.075552,1.764077,0.050433,0.001088,0.014048,0.000352,0.001728,0.001152,0.000640,1.837966
0.157697,1.517804,0.072384,1.756397,0.050945,0.001056,0.014176,0.000416,0.001600,0.001152,0.000416,1.830382
0.182721,1.521387,0.075008,1.786541,0.051265,0.000864,0.013792,0.000384,0.001664,0.001184,0.000608,1.860238
0.148930,1.506027,0.072992,1.735565,0.050081,0.000864,0.013824,0.000352,0.001536,0.001088,0.000384,1.807982
0.155297,1.522636,0.076896,1.762125,0.049857,0.000928,0.014144,0.000384,0.001696,0.001248,0.000384,1.834702
0.159393,1.517836,0.077856,1.762061,0.051361,0.001280,0.013920,0.000608,0.001728,0.001248,0.000640,1.837070
0.151873,1.524108,0.076608,1.761229,0.050049,0.001088,0.014304,0.000384,0.001824,0.001504,0.000384,1.835086
0.181922,1.505451,0.072480,1.767054,0.049600,0.000864,0.014464,0.000352,0.001664,0.001280,0.000384,1.839694
0.158337,1.533132,0.083616,1.782285,0.049409,0.000832,0.014240,0.000352,0.001888,0.001536,0.000384,1.855374
0.181762,1.507019,0.070625,1.766766,0.050560,0.001088,0.013664,0.000384,0.001920,0.001216,0.000352,1.840366
0.158977,1.522475,0.072129,1.760333,0.049888,0.001120,0.014784,0.000352,0.001824,0.001408,0.000352,1.834189
0.184545,1.507083,0.072417,1.771053,0.050240,0.001056,0.014208,0.000384,0.001760,0.000896,0.000640,1.844717
0.171489,1.505579,0.070081,1.754189,0.050976,0.000864,0.014240,0.000384,0.001600,0.001120,0.000384,1.828077
0.153569,1.504459,0.069281,1.735341,0.049120,0.000896,0.014176,0.000384,0.001504,0.001408,0.000384,1.807341
0.153665,1.515275,0.068737,1.744141,0.050240,0.000832,0.013568,0.000384,0.001792,0.001088,0.000704,1.816877
0.143073,1.510475,0.072257,1.734541,0.050976,0.001088,0.013856,0.000416,0.001632,0.001216,0.000416,1.808141
0.153153,1.505067,0.069793,1.734765,0.050240,0.001056,0.013824,0.000352,0.001632,0.001088,0.000384,1.807437
0.152705,1.515435,0.091808,1.766797,0.050657,0.000896,0.014016,0.000384,0.001792,0.001152,0.000608,1.840462
0.152289,1.520844,0.083200,1.762861,0.050017,0.000960,0.014464,0.000384,0.001696,0.001312,0.000384,1.835950
0.150273,1.518156,0.077568,1.752685,0.050145,0.001120,0.014016,0.000544,0.001792,0.001088,0.000608,1.825806
0.179714,1.502123,0.069057,1.757518,0.049600,0.000896,0.014368,0.000384,0.001664,0.001088,0.000352,1.829806
0.153633,1.520683,0.073697,1.754701,0.050496,0.000928,0.013952,0.000544,0.001568,0.000992,0.000672,1.827757
0.153409,1.503115,0.069856,1.732589,0.050016,0.000832,0.014080,0.000352,0.001632,0.001120,0.000352,1.804845
0.149377,1.520299,0.071425,1.748109,0.049568,0.001088,0.013760,0.000384,0.001536,0.001056,0.000480,1.819821
0.164034,1.514283,0.068097,1.752590,0.049952,0.000864,0.013568,0.000352,0.001664,0.001184,0.000416,1.824622
0.150050,1.534987,0.075009,1.768430,0.049888,0.000960,0.014016,0.000384,0.001696,0.001344,0.000416,1.841102
0.152289,1.505195,0.070785,1.734797,0.050208,0.001120,0.014176,0.000352,0.001856,0.001184,0.000576,1.808301
0.149153,1.519947,0.075105,1.749645,0.049984,0.000896,0.013728,0.000416,0.001568,0.001056,0.000416,1.821485
0.153377,1.501355,0.067489,1.727597,0.049440,0.000896,0.013824,0.000352,0.001792,0.001152,0.000384,1.799245
0.158241,1.522635,0.075137,1.764589,0.049152,0.000864,0.013824,0.000384,0.001473,0.001024,0.000416,1.836046
0.158977,1.507212,0.072224,1.746413,0.049792,0.000897,0.013984,0.000416,0.001632,0.001152,0.000352,1.818702
0.151457,1.520140,0.073792,1.753133,0.049985,0.001088,0.014144,0.000320,0.001504,0.001472,0.000384,1.826414
0.150562,1.515179,0.069760,1.741613,0.049889,0.001184,0.013728,0.000384,0.001536,0.001216,0.000352,1.814222
0.147906,1.543755,0.094177,1.791982,0.050720,0.000864,0.014016,0.000384,0.001536,0.001056,0.000416,1.864782
0.175489,1.502667,0.068545,1.752909,0.049568,0.000832,0.013760,0.000352,0.001568,0.001216,0.000416,1.824717
0.158017,1.529196,0.076960,1.772909,0.049601,0.000864,0.013792,0.000416,0.001536,0.001088,0.000384,1.844750
0.147393,1.510828,0.069216,1.734125,0.049889,0.000800,0.013792,0.000384,0.001504,0.001280,0.000416,1.806382
0.161922,1.514443,0.065344,1.747885,0.049569,0.000832,0.013888,0.000416,0.001472,0.001120,0.000416,1.819662
0.135777,1.501291,0.073248,1.716460,0.050177,0.000896,0.013824,0.000352,0.001664,0.001056,0.000320,1.788621
0.158561,1.505163,0.070945,1.742573,0.049984,0.000864,0.013632,0.000384,0.001536,0.001280,0.000416,1.814637
0.153633,1.505195,0.072161,1.738349,0.049344,0.000896,0.014112,0.000384,0.001664,0.001152,0.000384,1.810765
0.155841,1.509932,0.077984,1.751469,0.050592,0.000832,0.013664,0.000384,0.001760,0.001056,0.000352,1.824430
0.160066,1.520619,0.079137,1.768398,0.049760,0.000928,0.014496,0.000384,0.001856,0.001216,0.000384,1.841678
0.183745,1.503531,0.070209,1.764717,0.049120,0.000992,0.014368,0.000544,0.001472,0.001024,0.000416,1.837165
0.155233,1.532012,0.074048,1.770029,0.050785,0.000896,0.014528,0.000384,0.001824,0.001120,0.000384,1.844654
