Layer[0],Layer[1],IN[2],INFER[2-2],OUT[2],TEE[2-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.420099,0.017504,0.135745,0.511716,0.071232,0.722085,0.005280,0.048321,0.000800,0.014208,0.000416,0.001696,0.001184,0.000320,1.239209
0.415906,0.017664,0.115936,0.526596,0.084929,0.731205,0.009280,0.048672,0.000832,0.013600,0.000384,0.001568,0.000992,0.000608,1.248968
0.416131,0.017440,0.128385,0.510404,0.071073,0.712934,0.005408,0.048256,0.000800,0.013472,0.000416,0.001632,0.001280,0.000608,1.226153
0.415107,0.017248,0.116289,0.525092,0.065760,0.710341,0.005024,0.048416,0.000992,0.013441,0.000416,0.001600,0.000896,0.000384,1.220297
0.419747,0.017248,0.138177,0.529251,0.068321,0.738949,0.005024,0.048544,0.000768,0.013952,0.000352,0.001728,0.001120,0.000640,1.255433
0.416611,0.017152,0.142401,0.523588,0.075745,0.745062,0.004992,0.048416,0.000608,0.013376,0.000416,0.001632,0.000992,0.000352,1.256585
0.419427,0.017857,0.174497,0.528164,0.070848,0.776741,0.005344,0.048704,0.001088,0.013953,0.000416,0.001568,0.002400,0.000832,1.299498
0.430403,0.017472,0.131425,0.526916,0.066528,0.727813,0.005024,0.056641,0.000864,0.013984,0.000384,0.001664,0.001216,0.000640,1.263753
0.415651,0.017632,0.137345,0.511779,0.066721,0.719109,0.005216,0.048416,0.000832,0.013632,0.000416,0.001568,0.001440,0.000640,1.232712
0.416355,0.017280,0.132129,0.511492,0.080001,0.728070,0.007520,0.048288,0.000864,0.013760,0.000352,0.001536,0.001152,0.000608,1.243209
0.414883,0.017216,0.115105,0.510852,0.065184,0.695781,0.005088,0.047808,0.000832,0.013441,0.000384,0.001472,0.000960,0.000352,1.204809
0.415363,0.017664,0.133697,0.520612,0.065761,0.723398,0.011104,0.049312,0.000832,0.013632,0.000352,0.001472,0.001088,0.000608,1.241737
0.414883,0.017280,0.122689,0.528260,0.067840,0.722085,0.005056,0.048417,0.001024,0.013376,0.000384,0.001472,0.000992,0.000352,1.232553
0.415426,0.017601,0.121632,0.510052,0.064481,0.699461,0.005120,0.047840,0.000640,0.013440,0.000384,0.001440,0.000800,0.000352,1.208680
0.415171,0.017376,0.132193,0.512036,0.071136,0.718405,0.004992,0.047777,0.000576,0.013408,0.000352,0.001376,0.001056,0.000288,1.229193
0.428131,0.017376,0.158305,0.508836,0.064992,0.735429,0.005184,0.047392,0.000576,0.013441,0.000416,0.001472,0.001024,0.000320,1.257161
0.415651,0.017696,0.151233,0.513731,0.067776,0.735973,0.005216,0.048000,0.000800,0.013664,0.000384,0.001441,0.001216,0.000608,1.252073
0.421475,0.017600,0.143937,0.512995,0.067105,0.727237,0.005440,0.048064,0.000608,0.013696,0.000384,0.001376,0.001184,0.000608,1.244936
0.416643,0.017761,0.135329,0.515075,0.067969,0.721509,0.004992,0.048256,0.000832,0.013440,0.000416,0.001536,0.001152,0.000352,1.234793
0.419587,0.017408,0.134529,0.511108,0.070145,0.718694,0.005024,0.048224,0.000832,0.013600,0.000384,0.001632,0.001216,0.000384,1.233961
0.420259,0.017248,0.132097,0.534148,0.076929,0.746342,0.005280,0.050592,0.000832,0.013600,0.000384,0.001504,0.001056,0.000576,1.265353
0.415299,0.017408,0.134945,0.510948,0.066720,0.715685,0.005216,0.048352,0.000832,0.013377,0.000384,0.001440,0.001088,0.000352,1.226857
0.415811,0.017217,0.134529,0.511523,0.065281,0.714437,0.005056,0.048352,0.000640,0.013408,0.000352,0.001440,0.001184,0.000384,1.226441
0.417059,0.042048,0.130049,0.510852,0.065344,0.709317,0.005280,0.048865,0.000576,0.013792,0.000384,0.001408,0.001120,0.000320,1.247049
0.421411,0.017344,0.132353,0.512004,0.065088,0.712325,0.005248,0.047840,0.001024,0.013569,0.000416,0.001472,0.000992,0.000640,1.229737
0.415139,0.017344,0.130497,0.513924,0.067169,0.714726,0.005184,0.048000,0.000576,0.013632,0.000384,0.001440,0.001120,0.000320,1.224905
0.433603,0.017664,0.137281,0.509924,0.064384,0.714661,0.005216,0.048033,0.000832,0.013568,0.000384,0.001408,0.000992,0.000384,1.246057
0.420131,0.017440,0.122337,0.512099,0.065889,0.703365,0.004992,0.047584,0.000864,0.013376,0.000384,0.001440,0.000992,0.000576,1.218024
0.418819,0.017664,0.140033,0.531460,0.071169,0.746342,0.005312,0.047744,0.000832,0.013664,0.000352,0.001440,0.001248,0.000608,1.262569
0.415619,0.017376,0.130945,0.514148,0.067680,0.715813,0.005184,0.048193,0.000608,0.013440,0.000416,0.001504,0.001152,0.000384,1.226345
0.415267,0.017824,0.128769,0.511748,0.065952,0.709445,0.005280,0.048896,0.000800,0.013440,0.000353,0.001376,0.001024,0.000576,1.221865
0.419939,0.017729,0.132961,0.543523,0.071041,0.751429,0.005344,0.048224,0.000608,0.013536,0.000416,0.001536,0.001056,0.000608,1.267977
0.419555,0.017184,0.123489,0.510756,0.070144,0.707589,0.005057,0.048096,0.000832,0.013408,0.000352,0.001472,0.000960,0.000384,1.222633
0.414659,0.017120,0.120417,0.513028,0.066592,0.703013,0.005152,0.049216,0.000800,0.013505,0.000384,0.001472,0.001056,0.000352,1.213481
0.432259,0.017408,0.125633,0.525411,0.067009,0.721541,0.005312,0.047456,0.000608,0.013408,0.000384,0.001440,0.000992,0.000352,1.248745
0.414595,0.017344,0.126337,0.511076,0.068896,0.709221,0.005184,0.047489,0.000832,0.013408,0.000384,0.001344,0.000992,0.000384,1.217961
0.419491,0.017184,0.131873,0.511203,0.070785,0.716933,0.004992,0.049600,0.000544,0.013440,0.000384,0.001377,0.001024,0.000320,1.232425
0.415234,0.017216,0.129441,0.511907,0.071073,0.715173,0.005184,0.047488,0.000864,0.013440,0.000384,0.001376,0.001024,0.000576,1.224904
0.416419,0.017472,0.138433,0.511780,0.066945,0.720518,0.005120,0.048352,0.000800,0.013728,0.000384,0.001504,0.001344,0.000352,1.234793
0.416195,0.017312,0.129281,0.528740,0.079296,0.740133,0.005056,0.047873,0.000800,0.013472,0.000384,0.001344,0.001152,0.000416,1.251017
0.414755,0.017120,0.135393,0.513987,0.067777,0.720069,0.005152,0.048128,0.000864,0.013376,0.000416,0.001440,0.000960,0.000608,1.229352
0.415395,0.017440,0.136961,0.512612,0.072545,0.725318,0.005216,0.047424,0.001056,0.013664,0.000416,0.001440,0.001280,0.000640,1.237129
0.437059,0.017728,0.131649,0.511204,0.071392,0.717189,0.005184,0.048321,0.000832,0.013408,0.000384,0.001440,0.001024,0.000384,1.250185
0.419427,0.017184,0.131681,0.511140,0.065728,0.711493,0.005216,0.048576,0.000576,0.013473,0.000384,0.001472,0.000992,0.000416,1.226377
0.414946,0.017728,0.136033,0.512547,0.066081,0.717669,0.005312,0.047872,0.000800,0.013632,0.000384,0.001440,0.002112,0.000640,1.230152
0.429539,0.017601,0.126784,0.513444,0.067105,0.710597,0.005248,0.048384,0.000736,0.013504,0.000384,0.001408,0.001728,0.000416,1.236681
0.416355,0.017216,0.124865,0.509764,0.065536,0.703301,0.005024,0.048353,0.000768,0.013568,0.000416,0.001504,0.000992,0.000608,1.215369
0.419843,0.017792,0.130529,0.536740,0.073888,0.744485,0.005216,0.049953,0.000800,0.013760,0.000384,0.001376,0.001216,0.000608,1.262441
0.416803,0.017984,0.139169,0.514883,0.068993,0.726405,0.005216,0.048512,0.000832,0.013632,0.000353,0.001568,0.001408,0.000416,1.241129
0.416355,0.017185,0.125376,0.510947,0.065569,0.704837,0.005184,0.048512,0.000864,0.013728,0.000384,0.001536,0.001024,0.000576,1.217001
0.420195,0.017408,0.144065,0.509220,0.065377,0.722310,0.005312,0.048832,0.000800,0.013408,0.000384,0.001440,0.001056,0.000576,1.238857
0.416195,0.017312,0.130401,0.510532,0.072032,0.716197,0.005312,0.048577,0.000928,0.013664,0.000384,0.001440,0.001152,0.000384,1.228841
0.419491,0.017568,0.125441,0.510723,0.066273,0.705445,0.005248,0.048000,0.000832,0.013376,0.000384,0.001440,0.001088,0.000384,1.220072
0.435651,0.017536,0.129665,0.511876,0.077409,0.721990,0.005088,0.049248,0.000832,0.013696,0.000384,0.001440,0.000992,0.000608,1.254441
0.420675,0.017408,0.136225,0.512580,0.067744,0.719589,0.005120,0.047841,0.000608,0.013376,0.000352,0.001440,0.000992,0.000384,1.234921
0.419587,0.017280,0.136417,0.509923,0.091553,0.741349,0.005184,0.047936,0.001024,0.013441,0.000384,0.001376,0.000960,0.000352,1.255529
0.416291,0.017504,0.146049,0.512067,0.067169,0.728485,0.005344,0.048480,0.000576,0.013568,0.000384,0.001376,0.001120,0.000576,1.241800
0.417123,0.018177,0.131392,0.512868,0.066401,0.714277,0.005440,0.048576,0.000832,0.013728,0.000384,0.001568,0.001248,0.000640,1.229929
0.422563,0.017344,0.135905,0.529348,0.076193,0.745350,0.009504,0.048576,0.000800,0.013664,0.000384,0.001600,0.001184,0.000640,1.269321
