Layer[0],Layer[1],Layer[2],IN[3],INFER[3-5],OUT[5],TEE[3-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416131,0.017696,0.203585,0.140225,0.084897,0.063456,0.291906,0.015521,0.000512,0.001760,0.001184,0.000576,0.955047
0.416099,0.017377,0.202977,0.128321,0.085825,0.061600,0.279234,0.014496,0.000416,0.001504,0.000992,0.000384,0.939175
0.415043,0.017408,0.202689,0.121505,0.087713,0.060320,0.272994,0.014529,0.000448,0.001376,0.000928,0.000352,0.931431
0.429539,0.017408,0.202594,0.134529,0.098049,0.059680,0.295394,0.014240,0.000416,0.001408,0.001024,0.000384,0.967719
0.415011,0.017632,0.203489,0.133601,0.085665,0.063680,0.285762,0.014337,0.000480,0.001472,0.000864,0.000544,0.945031
0.423299,0.018336,0.207681,0.197762,0.095072,0.068064,0.365283,0.016288,0.000768,0.001568,0.002528,0.000608,1.048679
0.433059,0.017633,0.205569,0.137345,0.088769,0.063328,0.292994,0.015040,0.000480,0.001568,0.001056,0.000384,0.974119
0.415651,0.017504,0.204386,0.133537,0.085632,0.061153,0.283906,0.014048,0.000512,0.001600,0.001024,0.000352,0.945319
0.415619,0.017568,0.203457,0.124833,0.087457,0.060064,0.275298,0.014272,0.000512,0.001472,0.000992,0.000384,0.935462
0.415555,0.017696,0.203522,0.155905,0.087840,0.065473,0.312386,0.014784,0.000480,0.001568,0.001056,0.000352,0.973927
0.414819,0.017536,0.203201,0.135969,0.086593,0.061728,0.287394,0.015328,0.000480,0.001568,0.001184,0.000384,0.947654
0.415075,0.017312,0.202850,0.133537,0.085440,0.063969,0.285922,0.013952,0.000480,0.001440,0.000992,0.000320,0.943783
0.421507,0.017824,0.203201,0.133633,0.084065,0.060192,0.281186,0.014336,0.000480,0.001440,0.000928,0.000384,0.947398
0.416099,0.017504,0.204098,0.130177,0.084576,0.060545,0.278082,0.014176,0.000480,0.001504,0.000928,0.000352,0.939175
0.420067,0.017568,0.203041,0.136993,0.084897,0.067072,0.292066,0.014784,0.000512,0.001472,0.000992,0.000352,0.957031
0.420483,0.017664,0.202977,0.133409,0.086273,0.061504,0.284386,0.014592,0.000480,0.001504,0.001152,0.000352,0.950535
0.440323,0.017408,0.203586,0.139169,0.087072,0.062145,0.293218,0.014880,0.000512,0.001504,0.001024,0.000384,0.979015
0.415011,0.017632,0.203809,0.127777,0.086401,0.062208,0.279650,0.014080,0.000512,0.001536,0.001024,0.000416,0.939622
0.416547,0.017440,0.203138,0.136001,0.086720,0.062401,0.288290,0.014240,0.000480,0.001472,0.001024,0.000416,0.949159
0.421315,0.017696,0.203713,0.162946,0.088928,0.061153,0.316483,0.014816,0.000480,0.001632,0.002080,0.000576,0.985543
0.414691,0.017440,0.203169,0.158945,0.084801,0.059776,0.306722,0.014464,0.000512,0.001504,0.000896,0.000320,0.965255
0.415011,0.017504,0.203234,0.132545,0.083968,0.060481,0.279842,0.014240,0.000480,0.001408,0.000992,0.000352,0.939367
0.420835,0.017440,0.203554,0.124288,0.084641,0.060896,0.272961,0.014177,0.000480,0.001440,0.001120,0.000416,0.938183
0.420099,0.017536,0.203105,0.139297,0.085345,0.061472,0.289218,0.015488,0.000512,0.001440,0.000992,0.000384,0.954854
0.414979,0.017568,0.204034,0.119489,0.107808,0.063553,0.294306,0.014304,0.000512,0.001504,0.001024,0.000416,0.954695
0.415875,0.017184,0.203809,0.168001,0.085985,0.062401,0.319555,0.014240,0.000480,0.001472,0.001024,0.000384,0.980487
0.451172,0.017600,0.203745,0.135617,0.094273,0.062080,0.294946,0.014177,0.000512,0.001536,0.000960,0.000384,0.990920
0.421891,0.017664,0.203362,0.123329,0.083264,0.061121,0.270690,0.014304,0.000512,0.001472,0.000992,0.000384,0.937383
0.416707,0.017376,0.203233,0.138209,0.085217,0.061344,0.287970,0.014336,0.000512,0.001600,0.001025,0.000384,0.949095
0.416163,0.017600,0.203522,0.162753,0.094369,0.061024,0.321634,0.014208,0.000768,0.001536,0.001152,0.000416,0.982983
0.416483,0.017696,0.204098,0.128929,0.091456,0.060065,0.283458,0.015520,0.000512,0.001568,0.001120,0.000576,0.946823
0.419971,0.017600,0.203745,0.132897,0.083809,0.061952,0.281890,0.014176,0.000480,0.001536,0.000992,0.000384,0.946726
0.417347,0.017632,0.212994,0.136865,0.086945,0.061952,0.288930,0.014784,0.000768,0.001536,0.001088,0.000384,0.961447
0.416995,0.017472,0.206562,0.124513,0.084608,0.060993,0.273218,0.014496,0.000480,0.001952,0.001216,0.000352,0.938695
0.421635,0.017345,0.203489,0.136769,0.085473,0.066752,0.292194,0.014432,0.000512,0.001536,0.001280,0.000384,0.958599
0.415683,0.017600,0.203874,0.136417,0.083616,0.060417,0.283682,0.014208,0.000480,0.001568,0.001792,0.000416,0.945479
0.449987,0.017664,0.203585,0.126785,0.083009,0.061216,0.274434,0.016545,0.000512,0.001504,0.001120,0.000352,0.971879
0.415139,0.017408,0.203906,0.135777,0.085696,0.062688,0.287394,0.014144,0.000480,0.001440,0.001056,0.000384,0.947143
0.420579,0.017728,0.203521,0.143457,0.085985,0.062977,0.295491,0.014336,0.000512,0.001504,0.001088,0.000512,0.961415
0.416643,0.017472,0.204769,0.125345,0.099393,0.063200,0.291842,0.014240,0.000512,0.001568,0.001152,0.000384,0.954374
0.414947,0.017696,0.203074,0.131201,0.085152,0.063137,0.282402,0.014208,0.000512,0.001504,0.001056,0.000384,0.941831
0.414851,0.017664,0.202945,0.125025,0.085281,0.060864,0.274498,0.018848,0.000448,0.001408,0.001024,0.000384,0.937862
0.419299,0.017632,0.203234,0.137025,0.083040,0.059873,0.283170,0.014016,0.000512,0.001696,0.000896,0.000320,0.946471
0.436515,0.017472,0.202529,0.134209,0.084257,0.062016,0.283490,0.014049,0.000704,0.001376,0.000992,0.000384,0.963655
0.414947,0.017568,0.203810,0.121409,0.086048,0.060833,0.271490,0.014208,0.000768,0.001856,0.001248,0.000384,0.932391
0.420579,0.017504,0.203361,0.135681,0.084545,0.060128,0.283874,0.014305,0.000480,0.001472,0.001024,0.000384,0.948935
0.414755,0.017441,0.235905,0.131841,0.085857,0.064032,0.285122,0.014976,0.000512,0.001376,0.001088,0.000384,0.978279
0.420323,0.017664,0.202754,0.124705,0.085056,0.061761,0.274498,0.013920,0.000480,0.001408,0.001056,0.000384,0.938343
0.419779,0.017696,0.203041,0.139137,0.084225,0.060544,0.287394,0.014080,0.000512,0.001504,0.001120,0.000352,0.951526
0.419939,0.017408,0.203042,0.133121,0.086496,0.076961,0.300066,0.014304,0.000512,0.001472,0.001056,0.000384,0.964135
0.414659,0.017472,0.203681,0.132577,0.083105,0.060608,0.279554,0.014017,0.000768,0.001408,0.001120,0.000416,0.939367
0.415395,0.017376,0.203458,0.138337,0.099393,0.063840,0.304674,0.015392,0.000512,0.001376,0.001088,0.000384,0.965735
