Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-6],OUT[6],TEE[6-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.417059,0.017504,0.219713,0.005472,0.048289,0.000608,0.106592,0.048001,0.061696,0.219553,0.000576,0.002208,0.001248,0.000416,0.940262
0.416867,0.017696,0.202658,0.004992,0.049280,0.000544,0.115649,0.046336,0.062849,0.228290,0.000576,0.002144,0.001216,0.000448,0.931911
0.416002,0.017664,0.202849,0.005024,0.048672,0.000544,0.109697,0.047713,0.064192,0.224866,0.000544,0.002240,0.001248,0.000384,0.927462
0.416643,0.017440,0.202530,0.004800,0.048256,0.000800,0.112161,0.048096,0.061377,0.225314,0.000704,0.002240,0.001216,0.000384,0.928295
0.416291,0.017440,0.202721,0.004832,0.048545,0.000768,0.118464,0.048129,0.067712,0.237665,0.000768,0.002240,0.001280,0.000384,0.940742
0.416355,0.017440,0.203202,0.005152,0.048704,0.000768,0.110305,0.047232,0.065185,0.225890,0.000608,0.001888,0.001152,0.000416,0.929031
0.416675,0.017408,0.203073,0.005024,0.048289,0.000800,0.116608,0.048353,0.063712,0.232257,0.000640,0.002304,0.001216,0.000416,0.935462
0.433955,0.017664,0.203106,0.004864,0.048448,0.000768,0.109729,0.057056,0.062177,0.232354,0.000608,0.002336,0.001248,0.000384,0.953287
0.416451,0.017824,0.202753,0.005056,0.049025,0.000576,0.107296,0.044545,0.061600,0.216993,0.000544,0.002176,0.001248,0.000416,0.920550
0.416195,0.017536,0.202850,0.005088,0.048352,0.000768,0.118145,0.048672,0.062913,0.233250,0.000608,0.002304,0.001248,0.000576,0.936103
0.416291,0.017760,0.202593,0.004832,0.049281,0.000512,0.138785,0.048896,0.060544,0.251841,0.000608,0.002112,0.001152,0.000384,0.954631
0.416899,0.017729,0.202625,0.005024,0.048704,0.000608,0.114113,0.046209,0.059776,0.223874,0.000672,0.002272,0.001248,0.000448,0.928263
0.417123,0.017408,0.203138,0.004864,0.048672,0.000608,0.110945,0.045664,0.059616,0.219873,0.000640,0.002272,0.001216,0.000384,0.923495
0.417507,0.017761,0.202625,0.004992,0.048576,0.000768,0.116353,0.048545,0.062016,0.230562,0.000608,0.002208,0.001248,0.000384,0.935239
0.416611,0.017440,0.202434,0.004960,0.048096,0.000800,0.112481,0.047936,0.068097,0.231746,0.000704,0.001984,0.001312,0.000384,0.933831
0.416866,0.017600,0.202529,0.005088,0.048448,0.000768,0.110017,0.047713,0.060800,0.221858,0.000576,0.002240,0.001184,0.000384,0.924966
0.416451,0.017472,0.203009,0.005025,0.048800,0.000832,0.110401,0.046976,0.060992,0.221665,0.000704,0.002049,0.001216,0.000416,0.924871
0.418563,0.017825,0.221665,0.005312,0.048384,0.000800,0.112896,0.050017,0.061184,0.227425,0.000640,0.002144,0.001216,0.000384,0.951975
0.417379,0.017696,0.203809,0.004801,0.048736,0.000768,0.114401,0.048480,0.060641,0.226722,0.000640,0.001984,0.001312,0.000608,0.931463
0.435587,0.017600,0.202593,0.004864,0.048225,0.000736,0.113600,0.048704,0.059392,0.224961,0.000576,0.002112,0.001216,0.000384,0.946598
0.417251,0.017696,0.202658,0.005120,0.048512,0.000768,0.110529,0.047392,0.088545,0.250050,0.000736,0.003552,0.001248,0.000384,0.955687
0.416419,0.017600,0.203009,0.005056,0.048193,0.000576,0.106337,0.048768,0.063360,0.221953,0.000640,0.002368,0.001344,0.000416,0.925030
0.419011,0.017536,0.203074,0.004832,0.048672,0.000544,0.103233,0.047936,0.064481,0.218690,0.000672,0.002048,0.001376,0.000352,0.923911
0.416803,0.017600,0.202849,0.004864,0.047745,0.000832,0.112896,0.045313,0.058144,0.220065,0.000736,0.002400,0.001536,0.000352,0.923622
0.432771,0.017504,0.203170,0.004992,0.048192,0.000544,0.110177,0.047552,0.061537,0.222914,0.000640,0.001984,0.001216,0.000416,0.942279
0.416099,0.017696,0.202753,0.004960,0.048769,0.000512,0.107488,0.045665,0.062368,0.218977,0.000576,0.002016,0.001248,0.000384,0.921382
0.416291,0.017472,0.202657,0.005056,0.049120,0.000512,0.110913,0.057760,0.060801,0.232546,0.000640,0.002016,0.001248,0.000416,0.934951
0.416451,0.017472,0.203009,0.005312,0.048704,0.000512,0.112352,0.053281,0.060608,0.229441,0.000576,0.001856,0.001184,0.000416,0.953607
0.416739,0.017472,0.202274,0.005120,0.048096,0.000608,0.110625,0.047264,0.067809,0.228770,0.000544,0.002272,0.001312,0.000352,0.930631
0.416803,0.017633,0.202177,0.005120,0.048832,0.000544,0.109505,0.048321,0.060448,0.221538,0.000576,0.001984,0.001344,0.000448,0.924263
0.417155,0.017760,0.202145,0.005024,0.047809,0.000544,0.105249,0.047616,0.061280,0.217345,0.000576,0.001824,0.001184,0.000352,0.919110
0.416451,0.017664,0.202658,0.004960,0.048576,0.000576,0.108609,0.048448,0.060513,0.220898,0.000608,0.002112,0.001184,0.000416,0.923079
0.415875,0.017632,0.202657,0.005024,0.047777,0.000800,0.108096,0.047841,0.061152,0.220609,0.000736,0.002304,0.001024,0.000384,0.922182
0.416611,0.017664,0.202562,0.004864,0.048448,0.000768,0.110593,0.048256,0.061473,0.223650,0.000640,0.002144,0.001152,0.000352,0.926279
0.435491,0.017504,0.202977,0.004864,0.048513,0.000544,0.112193,0.048928,0.069857,0.234114,0.000640,0.002080,0.001440,0.000416,0.956487
0.417603,0.017377,0.203393,0.004800,0.048064,0.000480,0.110689,0.044481,0.059488,0.218210,0.000640,0.002144,0.001472,0.000832,0.922439
0.417571,0.018144,0.202657,0.004864,0.047617,0.000608,0.109633,0.047776,0.060576,0.221345,0.000576,0.001984,0.001440,0.000416,0.924614
0.416579,0.017440,0.203490,0.004896,0.047552,0.000544,0.109953,0.047968,0.084257,0.245922,0.000576,0.002112,0.001184,0.000416,0.948391
0.417027,0.017504,0.202337,0.004865,0.047392,0.000608,0.106849,0.048256,0.059360,0.217569,0.000608,0.002240,0.001408,0.000416,0.919238
0.416483,0.017536,0.202850,0.004896,0.047392,0.000576,0.112065,0.045568,0.062657,0.224066,0.000704,0.002144,0.001312,0.000448,0.925959
0.416291,0.017536,0.202721,0.004864,0.047041,0.000576,0.107872,0.047713,0.061280,0.219969,0.000672,0.002016,0.001152,0.000608,0.920870
0.432195,0.017888,0.202466,0.004864,0.047104,0.000576,0.114593,0.049152,0.061313,0.228642,0.000640,0.002208,0.001728,0.000576,0.946439
0.416515,0.017696,0.202625,0.004800,0.047521,0.000576,0.108736,0.045857,0.060832,0.219041,0.000704,0.002208,0.001184,0.000576,0.921606
0.417059,0.017472,0.202402,0.004864,0.046976,0.000800,0.113825,0.045472,0.059201,0.221922,0.000672,0.002240,0.001344,0.000448,0.923847
0.417026,0.017760,0.223265,0.005088,0.048513,0.000512,0.111104,0.056513,0.060608,0.231457,0.000672,0.002176,0.001280,0.000352,0.956326
0.417091,0.017504,0.202754,0.004896,0.047456,0.000544,0.116513,0.047808,0.068161,0.235554,0.000672,0.001920,0.001216,0.000384,0.937831
0.415875,0.017664,0.202145,0.004800,0.058049,0.000544,0.110496,0.045473,0.060000,0.219105,0.000640,0.002080,0.001216,0.000384,0.930342
0.416355,0.017632,0.202210,0.004832,0.047040,0.000544,0.110913,0.049760,0.060321,0.224354,0.000640,0.002272,0.001184,0.000416,0.924551
0.420131,0.017792,0.209825,0.004896,0.046881,0.000544,0.142433,0.051072,0.078081,0.275074,0.000640,0.002112,0.001152,0.000416,0.992231
0.417795,0.017600,0.203777,0.005088,0.047041,0.000512,0.110208,0.045569,0.059360,0.218721,0.000640,0.002048,0.001216,0.000384,0.922406
0.417955,0.017600,0.203554,0.005024,0.047104,0.000544,0.117953,0.048768,0.065313,0.235394,0.000704,0.002496,0.001184,0.000384,0.939271
0.439843,0.017504,0.202913,0.004993,0.047136,0.000608,0.112801,0.057120,0.061985,0.235394,0.000608,0.002368,0.001248,0.000384,0.960647
0.418083,0.017633,0.202977,0.005056,0.047328,0.000608,0.118913,0.048929,0.062208,0.233474,0.001120,0.002112,0.001280,0.000416,0.937703
0.415843,0.017728,0.202594,0.004992,0.049152,0.000576,0.114593,0.047200,0.060641,0.225730,0.001088,0.002080,0.001280,0.000416,0.928935
0.416355,0.017633,0.202721,0.005216,0.048512,0.000576,0.134785,0.049697,0.060128,0.248226,0.000704,0.002208,0.001248,0.000384,0.951239
0.416547,0.017664,0.202402,0.005056,0.048640,0.000576,0.109569,0.048064,0.061473,0.222658,0.000704,0.002016,0.001152,0.000416,0.925927
0.416451,0.017376,0.202785,0.005088,0.047969,0.000608,0.110304,0.047553,0.060960,0.222241,0.000608,0.002208,0.001280,0.000384,0.924870
0.417443,0.017728,0.202530,0.004832,0.047808,0.000512,0.109633,0.047456,0.061153,0.221538,0.000608,0.002048,0.001120,0.000416,0.924199
0.417923,0.017600,0.202273,0.004832,0.047329,0.000544,0.113280,0.048033,0.062272,0.226913,0.000672,0.002208,0.001152,0.000416,0.929574
