Layer[0],Layer[1],IN[2],INFER[2-4],OUT[4],TEE[2-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415907,0.017760,0.132929,0.574564,0.069185,0.780038,0.000640,0.014016,0.000416,0.001504,0.000896,0.000320,1.238889
0.415107,0.017280,0.131713,0.583812,0.079201,0.798310,0.000800,0.014944,0.000416,0.001504,0.000960,0.000352,1.256009
0.415267,0.017376,0.135809,0.567812,0.069984,0.777221,0.000736,0.014208,0.000416,0.001504,0.001024,0.000320,1.236168
0.415779,0.017313,0.123328,0.565860,0.067521,0.760709,0.000672,0.015040,0.000448,0.001440,0.001120,0.000384,1.219209
0.432067,0.017216,0.125665,0.566980,0.063809,0.760070,0.000928,0.013984,0.000384,0.001504,0.001056,0.000384,1.233641
0.415523,0.017216,0.130785,0.567524,0.065664,0.767173,0.000736,0.014880,0.000416,0.001472,0.000960,0.000384,1.225224
0.415555,0.017216,0.127969,0.567172,0.066337,0.764678,0.000704,0.014688,0.000416,0.001472,0.001120,0.000352,1.222857
0.415139,0.017152,0.122881,0.563268,0.065696,0.755365,0.000672,0.014209,0.000416,0.001920,0.001216,0.000352,1.212297
0.421444,0.017216,0.126881,0.563364,0.064864,0.758757,0.000896,0.014016,0.000352,0.001472,0.001152,0.000448,1.222025
0.414915,0.017312,0.129217,0.584036,0.072321,0.789158,0.000736,0.014208,0.000512,0.001408,0.001184,0.000448,1.245545
0.420675,0.017248,0.128609,0.565796,0.067200,0.764805,0.000704,0.015073,0.000448,0.001472,0.001088,0.000384,1.228969
0.415555,0.017377,0.132161,0.567748,0.067264,0.770597,0.000736,0.015008,0.000448,0.001472,0.001024,0.000416,1.228937
0.415619,0.017376,0.142593,0.563492,0.067201,0.776710,0.000800,0.015264,0.000448,0.001504,0.000992,0.000448,1.235689
0.419779,0.017408,0.126017,0.566916,0.067328,0.763781,0.000704,0.015072,0.000416,0.001472,0.001088,0.000352,1.225897
0.415075,0.017504,0.133121,0.567396,0.066465,0.770758,0.000672,0.014176,0.000416,0.001504,0.001056,0.000384,1.228937
0.437827,0.017504,0.130561,0.568004,0.066721,0.768678,0.000672,0.015008,0.000448,0.001536,0.001024,0.000384,1.249481
0.416291,0.017408,0.144545,0.564676,0.062688,0.775333,0.000704,0.015008,0.000416,0.001536,0.001152,0.000352,1.234312
0.415843,0.017408,0.120385,0.580932,0.076001,0.781190,0.000704,0.014944,0.000480,0.001536,0.001088,0.000384,1.240105
0.419715,0.017440,0.129569,0.573604,0.071073,0.777446,0.000640,0.015008,0.000416,0.001536,0.001152,0.000480,1.240425
0.415555,0.017344,0.128417,0.565572,0.071200,0.768357,0.000832,0.014304,0.000416,0.001376,0.001088,0.000416,1.225512
0.420163,0.017536,0.124897,0.584549,0.075168,0.788326,0.000736,0.015168,0.000448,0.001472,0.000992,0.000384,1.251913
0.416419,0.017280,0.126625,0.565252,0.065825,0.760902,0.000864,0.014304,0.000480,0.001408,0.001568,0.000384,1.220073
0.416707,0.017440,0.134369,0.568356,0.066625,0.772646,0.000736,0.015008,0.000416,0.001472,0.001568,0.000384,1.232521
0.430211,0.017504,0.128545,0.566596,0.064832,0.763173,0.000704,0.014336,0.000384,0.001440,0.001120,0.000384,1.235304
0.415331,0.017472,0.127585,0.567780,0.066145,0.765254,0.000704,0.015200,0.000384,0.001440,0.001344,0.000384,1.223977
0.419555,0.017312,0.133633,0.566244,0.067872,0.771269,0.000800,0.015040,0.000384,0.001504,0.016384,0.000448,1.249609
0.419427,0.017984,0.125601,0.567396,0.065216,0.761925,0.000672,0.014336,0.000416,0.001504,0.001376,0.000416,1.224616
0.415363,0.017153,0.132736,0.569860,0.067712,0.773989,0.000672,0.014240,0.000384,0.001888,0.001216,0.000448,1.231529
0.420963,0.017216,0.137025,0.584708,0.074721,0.800358,0.001184,0.015392,0.000416,0.001536,0.001152,0.000416,1.265641
0.416323,0.017472,0.133825,0.567652,0.067809,0.772966,0.000640,0.014112,0.000384,0.001504,0.001152,0.000384,1.231209
0.421123,0.017440,0.127873,0.565636,0.065184,0.762277,0.000896,0.014400,0.000384,0.001472,0.001184,0.000448,1.225960
0.435203,0.017536,0.138561,0.566436,0.069505,0.778246,0.000768,0.014400,0.000384,0.001504,0.001536,0.000512,1.256425
0.420611,0.017408,0.168929,0.567748,0.066945,0.807334,0.000736,0.015136,0.000416,0.001536,0.001216,0.000480,1.271145
0.415427,0.017376,0.132545,0.569092,0.066753,0.772006,0.000704,0.014272,0.000352,0.001504,0.001248,0.000480,1.230025
0.420163,0.017408,0.132129,0.567268,0.068064,0.770629,0.000800,0.014528,0.000416,0.001472,0.001184,0.000480,1.233256
0.415491,0.017728,0.132833,0.566884,0.066273,0.769766,0.000672,0.014272,0.000384,0.001504,0.001248,0.000384,1.227881
0.420227,0.017248,0.121601,0.580132,0.067745,0.773158,0.000736,0.014272,0.000384,0.001504,0.000992,0.000448,1.235241
0.420355,0.017376,0.131713,0.565476,0.068544,0.769189,0.000768,0.014208,0.000416,0.001504,0.001216,0.000416,1.231816
