Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-9],OUT[9],TEE[4-9],Layer[10],classifier
0.438660,0.018592,0.205505,0.005568,0.174018,0.107840,0.067585,0.353859,0.001184,1.033000
0.420579,0.017696,0.203201,0.005313,0.129536,0.103649,0.066017,0.303170,0.000608,0.957063
0.416803,0.017632,0.202529,0.005536,0.118369,0.098657,0.063808,0.284514,0.000736,0.933286
0.415491,0.017472,0.202882,0.005344,0.141601,0.103200,0.065153,0.313282,0.000736,0.961415
0.422403,0.017440,0.202945,0.005440,0.116865,0.102017,0.064896,0.287042,0.000576,0.941702
0.417507,0.017408,0.203298,0.005248,0.123457,0.101408,0.064641,0.292994,0.000672,0.943143
0.421731,0.017824,0.202722,0.005344,0.148161,0.117984,0.067969,0.337762,0.001120,0.996039
0.422691,0.017472,0.203074,0.005120,0.122241,0.101920,0.064929,0.292834,0.000704,0.948295
0.416643,0.017504,0.203809,0.005280,0.109121,0.098561,0.062912,0.274114,0.000768,0.923558
0.420867,0.017664,0.203810,0.005600,0.118689,0.101600,0.064352,0.288002,0.000704,0.942727
0.435651,0.017696,0.202945,0.005344,0.119969,0.100673,0.064161,0.288131,0.000704,0.956007
0.420963,0.017504,0.203522,0.005280,0.119777,0.102625,0.066784,0.292834,0.000640,0.949703
0.420707,0.017376,0.203362,0.005344,0.120929,0.100256,0.063521,0.288514,0.000608,0.941703
0.420131,0.017472,0.202625,0.005280,0.130881,0.103489,0.063264,0.301666,0.000608,0.954022
0.416739,0.017664,0.202850,0.005056,0.121633,0.105728,0.065761,0.296610,0.000736,0.944487
0.420771,0.017472,0.203489,0.005024,0.152961,0.103681,0.067617,0.328131,0.000640,0.980871
0.415939,0.017953,0.203233,0.005120,0.122529,0.099201,0.063904,0.289154,0.000672,0.937831
0.420195,0.017504,0.203266,0.005312,0.126049,0.102880,0.069185,0.301794,0.000768,0.955527
0.422435,0.017664,0.203617,0.005152,0.117729,0.098625,0.063808,0.283906,0.000640,0.938726
0.416291,0.017472,0.203522,0.005344,0.123169,0.101153,0.064608,0.292546,0.000736,0.941575
0.440483,0.017760,0.203234,0.005120,0.130209,0.104992,0.067457,0.306274,0.000704,0.979783
0.420707,0.017504,0.202977,0.005312,0.126081,0.107073,0.068128,0.305602,0.000640,0.959398
0.416035,0.017568,0.203298,0.005184,0.120097,0.109088,0.065377,0.298082,0.000992,0.946439
0.416259,0.017888,0.203201,0.005088,0.144065,0.104769,0.068129,0.320387,0.000768,0.969127
0.415523,0.017601,0.202721,0.005312,0.114657,0.108705,0.065408,0.292002,0.000768,0.939079
0.419811,0.017728,0.202753,0.005056,0.111105,0.098273,0.062528,0.275234,0.000768,0.926822
0.416355,0.017696,0.203842,0.005344,0.117505,0.105152,0.064033,0.289762,0.000576,0.938599
0.439491,0.017728,0.203073,0.005344,0.119649,0.098465,0.063296,0.284866,0.000608,0.956294
0.420003,0.017376,0.202306,0.005056,0.114593,0.101024,0.064993,0.283650,0.000672,0.933991
0.420931,0.017632,0.202721,0.005344,0.121697,0.100705,0.063712,0.289858,0.000832,0.942822
0.415171,0.017440,0.223714,0.005248,0.112897,0.098337,0.063328,0.278082,0.000800,0.946055
0.420355,0.017568,0.202657,0.005312,0.123329,0.106337,0.064417,0.297955,0.000960,0.951463
0.419715,0.017665,0.202785,0.005440,0.113793,0.102689,0.065024,0.285090,0.000800,0.936583
0.415619,0.017792,0.202913,0.005312,0.115297,0.103681,0.084257,0.306883,0.000768,0.954951
0.420227,0.017632,0.202978,0.005376,0.109953,0.099168,0.063841,0.276738,0.000576,0.928263
0.415203,0.017440,0.202465,0.005376,0.114209,0.100641,0.062464,0.280578,0.000544,0.925990
0.419811,0.017632,0.202657,0.005345,0.117216,0.100865,0.063905,0.285154,0.000736,0.935879
0.431939,0.017761,0.203393,0.005088,0.115041,0.097825,0.065248,0.281314,0.000608,0.944871
