Layer[0],IN[1],INFER[1-2],OUT[2],TEE[1-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.421667,0.204929,0.530020,0.064545,0.802726,0.005440,0.047968,0.000832,0.013440,0.000352,0.001408,0.001184,0.000352,1.302025
0.416579,0.174914,0.554276,0.069536,0.802406,0.005440,0.048513,0.000832,0.014080,0.000320,0.001632,0.001152,0.000352,1.297706
0.416995,0.178177,0.529796,0.065376,0.776933,0.005472,0.048225,0.000800,0.013440,0.000352,0.001504,0.001056,0.000416,1.271721
0.417987,0.180834,0.533699,0.068449,0.787590,0.009344,0.048640,0.000896,0.013793,0.000448,0.001472,0.001120,0.000352,1.289738
0.437347,0.179777,0.532228,0.071841,0.788102,0.005312,0.049024,0.000864,0.013888,0.000352,0.001504,0.001856,0.000384,1.306633
0.420547,0.177569,0.532484,0.068160,0.782341,0.009600,0.048577,0.000832,0.013728,0.000416,0.001440,0.001248,0.000448,1.287145
0.416867,0.180482,0.547172,0.071008,0.802950,0.005504,0.048385,0.000864,0.013760,0.000352,0.001760,0.001248,0.000448,1.299338
0.420419,0.171201,0.532228,0.073921,0.781318,0.009408,0.048832,0.000896,0.013952,0.000416,0.001504,0.001216,0.000352,1.285929
0.421507,0.181505,0.533924,0.076512,0.795909,0.009504,0.048321,0.000832,0.013984,0.000352,0.001632,0.001216,0.000384,1.300585
0.435555,0.179937,0.531108,0.066272,0.781157,0.005248,0.048225,0.000768,0.013856,0.000384,0.001568,0.001376,0.000384,1.296554
0.416259,0.172737,0.530756,0.066561,0.773958,0.005312,0.048928,0.000864,0.014400,0.000352,0.001536,0.001280,0.000416,1.270665
0.421379,0.178657,0.532196,0.085120,0.799845,0.005344,0.047969,0.000800,0.013728,0.000352,0.001600,0.001280,0.000416,1.300330
0.416611,0.171745,0.530564,0.066113,0.772326,0.009152,0.048704,0.000832,0.014112,0.000352,0.001664,0.001312,0.000384,1.272777
0.421635,0.179521,0.532868,0.067936,0.784325,0.005376,0.048513,0.000832,0.014208,0.000320,0.001536,0.001472,0.000384,1.286281
0.415971,0.147809,0.533028,0.066368,0.751077,0.005440,0.048769,0.000800,0.014240,0.000320,0.001600,0.001376,0.000384,1.245801
0.415619,0.172385,0.532164,0.065633,0.773798,0.005408,0.048576,0.000928,0.014048,0.000352,0.001632,0.001120,0.000352,1.269577
0.415523,0.168738,0.531107,0.065185,0.768550,0.005312,0.048288,0.000928,0.013568,0.000352,0.001664,0.001152,0.000352,1.261897
0.428835,0.159809,0.547588,0.065600,0.776933,0.005472,0.047969,0.000832,0.013536,0.000384,0.001600,0.001024,0.000384,1.283753
0.415075,0.171649,0.530308,0.065921,0.771398,0.005536,0.048512,0.000832,0.013504,0.000416,0.001408,0.001056,0.000416,1.264841
0.420227,0.197570,0.544996,0.076096,0.822406,0.005440,0.048289,0.000768,0.013536,0.000416,0.001472,0.001216,0.000352,1.321354
0.417603,0.200898,0.531331,0.067233,0.802886,0.009888,0.048320,0.000832,0.013472,0.000384,0.001408,0.001056,0.000352,1.303337
0.415779,0.171969,0.530564,0.073121,0.778950,0.005376,0.048704,0.000800,0.014272,0.000320,0.001824,0.001120,0.000416,1.274249
0.436004,0.173985,0.530660,0.065184,0.773349,0.005312,0.048257,0.000800,0.013664,0.000352,0.001536,0.001152,0.000352,1.287658
0.415267,0.190881,0.532004,0.071649,0.798182,0.009632,0.048608,0.001024,0.013728,0.000384,0.001472,0.001376,0.000384,1.297929
0.415875,0.176706,0.532099,0.067137,0.779526,0.022176,0.048640,0.000800,0.013601,0.000384,0.001376,0.001216,0.000416,1.290954
0.415651,0.175745,0.531300,0.065953,0.776966,0.009728,0.048288,0.000832,0.013568,0.000352,0.001376,0.001088,0.000352,1.275945
0.415811,0.202338,0.530692,0.073504,0.810438,0.005568,0.048417,0.000800,0.013536,0.000352,0.001472,0.001216,0.000384,1.304650
0.415747,0.199553,0.532292,0.067137,0.802790,0.005280,0.047936,0.000800,0.013664,0.000320,0.001824,0.001184,0.000416,1.297129
0.415650,0.159714,0.530947,0.072705,0.766918,0.005312,0.048512,0.000832,0.013600,0.000384,0.001473,0.001152,0.000416,1.260681
0.421315,0.173089,0.532260,0.066496,0.775525,0.009760,0.047809,0.000768,0.013728,0.000352,0.001568,0.001184,0.000384,1.279657
0.415587,0.158690,0.533699,0.070209,0.767974,0.005344,0.048096,0.000832,0.013600,0.000352,0.001408,0.001184,0.000384,1.261801
0.415587,0.174561,0.533028,0.069504,0.780773,0.005472,0.048193,0.000800,0.013600,0.000352,0.001600,0.001152,0.000352,1.274537
0.416195,0.196545,0.566117,0.071616,0.838022,0.011232,0.048320,0.001088,0.013856,0.000384,0.001536,0.001184,0.000352,1.339114
0.416163,0.193025,0.532292,0.067040,0.795941,0.005440,0.048384,0.000608,0.013600,0.000352,0.001472,0.001120,0.000352,1.290281
0.416355,0.172385,0.532900,0.069249,0.777926,0.005216,0.048640,0.000832,0.013568,0.000384,0.001504,0.001216,0.000352,1.272201
0.433091,0.198145,0.530308,0.066656,0.798661,0.005312,0.048897,0.000800,0.013472,0.000320,0.001472,0.001248,0.000352,1.310473
0.422051,0.173889,0.531716,0.067489,0.776710,0.005344,0.048704,0.000864,0.013472,0.000320,0.001408,0.001184,0.000384,1.277449
0.416195,0.201281,0.549700,0.084961,0.839782,0.010944,0.048352,0.000800,0.013440,0.000352,0.001408,0.001120,0.000384,1.339433
0.415491,0.169282,0.531971,0.076257,0.781574,0.007328,0.048928,0.000832,0.013472,0.000384,0.001440,0.001184,0.000320,1.277449
0.415555,0.170625,0.532196,0.068192,0.774597,0.005312,0.048385,0.000832,0.013536,0.000416,0.001408,0.001088,0.000384,1.268137
0.415907,0.209505,0.532772,0.068737,0.815430,0.005408,0.048224,0.000832,0.013568,0.000384,0.001472,0.001120,0.000384,1.309321
0.416803,0.167265,0.531620,0.071584,0.774085,0.005536,0.048480,0.000800,0.013697,0.000352,0.001504,0.001120,0.000320,1.269866
0.416323,0.171137,0.533092,0.068864,0.776677,0.005440,0.048865,0.000800,0.013536,0.000352,0.001408,0.001120,0.000416,1.271401
0.415715,0.173858,0.535683,0.068801,0.782310,0.009472,0.048544,0.000768,0.013504,0.000320,0.001440,0.001056,0.000416,1.280425
0.416387,0.170913,0.532356,0.068640,0.775717,0.005312,0.048609,0.000832,0.013472,0.000384,0.001536,0.001120,0.000416,1.270345
0.415139,0.175105,0.548836,0.075073,0.802950,0.009632,0.048736,0.000576,0.013408,0.000352,0.001472,0.001152,0.000416,1.300681
0.420099,0.159873,0.531780,0.067265,0.762406,0.005312,0.048192,0.000832,0.013408,0.000352,0.001440,0.001120,0.000416,1.260361
0.416355,0.159777,0.530308,0.066017,0.759526,0.005312,0.048192,0.000800,0.013472,0.000352,0.001408,0.001120,0.000352,1.253385
0.433028,0.168449,0.531716,0.067712,0.771653,0.005312,0.048544,0.000800,0.013377,0.000416,0.001376,0.001024,0.000352,1.282826
0.415715,0.167009,0.531204,0.066208,0.768133,0.005248,0.048769,0.000832,0.013376,0.000352,0.001504,0.001152,0.000384,1.261417
0.419267,0.200033,0.568069,0.077632,0.850182,0.005440,0.048864,0.000768,0.013761,0.000352,0.001504,0.001280,0.000352,1.349546
0.419523,0.197153,0.534692,0.067809,0.803366,0.005376,0.048320,0.000768,0.013888,0.000384,0.001600,0.001248,0.000352,1.301641
0.416835,0.167873,0.533284,0.067521,0.772166,0.011168,0.049120,0.000864,0.013632,0.000448,0.001440,0.000992,0.000352,1.273321
0.416099,0.174754,0.532420,0.068384,0.779750,0.009568,0.048224,0.000865,0.013664,0.000448,0.001600,0.001056,0.000352,1.278506
0.416259,0.169025,0.534468,0.072032,0.778949,0.005504,0.048225,0.000832,0.013504,0.000384,0.001568,0.001408,0.000320,1.273321
0.416227,0.167649,0.531044,0.068896,0.771173,0.011137,0.048608,0.000864,0.013952,0.000384,0.001536,0.001088,0.000352,1.271209
