Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.451306,0.017857,0.209637,0.005216,0.048993,0.001120,0.014017,0.000384,0.001792,0.001344,0.000640,0.761363
0.432970,0.017761,0.209285,0.005440,0.048833,0.001056,0.014017,0.000416,0.001440,0.001344,0.000608,0.741810
0.435434,0.018528,0.209861,0.005344,0.049089,0.001089,0.014208,0.000384,0.001792,0.002592,0.000608,0.751730
0.436331,0.018208,0.213285,0.005217,0.049409,0.000896,0.014368,0.000672,0.001760,0.002528,0.000576,0.754002
0.436619,0.018336,0.213766,0.005376,0.049537,0.001152,0.014336,0.000416,0.001760,0.002976,0.000608,0.757010
0.440170,0.018720,0.214725,0.005184,0.049442,0.001120,0.014208,0.000384,0.001856,0.003008,0.000608,0.763890
0.438603,0.018465,0.210437,0.005344,0.050049,0.001120,0.014176,0.000384,0.001728,0.003553,0.000832,0.759603
0.457323,0.019681,0.213765,0.005184,0.049121,0.001152,0.014465,0.000416,0.002080,0.003040,0.000864,0.777875
0.573102,0.018689,0.213733,0.005216,0.049505,0.001344,0.014401,0.000384,0.002048,0.002944,0.000576,0.892854
0.437323,0.019777,0.213957,0.005216,0.049601,0.001152,0.014593,0.000384,0.002016,0.003072,0.000608,0.761171
0.525485,0.018336,0.239686,0.005344,0.049793,0.001120,0.014817,0.000416,0.002144,0.003104,0.000832,0.877909
0.432778,0.018113,0.210917,0.005216,0.060961,0.001120,0.014273,0.000608,0.001728,0.001792,0.000608,0.759378
0.437482,0.018496,0.214085,0.005440,0.049730,0.001344,0.014656,0.000608,0.002080,0.003136,0.000864,0.763026
0.436587,0.018369,0.211717,0.005152,0.050145,0.001152,0.014560,0.000576,0.001953,0.003264,0.000864,0.755987
0.450186,0.018272,0.212133,0.005216,0.049665,0.001120,0.014273,0.000384,0.001760,0.002752,0.000832,0.767602
0.432619,0.018464,0.210341,0.005568,0.049633,0.001153,0.014272,0.000416,0.001728,0.001184,0.000576,0.745746
0.438059,0.018656,0.216166,0.005440,0.049793,0.001120,0.014528,0.000384,0.002016,0.003008,0.000609,0.764147
0.434666,0.018497,0.212709,0.005280,0.049505,0.001184,0.014305,0.000416,0.001984,0.002720,0.000576,0.752946
0.433290,0.018049,0.210501,0.005216,0.049377,0.001120,0.013760,0.000384,0.001728,0.001280,0.000288,0.744177
0.438507,0.018272,0.216390,0.005344,0.049569,0.001184,0.014368,0.000352,0.002016,0.002785,0.000608,0.759187
0.438955,0.018688,0.217669,0.005153,0.049377,0.001120,0.014432,0.000672,0.001728,0.003008,0.000608,0.765138
0.453099,0.017856,0.210565,0.005345,0.049217,0.001120,0.014112,0.000384,0.001984,0.002112,0.000800,0.764594
0.430090,0.017920,0.209542,0.005312,0.048193,0.000832,0.013728,0.000416,0.001760,0.001152,0.000800,0.738577
0.431178,0.018529,0.208485,0.005248,0.048961,0.000896,0.013953,0.000448,0.001728,0.001440,0.000576,0.739250
0.429834,0.017793,0.209029,0.005472,0.048673,0.000896,0.013857,0.000384,0.001536,0.001120,0.000352,0.737714
0.448779,0.017984,0.209157,0.005344,0.048994,0.000864,0.013920,0.000416,0.001472,0.001088,0.000608,0.756402
0.430155,0.017888,0.210757,0.005632,0.048673,0.001121,0.014272,0.000416,0.001472,0.001088,0.000608,0.739410
0.430282,0.018049,0.209253,0.005632,0.047969,0.000896,0.014113,0.000384,0.001504,0.001056,0.000576,0.737458
0.428938,0.017952,0.209317,0.005121,0.048385,0.000832,0.014240,0.000448,0.001440,0.001024,0.000672,0.736625
0.450219,0.017729,0.211365,0.005120,0.049153,0.000864,0.013953,0.000384,0.001696,0.001824,0.000576,0.763155
0.437163,0.018016,0.214374,0.005120,0.049441,0.001088,0.014272,0.000352,0.002080,0.003296,0.000576,0.755475
0.432618,0.018113,0.210181,0.005216,0.048801,0.000896,0.014016,0.000384,0.001472,0.001857,0.000576,0.744178
