Layer[0],Layer[1],IN[2],INFER[2-3],OUT[3],TEE[2-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415523,0.017408,0.130529,0.533188,0.066880,0.734149,0.048385,0.000608,0.013600,0.000352,0.001504,0.001056,0.000384,1.239177
0.416163,0.017312,0.137025,0.547332,0.069888,0.757413,0.049249,0.000608,0.013568,0.000384,0.001472,0.001088,0.000384,1.264489
0.416163,0.017728,0.134497,0.520579,0.066305,0.724293,0.048128,0.000864,0.013536,0.000416,0.001504,0.001024,0.000384,1.230408
0.416547,0.017409,0.126656,0.517924,0.066273,0.714757,0.048032,0.000768,0.013504,0.000352,0.001504,0.001088,0.000384,1.221513
0.434435,0.017440,0.135617,0.521444,0.066720,0.727333,0.048321,0.000864,0.013600,0.000384,0.001504,0.000992,0.000352,1.252105
0.415971,0.017312,0.130785,0.520196,0.067008,0.721285,0.048384,0.000577,0.013376,0.000384,0.001440,0.001024,0.000416,1.227209
0.415490,0.017472,0.133121,0.519395,0.069793,0.726373,0.067744,0.000832,0.013664,0.000352,0.001440,0.001088,0.000384,1.252360
0.415395,0.017408,0.126561,0.515716,0.067360,0.713477,0.049377,0.000832,0.013440,0.000352,0.001472,0.000992,0.000384,1.220713
0.415587,0.017280,0.123425,0.517924,0.065600,0.710853,0.048032,0.000832,0.013376,0.000384,0.001504,0.001089,0.000352,1.216585
0.415811,0.017504,0.123329,0.534756,0.077569,0.739654,0.049440,0.000832,0.014016,0.000352,0.001504,0.001024,0.000352,1.247657
0.415299,0.017472,0.127809,0.519076,0.064608,0.715109,0.048321,0.000864,0.013600,0.000352,0.001504,0.001088,0.000416,1.220297
0.416899,0.017440,0.144161,0.521764,0.070688,0.740805,0.048449,0.000640,0.014080,0.000384,0.001504,0.001184,0.000384,1.252105
0.429507,0.017408,0.139073,0.521124,0.068544,0.732677,0.048353,0.000800,0.014048,0.000384,0.001536,0.001280,0.000352,1.253801
0.416835,0.017408,0.138177,0.518628,0.074304,0.735013,0.048193,0.000800,0.014208,0.000384,0.001568,0.001184,0.000384,1.243049
0.415459,0.017632,0.136321,0.533604,0.068608,0.742117,0.048672,0.000832,0.014816,0.000384,0.001504,0.001216,0.000384,1.249897
0.416003,0.017312,0.135905,0.522627,0.068097,0.730533,0.049152,0.000800,0.013952,0.000352,0.001568,0.001280,0.000448,1.240297
0.416227,0.017280,0.129569,0.516388,0.074529,0.724262,0.048384,0.000832,0.013984,0.000352,0.001536,0.001248,0.000416,1.231849
0.416035,0.017376,0.135809,0.539492,0.071169,0.750278,0.048128,0.000640,0.013632,0.000384,0.001536,0.001120,0.000416,1.256905
0.416163,0.017280,0.125793,0.527716,0.065920,0.723525,0.048321,0.000800,0.014080,0.000352,0.001536,0.001216,0.000384,1.230793
0.416419,0.017376,0.135137,0.520420,0.069504,0.729157,0.048257,0.000544,0.013792,0.000352,0.001536,0.001344,0.000384,1.236201
0.434403,0.017376,0.134465,0.518596,0.066208,0.722565,0.048576,0.000800,0.014241,0.000416,0.001536,0.001152,0.000352,1.248681
0.415619,0.017344,0.138017,0.521091,0.068800,0.731557,0.048480,0.000832,0.013632,0.000352,0.001568,0.001216,0.000416,1.238409
0.416067,0.017537,0.138145,0.521347,0.077985,0.741029,0.048544,0.000832,0.014720,0.000352,0.001600,0.020800,0.000544,1.269673
0.416195,0.017313,0.129856,0.516708,0.066049,0.716197,0.048288,0.000864,0.014272,0.000384,0.001536,0.001216,0.000416,1.223433
0.416003,0.017344,0.133665,0.519140,0.070112,0.726085,0.048577,0.000544,0.014272,0.000352,0.001504,0.001184,0.000480,1.232873
0.429731,0.017600,0.153185,0.539524,0.125985,0.822470,0.048576,0.000800,0.014624,0.000384,0.001568,0.001216,0.000352,1.344105
0.415683,0.017536,0.133729,0.521060,0.069089,0.727302,0.048672,0.000832,0.014176,0.000352,0.001536,0.001280,0.000384,1.234505
0.415395,0.017280,0.131873,0.517956,0.065216,0.718597,0.048193,0.000576,0.013696,0.000352,0.001504,0.001184,0.000416,1.224393
0.432739,0.018112,0.137889,0.517508,0.066816,0.726213,0.048289,0.000832,0.013696,0.000384,0.001536,0.001120,0.000416,1.250089
