Layer[0],IN[1],INFER[1-8],OUT[8],TEE[1-8],Layer[9],Layer[10],classifier
0.416003,0.160610,0.614980,0.067553,0.847143,0.001600,0.000448,1.269354
0.416771,0.170657,0.604676,0.066465,0.845350,0.001440,0.000384,1.267913
0.415875,0.169441,0.615044,0.066977,0.854950,0.001408,0.000416,1.276745
0.415779,0.171137,0.620772,0.068161,0.863878,0.001504,0.000448,1.285993
0.415907,0.158209,0.603396,0.066657,0.831910,0.001376,0.000352,1.253481
0.415811,0.168449,0.604132,0.065697,0.841894,0.001344,0.000384,1.263497
0.434659,0.170209,0.617061,0.066080,0.856774,0.001344,0.000416,1.297321
0.416259,0.166273,0.613253,0.067136,0.850054,0.001376,0.000384,1.271881
0.416835,0.196898,0.633124,0.082881,0.916551,0.001184,0.000416,1.339594
0.415619,0.168993,0.604612,0.068961,0.846150,0.001600,0.000448,1.267561
0.416355,0.178753,0.615332,0.070305,0.868358,0.001408,0.000384,1.291177
0.416227,0.173409,0.651525,0.080032,0.909734,0.001504,0.000416,1.333033
0.415843,0.174914,0.607044,0.069121,0.855207,0.001472,0.000352,1.277738
0.416802,0.176129,0.607940,0.069121,0.858022,0.001504,0.000416,1.281289
0.416963,0.207105,0.606149,0.068064,0.885798,0.001504,0.000384,1.309609
0.416739,0.161249,0.607429,0.068960,0.841542,0.001568,0.000352,1.264745
0.416675,0.177090,0.623748,0.072545,0.877671,0.001568,0.000416,1.300938
0.416323,0.162369,0.605956,0.068417,0.840870,0.001472,0.000384,1.263561
0.415811,0.175681,0.605924,0.070817,0.856486,0.001472,0.000352,1.278921
0.434563,0.206978,0.616228,0.068064,0.895014,0.001248,0.000448,1.335721
0.416067,0.172482,0.606724,0.068513,0.851975,0.001472,0.000448,1.275466
0.417667,0.158881,0.647780,0.078113,0.889318,0.001600,0.000416,1.313513
