Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-5],OUT[5],TEE[5-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415139,0.017376,0.202978,0.005024,0.046944,0.102177,0.032992,0.056193,0.193922,0.014112,0.000512,0.001440,0.000832,0.000320,0.905351
0.415235,0.017280,0.202465,0.005088,0.047009,0.106176,0.029249,0.078304,0.217089,0.014560,0.000448,0.001408,0.001056,0.000352,0.928966
0.420675,0.017344,0.202434,0.005024,0.047456,0.105153,0.028768,0.064609,0.202082,0.014400,0.000544,0.001504,0.000928,0.000320,0.919815
0.415203,0.017313,0.202369,0.004896,0.047424,0.109665,0.032544,0.057185,0.202754,0.014528,0.000544,0.001472,0.000896,0.000352,0.914471
0.415427,0.017152,0.202881,0.004864,0.048929,0.108320,0.032833,0.057984,0.202113,0.014272,0.000960,0.001472,0.000960,0.000352,0.916614
0.430339,0.017280,0.202370,0.004864,0.048032,0.107649,0.029984,0.055521,0.196290,0.013984,0.000768,0.001376,0.000960,0.000384,0.923463
0.419587,0.017249,0.202401,0.005024,0.048704,0.101121,0.029184,0.055201,0.188738,0.014336,0.000480,0.001472,0.000960,0.000352,0.905959
0.414723,0.017345,0.202081,0.004800,0.047872,0.108289,0.029952,0.056353,0.197602,0.014208,0.000512,0.001440,0.000832,0.000320,0.908551
0.415203,0.017440,0.202241,0.005088,0.047105,0.118497,0.029312,0.054848,0.205761,0.014368,0.000512,0.001408,0.000928,0.000352,0.917126
0.414627,0.017504,0.202882,0.004928,0.046848,0.104673,0.033344,0.057760,0.198945,0.014465,0.000512,0.001440,0.000896,0.000352,0.909927
0.415427,0.017952,0.202946,0.005088,0.046976,0.110657,0.030144,0.056225,0.200066,0.014368,0.000576,0.001408,0.000992,0.000320,0.912743
0.415779,0.017216,0.202753,0.004896,0.046945,0.108960,0.032705,0.057856,0.202241,0.014208,0.000928,0.001440,0.001152,0.000320,0.914502
0.429795,0.017376,0.202370,0.004832,0.047232,0.111073,0.032832,0.057184,0.204321,0.014657,0.000512,0.001536,0.001088,0.000320,0.931687
0.415171,0.017280,0.202658,0.004864,0.047872,0.108769,0.033568,0.060321,0.205762,0.014528,0.000512,0.001440,0.001120,0.000320,0.918567
0.420035,0.017472,0.203489,0.004864,0.047457,0.103616,0.032225,0.059392,0.198401,0.014304,0.000480,0.001472,0.001056,0.000320,0.916070
0.419651,0.017344,0.202818,0.004896,0.047072,0.119873,0.032064,0.056320,0.211329,0.014337,0.000480,0.001504,0.001280,0.000352,0.927847
0.416611,0.017216,0.202978,0.005024,0.047200,0.130625,0.034912,0.057921,0.226146,0.014144,0.000480,0.001440,0.000800,0.000320,0.938983
0.415459,0.017216,0.202625,0.004864,0.047233,0.133217,0.033984,0.059008,0.228833,0.014432,0.000544,0.001408,0.000960,0.000352,0.940454
0.419555,0.017568,0.202850,0.004864,0.047168,0.098593,0.030368,0.055712,0.187617,0.014368,0.000512,0.001472,0.001120,0.000320,0.904743
0.432547,0.017248,0.202337,0.004832,0.046913,0.105984,0.032289,0.058848,0.199841,0.014368,0.000512,0.001408,0.000928,0.000352,0.928870
0.416131,0.017376,0.202082,0.004864,0.047008,0.100097,0.029216,0.055360,0.188161,0.014560,0.000512,0.001408,0.001088,0.000352,0.902278
0.415267,0.017376,0.202498,0.004864,0.046912,0.106369,0.031296,0.056385,0.197058,0.014080,0.000512,0.001504,0.001216,0.000320,0.908871
0.415426,0.017472,0.224289,0.005216,0.046977,0.110464,0.033089,0.060352,0.207009,0.013984,0.000480,0.001504,0.001056,0.000352,0.943750
0.414947,0.017152,0.202594,0.004960,0.049120,0.099905,0.030848,0.056128,0.189857,0.014304,0.000544,0.001408,0.001089,0.000352,0.903079
0.419683,0.017216,0.202242,0.004928,0.048000,0.106241,0.032960,0.056897,0.199170,0.014208,0.000544,0.001440,0.000960,0.000352,0.915591
0.415107,0.017248,0.202305,0.004800,0.047712,0.106977,0.030336,0.055137,0.195938,0.014144,0.000512,0.001504,0.001024,0.000384,0.907622
0.415139,0.017376,0.202113,0.004896,0.047041,0.107361,0.034848,0.055904,0.201025,0.014176,0.000512,0.001376,0.001184,0.000384,0.912230
0.415427,0.017504,0.202466,0.004864,0.046912,0.105569,0.033184,0.058400,0.200193,0.014113,0.000544,0.001472,0.001184,0.000352,0.912039
0.414467,0.017344,0.204162,0.005152,0.046848,0.105089,0.033472,0.058433,0.199458,0.014048,0.000384,0.001472,0.001056,0.000320,0.911335
0.415939,0.017440,0.222081,0.005248,0.047201,0.107040,0.032897,0.056064,0.198881,0.014240,0.000512,0.001440,0.001024,0.000320,0.931238
0.414435,0.017344,0.202242,0.004992,0.046880,0.108097,0.032832,0.058720,0.202241,0.014016,0.000512,0.001376,0.001056,0.000352,0.912231
0.416547,0.017216,0.202818,0.004928,0.046912,0.104417,0.033056,0.057825,0.198402,0.014016,0.000480,0.001472,0.001024,0.000320,0.910983
0.419267,0.017248,0.202209,0.004864,0.047137,0.106976,0.033185,0.055936,0.199201,0.014272,0.000576,0.001472,0.000992,0.000352,0.916326
0.414499,0.017408,0.202977,0.005056,0.046849,0.106112,0.033281,0.059488,0.201697,0.014080,0.000480,0.001440,0.001024,0.000320,0.912614
0.419747,0.017472,0.202786,0.005088,0.047040,0.111809,0.032256,0.056481,0.203778,0.014208,0.000480,0.001504,0.000928,0.000352,0.921223
0.415267,0.017313,0.202593,0.005056,0.047104,0.105473,0.033600,0.058305,0.200130,0.014208,0.000992,0.001472,0.001120,0.000288,0.912519
0.415395,0.017344,0.216801,0.005088,0.046816,0.103777,0.029568,0.053728,0.189761,0.014048,0.000736,0.001504,0.001024,0.000288,0.916614
0.415651,0.017344,0.202466,0.004864,0.047072,0.102337,0.031072,0.057152,0.193537,0.014081,0.000448,0.001504,0.001088,0.000384,0.905639
0.415011,0.017280,0.202722,0.004832,0.046880,0.102113,0.032416,0.057921,0.195266,0.013920,0.000896,0.001376,0.001184,0.000288,0.906759
0.416003,0.028000,0.203041,0.005024,0.046977,0.103488,0.032097,0.059584,0.197953,0.014304,0.000928,0.001440,0.001056,0.000288,0.922022
0.419491,0.017248,0.202658,0.004960,0.047424,0.108705,0.033664,0.058048,0.203201,0.014209,0.000512,0.001440,0.001024,0.000288,0.919399
0.415043,0.017441,0.203169,0.004992,0.046880,0.097473,0.030496,0.055265,0.186210,0.014656,0.000672,0.001440,0.001024,0.000320,0.898567
0.414979,0.017472,0.203041,0.004896,0.047777,0.112288,0.032705,0.057792,0.205985,0.014048,0.000544,0.001440,0.001152,0.000384,0.920102
0.436291,0.017344,0.202530,0.004864,0.046976,0.107137,0.033536,0.056960,0.200609,0.014145,0.000960,0.001472,0.001056,0.000352,0.933703
0.414851,0.017184,0.202882,0.004864,0.047040,0.106561,0.029664,0.056929,0.196034,0.014048,0.000384,0.001472,0.001056,0.000320,0.906951
0.416291,0.017313,0.202657,0.004832,0.046944,0.105505,0.031040,0.056257,0.195842,0.014240,0.000544,0.001440,0.001024,0.000384,0.907815
0.415171,0.017344,0.202625,0.004864,0.046913,0.104352,0.030113,0.056352,0.193889,0.014112,0.000480,0.001504,0.001056,0.000320,0.904870
0.414979,0.017440,0.202466,0.004928,0.047296,0.108321,0.033184,0.060224,0.204801,0.014176,0.000416,0.001408,0.001120,0.000320,0.915974
0.414979,0.018016,0.202370,0.004832,0.046848,0.105825,0.032448,0.057409,0.198306,0.014048,0.000480,0.001408,0.001088,0.000352,0.909383
0.414659,0.017345,0.202241,0.004992,0.046880,0.102913,0.032480,0.060129,0.198146,0.013920,0.000448,0.001440,0.001088,0.000256,0.908199
0.435491,0.017440,0.202882,0.005056,0.046976,0.106433,0.033344,0.056640,0.199105,0.014048,0.000416,0.001472,0.000992,0.000320,0.931174
0.415811,0.017632,0.202978,0.005024,0.048256,0.110145,0.033152,0.057985,0.204770,0.014592,0.000448,0.001568,0.001024,0.000384,0.920359
0.420035,0.017568,0.202465,0.004864,0.047841,0.111136,0.030625,0.056128,0.201249,0.014720,0.000512,0.001696,0.001216,0.000416,0.921350
0.416035,0.017248,0.202978,0.004832,0.048672,0.104321,0.049056,0.064577,0.221506,0.014688,0.000480,0.001440,0.001088,0.000352,0.936871
0.415779,0.017440,0.203297,0.004832,0.049025,0.105856,0.033249,0.055456,0.197857,0.014720,0.000576,0.001504,0.001248,0.000352,0.914918
0.415139,0.017280,0.202593,0.005025,0.048288,0.103841,0.030272,0.055520,0.192769,0.014112,0.000544,0.001536,0.001120,0.000352,0.906182
0.416099,0.017312,0.202434,0.004864,0.048864,0.094657,0.029344,0.055712,0.182881,0.015585,0.000512,0.001504,0.001152,0.000352,0.899207
0.431523,0.017409,0.202529,0.004768,0.048416,0.099105,0.033056,0.056097,0.191330,0.014048,0.000480,0.001504,0.001088,0.000352,0.921287
0.415683,0.017376,0.203233,0.004896,0.047905,0.100736,0.034785,0.058304,0.196641,0.014208,0.000512,0.001440,0.001024,0.000320,0.910118
