Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-7],OUT[7],TEE[7-7],Layer[8],Layer[9],Layer[10],classifier
0.414915,0.017472,0.202370,0.005216,0.046944,0.000576,0.013408,0.105025,0.032928,0.057793,0.198786,0.002112,0.000928,0.000352,0.909191
0.433027,0.017505,0.202209,0.005280,0.046944,0.000640,0.013344,0.139201,0.032929,0.057408,0.232674,0.002560,0.000896,0.000352,0.962183
0.414499,0.017376,0.202305,0.004864,0.046945,0.000576,0.013344,0.107841,0.034016,0.060672,0.205089,0.001696,0.000928,0.000320,0.914502
0.419427,0.017824,0.202690,0.005312,0.046880,0.000544,0.013568,0.108833,0.033504,0.061889,0.207074,0.001888,0.000960,0.000352,0.923687
0.416163,0.017281,0.223681,0.005376,0.047073,0.000576,0.013376,0.136961,0.034016,0.058048,0.231969,0.002272,0.000960,0.000352,0.966183
0.415523,0.017632,0.202818,0.005024,0.046912,0.000544,0.013408,0.109793,0.033280,0.060609,0.206338,0.001824,0.000960,0.000320,0.918023
0.416003,0.017600,0.202178,0.004800,0.046816,0.000608,0.013312,0.104481,0.032256,0.056321,0.195650,0.001824,0.000864,0.000320,0.906503
0.414531,0.017281,0.202241,0.005216,0.046944,0.000576,0.013376,0.102273,0.032736,0.065377,0.203266,0.001888,0.000896,0.000320,0.913671
0.415843,0.017568,0.202337,0.005216,0.047265,0.000576,0.013376,0.109409,0.032800,0.057280,0.202241,0.002016,0.001056,0.000320,0.915782
0.415651,0.017536,0.202306,0.005088,0.046880,0.000576,0.013376,0.103969,0.033184,0.057728,0.197665,0.002240,0.000960,0.000352,0.909382
0.420227,0.017408,0.202498,0.005248,0.046912,0.000576,0.013344,0.102305,0.032640,0.059329,0.197346,0.003264,0.001056,0.000352,0.915815
0.416227,0.017408,0.216994,0.005248,0.046880,0.000608,0.013409,0.111936,0.033121,0.057632,0.205633,0.001824,0.000992,0.000288,0.932487
0.419043,0.017376,0.202305,0.005312,0.046881,0.000608,0.013376,0.102241,0.032704,0.057760,0.195617,0.001728,0.000896,0.000320,0.910246
0.415043,0.017312,0.203809,0.005248,0.046816,0.000640,0.013376,0.098305,0.033344,0.063936,0.198113,0.001792,0.000864,0.000320,0.909894
0.419139,0.017504,0.202402,0.005280,0.046848,0.000576,0.013344,0.105505,0.032928,0.057825,0.199138,0.001792,0.000960,0.000320,0.913799
0.415555,0.017441,0.202657,0.005280,0.046880,0.000544,0.013441,0.106208,0.032705,0.056992,0.198657,0.002048,0.001056,0.000352,0.910375
0.414659,0.017504,0.202369,0.005248,0.047041,0.000576,0.013440,0.138241,0.034848,0.057344,0.233410,0.001920,0.000896,0.000384,0.945127
0.419683,0.017600,0.202530,0.005088,0.047360,0.000608,0.013472,0.110081,0.033088,0.057473,0.203522,0.001856,0.001024,0.000384,0.920071
