Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-6],OUT[6],TEE[5-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.421283,0.017504,0.202242,0.004832,0.048384,0.109505,0.047936,0.063393,0.223906,0.000736,0.002400,0.001120,0.000416,0.929543
0.416035,0.017344,0.202753,0.005024,0.047681,0.114688,0.049345,0.064576,0.231905,0.000704,0.001984,0.001024,0.000640,0.932326
0.416515,0.017696,0.202210,0.005056,0.048512,0.110113,0.048768,0.065217,0.227330,0.000704,0.002176,0.001152,0.000640,0.928711
0.434788,0.017696,0.204033,0.004896,0.048481,0.131905,0.053088,0.063232,0.251489,0.000608,0.002304,0.001472,0.000640,0.974151
0.416035,0.017504,0.202114,0.005056,0.048320,0.104449,0.049632,0.064641,0.221826,0.000704,0.002144,0.001120,0.000640,0.922375
0.416451,0.017568,0.203681,0.005024,0.048353,0.111329,0.048512,0.063968,0.227489,0.000640,0.002016,0.001152,0.000384,0.930726
0.417731,0.017536,0.202338,0.005024,0.066656,0.112865,0.049952,0.062753,0.228898,0.000736,0.002112,0.001312,0.000448,0.950983
0.417315,0.017824,0.202434,0.004928,0.047488,0.113761,0.049088,0.062881,0.229218,0.000672,0.002240,0.001152,0.000768,0.931143
0.416515,0.017344,0.202146,0.004832,0.050080,0.109569,0.049280,0.065185,0.227426,0.000736,0.002080,0.001184,0.000416,0.929447
0.421571,0.017280,0.202401,0.004865,0.049568,0.113601,0.058592,0.063617,0.239266,0.000736,0.002080,0.001408,0.000608,0.947079
0.420707,0.017313,0.202273,0.005024,0.047680,0.110849,0.049313,0.062432,0.226018,0.000640,0.001856,0.001152,0.000384,0.930311
0.416899,0.017344,0.202370,0.005088,0.048288,0.108065,0.048896,0.062464,0.223233,0.000608,0.002048,0.001184,0.000640,0.925415
0.416483,0.017632,0.202657,0.004864,0.047936,0.118241,0.048801,0.062720,0.233282,0.000704,0.002112,0.001152,0.000352,0.933831
0.437059,0.017408,0.202530,0.004960,0.050336,0.112385,0.047872,0.064129,0.227522,0.000704,0.002208,0.001184,0.000416,0.951207
0.416258,0.017312,0.202977,0.004864,0.047680,0.109025,0.048513,0.062560,0.223362,0.000704,0.002016,0.001120,0.000640,0.923718
0.416451,0.017312,0.203554,0.004800,0.049600,0.107521,0.048256,0.061728,0.220641,0.000672,0.002241,0.001184,0.000416,0.923335
0.417827,0.017440,0.202882,0.005120,0.048448,0.110369,0.067649,0.070080,0.252130,0.000768,0.002560,0.001152,0.000416,0.955783
0.416035,0.017376,0.202690,0.004832,0.048480,0.108609,0.048608,0.060545,0.220866,0.000704,0.001952,0.001184,0.000384,0.921223
0.416355,0.017473,0.202625,0.004800,0.048224,0.110241,0.048289,0.063136,0.224738,0.000736,0.002208,0.001024,0.000384,0.925127
0.416163,0.017504,0.202305,0.004961,0.047808,0.105665,0.049024,0.061536,0.219457,0.000640,0.001920,0.000928,0.000608,0.918790
0.439875,0.017473,0.202369,0.005024,0.047552,0.105313,0.048576,0.060480,0.217634,0.000672,0.002080,0.000960,0.000416,0.940839
0.416195,0.017312,0.202850,0.004832,0.047040,0.108161,0.047616,0.061120,0.220225,0.000704,0.001921,0.001152,0.000608,0.919399
0.415523,0.017536,0.202242,0.004832,0.046944,0.112225,0.048000,0.061569,0.225186,0.000672,0.002208,0.001024,0.000416,0.922951
0.416035,0.017376,0.241474,0.005120,0.047232,0.108545,0.044896,0.062433,0.218818,0.000672,0.002112,0.001024,0.000576,0.957863
0.416035,0.017280,0.202338,0.004832,0.047040,0.130945,0.051649,0.060928,0.246882,0.000640,0.002048,0.001056,0.000640,0.945415
0.422243,0.017472,0.203010,0.004832,0.046848,0.130465,0.053184,0.060321,0.247330,0.000704,0.001984,0.000960,0.000576,0.952807
0.416547,0.017696,0.202497,0.004832,0.046816,0.114049,0.048833,0.062720,0.229186,0.000800,0.001952,0.001216,0.000384,0.929606
0.420995,0.017600,0.202274,0.004768,0.046816,0.110305,0.048800,0.061697,0.223874,0.000672,0.002112,0.000992,0.000384,0.927367
0.416163,0.017472,0.202273,0.004864,0.046881,0.104960,0.048673,0.062048,0.218881,0.000704,0.002112,0.001120,0.000416,0.917382
0.416099,0.017504,0.202306,0.004832,0.046976,0.109729,0.048480,0.063809,0.225314,0.000672,0.001952,0.001024,0.000608,0.924071
0.439555,0.017344,0.202209,0.004864,0.047137,0.105280,0.049185,0.060576,0.218017,0.000672,0.001888,0.000992,0.000320,0.939750
