Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-8],OUT[8],TEE[6-8],Layer[9],Layer[10],classifier
0.415139,0.017568,0.202562,0.004864,0.048064,0.000640,0.107713,0.048832,0.060288,0.219809,0.001248,0.000449,0.916391
0.415235,0.017728,0.202530,0.004864,0.048128,0.000608,0.099841,0.048640,0.060033,0.211522,0.001376,0.000416,0.908263
0.415395,0.018080,0.202369,0.004864,0.049216,0.000609,0.103328,0.051937,0.060224,0.218497,0.001184,0.000448,0.916486
0.432323,0.017760,0.202754,0.005056,0.048544,0.000608,0.103745,0.048992,0.061376,0.217346,0.001152,0.000608,0.932423
0.415043,0.017568,0.203170,0.004864,0.047872,0.000576,0.136225,0.049505,0.061152,0.249954,0.001152,0.000384,0.946663
0.415075,0.017344,0.202465,0.004864,0.047905,0.000608,0.127553,0.052512,0.060320,0.243553,0.001152,0.000384,0.939206
0.415267,0.017504,0.202082,0.004832,0.047200,0.000608,0.128769,0.079265,0.065568,0.276994,0.001376,0.000640,0.973031
0.415171,0.017440,0.202242,0.004768,0.047200,0.000576,0.101121,0.047360,0.059968,0.211361,0.001408,0.000352,0.906630
0.416611,0.017632,0.202594,0.004864,0.047168,0.000608,0.095585,0.047520,0.064193,0.210242,0.001472,0.000320,0.907719
0.416163,0.017441,0.202849,0.004832,0.047264,0.000608,0.109729,0.060609,0.065536,0.239138,0.001152,0.000384,0.935911
0.426115,0.017568,0.202594,0.004864,0.047040,0.000576,0.108737,0.048992,0.060833,0.221698,0.001120,0.000384,0.927847
0.414947,0.017632,0.202434,0.004832,0.046976,0.000576,0.107553,0.048736,0.060353,0.219810,0.001248,0.000416,0.914951
0.415331,0.017408,0.202209,0.004896,0.046913,0.000576,0.108672,0.048769,0.060800,0.221121,0.001408,0.000352,0.916134
0.415459,0.017376,0.219458,0.005024,0.046976,0.000608,0.106721,0.047520,0.060097,0.217538,0.001408,0.000352,0.930855
0.415011,0.017184,0.202818,0.004800,0.046944,0.000608,0.109825,0.046496,0.059425,0.218786,0.001376,0.000384,0.913671
0.415043,0.017600,0.202209,0.004800,0.046944,0.000608,0.096416,0.048257,0.058656,0.206177,0.001440,0.000288,0.900678
0.415043,0.017088,0.202241,0.004832,0.046881,0.000544,0.135521,0.048224,0.060992,0.247713,0.001376,0.000256,0.941894
0.433699,0.017536,0.202178,0.004768,0.046848,0.000544,0.107329,0.060064,0.060001,0.230594,0.001120,0.000320,0.943655
0.415683,0.017536,0.202241,0.004896,0.047520,0.000640,0.105728,0.047393,0.059392,0.215809,0.001504,0.000320,0.912006
0.416547,0.017312,0.202081,0.004832,0.047297,0.000640,0.108801,0.048544,0.059520,0.220065,0.001376,0.000288,0.916806
0.415715,0.017632,0.218914,0.004992,0.047072,0.000608,0.105377,0.046560,0.059905,0.214626,0.001408,0.000320,0.927655
0.415330,0.017185,0.202177,0.004832,0.047008,0.000608,0.102561,0.061985,0.063712,0.231202,0.001376,0.000320,0.925606
0.416099,0.017312,0.202402,0.004864,0.046912,0.000576,0.110497,0.059744,0.061761,0.235042,0.001536,0.000288,0.930887
0.416515,0.017664,0.202241,0.004864,0.046976,0.000576,0.096033,0.048929,0.058176,0.206050,0.001472,0.000288,0.902502
0.414947,0.017472,0.202529,0.004800,0.046944,0.000576,0.104928,0.048545,0.062816,0.219137,0.001088,0.000256,0.913542
0.415395,0.017664,0.202209,0.004832,0.046945,0.000608,0.101345,0.046912,0.060672,0.211745,0.001120,0.000288,0.906758
0.414947,0.017120,0.202786,0.004768,0.046912,0.000608,0.102337,0.047232,0.061056,0.213442,0.001088,0.000320,0.907719
