Layer[0],Layer[1],Layer[2],IN[3],INFER[3-10],OUT[10],TEE[3-10],classifier
0.415907,0.017600,0.203489,0.138529,0.115425,0.063840,0.320994,0.962246
0.416195,0.017632,0.202338,0.130017,0.104321,0.063328,0.300898,0.941095
0.416355,0.017568,0.202401,0.135233,0.104353,0.064257,0.307843,0.948071
0.414979,0.017504,0.202754,0.121857,0.101409,0.062592,0.289122,0.929223
0.415331,0.017440,0.202817,0.134977,0.103809,0.063744,0.305698,0.945478
0.415715,0.017664,0.202754,0.137025,0.104544,0.064097,0.308610,0.949031
0.433251,0.017664,0.202785,0.121537,0.103009,0.062784,0.290530,0.947846
0.415011,0.017632,0.202722,0.136737,0.103488,0.063681,0.306722,0.945959
0.414947,0.017569,0.203105,0.133633,0.104225,0.063904,0.304706,0.944871
0.418019,0.017568,0.203490,0.154881,0.107360,0.065313,0.331234,0.977031
0.416931,0.017568,0.202849,0.133793,0.105729,0.066081,0.309059,0.951495
0.416579,0.017472,0.202498,0.143169,0.103329,0.064416,0.314210,0.956615
0.416163,0.017760,0.204290,0.121856,0.104289,0.064609,0.293922,0.936263
0.415907,0.017568,0.202625,0.122753,0.106689,0.064832,0.297826,0.938086
0.415235,0.017856,0.203266,0.141281,0.106464,0.065825,0.316738,0.956615
0.416195,0.017568,0.202497,0.142369,0.105985,0.064192,0.315586,0.957702
0.438115,0.017504,0.202786,0.138753,0.106465,0.069120,0.317346,0.980455
0.415811,0.017504,0.202530,0.136417,0.103424,0.064097,0.307138,0.948903
0.415363,0.017984,0.205217,0.134497,0.103361,0.062656,0.303650,0.946406
0.417667,0.017504,0.202818,0.122752,0.120641,0.068769,0.315810,0.958695
0.415715,0.017600,0.202465,0.139169,0.118465,0.065632,0.326434,0.966343
0.416035,0.017824,0.202530,0.133633,0.103009,0.063808,0.303618,0.945799
