Layer[0],IN[1],INFER[1-3],OUT[3],TEE[1-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.432579,0.168225,0.535300,0.073633,0.780582,0.047456,0.000640,0.013440,0.000384,0.001504,0.000928,0.000320,1.283625
0.418051,0.182881,0.542628,0.069024,0.799077,0.050017,0.000640,0.014400,0.000352,0.001568,0.001536,0.000416,1.297225
0.417027,0.168833,0.540708,0.086593,0.800422,0.048160,0.000576,0.013536,0.000352,0.001600,0.001024,0.000288,1.289385
0.416259,0.166113,0.538212,0.063744,0.771813,0.048609,0.000736,0.013536,0.000448,0.001536,0.000928,0.000352,1.260073
0.416099,0.168513,0.539076,0.066528,0.778021,0.049537,0.000672,0.013824,0.000416,0.001472,0.000864,0.000320,1.267593
0.415587,0.158337,0.562148,0.069728,0.794405,0.049121,0.000704,0.013696,0.000416,0.001504,0.000864,0.000352,1.282345
0.416483,0.177409,0.537988,0.064512,0.783589,0.049633,0.000704,0.013728,0.000384,0.001472,0.001216,0.000448,1.275145
0.416643,0.190657,0.548004,0.072449,0.815142,0.054208,0.000640,0.013632,0.000384,0.001536,0.000992,0.000480,1.310857
0.438051,0.176738,0.551556,0.068544,0.801062,0.049376,0.000704,0.013537,0.000576,0.001568,0.000992,0.000384,1.313962
0.416771,0.171489,0.538820,0.065920,0.779877,0.048033,0.000608,0.013440,0.000352,0.001536,0.000896,0.000416,1.267977
0.415587,0.172514,0.556420,0.068832,0.801670,0.048385,0.000800,0.013600,0.000576,0.001568,0.000928,0.000352,1.289770
0.415587,0.192930,0.539268,0.065088,0.801030,0.048449,0.000544,0.013408,0.000352,0.001504,0.000896,0.000320,1.288074
0.415779,0.161858,0.534051,0.061921,0.761062,0.048480,0.000960,0.013472,0.000352,0.001472,0.000832,0.000384,1.248489
0.435395,0.143841,0.536484,0.063776,0.747525,0.047617,0.000576,0.013504,0.000384,0.001408,0.000832,0.000320,1.253161
0.415171,0.174305,0.538340,0.065952,0.782341,0.048513,0.000608,0.013600,0.000416,0.001504,0.000960,0.000352,1.269929
0.416195,0.158497,0.537092,0.064352,0.763653,0.048736,0.000608,0.013441,0.000384,0.001504,0.001056,0.000384,1.251753
0.415683,0.170754,0.536899,0.074497,0.785958,0.047936,0.000800,0.013408,0.000416,0.001537,0.000992,0.000384,1.273258
0.415171,0.163169,0.538084,0.064353,0.769030,0.047680,0.000608,0.013408,0.000384,0.001504,0.000928,0.000384,1.255049
0.415651,0.199682,0.554787,0.069248,0.827846,0.049920,0.000640,0.013376,0.000384,0.001537,0.001024,0.000384,1.317610
0.415171,0.174146,0.538819,0.066657,0.783526,0.048608,0.000832,0.013408,0.000320,0.001568,0.001024,0.000352,1.271273
0.416355,0.174434,0.548419,0.067201,0.793830,0.048992,0.000640,0.013504,0.000512,0.001536,0.001088,0.000608,1.283433
0.481667,0.210242,0.540419,0.067713,0.823238,0.049504,0.000864,0.014144,0.000384,0.001536,0.001184,0.000832,1.381257
0.416099,0.168449,0.537828,0.064832,0.774853,0.048577,0.000576,0.013568,0.000608,0.001824,0.001024,0.000416,1.264073
0.415555,0.160129,0.554180,0.078592,0.797253,0.050273,0.000640,0.013792,0.000576,0.001568,0.001088,0.000384,1.287305
0.415779,0.172353,0.539652,0.065408,0.781221,0.048769,0.000800,0.013504,0.000384,0.001504,0.001344,0.000320,1.269865
0.415299,0.170594,0.539620,0.064512,0.778502,0.048576,0.000800,0.013440,0.000384,0.001537,0.001088,0.000352,1.266250
0.415299,0.194050,0.557444,0.065056,0.820518,0.049121,0.000544,0.013664,0.000352,0.001568,0.000960,0.000384,1.308778
0.415171,0.153793,0.536676,0.068129,0.762918,0.049632,0.000544,0.013472,0.000416,0.001440,0.000832,0.000384,1.251145
0.414979,0.169953,0.538564,0.064737,0.776710,0.051328,0.000512,0.013408,0.000352,0.001504,0.000800,0.000352,1.266537
0.416227,0.195105,0.539556,0.066049,0.804358,0.047808,0.000544,0.014560,0.000384,0.001472,0.000800,0.000320,1.292073
0.415651,0.169761,0.538276,0.065856,0.777318,0.047648,0.000608,0.013888,0.000416,0.001472,0.000928,0.000384,1.264265
0.696357,0.257058,0.601124,0.109697,0.974247,0.089441,0.000672,0.013600,0.000384,0.001568,0.001056,0.000352,1.785709
0.416515,0.169121,0.541988,0.068481,0.783334,0.047936,0.000800,0.013824,0.000384,0.001440,0.001088,0.000384,1.271945
0.417283,0.160961,0.540516,0.068257,0.773734,0.064224,0.000832,0.013696,0.000416,0.001600,0.001376,0.000352,1.280169
0.416259,0.172513,0.541284,0.068417,0.786534,0.049280,0.000832,0.013888,0.000544,0.001568,0.001184,0.000576,1.278121
0.416419,0.176161,0.540740,0.069761,0.790886,0.048576,0.000832,0.013536,0.000416,0.001536,0.001088,0.000352,1.280041
0.415971,0.164161,0.557092,0.080353,0.805990,0.050784,0.000800,0.013504,0.000416,0.001536,0.001216,0.000352,1.296681
