Layer[0],Layer[1],IN[2],INFER[2-8],OUT[8],TEE[2-8],Layer[9],Layer[10],classifier
0.418435,0.017536,0.137601,0.607332,0.072545,0.821158,0.001728,0.000384,1.264393
0.417507,0.017440,0.136097,0.583364,0.066496,0.789701,0.001408,0.000384,1.231400
0.417891,0.017472,0.136257,0.586917,0.069792,0.796614,0.001504,0.000480,1.239977
0.415907,0.032512,0.133569,0.583396,0.067297,0.788454,0.001440,0.000384,1.244617
0.415747,0.017472,0.135105,0.585860,0.067681,0.791942,0.001504,0.000384,1.231721
0.415235,0.017633,0.128321,0.581860,0.066272,0.780101,0.001472,0.000448,1.219753
0.414979,0.017472,0.137697,0.588004,0.067489,0.796806,0.001504,0.000416,1.236201
0.416515,0.017504,0.132769,0.584196,0.067105,0.787974,0.001664,0.000384,1.229641
0.415587,0.017696,0.134209,0.629892,0.078753,0.846598,0.001440,0.000384,1.286537
0.415587,0.017344,0.137217,0.583556,0.069184,0.794085,0.001888,0.000416,1.235048
0.416259,0.017536,0.129281,0.583685,0.066528,0.783302,0.001568,0.000416,1.224009
0.416003,0.017504,0.153057,0.584068,0.066305,0.806886,0.001440,0.000384,1.246697
0.416483,0.017664,0.133857,0.580868,0.065152,0.783429,0.001344,0.000480,1.224872
0.415747,0.017472,0.129921,0.582276,0.065601,0.781254,0.001632,0.000352,1.220841
0.432579,0.017536,0.163393,0.586628,0.067265,0.822694,0.001408,0.000416,1.279817
0.416931,0.017472,0.131745,0.583620,0.067104,0.786021,0.001280,0.000384,1.226632
0.416611,0.017472,0.135041,0.599941,0.070432,0.810278,0.001728,0.000384,1.251721
0.416419,0.017504,0.158625,0.587588,0.067841,0.817606,0.001344,0.000416,1.257641
0.417411,0.017472,0.134177,0.583844,0.067520,0.789413,0.001216,0.000448,1.231208
0.415971,0.017440,0.135041,0.608837,0.069952,0.817862,0.001344,0.000672,1.257737
0.416387,0.017632,0.138689,0.583364,0.068545,0.794214,0.001312,0.000384,1.234953
0.417283,0.017728,0.136833,0.581412,0.068097,0.789766,0.001280,0.000416,1.230921
0.433603,0.017729,0.142593,0.581764,0.067232,0.795749,0.001696,0.000448,1.254441
0.415875,0.017504,0.141089,0.583588,0.067969,0.796998,0.002048,0.000320,1.237129
0.415459,0.017792,0.136097,0.580836,0.066272,0.787109,0.017569,0.000448,1.243017
0.417187,0.017440,0.140417,0.581829,0.067840,0.793702,0.001152,0.000416,1.234185
0.416291,0.017856,0.140161,0.581380,0.068673,0.794438,0.001696,0.000416,1.235785
0.416259,0.017472,0.139425,0.603716,0.071713,0.818694,0.001344,0.000448,1.258889
0.416451,0.017793,0.134657,0.583396,0.067872,0.789477,0.001632,0.000416,1.230281
0.417923,0.017600,0.143361,0.582372,0.067841,0.797158,0.001408,0.000416,1.239145
0.435331,0.017696,0.135457,0.581956,0.064289,0.785734,0.001472,0.000480,1.245225
