IN[0],INFER[0-1],OUT[1],TEE[0-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.183426,1.019079,0.072449,1.280810,0.203906,0.005280,0.048288,0.000800,0.013568,0.000352,0.001472,0.001120,0.000416,1.560748
0.152482,1.023368,0.072416,1.255114,0.204002,0.005536,0.048288,0.000832,0.014048,0.000384,0.001504,0.000992,0.000384,1.536332
0.187906,1.017320,0.071680,1.282122,0.205122,0.005568,0.048320,0.000800,0.013760,0.000416,0.001441,0.001376,0.000384,1.564429
0.176705,1.035592,0.074529,1.294026,0.204929,0.005536,0.048673,0.000800,0.014144,0.000384,0.001440,0.001088,0.000416,1.576684
0.152769,1.012936,0.070401,1.242442,0.204801,0.005472,0.047713,0.000896,0.013888,0.000352,0.001408,0.000992,0.000416,1.523212
0.148673,1.030824,0.073633,1.260298,0.204097,0.005792,0.048225,0.000800,0.013536,0.000384,0.001440,0.001088,0.000416,1.540908
0.174338,1.019304,0.071040,1.270186,0.207010,0.005696,0.047872,0.000800,0.013472,0.000384,0.001536,0.001600,0.000416,1.554412
0.138881,1.035144,0.072224,1.252745,0.204546,0.009440,0.047968,0.000832,0.013665,0.000352,0.001440,0.001024,0.000448,1.537132
0.152257,1.023784,0.069888,1.252457,0.205122,0.005600,0.048000,0.000832,0.013569,0.000352,0.001536,0.001024,0.000480,1.534156
0.136513,1.016136,0.068864,1.227465,0.208898,0.005568,0.048192,0.000800,0.013408,0.000352,0.001440,0.001120,0.000352,1.512651
0.173217,1.017128,0.071745,1.267914,0.204193,0.005344,0.047329,0.000832,0.013760,0.000384,0.001632,0.001344,0.000480,1.547948
0.181281,1.016680,0.071009,1.274410,0.203553,0.005088,0.048256,0.000576,0.013504,0.000352,0.001504,0.000928,0.000384,1.553228
0.197282,1.017544,0.070976,1.291146,0.207042,0.005536,0.047776,0.000608,0.013600,0.000384,0.001504,0.000992,0.000416,1.573612
0.156769,1.017160,0.072320,1.253129,0.206754,0.005248,0.048064,0.000800,0.013696,0.000352,0.001440,0.001056,0.000384,1.536011
0.179617,1.034120,0.072929,1.293738,0.207745,0.005568,0.048033,0.000768,0.013440,0.000352,0.001408,0.000992,0.000384,1.577164
0.179137,1.016008,0.068865,1.269898,0.207201,0.005088,0.048673,0.001056,0.013408,0.000416,0.001472,0.000960,0.000352,1.553644
0.189762,1.034248,0.080833,1.311819,0.205473,0.005312,0.048385,0.000768,0.013600,0.000416,0.001472,0.000992,0.000352,1.593293
0.175265,1.015784,0.071297,1.269194,0.204289,0.005408,0.048385,0.000800,0.013440,0.000416,0.001408,0.000992,0.000352,1.549484
0.179106,1.020872,0.091168,1.298570,0.208258,0.005408,0.047776,0.000800,0.013856,0.000320,0.001473,0.001440,0.000416,1.583565
0.157985,1.016968,0.071584,1.251785,0.204802,0.005184,0.048000,0.000576,0.013345,0.000320,0.001472,0.000896,0.000384,1.531532
0.190465,1.015784,0.071937,1.283786,0.204545,0.005056,0.047617,0.000800,0.013888,0.000352,0.001760,0.000896,0.000384,1.564108
