Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],Layer[11],Layer[12],Layer[13],Layer[14],Layer[15],Layer[16],Layer[17],Layer[18],Layer[19],Layer[20],Layer[21],Layer[22],Layer[23],Layer[24],Layer[25],Layer[26],Layer[27],Layer[28],Layer[29],Layer[30],Layer[31],Layer[32],Layer[33],Layer[34],Layer[35],Layer[36],Layer[37],Layer[38],Layer[39],Layer[40],Layer[41],Layer[42],Layer[43],Layer[44],Layer[45],Layer[46],Layer[47],Layer[48],Layer[49],Layer[50],Layer[51],Layer[52],Layer[53],Layer[54],Layer[55],Layer[56],Layer[57],Layer[58],Layer[59],Layer[60],Layer[61],Layer[62],Layer[63],Layer[64],Layer[65],Layer[66],Layer[67],Layer[68],Layer[69],Layer[70],Layer[71],Layer[72],Layer[73],Layer[74],Layer[75],Layer[76],Layer[77],Layer[78],Layer[79],Layer[80],Layer[81],Layer[82],Layer[83],Layer[84],Layer[85],Layer[86],Layer[87],Layer[88],Layer[89],Layer[90],Layer[91],Layer[92],Layer[93],Layer[94],Layer[95],Layer[96],Layer[97],Layer[98],Layer[99]
149.315566,4.698478,37.605297,133.961253,2.184275,50.267258,130.931839,2.902948,64.045278,131.562446,3.032967,77.206803,132.682728,3.750680,90.969398,132.223485,4.473769,105.354951,131.740050,4.615180,119.593941,2.379384,16.023960,32.865347,0.917653,19.222403,32.540764,1.094073,22.475344,32.407448,1.267806,25.691899,32.689182,1.463586,29.004776,32.477082,1.647271,32.129554,32.573852,1.810378,35.459712,32.801186,2.019119,38.626026,32.495130,2.171539,41.876566,32.716768,2.353783,45.299175,32.661726,2.520283,48.477233,32.450777,2.697119,51.713309,32.833539,2.881731,109.648748,1.207196,7.221449,7.955867,0.415722,8.053021,7.944186,0.457067,8.848879,7.952506,0.494796,9.666595,7.925273,0.545676,10.364691,7.901369,0.602574,11.302057,7.899322,0.642959,12.123836,7.900793,0.677200,12.918895,7.887193,0.727441,13.478524,7.912441,0.778899,14.540373,7.912058,0.813715,15.347912,7.891289,0.853460,16.074073,7.877785,0.914166,16.642918,8.005948,0.951606,17.733568
147.034298,3.600213,35.308380,128.360324,1.050745,47.975942,131.762836,1.408225,61.990766,131.772884,1.758441,74.779643,131.884631,2.107377,88.469244,136.178652,2.466810,103.612192,130.979490,2.828322,115.982209,1.824555,15.473035,33.311469,0.440459,18.700791,32.567804,0.526924,21.953956,32.818050,0.612846,25.200304,32.554524,0.700785,28.476796,32.483514,0.820660,31.600869,32.525436,0.874708,34.900628,32.399960,0.963959,38.104350,32.314295,1.067289,41.362603,32.293462,1.136347,44.644087,32.513243,1.221789,47.977286,32.383128,1.309503,51.192753,32.538268,1.411521,108.594965,0.926390,7.086214,7.948987,0.200901,7.921946,7.941754,0.220069,8.750158,7.961851,0.242309,9.563105,7.953275,0.264550,10.260753,7.866040,0.286919,11.167942,7.889625,0.308872,11.982425,7.901177,0.330824,12.799405,7.894329,0.353128,13.427483,7.910553,0.374345,14.402642,7.907290,0.408233,15.199301,7.939611,0.418729,16.019672,7.908857,0.453771,16.553444,8.025213,0.461035,17.602461
