Layer[0],IN[1],INFER[1-9],OUT[9],TEE[1-9],Layer[10],classifier
0.417987,0.175393,0.609220,0.073441,0.862470,0.000672,1.285769
0.416995,0.173921,0.607589,0.067488,0.853158,0.000736,1.275209
0.416963,0.174081,0.608069,0.068768,0.855526,0.000704,1.277737
0.415875,0.175265,0.627717,0.071648,0.879206,0.000704,1.300009
0.418243,0.170529,0.608261,0.066624,0.849222,0.000864,1.272457
0.416099,0.175106,0.612068,0.067520,0.858886,0.001120,1.280393
0.438692,0.174177,0.607524,0.066625,0.852550,0.000640,1.296202
0.420547,0.159297,0.606372,0.066337,0.836102,0.000768,1.261833
0.420227,0.171905,0.624740,0.071457,0.872486,0.000768,1.297961
0.421827,0.205249,0.607461,0.067392,0.884326,0.000832,1.311337
