Layer[0],Layer[1],Layer[2],IN[3],INFER[3-4],OUT[4],TEE[3-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415363,0.017440,0.202497,0.130977,0.097793,0.063169,0.295427,0.000704,0.030720,0.000640,0.001568,0.001120,0.000544,0.973127
0.415714,0.017536,0.202625,0.138785,0.086113,0.063264,0.291714,0.000672,0.014048,0.000384,0.001504,0.001088,0.000384,0.952294
0.415267,0.017216,0.203810,0.125441,0.085376,0.060289,0.274626,0.000704,0.014144,0.000416,0.001536,0.001056,0.000352,0.935591
0.415139,0.017473,0.202433,0.132609,0.096065,0.060768,0.292994,0.000672,0.014048,0.000384,0.001472,0.001056,0.000384,0.952295
0.432099,0.017248,0.202594,0.135137,0.084480,0.061441,0.284546,0.000800,0.013952,0.000384,0.001344,0.001056,0.000384,0.961351
0.415747,0.017248,0.202529,0.135489,0.085441,0.060960,0.284930,0.000704,0.013952,0.000416,0.001440,0.001024,0.000320,0.944710
0.417603,0.017792,0.203202,0.154657,0.086369,0.063168,0.308130,0.000736,0.014272,0.000480,0.001504,0.001248,0.000352,0.973863
0.416451,0.017696,0.217666,0.143681,0.086848,0.064097,0.297858,0.000768,0.014240,0.000448,0.001408,0.001152,0.000416,0.975719
0.417507,0.017376,0.204066,0.141825,0.093216,0.064385,0.303074,0.000704,0.014368,0.000384,0.001568,0.001184,0.000384,0.967623
0.417475,0.017824,0.203329,0.143329,0.087841,0.064161,0.299459,0.001024,0.015008,0.000640,0.001600,0.001440,0.000576,0.966215
0.416131,0.017376,0.202497,0.138497,0.094401,0.083489,0.320003,0.000800,0.014816,0.000416,0.001632,0.001184,0.000672,0.982823
0.415779,0.017472,0.202497,0.130145,0.084321,0.061184,0.279106,0.001056,0.014848,0.000832,0.001664,0.001280,0.000384,0.941606
0.417155,0.017920,0.203266,0.148577,0.087361,0.066912,0.307170,0.000832,0.015392,0.000576,0.001888,0.001408,0.000704,0.974311
0.416547,0.017344,0.203042,0.145153,0.086561,0.064672,0.299746,0.001312,0.015680,0.000576,0.001760,0.001120,0.000640,0.964551
0.416003,0.017600,0.202562,0.125793,0.087296,0.064257,0.280514,0.000992,0.015136,0.000576,0.001568,0.001248,0.000608,0.943751
0.416067,0.017728,0.204417,0.142657,0.085312,0.061697,0.293059,0.000768,0.015008,0.000576,0.001824,0.001152,0.000608,0.957927
0.415651,0.017760,0.202817,0.130049,0.084321,0.063232,0.281282,0.000896,0.014912,0.000640,0.001664,0.001120,0.000608,0.944358
0.449699,0.017697,0.202305,0.145217,0.086209,0.067648,0.302242,0.000832,0.014592,0.000384,0.001600,0.001184,0.000608,0.997959
0.415459,0.017824,0.202722,0.127393,0.084160,0.062465,0.277442,0.000704,0.014304,0.000416,0.001824,0.001152,0.000800,0.939175
0.416227,0.017824,0.202881,0.132481,0.085409,0.066240,0.287874,0.000832,0.014689,0.000416,0.001632,0.001472,0.000416,0.951015
0.415555,0.017505,0.202945,0.149345,0.087233,0.063168,0.303202,0.000768,0.014496,0.000416,0.001504,0.001120,0.000384,0.964615
0.415683,0.017472,0.202626,0.139937,0.083745,0.061248,0.288258,0.000704,0.014240,0.000384,0.001792,0.001184,0.000416,0.949287
0.415523,0.017312,0.204162,0.143745,0.084960,0.064097,0.296578,0.000736,0.014336,0.000384,0.001600,0.001408,0.000608,0.959623
0.415331,0.017568,0.203105,0.143041,0.086305,0.064544,0.297154,0.000736,0.014273,0.000672,0.001600,0.001120,0.000608,0.958791
0.415683,0.017664,0.202337,0.139777,0.087361,0.065408,0.296002,0.000736,0.014272,0.000384,0.001537,0.001088,0.000832,0.957191
0.415043,0.017536,0.203714,0.165953,0.085409,0.060928,0.315586,0.000704,0.014208,0.000576,0.001536,0.001216,0.000384,0.977287
0.416195,0.017664,0.203650,0.144833,0.084545,0.062208,0.295234,0.000768,0.014848,0.000672,0.001696,0.001248,0.000416,0.959847
0.445315,0.017376,0.203938,0.138209,0.086433,0.062688,0.291074,0.000768,0.014304,0.000608,0.001664,0.001152,0.000832,0.983847
0.417027,0.017760,0.202818,0.154273,0.086112,0.062209,0.306594,0.001472,0.015296,0.000608,0.001792,0.002208,0.000576,0.974855
0.415747,0.017440,0.203202,0.106048,0.084033,0.060033,0.253922,0.000736,0.014976,0.000608,0.001600,0.001248,0.000384,0.916455
0.415139,0.017793,0.221569,0.139265,0.084001,0.059360,0.285826,0.000704,0.014112,0.000608,0.002240,0.001152,0.000384,0.965831
0.415043,0.017376,0.202178,0.131137,0.099968,0.062145,0.296802,0.000672,0.013984,0.000544,0.001504,0.001120,0.000352,0.955783
0.416419,0.017344,0.203521,0.141665,0.086401,0.061632,0.293026,0.000864,0.013985,0.000416,0.001472,0.001056,0.000352,0.955335
0.416611,0.017504,0.203394,0.138753,0.087265,0.081184,0.310530,0.000672,0.014784,0.000608,0.001504,0.001280,0.000288,0.973703
0.415587,0.017696,0.203522,0.134817,0.086944,0.063297,0.287970,0.000736,0.014144,0.000416,0.001536,0.001056,0.000288,0.949191
0.416227,0.017504,0.202721,0.135297,0.084801,0.063296,0.286626,0.000704,0.014112,0.000576,0.001472,0.000992,0.000352,0.948294
0.415299,0.017568,0.203106,0.132577,0.086080,0.063073,0.285474,0.000896,0.014336,0.000640,0.001568,0.001088,0.000352,0.946983
0.429379,0.017536,0.203585,0.160226,0.087392,0.062625,0.313731,0.000704,0.014112,0.000384,0.001568,0.001056,0.000352,0.988967
0.415203,0.017504,0.203009,0.141057,0.085953,0.061536,0.291746,0.000800,0.014560,0.000448,0.001536,0.001408,0.000352,0.953990
0.416035,0.017504,0.202818,0.136769,0.097888,0.063745,0.301762,0.001152,0.014624,0.000448,0.001600,0.001088,0.000384,0.963751
0.415747,0.017952,0.222306,0.134497,0.084608,0.062337,0.285026,0.000832,0.014144,0.000416,0.001472,0.001120,0.000352,0.966279
0.416515,0.017248,0.203777,0.140097,0.084097,0.062080,0.289826,0.000800,0.014112,0.000416,0.001472,0.001088,0.000320,0.952070
0.415683,0.017568,0.202754,0.137601,0.099457,0.063136,0.303650,0.000960,0.014016,0.000384,0.001504,0.001056,0.000384,0.964359
0.415203,0.017376,0.202850,0.138305,0.085504,0.082721,0.310146,0.000736,0.013984,0.000416,0.001536,0.000992,0.000352,0.969735
0.416131,0.017248,0.202849,0.135297,0.093217,0.060864,0.292866,0.000832,0.014112,0.000448,0.001440,0.000992,0.000384,0.953862
0.415363,0.017344,0.202498,0.126849,0.085792,0.061537,0.277730,0.001088,0.014112,0.000384,0.001472,0.001056,0.000352,0.937863
0.416931,0.017792,0.202945,0.132673,0.086625,0.062880,0.286146,0.000736,0.014528,0.000384,0.001632,0.001120,0.000384,0.949703
0.449796,0.017312,0.202497,0.153857,0.085825,0.060960,0.304034,0.000864,0.014560,0.000384,0.001568,0.001248,0.000352,0.999431
0.416419,0.017504,0.202914,0.135585,0.083744,0.060577,0.283586,0.000672,0.014272,0.000640,0.001568,0.001152,0.000416,0.945991
0.418627,0.017312,0.207169,0.140353,0.094945,0.069825,0.308451,0.000896,0.014720,0.000384,0.001472,0.001120,0.000352,0.977351
0.416611,0.017344,0.221505,0.141601,0.100257,0.061856,0.306818,0.000960,0.014209,0.000608,0.001440,0.001120,0.000416,0.987751
0.417731,0.017601,0.203489,0.133249,0.087521,0.063776,0.288034,0.000960,0.014208,0.000576,0.001472,0.001056,0.000352,0.952103
0.417091,0.017472,0.202594,0.148033,0.085984,0.062913,0.300322,0.000704,0.016384,0.000448,0.001440,0.000992,0.000352,0.964359
0.416131,0.017696,0.203458,0.121952,0.100289,0.066817,0.293122,0.000960,0.014848,0.000416,0.001440,0.001152,0.000352,0.956359
0.415106,0.017248,0.203169,0.123905,0.084225,0.061280,0.272642,0.001056,0.015456,0.000416,0.001504,0.000960,0.000352,0.934502
0.415459,0.017344,0.202946,0.134369,0.082272,0.060257,0.280130,0.000704,0.014112,0.000416,0.001504,0.001248,0.000352,0.942023
