IN[0],INFER[0-7],OUT[7],TEE[0-7],Layer[8],Layer[9],Layer[10],classifier
0.150945,1.591180,0.066848,1.815533,0.002784,0.001152,0.000416,1.822189
0.171490,1.560395,0.062656,1.799501,0.002752,0.001024,0.000416,1.805869
0.147489,1.577835,0.067840,1.799181,0.002656,0.001120,0.000384,1.805517
0.147778,1.561899,0.067104,1.784333,0.003040,0.001056,0.000384,1.791661
0.182818,1.577003,0.065120,1.830510,0.002880,0.001184,0.000448,1.837326
0.147521,1.563147,0.064896,1.781740,0.002912,0.001152,0.000384,1.788844
0.135585,1.577836,0.064448,1.782861,0.002784,0.000992,0.000352,1.789677
0.147329,1.561612,0.062720,1.777069,0.002496,0.001056,0.000384,1.783341
0.155841,1.584076,0.115424,1.860205,0.003008,0.001280,0.000416,1.867245
0.167458,1.566955,0.065504,1.804877,0.002720,0.001088,0.000416,1.811342
0.148290,1.582379,0.071329,1.807502,0.002720,0.001024,0.000416,1.813774
0.172482,1.561387,0.063648,1.803213,0.002720,0.001120,0.000416,1.809869
0.147937,1.578156,0.065344,1.797293,0.002976,0.001152,0.000384,1.804205
0.181793,1.560939,0.063969,1.811789,0.002592,0.001248,0.000384,1.818669
0.144737,1.578283,0.065504,1.794541,0.003040,0.001088,0.000416,1.801581
0.148481,1.561804,0.068640,1.785197,0.002720,0.001120,0.000416,1.792045
0.148897,1.576267,0.064481,1.794733,0.003008,0.001056,0.000416,1.801389
0.145314,1.562091,0.064928,1.777453,0.002656,0.001088,0.000416,1.783853
0.182049,1.573612,0.065408,1.826669,0.003104,0.001120,0.000448,1.833709
0.166241,1.559723,0.062561,1.793101,0.002624,0.001120,0.000448,1.799533
0.145889,1.578859,0.066721,1.796909,0.002816,0.001056,0.000416,1.803469
0.133153,1.558699,0.062337,1.758829,0.002816,0.001088,0.000416,1.765453
