Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-10],OUT[10],TEE[7-10],classifier
0.415043,0.017376,0.202562,0.004864,0.046976,0.000576,0.013440,0.112065,0.047840,0.068513,0.231554,0.938503
0.415107,0.017536,0.202625,0.004832,0.046913,0.000768,0.013344,0.099136,0.036705,0.057248,0.196033,0.903014
0.415331,0.017408,0.203009,0.004864,0.047041,0.000544,0.013344,0.102145,0.040704,0.061632,0.207329,0.914406
0.415459,0.017344,0.202498,0.004864,0.046944,0.000544,0.013344,0.106177,0.036224,0.059585,0.205218,0.911847
0.415907,0.017280,0.219042,0.005024,0.047040,0.000576,0.013344,0.109057,0.037856,0.059041,0.208866,0.933159
0.414723,0.017504,0.202337,0.004896,0.046913,0.000576,0.013344,0.104832,0.037569,0.061152,0.206433,0.911622
0.414915,0.017952,0.202337,0.004864,0.046977,0.000576,0.013312,0.104801,0.037536,0.058848,0.204289,0.909894
0.414947,0.017472,0.202401,0.004864,0.047105,0.000576,0.013504,0.107681,0.045504,0.064033,0.220162,0.927175
0.414755,0.017473,0.202401,0.004832,0.047392,0.000544,0.013376,0.106849,0.037953,0.058752,0.206722,0.913031
0.415683,0.017472,0.202497,0.004832,0.046945,0.000544,0.013344,0.110112,0.037665,0.059936,0.210913,0.918726
0.415139,0.017280,0.202338,0.004800,0.047168,0.000768,0.013408,0.107585,0.046496,0.060801,0.217890,0.925191
0.415203,0.017536,0.221922,0.005088,0.048032,0.000512,0.013345,0.106656,0.038785,0.061088,0.209345,0.937255
0.414723,0.017376,0.202209,0.004832,0.047297,0.000512,0.013472,0.104288,0.045089,0.066304,0.218945,0.924998
0.414819,0.017216,0.202402,0.004800,0.047232,0.000480,0.013408,0.108033,0.037888,0.060480,0.209281,0.915846
0.415331,0.017312,0.202306,0.004800,0.047008,0.000928,0.013376,0.107393,0.037952,0.061313,0.209442,0.916007
0.414883,0.017312,0.202050,0.004832,0.047136,0.000960,0.013376,0.106465,0.046241,0.063200,0.218914,0.925287
0.415363,0.017376,0.202241,0.004800,0.047457,0.000736,0.013376,0.104640,0.038049,0.060896,0.206689,0.913446
0.415299,0.017440,0.202177,0.004864,0.046977,0.000480,0.013312,0.102209,0.035200,0.057824,0.198209,0.903878
0.415299,0.017216,0.220290,0.005184,0.047136,0.000544,0.013376,0.107265,0.037152,0.058880,0.206369,0.931494
0.414691,0.017280,0.202946,0.004800,0.047232,0.000960,0.013376,0.108289,0.043008,0.060097,0.214498,0.922215
0.415491,0.017313,0.202145,0.004768,0.047648,0.000736,0.013409,0.106592,0.040449,0.058656,0.208961,0.916295
0.415267,0.017184,0.202561,0.004864,0.047265,0.000576,0.013344,0.108161,0.038048,0.060672,0.209793,0.916550
0.415107,0.017280,0.202274,0.004768,0.046944,0.000576,0.013376,0.100897,0.041248,0.060417,0.205570,0.911879
0.414915,0.017185,0.202401,0.004832,0.047040,0.000576,0.013344,0.105409,0.037889,0.059648,0.205986,0.912039
0.415139,0.017376,0.202337,0.004896,0.046977,0.000576,0.013600,0.106688,0.035073,0.059456,0.204257,0.911142
0.414819,0.018016,0.223714,0.005056,0.047040,0.000800,0.013376,0.106465,0.046144,0.061889,0.217346,0.946023
0.415075,0.017184,0.202402,0.004832,0.047008,0.000576,0.013344,0.127105,0.043521,0.059904,0.233154,0.938919
0.415523,0.017248,0.202497,0.004800,0.047137,0.000576,0.013344,0.104384,0.038176,0.060288,0.205729,0.912358
0.414979,0.017216,0.202465,0.004864,0.046977,0.000576,0.013376,0.105601,0.038368,0.059872,0.206657,0.912742
0.415619,0.017472,0.202242,0.004864,0.047008,0.000576,0.013408,0.110273,0.037504,0.060577,0.211458,0.919559
0.415618,0.017152,0.202369,0.004864,0.046944,0.000800,0.013505,0.104736,0.036193,0.059168,0.203361,0.910822
0.415459,0.017216,0.202593,0.004832,0.047393,0.000800,0.013536,0.105409,0.047296,0.062848,0.218977,0.926406
0.437699,0.017440,0.202466,0.004832,0.047040,0.000992,0.013376,0.106529,0.038336,0.058401,0.206338,0.936071
0.415203,0.017313,0.202465,0.004864,0.047008,0.000576,0.013345,0.107392,0.042561,0.060416,0.213089,0.919783
0.415139,0.017408,0.201985,0.004832,0.046913,0.000544,0.013344,0.106977,0.047072,0.063008,0.220001,0.926022
0.415363,0.017472,0.202338,0.004832,0.047104,0.000736,0.013376,0.106049,0.038528,0.082785,0.230882,0.938279
0.415458,0.017249,0.203777,0.005280,0.046976,0.000544,0.013377,0.108256,0.040065,0.062016,0.213153,0.921414
