Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.421201,0.017665,0.202184,0.005280,0.275627,0.000928,0.003168,0.001312,0.000320,0.937669
0.417424,0.017537,0.202472,0.005248,0.274187,0.000672,0.002176,0.001184,0.000384,0.930532
0.422321,0.017473,0.202056,0.005312,0.246569,0.000768,0.002240,0.001216,0.000384,0.906500
0.420752,0.017441,0.202312,0.005344,0.260458,0.000704,0.002080,0.001120,0.000384,0.918276
0.437233,0.017729,0.202056,0.005312,0.259850,0.000608,0.002112,0.001184,0.000384,0.934788
0.421137,0.017601,0.202535,0.005376,0.265738,0.000896,0.003200,0.001056,0.000353,0.927269
0.422704,0.017505,0.202728,0.005248,0.259594,0.000896,0.002048,0.001089,0.000416,0.921381
0.417456,0.017665,0.218889,0.005184,0.290347,0.000704,0.003264,0.001184,0.000384,0.964326
0.421809,0.017665,0.202312,0.005216,0.239401,0.000672,0.002113,0.001152,0.000320,0.898948
0.422064,0.017505,0.202248,0.005248,0.258506,0.000768,0.002144,0.000928,0.000352,0.917764
0.420657,0.017409,0.201992,0.005344,0.247466,0.000640,0.003008,0.001184,0.000352,0.906244
0.416529,0.017601,0.202664,0.005248,0.260746,0.000768,0.002272,0.001152,0.000416,0.916292
0.416400,0.017377,0.201928,0.005312,0.256874,0.000736,0.002272,0.000897,0.000448,0.909764
0.421872,0.017665,0.202152,0.005312,0.260586,0.000672,0.002017,0.001248,0.000352,0.920420
0.421552,0.017441,0.218249,0.005344,0.261962,0.000704,0.002208,0.001088,0.000352,0.937060
0.417072,0.017249,0.202184,0.005312,0.251338,0.000736,0.002080,0.000960,0.000352,0.905379
0.421969,0.017633,0.202280,0.005312,0.262154,0.000736,0.002048,0.001152,0.000352,0.921124
0.417104,0.017537,0.201832,0.005248,0.264746,0.000704,0.002305,0.000960,0.000352,0.917668
0.416592,0.017601,0.203624,0.005280,0.249162,0.000800,0.002304,0.000960,0.000384,0.904451
0.416816,0.017409,0.202344,0.005280,0.259914,0.000896,0.003457,0.000992,0.000384,0.916676
0.417200,0.017505,0.201960,0.005376,0.261162,0.000704,0.003360,0.000992,0.000352,0.916387
0.434321,0.017760,0.203080,0.005473,0.251305,0.000736,0.002208,0.001248,0.000352,0.924740
0.417361,0.017505,0.202599,0.005280,0.238793,0.000736,0.003072,0.001056,0.000416,0.894659
0.418864,0.017761,0.202056,0.005376,0.242858,0.000736,0.002208,0.001184,0.000384,0.900739
0.421713,0.017601,0.202312,0.005280,0.247434,0.000704,0.002080,0.000960,0.000384,0.906404
0.416208,0.017537,0.201672,0.005280,0.243498,0.000736,0.002112,0.000800,0.000384,0.895491
0.418352,0.017441,0.201896,0.005408,0.240682,0.000768,0.002176,0.000896,0.000384,0.895939
0.416944,0.017537,0.202056,0.005344,0.238826,0.000736,0.002144,0.001152,0.000352,0.893411
0.434673,0.017633,0.203624,0.005376,0.244970,0.000640,0.002144,0.001184,0.000416,0.919268
0.415920,0.017472,0.202216,0.005248,0.244522,0.000768,0.002880,0.001312,0.000416,0.898947
0.415504,0.017665,0.202184,0.005216,0.250506,0.000704,0.002496,0.001184,0.000416,0.904899
0.420721,0.017473,0.202535,0.005025,0.247337,0.000736,0.002593,0.001280,0.000384,0.906372
0.415952,0.017857,0.202280,0.005280,0.254698,0.000832,0.002336,0.001376,0.000416,0.909763
0.416592,0.017697,0.203176,0.005280,0.262282,0.000704,0.002465,0.001376,0.000384,0.918628
0.420848,0.017600,0.202312,0.005216,0.247914,0.000704,0.002368,0.001216,0.000384,0.906595
0.440497,0.017569,0.202216,0.005152,0.251370,0.000768,0.002304,0.001088,0.000384,0.929796
0.421361,0.017473,0.203592,0.005280,0.253450,0.000864,0.002208,0.001088,0.000352,0.914692
0.421040,0.017697,0.201896,0.005056,0.260619,0.000672,0.002176,0.001152,0.000384,0.919012
0.420593,0.017633,0.202376,0.005440,0.281451,0.000704,0.002208,0.001120,0.000384,0.940229
0.420016,0.017505,0.202280,0.005216,0.260522,0.000704,0.002048,0.001088,0.000384,0.917892
0.416305,0.017600,0.202440,0.005217,0.255690,0.000768,0.002240,0.001184,0.000320,0.911140
0.420497,0.017345,0.202120,0.005312,0.246473,0.000672,0.002432,0.001120,0.000352,0.904644
0.435794,0.017472,0.202216,0.005313,0.247049,0.000832,0.002048,0.001120,0.000352,0.920420
0.421489,0.017601,0.202184,0.005216,0.260170,0.000768,0.002176,0.001184,0.000384,0.920548
0.420144,0.017697,0.201960,0.005472,0.243530,0.000736,0.002112,0.001184,0.000416,0.901539
0.419536,0.017633,0.220008,0.005249,0.287563,0.000736,0.002144,0.001056,0.000384,0.963397
0.420016,0.017761,0.203336,0.005280,0.267595,0.000832,0.002208,0.001152,0.000416,0.927524
0.420561,0.017473,0.203624,0.005184,0.248554,0.000640,0.002016,0.001056,0.000416,0.907972
0.420400,0.017537,0.202024,0.005280,0.259402,0.000736,0.002048,0.001121,0.000416,0.917124
0.419984,0.017729,0.202280,0.005024,0.256714,0.000704,0.002176,0.001088,0.000352,0.914851
0.416176,0.017473,0.202088,0.005088,0.252746,0.000800,0.002112,0.001216,0.000384,0.906531
0.419856,0.017537,0.202536,0.005216,0.248362,0.000896,0.002144,0.001088,0.000384,0.907139
0.438513,0.017729,0.202088,0.005248,0.237993,0.000640,0.002112,0.001088,0.000384,0.913763
0.419888,0.017665,0.202024,0.005216,0.250250,0.000704,0.002080,0.001184,0.000416,0.907075
0.420465,0.017441,0.202247,0.005089,0.244617,0.000800,0.002176,0.001121,0.000416,0.901924
0.416369,0.017953,0.202215,0.005217,0.277899,0.000672,0.002048,0.001120,0.000320,0.932293
0.420753,0.017664,0.202152,0.005249,0.252650,0.000928,0.003136,0.001184,0.000352,0.914564
0.420784,0.017505,0.202632,0.005280,0.250122,0.000800,0.002368,0.001152,0.000384,0.908931
0.416336,0.017697,0.201896,0.005248,0.243273,0.000704,0.002177,0.001184,0.000352,0.896899
0.447953,0.017569,0.202120,0.005408,0.262474,0.000736,0.002112,0.001248,0.000352,0.948197
0.415632,0.017505,0.202216,0.005024,0.254026,0.000736,0.002784,0.001184,0.000384,0.908580
0.415504,0.017441,0.202440,0.005120,0.233449,0.000704,0.002272,0.001184,0.000384,0.887011
0.420177,0.017953,0.220488,0.005408,0.245065,0.000832,0.002432,0.001216,0.000384,0.922564
0.435377,0.017793,0.202216,0.005248,0.265450,0.000833,0.002304,0.001216,0.000352,0.939461
0.416496,0.017728,0.202120,0.005312,0.261611,0.000736,0.002208,0.001120,0.000352,0.916068
0.420208,0.017857,0.202248,0.005440,0.252746,0.000736,0.002176,0.000992,0.000352,0.911491
0.420048,0.017793,0.202056,0.005440,0.250826,0.000640,0.001952,0.000960,0.000384,0.908195
0.420689,0.017729,0.202216,0.005312,0.242665,0.000641,0.002304,0.000992,0.000384,0.900932
0.415504,0.017281,0.202312,0.005216,0.252906,0.000768,0.002304,0.000960,0.000384,0.904963
0.419665,0.017280,0.218601,0.005376,0.303276,0.000864,0.003360,0.001088,0.000320,0.979782
0.416016,0.017761,0.202984,0.005280,0.267083,0.000768,0.003296,0.001216,0.000352,0.924228
0.416976,0.017601,0.201992,0.005280,0.258314,0.000704,0.001920,0.001088,0.000384,0.912547
0.416049,0.017920,0.202632,0.005249,0.257130,0.000736,0.002112,0.000960,0.000384,0.911108
0.419824,0.017729,0.201992,0.005120,0.244106,0.000672,0.001984,0.001056,0.000384,0.901219
0.420465,0.017696,0.203464,0.005217,0.239689,0.000640,0.002048,0.001056,0.000384,0.898211
0.415408,0.017632,0.201960,0.005280,0.247370,0.000704,0.002176,0.000960,0.000384,0.900131
0.434417,0.017600,0.202280,0.005249,0.240553,0.000736,0.002016,0.000992,0.000320,0.913123
0.416432,0.017953,0.202280,0.005248,0.257674,0.000704,0.002176,0.000993,0.000352,0.911524
0.416465,0.017601,0.202247,0.005185,0.259146,0.000832,0.002016,0.000992,0.000352,0.912612
0.420177,0.017184,0.202120,0.005249,0.289067,0.000768,0.002304,0.001088,0.000384,0.946501
0.417232,0.017537,0.202760,0.005312,0.259466,0.000736,0.002208,0.001152,0.000352,0.916100
0.416784,0.017377,0.202280,0.005280,0.247210,0.000672,0.002144,0.000992,0.000416,0.901315
0.420497,0.017696,0.202216,0.005056,0.244105,0.000768,0.002048,0.001056,0.000384,0.901411
0.431345,0.017953,0.201992,0.005152,0.239434,0.000832,0.002176,0.001056,0.000384,0.908548
0.416464,0.017729,0.202056,0.005376,0.239146,0.000704,0.001856,0.001024,0.000384,0.891715
0.419920,0.017921,0.201736,0.005280,0.248074,0.000640,0.001984,0.001056,0.000416,0.905507
0.420240,0.017920,0.202024,0.005344,0.261099,0.000672,0.002240,0.001024,0.000416,0.919012
0.420400,0.017216,0.202056,0.005088,0.242570,0.000640,0.002016,0.000992,0.000384,0.899075
0.419472,0.017441,0.202216,0.005120,0.260490,0.000736,0.002080,0.001056,0.000320,0.916451
0.419889,0.017440,0.201959,0.005121,0.235529,0.000704,0.002144,0.001088,0.000320,0.892835
0.431153,0.017505,0.203720,0.005312,0.268491,0.000672,0.001952,0.001184,0.000352,0.939077
0.420496,0.017568,0.202344,0.005312,0.256106,0.000672,0.002208,0.001120,0.000384,0.914756
0.419249,0.017953,0.202120,0.005408,0.240041,0.000704,0.001984,0.000993,0.000352,0.896388
0.415760,0.017761,0.202024,0.005280,0.268074,0.000800,0.002625,0.001248,0.000416,0.922340
0.420433,0.017697,0.202312,0.005248,0.253514,0.000672,0.002048,0.001088,0.000384,0.910660
0.419952,0.018049,0.203016,0.005312,0.254314,0.000736,0.002048,0.000992,0.000448,0.913603
0.420144,0.017761,0.201992,0.005184,0.243946,0.000704,0.002048,0.000960,0.000384,0.901315
0.436369,0.017505,0.202120,0.005312,0.238729,0.000736,0.002049,0.000864,0.000352,0.912004
0.415281,0.017697,0.202439,0.005024,0.260874,0.000608,0.002016,0.000992,0.000384,0.912484
