Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.421072,0.017633,0.202216,0.005312,0.255754,0.000672,0.002048,0.000864,0.000384,0.913379
0.416144,0.017409,0.201800,0.005312,0.245961,0.000769,0.002336,0.001248,0.000384,0.899843
0.434641,0.017633,0.202152,0.005280,0.269066,0.000672,0.002273,0.000928,0.000416,0.940165
0.416560,0.017441,0.202152,0.005248,0.233353,0.000768,0.002688,0.000928,0.000384,0.887042
0.422161,0.017569,0.202023,0.005249,0.254730,0.000800,0.002080,0.000864,0.000288,0.913188
0.417329,0.017729,0.202055,0.005281,0.253898,0.000736,0.002208,0.000832,0.000352,0.908452
0.416784,0.017409,0.202344,0.005216,0.253514,0.000672,0.002048,0.001024,0.000352,0.906755
0.416432,0.017537,0.202984,0.005216,0.261931,0.000832,0.002336,0.000896,0.000384,0.915620
0.415888,0.017728,0.202120,0.004992,0.235882,0.000608,0.002176,0.000672,0.000384,0.887587
0.417456,0.017665,0.216617,0.005152,0.235529,0.000608,0.005280,0.000896,0.000320,0.906787
0.416880,0.017377,0.202088,0.005280,0.252202,0.000704,0.002560,0.001056,0.000384,0.904899
0.415984,0.017505,0.202376,0.005280,0.256682,0.000672,0.002080,0.000800,0.000352,0.910051
0.417232,0.017377,0.201832,0.004832,0.262538,0.000800,0.002016,0.000865,0.000352,0.915172
0.415377,0.017184,0.201991,0.005249,0.255242,0.000800,0.002176,0.000896,0.000352,0.906116
0.415665,0.017153,0.201895,0.005185,0.244585,0.000768,0.001760,0.000864,0.000385,0.895940
0.415856,0.017504,0.203208,0.005216,0.242538,0.000864,0.002912,0.001152,0.000448,0.898371
0.416272,0.017633,0.216648,0.005344,0.256938,0.000801,0.002048,0.000960,0.000416,0.925508
0.418449,0.017696,0.201896,0.005217,0.239049,0.000704,0.002208,0.001056,0.000352,0.893859
0.424081,0.017729,0.203400,0.005248,0.242249,0.000704,0.002112,0.001216,0.000320,0.905700
0.422321,0.017952,0.202600,0.005473,0.255306,0.000672,0.002080,0.001152,0.000384,0.916676
0.422161,0.017728,0.202248,0.005377,0.262122,0.000736,0.002304,0.001216,0.000384,0.922660
0.416433,0.017568,0.202472,0.005409,0.263210,0.000672,0.002240,0.001184,0.000384,0.918276
0.421904,0.017569,0.202120,0.005248,0.266603,0.000800,0.002240,0.001216,0.000448,0.926404
0.453905,0.017793,0.202568,0.005344,0.261419,0.000768,0.002208,0.001184,0.000416,0.954214
0.421841,0.017504,0.202824,0.005313,0.257386,0.000640,0.002240,0.001248,0.000384,0.917764
0.420817,0.017760,0.202183,0.005249,0.266154,0.000704,0.001984,0.001216,0.000416,0.926564
0.416945,0.017921,0.202504,0.005280,0.286539,0.000800,0.002400,0.001184,0.000384,0.942693
0.421297,0.017665,0.202632,0.005344,0.259114,0.000672,0.002240,0.001248,0.000384,0.918820
0.421937,0.017473,0.202120,0.005280,0.248586,0.000704,0.002304,0.001120,0.000384,0.908164
0.420625,0.017505,0.202344,0.005120,0.256330,0.000736,0.002240,0.001152,0.000384,0.914596
0.437457,0.017696,0.202408,0.005248,0.266059,0.000768,0.002048,0.001152,0.000416,0.941797
0.415921,0.017664,0.202152,0.005313,0.260682,0.000704,0.002528,0.001312,0.000416,0.915748
0.416369,0.017569,0.202120,0.005216,0.261034,0.000640,0.002400,0.001184,0.000416,0.915332
0.420784,0.017409,0.218344,0.005409,0.289995,0.000640,0.002272,0.001184,0.000416,0.965541
0.422672,0.017569,0.202600,0.005248,0.241098,0.000704,0.002240,0.001248,0.000352,0.902435
0.422256,0.017793,0.202120,0.005216,0.272715,0.000832,0.002400,0.001248,0.000416,0.934596
0.421361,0.017632,0.202152,0.005281,0.261802,0.000640,0.002368,0.001184,0.000384,0.921252
0.418064,0.017473,0.202216,0.005184,0.249930,0.000704,0.002368,0.001408,0.000384,0.906531
0.420752,0.017505,0.201992,0.005024,0.260458,0.000704,0.002049,0.001344,0.000352,0.918692
0.420912,0.017505,0.201960,0.005088,0.263275,0.000640,0.002304,0.001312,0.000352,0.921636
0.439825,0.017728,0.202120,0.005312,0.266123,0.000736,0.002240,0.001184,0.000384,0.943973
0.420913,0.017633,0.201928,0.005440,0.261994,0.000736,0.002272,0.001184,0.000384,0.921060
0.422800,0.017505,0.201736,0.005440,0.262923,0.000640,0.002176,0.001152,0.000416,0.923524
0.417073,0.017505,0.201992,0.005280,0.278091,0.000704,0.002112,0.001312,0.000320,0.933701
0.422736,0.017697,0.201800,0.005216,0.255914,0.000672,0.002208,0.001216,0.000416,0.915843
0.420337,0.017665,0.201768,0.005184,0.268906,0.000704,0.002336,0.001152,0.000384,0.928005
0.421137,0.017601,0.201992,0.005280,0.256234,0.000832,0.002240,0.001248,0.000416,0.916004
0.437969,0.017665,0.202216,0.005024,0.265450,0.000672,0.002145,0.001248,0.000320,0.941541
0.418512,0.017633,0.202024,0.005248,0.262602,0.000704,0.002176,0.001217,0.000384,0.919332
0.421680,0.017473,0.201704,0.005312,0.255722,0.000704,0.002272,0.001121,0.000352,0.914980
0.421712,0.017569,0.220585,0.005568,0.257738,0.000768,0.001984,0.001152,0.000384,0.936292
0.421264,0.017632,0.202216,0.005408,0.267691,0.000736,0.002080,0.001088,0.000320,0.926372
0.416272,0.017441,0.202600,0.005216,0.243818,0.000736,0.002080,0.001056,0.000416,0.897507
0.421232,0.017537,0.203304,0.005280,0.255306,0.000704,0.002017,0.001088,0.000416,0.915268
0.423089,0.017409,0.202599,0.005377,0.252234,0.000640,0.001920,0.001056,0.000352,0.912772
0.421904,0.017665,0.202600,0.005376,0.249354,0.000672,0.001920,0.000992,0.000352,0.909955
0.420369,0.017537,0.202184,0.005248,0.256874,0.000704,0.001792,0.001056,0.000384,0.914116
0.440850,0.017568,0.204584,0.005313,0.263274,0.000672,0.001888,0.001120,0.000352,0.943813
0.415728,0.017696,0.202344,0.005024,0.261003,0.000672,0.002016,0.001120,0.000352,0.913668
0.416240,0.017473,0.202312,0.005280,0.244298,0.000832,0.001984,0.001024,0.000384,0.897475
0.418481,0.017633,0.201992,0.005280,0.280491,0.000896,0.002048,0.001152,0.000416,0.937221
0.422160,0.017505,0.202856,0.005184,0.256810,0.000672,0.002048,0.001088,0.000352,0.916708
0.421072,0.017473,0.202216,0.005312,0.264394,0.000673,0.002048,0.001024,0.000416,0.922916
0.418257,0.017408,0.204008,0.005249,0.255818,0.000800,0.002240,0.000960,0.000416,0.912996
0.433297,0.017633,0.202344,0.005120,0.262858,0.000768,0.002112,0.001088,0.000416,0.933380
0.420752,0.017569,0.201800,0.005344,0.250282,0.000736,0.002144,0.001152,0.000384,0.908739
0.415696,0.018177,0.202152,0.005056,0.251722,0.000736,0.001952,0.001152,0.000384,0.904579
0.419760,0.017408,0.202568,0.005312,0.280171,0.000832,0.002848,0.001120,0.000416,0.940293
0.420272,0.017697,0.202120,0.005248,0.248458,0.000672,0.002144,0.001184,0.000352,0.905891
0.420528,0.017473,0.202600,0.005280,0.254218,0.000768,0.002560,0.001344,0.000384,0.912804
0.418128,0.017665,0.201832,0.005312,0.259274,0.000672,0.001952,0.001248,0.000384,0.914340
0.445969,0.017473,0.202664,0.005152,0.268011,0.000768,0.002688,0.001184,0.000416,0.952357
0.420432,0.017409,0.202024,0.005056,0.245834,0.000768,0.002304,0.001120,0.000384,0.903299
0.417360,0.017633,0.201864,0.005280,0.264747,0.000768,0.002176,0.001152,0.000384,0.919812
0.416976,0.017633,0.218024,0.005185,0.248009,0.000736,0.002208,0.001216,0.000384,0.919396
0.420656,0.017473,0.202152,0.005280,0.252458,0.000640,0.002080,0.001152,0.000416,0.910595
0.420752,0.017601,0.202440,0.005184,0.267307,0.000672,0.002368,0.001248,0.000416,0.927268
0.421680,0.017601,0.201672,0.005312,0.256586,0.000672,0.002016,0.001056,0.000416,0.914627
0.417041,0.017504,0.201832,0.005281,0.249033,0.000640,0.001952,0.001121,0.000384,0.902660
0.422097,0.017569,0.201800,0.005088,0.246378,0.000704,0.002048,0.001088,0.000384,0.905604
0.421488,0.017504,0.202632,0.005312,0.265771,0.000704,0.002112,0.001344,0.000384,0.925540
0.417072,0.017633,0.222761,0.005184,0.252906,0.000672,0.001824,0.001280,0.000384,0.928004
0.422385,0.017536,0.202056,0.005249,0.255050,0.000768,0.001984,0.001120,0.000352,0.913988
0.421264,0.017824,0.201864,0.005344,0.259083,0.000704,0.002016,0.001152,0.000384,0.917604
0.416145,0.017472,0.202055,0.005473,0.257258,0.000640,0.001984,0.001088,0.000352,0.910308
0.416240,0.017697,0.201768,0.005280,0.264330,0.000704,0.002176,0.001056,0.000384,0.918243
0.415952,0.017441,0.202152,0.005440,0.253418,0.000608,0.002048,0.001088,0.000352,0.906755
0.414801,0.017696,0.201768,0.005024,0.253257,0.000705,0.002144,0.000960,0.000384,0.903940
0.438225,0.017441,0.202056,0.005472,0.257930,0.000736,0.002048,0.000960,0.000384,0.933125
0.419761,0.017408,0.201928,0.005281,0.248489,0.000640,0.001728,0.001153,0.000384,0.904036
0.415856,0.017472,0.201928,0.005184,0.241642,0.000640,0.001984,0.000960,0.000384,0.893987
0.420593,0.017792,0.201832,0.004992,0.265194,0.000672,0.002624,0.001216,0.000416,0.923300
0.420016,0.017377,0.201672,0.005024,0.273995,0.000640,0.002592,0.001152,0.000384,0.930084
0.416913,0.017600,0.202216,0.005313,0.240521,0.000640,0.001888,0.000992,0.000352,0.893347
0.420400,0.017729,0.202184,0.004832,0.254826,0.000704,0.002080,0.000928,0.000352,0.910755
0.432945,0.017601,0.202312,0.005216,0.273675,0.000800,0.002048,0.001024,0.000352,0.945125
0.419921,0.017952,0.202312,0.005217,0.244265,0.000672,0.002080,0.001184,0.000416,0.902595
0.420209,0.017889,0.202152,0.005280,0.258698,0.000736,0.002048,0.001056,0.000384,0.916964
0.415729,0.017856,0.202024,0.005249,0.290827,0.000864,0.002208,0.001024,0.000384,0.944677
0.416272,0.017665,0.201992,0.005312,0.255914,0.000704,0.002080,0.001024,0.000352,0.910403
0.420465,0.017953,0.202119,0.005217,0.264298,0.000704,0.002144,0.001024,0.000384,0.922404
0.420433,0.017889,0.202023,0.005248,0.259882,0.000768,0.002176,0.000992,0.000416,0.918532
0.438545,0.017633,0.202184,0.005088,0.262954,0.000832,0.002208,0.000992,0.000384,0.939269
0.419952,0.017440,0.201992,0.005280,0.246090,0.000864,0.002048,0.001024,0.000352,0.903395
0.416624,0.017984,0.202088,0.005216,0.260779,0.000704,0.001984,0.001088,0.000384,0.915524
0.420464,0.017345,0.202280,0.005216,0.259658,0.000640,0.002592,0.001121,0.000384,0.918116
0.420880,0.017601,0.202280,0.005280,0.258858,0.000672,0.001952,0.001088,0.000384,0.917444
0.420433,0.017665,0.201895,0.005281,0.245609,0.000640,0.002017,0.001216,0.000384,0.902084
0.420464,0.017761,0.202216,0.005216,0.254762,0.000672,0.002048,0.001088,0.000384,0.911907
0.439217,0.017633,0.202216,0.005280,0.250378,0.000800,0.002080,0.001024,0.000384,0.927748
0.420913,0.017729,0.202344,0.005312,0.251402,0.000768,0.002240,0.001248,0.000384,0.910724
0.419761,0.017408,0.202280,0.005280,0.247370,0.000704,0.002048,0.001088,0.000384,0.904451
0.420080,0.017217,0.220233,0.005184,0.250378,0.000704,0.001792,0.001088,0.000320,0.925892
0.421041,0.017441,0.202119,0.005281,0.254378,0.000736,0.002752,0.001056,0.000352,0.915108
0.421521,0.017504,0.202119,0.005345,0.254218,0.000672,0.002080,0.000992,0.000416,0.914372
0.422320,0.017664,0.201736,0.005056,0.255882,0.000832,0.001888,0.000992,0.000416,0.915108
0.420976,0.017569,0.201928,0.005184,0.256266,0.000704,0.001984,0.001056,0.000352,0.914883
0.420177,0.017568,0.201991,0.005377,0.255050,0.000704,0.002176,0.001120,0.000352,0.912932
0.415408,0.017441,0.202280,0.005248,0.243338,0.000640,0.002080,0.001120,0.000320,0.895779
0.415216,0.038370,0.202312,0.005344,0.263978,0.000736,0.002080,0.001056,0.000384,0.938148
0.415440,0.017536,0.202088,0.005216,0.257994,0.000672,0.002080,0.000960,0.000416,0.910180
0.420336,0.017729,0.201960,0.005408,0.239113,0.000672,0.001952,0.001088,0.000384,0.896387
0.422224,0.017569,0.202376,0.005376,0.255210,0.000672,0.002144,0.001120,0.000384,0.914595
0.420368,0.017665,0.201992,0.005248,0.252650,0.000640,0.002112,0.001088,0.000384,0.909507
0.422481,0.017537,0.202088,0.005312,0.257386,0.000736,0.002048,0.001056,0.000384,0.917316
0.421297,0.017473,0.202183,0.005281,0.257770,0.000736,0.002880,0.001280,0.000384,0.916900
0.439537,0.017505,0.202088,0.005184,0.252746,0.000704,0.002176,0.001248,0.000384,0.930116
0.416113,0.017696,0.201832,0.005345,0.254922,0.000640,0.002080,0.001216,0.000352,0.907652
0.416592,0.017569,0.202088,0.005312,0.249482,0.000704,0.002592,0.001216,0.000416,0.903523
0.420912,0.017601,0.201896,0.005312,0.267595,0.000576,0.002048,0.001216,0.000352,0.925220
0.417841,0.017729,0.201800,0.005280,0.261322,0.000704,0.002080,0.001216,0.000384,0.916996
0.422353,0.017728,0.201960,0.005249,0.261002,0.000704,0.002112,0.001408,0.000384,0.919908
0.421808,0.017697,0.202376,0.005056,0.240873,0.000704,0.002080,0.001280,0.000384,0.900195
0.436785,0.017505,0.202792,0.005248,0.258250,0.000736,0.002048,0.001056,0.000384,0.932805
0.421648,0.017441,0.201928,0.005408,0.254474,0.000672,0.002176,0.001248,0.000384,0.914435
0.421200,0.017601,0.202504,0.005216,0.260202,0.000736,0.002240,0.001056,0.000384,0.918436
0.420944,0.017537,0.202056,0.005216,0.288843,0.000832,0.003297,0.001408,0.000384,0.950246
0.420017,0.017632,0.201863,0.005089,0.254186,0.000672,0.002048,0.001120,0.000352,0.910980
0.414928,0.017601,0.201800,0.005056,0.246505,0.000608,0.002112,0.000992,0.000384,0.897475
0.420177,0.017728,0.202055,0.005281,0.253962,0.000736,0.002624,0.001120,0.000416,0.911364
0.437265,0.017696,0.202119,0.005249,0.257162,0.000768,0.002784,0.001056,0.000384,0.934340
0.420720,0.017537,0.201864,0.005312,0.251082,0.000640,0.001888,0.001056,0.000352,0.908003
0.415984,0.017377,0.201896,0.005312,0.244330,0.000672,0.002112,0.000992,0.000352,0.896323
0.419985,0.017696,0.202088,0.005281,0.278090,0.000736,0.002176,0.001088,0.000384,0.935269
0.420561,0.017761,0.201992,0.005216,0.260618,0.000640,0.002016,0.001024,0.000384,0.919716
0.416049,0.017952,0.202280,0.005249,0.256810,0.000736,0.002048,0.001120,0.000320,0.910724
0.422448,0.017601,0.203432,0.005312,0.246602,0.000640,0.002272,0.001056,0.000384,0.908451
0.437105,0.017537,0.202376,0.005056,0.235914,0.000736,0.002784,0.001184,0.000384,0.910692
0.420752,0.017377,0.202088,0.005184,0.242794,0.000736,0.002144,0.000992,0.000352,0.901091
0.420688,0.017889,0.202376,0.005376,0.252714,0.000832,0.003136,0.001152,0.000384,0.912579
0.421297,0.017569,0.220520,0.005632,0.259435,0.000672,0.002144,0.001120,0.000416,0.937125
0.418032,0.017344,0.202440,0.005248,0.247210,0.000704,0.002080,0.001248,0.000384,0.902627
0.422704,0.017440,0.202152,0.005120,0.253610,0.000640,0.002016,0.001057,0.000384,0.912292
0.420529,0.017665,0.202312,0.005184,0.242057,0.000768,0.002048,0.001120,0.000320,0.900036
0.420464,0.017504,0.202440,0.005248,0.260619,0.000736,0.002880,0.001280,0.000352,0.920004
0.421361,0.017536,0.201960,0.005537,0.256906,0.000672,0.002176,0.001312,0.000352,0.915332
0.416016,0.017441,0.202184,0.005024,0.254410,0.000672,0.002304,0.001089,0.000352,0.907876
0.421297,0.039201,0.203335,0.005089,0.258730,0.000704,0.001856,0.001056,0.000416,0.938661
0.417744,0.017537,0.202248,0.005280,0.258282,0.000672,0.002016,0.001056,0.000416,0.913347
0.420945,0.017473,0.201960,0.005312,0.243401,0.000736,0.002144,0.001120,0.000384,0.901764
0.417393,0.017600,0.203944,0.005152,0.253802,0.000832,0.002208,0.001184,0.000416,0.910052
0.422225,0.017633,0.201960,0.005280,0.245289,0.000801,0.002048,0.001056,0.000416,0.904868
0.421969,0.017665,0.202408,0.005056,0.239049,0.000704,0.002080,0.001088,0.000320,0.897283
0.421840,0.017441,0.202280,0.005472,0.251210,0.000640,0.001952,0.001152,0.000448,0.909475
0.435953,0.017601,0.202536,0.005280,0.276203,0.000704,0.002688,0.001248,0.000384,0.950821
0.420657,0.017632,0.202248,0.005249,0.254121,0.000672,0.002048,0.001056,0.000352,0.910884
0.420369,0.017665,0.201736,0.005248,0.253482,0.000608,0.002016,0.001056,0.000384,0.909924
0.420656,0.018017,0.201800,0.005312,0.273547,0.000736,0.002656,0.001216,0.000416,0.932100
0.420400,0.017697,0.202056,0.005120,0.255050,0.000640,0.001952,0.001056,0.000384,0.912227
0.415633,0.017728,0.201896,0.005281,0.249545,0.000704,0.002209,0.001184,0.000352,0.903172
0.421808,0.017665,0.202216,0.005248,0.243242,0.000672,0.002048,0.001088,0.000416,0.902115
0.431537,0.017409,0.203976,0.005056,0.256490,0.000768,0.002273,0.001504,0.000384,0.926725
0.417680,0.017601,0.201992,0.005216,0.251466,0.000672,0.001952,0.001056,0.000384,0.904739
0.420272,0.017441,0.201640,0.005280,0.235145,0.000640,0.001920,0.001184,0.000384,0.891651
0.417264,0.017505,0.203080,0.005312,0.285771,0.000736,0.003296,0.001249,0.000416,0.944549
0.422256,0.017696,0.202312,0.005248,0.254922,0.000736,0.002816,0.001152,0.000352,0.917188
0.416176,0.017601,0.202216,0.005280,0.255210,0.000736,0.002144,0.001184,0.000384,0.909539
0.421777,0.017472,0.202696,0.005281,0.253418,0.000800,0.002592,0.001280,0.000416,0.914212
0.433745,0.017504,0.202472,0.005312,0.258027,0.000736,0.001920,0.001152,0.000384,0.928997
0.416785,0.017728,0.202600,0.005345,0.256554,0.000704,0.002208,0.001152,0.000384,0.911428
0.421713,0.017601,0.202376,0.005472,0.261258,0.000736,0.001920,0.001120,0.000417,0.921029
0.420305,0.017601,0.202247,0.005248,0.270186,0.000736,0.001984,0.001057,0.000416,0.927205
0.422737,0.017665,0.202280,0.005248,0.254346,0.000640,0.002144,0.001120,0.000384,0.914340
0.422065,0.017537,0.202184,0.005248,0.254666,0.000704,0.001888,0.001088,0.000384,0.913220
0.418224,0.017600,0.202568,0.005248,0.249930,0.000704,0.002048,0.001184,0.000384,0.907203
0.436434,0.017504,0.202248,0.005248,0.254313,0.000704,0.001920,0.001120,0.000384,0.927013
0.421521,0.017409,0.202408,0.005248,0.266122,0.000704,0.001889,0.001056,0.000416,0.924101
0.420401,0.017761,0.201864,0.005280,0.260522,0.000736,0.001984,0.001152,0.000416,0.918276
0.415024,0.017441,0.217385,0.005216,0.250890,0.000768,0.001984,0.001088,0.000416,0.917924
0.420721,0.017537,0.202248,0.005248,0.258634,0.000768,0.002144,0.001216,0.000416,0.917252
0.420497,0.017601,0.202728,0.005120,0.258058,0.000640,0.001920,0.001088,0.000384,0.915428
0.420368,0.017729,0.202056,0.005312,0.248458,0.000608,0.002080,0.000992,0.000416,0.905603
0.421072,0.017473,0.202152,0.005056,0.246186,0.000864,0.002400,0.000960,0.000416,0.904899
0.415793,0.017440,0.202792,0.005281,0.253610,0.000704,0.002016,0.001056,0.000384,0.907044
0.417552,0.017505,0.201960,0.005248,0.258730,0.000832,0.002177,0.001056,0.000384,0.914020
0.416240,0.017633,0.219336,0.005345,0.250985,0.000769,0.001888,0.001024,0.000384,0.922404
0.420625,0.017633,0.202088,0.005088,0.256042,0.000672,0.001888,0.001344,0.000384,0.914084
0.419952,0.017409,0.202056,0.005280,0.254826,0.000768,0.002176,0.001024,0.000384,0.911939
0.421105,0.017664,0.202600,0.005248,0.254602,0.000736,0.002624,0.001120,0.000384,0.913828
0.415632,0.017601,0.201864,0.005312,0.252394,0.000704,0.001984,0.000992,0.000352,0.904771
0.421936,0.017536,0.202152,0.005216,0.254762,0.000737,0.002272,0.001120,0.000384,0.914084
0.422449,0.017729,0.201960,0.005280,0.269642,0.000672,0.002144,0.001088,0.000384,0.928581
0.436594,0.017664,0.202024,0.005313,0.260938,0.000800,0.002016,0.000992,0.000352,0.934725
0.417936,0.017601,0.202856,0.005312,0.240458,0.000640,0.002240,0.001152,0.000384,0.896515
0.420432,0.017568,0.202024,0.005312,0.247690,0.000608,0.002048,0.001088,0.000384,0.905123
0.421617,0.017408,0.202248,0.005409,0.256362,0.000704,0.001985,0.001184,0.000384,0.933285
0.421649,0.017600,0.202504,0.005249,0.253577,0.000640,0.002112,0.001056,0.000384,0.911844
0.419920,0.017505,0.202120,0.005280,0.253386,0.000704,0.002080,0.001056,0.000352,0.909347
0.420177,0.017569,0.202376,0.005280,0.244841,0.000640,0.002016,0.001216,0.000320,0.901636
0.437681,0.017729,0.201992,0.005056,0.243338,0.000640,0.002400,0.001312,0.000352,0.918820
0.422064,0.017601,0.202312,0.005280,0.264267,0.000704,0.002080,0.001024,0.000352,0.923204
0.419760,0.017729,0.201960,0.005376,0.230729,0.000672,0.001920,0.001088,0.000352,0.886722
0.422577,0.017568,0.202184,0.005249,0.300619,0.000672,0.001952,0.001056,0.000384,0.959814
0.420881,0.018145,0.205640,0.005248,0.308940,0.001184,0.002912,0.002913,0.000544,0.978951
0.424656,0.017696,0.202408,0.005344,0.254090,0.000961,0.003232,0.001344,0.000608,0.917732
0.422513,0.017825,0.203592,0.005312,0.268458,0.000864,0.003872,0.002976,0.000608,0.939077
0.422064,0.017729,0.202344,0.005280,0.259306,0.000896,0.002849,0.001568,0.000416,0.920260
0.424145,0.017633,0.202440,0.005056,0.251018,0.000672,0.002336,0.001216,0.000352,0.912260
0.416432,0.017633,0.202312,0.005280,0.258922,0.000704,0.001920,0.001089,0.000352,0.912036
0.421105,0.017472,0.220937,0.005344,0.262315,0.000864,0.002496,0.001088,0.000352,0.941701
0.418256,0.017633,0.201896,0.005280,0.254122,0.000704,0.002432,0.001184,0.000320,0.909475
0.418448,0.017472,0.201992,0.005344,0.253226,0.000768,0.002721,0.001024,0.000384,0.908356
0.422385,0.017600,0.202152,0.005281,0.255658,0.000704,0.001952,0.001248,0.000416,0.914852
0.416656,0.017697,0.202056,0.005184,0.234601,0.000768,0.002720,0.001281,0.000416,0.890147
0.417105,0.017440,0.201800,0.005281,0.239625,0.000672,0.002112,0.001216,0.000416,0.892867
0.421009,0.017664,0.201960,0.005281,0.239721,0.000736,0.001984,0.001088,0.000384,0.897059
0.442097,0.017505,0.202280,0.005088,0.258218,0.000736,0.001952,0.001120,0.000384,0.936388
0.421360,0.017441,0.202216,0.005120,0.253450,0.000704,0.001920,0.000960,0.000576,0.910883
0.420080,0.017473,0.201864,0.005056,0.259754,0.000737,0.002048,0.001024,0.000416,0.916580
0.420017,0.017665,0.202119,0.005248,0.260458,0.000736,0.002144,0.001056,0.000576,0.918436
0.419696,0.017505,0.201736,0.005088,0.234729,0.000736,0.002464,0.001184,0.000384,0.891715
0.421329,0.017601,0.203080,0.005280,0.249706,0.000800,0.002176,0.001184,0.000416,0.910052
0.421585,0.017472,0.202792,0.005024,0.283052,0.000608,0.001984,0.001152,0.000640,0.941445
0.451794,0.017857,0.202407,0.005121,0.275434,0.000864,0.002144,0.001184,0.000608,0.967782
0.420081,0.017569,0.203047,0.005088,0.246985,0.000640,0.001985,0.000992,0.000384,0.905284
0.417360,0.017985,0.202184,0.005024,0.234089,0.000672,0.002176,0.001024,0.000384,0.889442
0.420272,0.018016,0.201768,0.005152,0.284876,0.000800,0.002112,0.000928,0.000352,0.943205
0.416688,0.017441,0.202504,0.005248,0.256138,0.000704,0.002368,0.001152,0.000352,0.910915
0.415440,0.017665,0.202184,0.005088,0.254538,0.000608,0.002112,0.001057,0.000352,0.906660
0.416369,0.017633,0.202087,0.005313,0.266538,0.000832,0.002816,0.001216,0.000385,0.924261
0.439761,0.017569,0.202152,0.005248,0.271371,0.000832,0.002208,0.001056,0.000416,0.948645
0.419952,0.017729,0.202376,0.005184,0.269355,0.000608,0.002112,0.001024,0.000384,0.925892
0.420145,0.017601,0.205288,0.005280,0.245962,0.000704,0.002240,0.000992,0.000384,0.907236
0.417200,0.017953,0.236681,0.005216,0.265419,0.000704,0.002016,0.001056,0.000416,0.956517
0.420560,0.017569,0.204936,0.005216,0.257962,0.000672,0.002208,0.001088,0.000608,0.918756
0.422064,0.017697,0.202376,0.005088,0.257674,0.000641,0.004384,0.001216,0.000640,0.919844
0.416336,0.017505,0.202344,0.005216,0.261738,0.000704,0.002113,0.001216,0.000384,0.915428
0.420528,0.017505,0.202312,0.005536,0.261418,0.000736,0.002912,0.001152,0.000384,0.922340
0.415536,0.017505,0.202664,0.005248,0.259627,0.000768,0.002304,0.001312,0.000352,0.914084
0.420401,0.017536,0.202536,0.005185,0.260970,0.000800,0.002240,0.001184,0.000384,0.920196
0.444209,0.017761,0.202600,0.005312,0.265674,0.000704,0.003040,0.001248,0.000576,0.950373
0.420688,0.017665,0.202024,0.005312,0.258698,0.000608,0.001921,0.001056,0.000608,0.917316
0.423120,0.017760,0.202408,0.005216,0.258635,0.000704,0.002080,0.001184,0.000384,0.919652
0.417264,0.017633,0.202248,0.005280,0.281739,0.000800,0.002304,0.001217,0.000416,0.938853
0.417873,0.017504,0.202568,0.005249,0.260042,0.000960,0.002080,0.001472,0.000384,0.916292
0.420945,0.017857,0.203432,0.005344,0.238217,0.000800,0.002976,0.001248,0.000416,0.899524
0.417777,0.017600,0.202856,0.005217,0.256266,0.000704,0.002080,0.001024,0.000352,0.913412
0.441009,0.017345,0.203912,0.005248,0.257482,0.000768,0.002592,0.000992,0.000384,0.938597
0.420656,0.017536,0.202536,0.005024,0.245066,0.000672,0.002112,0.001024,0.000384,0.903491
0.420656,0.017888,0.203432,0.005280,0.257995,0.000736,0.001952,0.001152,0.000352,0.916292
0.421137,0.017441,0.202375,0.005024,0.263978,0.000736,0.002048,0.001024,0.000384,0.922340
0.420657,0.017697,0.202184,0.005120,0.257962,0.000704,0.002048,0.000992,0.000384,0.914308
0.416240,0.017697,0.202056,0.005088,0.237385,0.000640,0.002016,0.001056,0.000352,0.889091
0.417520,0.017633,0.203112,0.005120,0.266218,0.000832,0.003905,0.001216,0.000352,0.924516
0.433457,0.017729,0.202183,0.005312,0.259306,0.000864,0.002464,0.001152,0.000384,0.930180
0.417137,0.017696,0.202216,0.005217,0.240873,0.000864,0.002496,0.001056,0.000352,0.894947
0.420848,0.017633,0.202184,0.005280,0.243946,0.000704,0.001824,0.000928,0.000416,0.901219
0.416688,0.018145,0.202024,0.005248,0.257098,0.000768,0.001984,0.001056,0.000384,0.911203
0.420880,0.017697,0.202440,0.005056,0.258858,0.000768,0.001984,0.001056,0.000416,0.917636
0.417361,0.017632,0.202728,0.005088,0.235338,0.000800,0.001952,0.000992,0.000384,0.889155
0.420209,0.017696,0.203304,0.005281,0.253706,0.000832,0.002112,0.001024,0.000352,0.910788
0.435473,0.017633,0.202311,0.005280,0.256394,0.000672,0.002016,0.001120,0.000384,0.928260
0.415697,0.017665,0.202695,0.005152,0.256618,0.000704,0.003008,0.001024,0.000416,0.912324
0.416336,0.017601,0.202440,0.005376,0.252394,0.000800,0.002080,0.001088,0.000384,0.907555
0.418928,0.017696,0.201960,0.025249,0.264459,0.000736,0.002208,0.001024,0.000352,0.940741
0.421072,0.017600,0.202120,0.005120,0.247946,0.000640,0.002048,0.001024,0.000576,0.905315
0.421009,0.017665,0.201864,0.005312,0.256234,0.000640,0.002464,0.001088,0.000384,0.914404
0.420688,0.017537,0.202024,0.005216,0.231817,0.000672,0.001984,0.000960,0.000352,0.888514
