Layer[0],TEE[1-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.430930,0.701439,0.005312,0.047810,0.000576,0.013441,0.000352,0.001600,0.001088,0.000384,1.212340
0.415889,0.720255,0.005568,0.048738,0.000928,0.013569,0.000352,0.001440,0.001216,0.000384,1.218164
0.415026,0.735488,0.006112,0.048930,0.000800,0.013377,0.000352,0.001600,0.001152,0.000384,1.232405
0.417938,0.709439,0.005472,0.049218,0.000800,0.013505,0.000320,0.001600,0.001152,0.000384,1.208980
0.416114,0.730944,0.006112,0.048706,0.000800,0.013376,0.000416,0.001632,0.001120,0.000288,1.228757
0.415410,0.756032,0.005376,0.048419,0.000768,0.013344,0.000384,0.001600,0.001120,0.000384,1.250902
0.415570,0.738784,0.005409,0.049090,0.000832,0.013409,0.000352,0.001536,0.001184,0.000352,1.235606
0.415666,0.698750,0.005409,0.049186,0.000768,0.013568,0.000352,0.001569,0.000992,0.000352,1.195444
0.432467,0.705662,0.005440,0.048674,0.000576,0.013409,0.000352,0.001504,0.001184,0.000384,1.219253
0.415826,0.730400,0.005440,0.049154,0.000576,0.013665,0.000384,0.001536,0.001216,0.000352,1.227093
0.416050,0.705343,0.005472,0.049410,0.000608,0.013537,0.000384,0.001568,0.001088,0.000384,1.203156
0.415538,0.707039,0.005504,0.050178,0.001056,0.013441,0.000384,0.001536,0.001152,0.000352,1.205908
0.416050,0.696766,0.005344,0.050658,0.000768,0.013408,0.000384,0.001472,0.001057,0.000352,1.195508
0.416242,0.760001,0.005600,0.048994,0.000768,0.013537,0.000384,0.001472,0.001120,0.000384,1.258518
0.415314,0.729951,0.005536,0.048866,0.000800,0.014368,0.000384,0.001568,0.001088,0.000352,1.226645
0.415858,0.706526,0.005632,0.048418,0.000768,0.013729,0.000352,0.001504,0.001120,0.000320,1.204084
0.415506,0.762272,0.006016,0.049538,0.000544,0.013409,0.000384,0.001504,0.001088,0.000384,1.260663
0.415282,0.732608,0.005440,0.049058,0.000608,0.013537,0.000384,0.001536,0.001152,0.000384,1.228949
0.415410,0.688478,0.005408,0.048706,0.000576,0.013377,0.000384,0.001504,0.001120,0.000416,1.184563
0.430834,0.695742,0.005312,0.048802,0.000544,0.013377,0.000352,0.001536,0.001184,0.000384,1.206964
0.416082,0.760993,0.005344,0.048162,0.000544,0.013696,0.000352,0.001472,0.001088,0.000416,1.258198
0.415506,0.702175,0.005440,0.048834,0.000576,0.013345,0.000384,0.001504,0.001152,0.000384,1.198452
0.416018,0.736960,0.005312,0.049026,0.000576,0.013473,0.000384,0.001536,0.001184,0.000352,1.233845
0.415890,0.737248,0.005505,0.048034,0.001024,0.013408,0.000384,0.001568,0.001249,0.000416,1.233686
0.415666,0.718015,0.005344,0.048802,0.000576,0.013473,0.000416,0.001632,0.001216,0.000384,1.214229
0.415442,0.735296,0.005601,0.048386,0.000576,0.013632,0.000384,0.001472,0.001120,0.000352,1.231254
0.416498,0.694622,0.005537,0.048514,0.000576,0.013312,0.000320,0.001504,0.001184,0.000416,1.191604
0.415474,0.707967,0.005536,0.048930,0.001024,0.013505,0.000384,0.001504,0.001120,0.000352,1.204372
0.415954,0.702943,0.005408,0.047554,0.000576,0.013409,0.000416,0.001600,0.001216,0.000384,1.198196
0.415634,0.739968,0.005344,0.047458,0.000544,0.013568,0.000384,0.001601,0.001184,0.000416,1.234806
0.430931,0.706430,0.005344,0.047778,0.000576,0.013408,0.000385,0.001568,0.001216,0.000416,1.217717
0.416530,0.732512,0.005312,0.047234,0.000800,0.013568,0.000384,0.001504,0.001152,0.000384,1.228053
0.415250,0.685533,0.005280,0.047298,0.000576,0.013600,0.000385,0.001472,0.001152,0.000384,1.179251
0.417330,0.749793,0.005344,0.047746,0.000800,0.013441,0.000352,0.001536,0.001120,0.000384,1.246742
0.415921,0.698302,0.005408,0.048258,0.000544,0.013313,0.000352,0.001536,0.001184,0.000384,1.193907
0.415570,0.727167,0.005408,0.047650,0.000576,0.013345,0.000416,0.001504,0.001120,0.000352,1.222293
0.416274,0.722560,0.005504,0.047298,0.000608,0.013377,0.000352,0.001536,0.001184,0.000352,1.217493
0.416274,0.699519,0.005408,0.048962,0.000544,0.013537,0.000384,0.001536,0.001152,0.000384,1.196244
0.415314,0.722528,0.005504,0.047810,0.000576,0.013441,0.000352,0.001536,0.001088,0.000352,1.217557
0.415378,0.698750,0.005344,0.047458,0.000544,0.013409,0.000384,0.001568,0.001184,0.000384,1.193428
0.415921,0.700670,0.005600,0.047554,0.000576,0.013473,0.000384,0.001568,0.001120,0.000416,1.196787
0.433011,0.701822,0.009985,0.047778,0.000576,0.013409,0.000352,0.001472,0.001120,0.000352,1.218837
0.415570,0.703742,0.005536,0.047779,0.000800,0.013344,0.000384,0.001600,0.001248,0.000384,1.199699
0.415698,0.713823,0.005504,0.048930,0.000608,0.013409,0.000352,0.001600,0.001056,0.000384,1.210772
0.415602,0.709727,0.005568,0.048610,0.000576,0.013345,0.000384,0.001504,0.001120,0.000352,1.206612
0.415698,0.702654,0.005569,0.050114,0.000576,0.013408,0.000352,0.001505,0.001120,0.000384,1.200564
0.416242,0.717919,0.005505,0.049058,0.000576,0.013408,0.000384,0.001473,0.001120,0.000384,1.215061
0.416114,0.706078,0.005537,0.048898,0.000608,0.013632,0.000384,0.001472,0.001121,0.000384,1.203732
