Layer[0],TEE[1-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415538,0.684734,0.005312,0.052930,0.000576,0.013473,0.000352,0.001440,0.001152,0.000384,1.184467
0.433874,0.718527,0.005344,0.047522,0.000576,0.013569,0.000384,0.001504,0.001440,0.000352,1.232853
0.416754,0.695838,0.005280,0.047458,0.000576,0.013377,0.000352,0.001536,0.001312,0.000384,1.191763
0.416242,0.719135,0.005536,0.047842,0.000576,0.013728,0.000384,0.001472,0.001344,0.000384,1.217300
0.416402,0.694462,0.005504,0.048194,0.000544,0.013377,0.000384,0.001632,0.001376,0.000384,1.191123
0.417490,0.704735,0.005344,0.048322,0.000832,0.013825,0.000320,0.001568,0.001600,0.000352,1.204244
0.417138,0.754464,0.005568,0.048226,0.000800,0.013697,0.000384,0.001568,0.001152,0.000384,1.252502
0.416978,0.708223,0.005696,0.048258,0.000832,0.013377,0.000384,0.001440,0.001184,0.000384,1.205716
0.417458,0.707327,0.005600,0.048610,0.000800,0.013505,0.000416,0.001600,0.001184,0.000384,1.206100
0.416146,0.769537,0.005472,0.048610,0.000576,0.013345,0.000384,0.001472,0.001152,0.000384,1.265430
0.417298,0.758049,0.005760,0.048675,0.000768,0.013984,0.000320,0.001568,0.001824,0.000608,1.264407
0.417362,0.739744,0.005793,0.048354,0.000832,0.013568,0.000416,0.001472,0.001312,0.000352,1.237910
0.438259,0.717023,0.005536,0.048675,0.000800,0.013536,0.000352,0.001728,0.001312,0.000352,1.237685
0.415890,0.703102,0.005568,0.048546,0.000801,0.013440,0.000384,0.001536,0.001472,0.000384,1.200659
0.416210,0.739616,0.008416,0.048546,0.000768,0.014241,0.000384,0.001920,0.001312,0.000384,1.240917
0.416082,0.699070,0.005536,0.048418,0.000800,0.013953,0.000320,0.001568,0.001216,0.000384,1.197076
0.415794,0.917992,0.006208,0.093764,0.000800,0.014017,0.000416,0.001600,0.001280,0.000384,1.463263
0.446323,0.706174,0.005568,0.048994,0.000608,0.014049,0.000384,0.001600,0.001088,0.000416,1.235573
0.415922,0.706079,0.005408,0.048674,0.000544,0.013537,0.000352,0.001568,0.000992,0.000352,1.203252
0.417073,0.713566,0.005249,0.049026,0.000800,0.013440,0.000352,0.001569,0.001184,0.000416,1.211988
0.416178,0.707615,0.005440,0.048610,0.000544,0.013441,0.000384,0.001536,0.001120,0.000384,1.204436
0.416018,0.740800,0.005568,0.048482,0.000544,0.013377,0.000352,0.001504,0.001152,0.000384,1.237077
0.417106,0.723967,0.005984,0.048322,0.000544,0.013441,0.000352,0.001536,0.001216,0.000384,1.221973
0.416337,0.676669,0.005600,0.048386,0.000608,0.013377,0.000320,0.001440,0.001120,0.000384,1.174290
0.415954,0.702334,0.005441,0.048642,0.000480,0.013408,0.000384,0.001569,0.001056,0.000352,1.198420
0.415474,0.712830,0.005568,0.049474,0.000544,0.013633,0.000352,0.001536,0.001088,0.000352,1.211252
0.416722,0.684542,0.005472,0.048066,0.000768,0.013281,0.000320,0.001472,0.000992,0.000352,1.180339
0.415474,0.701983,0.005216,0.048130,0.000736,0.013409,0.000384,0.001536,0.001184,0.000416,1.198132
0.415634,0.707583,0.005440,0.048546,0.000608,0.013953,0.000352,0.001568,0.000832,0.000352,1.203540
0.416370,0.718719,0.005248,0.048578,0.000544,0.013441,0.000352,0.001440,0.001024,0.000352,1.216276
0.415378,0.699326,0.005632,0.048514,0.000768,0.013505,0.000384,0.001440,0.001056,0.000352,1.195219
0.432659,0.706463,0.005568,0.048322,0.000768,0.013633,0.000352,0.001536,0.001088,0.000384,1.219829
0.416882,0.685917,0.005601,0.048610,0.000832,0.013408,0.000384,0.001504,0.000928,0.000352,1.183763
0.415410,0.682206,0.005408,0.048450,0.000576,0.013409,0.000352,0.001536,0.000992,0.000256,1.177235
0.415665,0.696926,0.005408,0.048450,0.000576,0.013313,0.000384,0.001504,0.001120,0.000384,1.192627
0.415601,0.713182,0.005505,0.048418,0.000608,0.013376,0.000352,0.001409,0.001088,0.000384,1.210324
0.416594,0.747744,0.005312,0.048419,0.000608,0.013632,0.000352,0.001504,0.001088,0.000384,1.245269
0.417746,0.719007,0.005600,0.048546,0.000832,0.014017,0.000352,0.001536,0.001888,0.000352,1.221044
0.415890,0.701694,0.005632,0.048611,0.000448,0.013440,0.000384,0.001376,0.001216,0.000416,1.198611
0.418386,0.714846,0.005536,0.048674,0.000448,0.013409,0.000384,0.001536,0.000960,0.000416,1.213556
0.417106,0.708734,0.005601,0.048258,0.000608,0.014016,0.000384,0.001536,0.001216,0.000384,1.207508
0.415986,0.716671,0.005600,0.048258,0.000640,0.013601,0.000384,0.001536,0.001536,0.000352,1.213556
0.435027,0.708670,0.005760,0.048706,0.000608,0.013697,0.000384,0.001472,0.001248,0.000352,1.225749
0.416402,0.695518,0.005472,0.048834,0.000576,0.013569,0.000384,0.001472,0.001152,0.000416,1.192819
0.416178,0.711967,0.005760,0.049282,0.000576,0.013473,0.000352,0.001472,0.001184,0.000384,1.209588
0.416402,0.713823,0.005888,0.048546,0.000832,0.013537,0.000352,0.001472,0.001184,0.000416,1.212084
0.417201,0.708638,0.005664,0.048419,0.000544,0.013632,0.000352,0.001536,0.001280,0.000384,1.206739
0.417105,0.809762,0.005696,0.048706,0.000864,0.013409,0.000384,0.001504,0.001280,0.000384,1.308792
0.415506,0.715774,0.005537,0.048290,0.000800,0.013568,0.000353,0.001728,0.001728,0.000384,1.211860
0.416594,0.716671,0.005472,0.048194,0.000768,0.013441,0.000352,0.001536,0.001152,0.000384,1.213332
0.433171,0.706046,0.005600,0.048067,0.000608,0.013408,0.000352,0.001504,0.001152,0.000352,1.219412
0.417266,0.712638,0.005601,0.048354,0.000864,0.013472,0.000352,0.001504,0.001217,0.000384,1.211541
0.415729,0.697918,0.005792,0.048354,0.001088,0.013601,0.000384,0.001472,0.001216,0.000384,1.194931
0.415954,0.759489,0.005568,0.048547,0.000832,0.013728,0.000384,0.001504,0.001120,0.000352,1.257014
0.416113,0.714846,0.005633,0.048354,0.000800,0.013440,0.000384,0.001472,0.001057,0.000384,1.211572
0.416210,0.733439,0.005569,0.048162,0.000992,0.013376,0.000384,0.001601,0.001152,0.000384,1.230581
0.415954,0.729055,0.005440,0.048034,0.001088,0.013473,0.000384,0.001664,0.001184,0.000384,1.224692
0.416242,0.719071,0.005473,0.048162,0.000800,0.013408,0.000384,0.001537,0.001120,0.000384,1.216181
0.416626,0.743263,0.005472,0.048418,0.000608,0.013409,0.000352,0.001536,0.001312,0.000352,1.239830
0.416082,0.702334,0.005505,0.048578,0.000832,0.013472,0.000384,0.001569,0.001120,0.000352,1.199572
0.417330,0.707870,0.005313,0.047874,0.000800,0.013504,0.000384,0.001536,0.001152,0.000384,1.205300
0.434963,0.745696,0.005633,0.048386,0.000608,0.013376,0.000352,0.001440,0.001056,0.000416,1.260598
0.416370,0.693278,0.005632,0.048802,0.000833,0.013376,0.000352,0.001536,0.001184,0.000384,1.190707
0.415633,0.739071,0.005857,0.048514,0.000768,0.013408,0.000384,0.001568,0.001152,0.000416,1.253686
0.415794,0.706814,0.005536,0.048291,0.000832,0.013344,0.000384,0.001536,0.001184,0.000384,1.204211
0.416242,0.714335,0.005408,0.048162,0.000576,0.013377,0.000384,0.001504,0.001216,0.000384,1.210612
0.415762,0.735584,0.005664,0.048322,0.000768,0.013312,0.000352,0.001568,0.001120,0.000352,1.232629
0.415730,0.696318,0.005313,0.048418,0.000576,0.013344,0.000384,0.001441,0.001216,0.000352,1.191860
0.415154,0.733823,0.005601,0.048354,0.000736,0.013344,0.000384,0.001633,0.001216,0.000352,1.228885
0.415665,0.746496,0.005600,0.048450,0.000832,0.013505,0.000352,0.001504,0.001120,0.000352,1.243093
0.415794,0.727487,0.005728,0.048355,0.000576,0.013376,0.000352,0.001504,0.001056,0.000384,1.223380
0.416785,0.705342,0.005408,0.048354,0.000576,0.013409,0.000352,0.001472,0.001056,0.000352,1.201780
0.433171,0.704670,0.005472,0.048419,0.000576,0.013600,0.000384,0.001504,0.001120,0.000416,1.218708
0.415346,0.701406,0.005408,0.048258,0.000800,0.013473,0.000384,0.001536,0.001120,0.000416,1.196755
0.415506,0.741024,0.005633,0.066499,0.000800,0.013600,0.000416,0.001440,0.001056,0.000384,1.256022
0.416882,0.733599,0.005601,0.049378,0.001056,0.013376,0.000384,0.001504,0.001153,0.000384,1.232341
0.416306,0.704382,0.005600,0.048386,0.000608,0.013344,0.000384,0.001600,0.001376,0.000352,1.201331
0.414994,0.730719,0.007969,0.048290,0.000832,0.013376,0.000384,0.001440,0.001248,0.000352,1.229141
0.415794,0.744384,0.005504,0.048354,0.000576,0.013409,0.000384,0.001568,0.001088,0.000352,1.240693
0.415826,0.745760,0.005441,0.048514,0.000832,0.013440,0.000384,0.001473,0.001152,0.000320,1.243062
0.443955,0.734560,0.005600,0.048290,0.000576,0.013761,0.000384,0.001568,0.001216,0.000384,1.260214
0.416114,0.705374,0.005440,0.048258,0.000576,0.013857,0.000352,0.001568,0.001152,0.000352,1.202260
0.415826,0.694846,0.005312,0.048451,0.000800,0.013536,0.000352,0.001504,0.001088,0.000384,1.190483
0.416274,0.701534,0.005473,0.048258,0.001056,0.013440,0.000384,0.001537,0.001088,0.000384,1.198196
0.415538,0.719487,0.005505,0.048386,0.000832,0.013472,0.000352,0.001408,0.001248,0.000384,1.216405
0.415633,0.729727,0.005472,0.048834,0.000832,0.013601,0.000384,0.001568,0.001088,0.000352,1.226580
0.415954,0.732288,0.005600,0.050690,0.000609,0.013408,0.000352,0.001536,0.001120,0.000416,1.231445
0.415282,0.727936,0.005632,0.048386,0.000800,0.013441,0.000384,0.001536,0.001152,0.000384,1.224149
0.415570,0.726816,0.005664,0.048802,0.000608,0.013313,0.000416,0.001536,0.001152,0.000320,1.223989
0.416530,0.733791,0.005472,0.048706,0.000800,0.013377,0.000352,0.001568,0.001088,0.000384,1.231221
0.415857,0.707070,0.005504,0.048418,0.000737,0.013632,0.000384,0.001568,0.001216,0.000384,1.204243
0.433587,0.727679,0.005376,0.048611,0.000768,0.013696,0.000320,0.001568,0.001056,0.000352,1.242197
0.417586,0.714142,0.005569,0.048418,0.000992,0.013472,0.000352,0.001504,0.001120,0.000352,1.212340
0.415442,0.709374,0.005473,0.048354,0.000800,0.013376,0.000352,0.001473,0.001120,0.000352,1.204628
0.416082,0.711262,0.005504,0.048290,0.001024,0.013409,0.000352,0.001408,0.001120,0.000352,1.208532
0.417010,0.704510,0.005505,0.048226,0.000640,0.013472,0.000384,0.001504,0.001217,0.000384,1.201908
0.416305,0.778017,0.005504,0.048386,0.000800,0.013472,0.000352,0.001536,0.001152,0.000352,1.275638
0.416658,0.733824,0.005536,0.048386,0.000768,0.013313,0.000384,0.001536,0.001248,0.000320,1.230933
0.415826,0.710495,0.005728,0.048130,0.000800,0.013633,0.000384,0.001504,0.001216,0.000352,1.207348
0.432370,0.703359,0.005728,0.050178,0.000608,0.013505,0.000352,0.001536,0.001216,0.000352,1.218836
0.415538,0.711102,0.005408,0.048226,0.000544,0.013344,0.000385,0.001568,0.001216,0.000352,1.206804
0.415602,0.699294,0.005408,0.048322,0.000576,0.013505,0.000384,0.001568,0.001120,0.000352,1.195187
0.432530,0.695326,0.005504,0.048355,0.000576,0.013344,0.000384,0.001600,0.001088,0.000384,1.208340
0.416113,0.702078,0.005504,0.048386,0.000768,0.013313,0.000384,0.001536,0.001152,0.000416,1.198547
0.415698,0.695742,0.032962,0.049506,0.000800,0.013409,0.000384,0.001504,0.001024,0.000416,1.221877
0.415762,0.697758,0.005664,0.048098,0.000800,0.013377,0.000384,0.001504,0.001184,0.000352,1.193587
0.415826,0.694782,0.005536,0.048514,0.000576,0.013409,0.000320,0.001504,0.001184,0.000416,1.191411
0.416433,0.754752,0.005632,0.048674,0.000800,0.013345,0.000384,0.001504,0.001184,0.000352,1.251445
0.416114,0.692222,0.005856,0.048035,0.000576,0.013344,0.000384,0.001440,0.001152,0.000384,1.188467
0.416530,0.697534,0.005568,0.048514,0.000608,0.013345,0.000352,0.001536,0.001088,0.000384,1.194291
0.415890,0.716030,0.005697,0.048386,0.000544,0.013472,0.000385,0.001472,0.001152,0.000352,1.212628
0.416242,0.705534,0.005600,0.048227,0.000608,0.013408,0.000352,0.001472,0.001216,0.000384,1.203347
0.415345,0.705854,0.005632,0.048610,0.000544,0.013377,0.000384,0.001504,0.001248,0.000352,1.202323
0.434195,0.707838,0.005441,0.048994,0.000576,0.013440,0.000352,0.001505,0.001120,0.000384,1.222965
0.415698,0.703870,0.005569,0.048546,0.000576,0.013600,0.000416,0.001568,0.001248,0.000384,1.201588
0.415186,0.719423,0.005504,0.050338,0.000896,0.013441,0.000384,0.001536,0.001056,0.000352,1.234485
0.416754,0.704574,0.005440,0.048610,0.000800,0.013409,0.000384,0.001600,0.001184,0.000384,1.201748
0.416722,0.722623,0.005600,0.048578,0.000769,0.013856,0.000384,0.001472,0.001248,0.000352,1.219892
0.415410,0.734911,0.005569,0.048834,0.001120,0.013632,0.000384,0.001568,0.001088,0.000384,1.231605
0.415794,0.709662,0.005504,0.048099,0.000832,0.013824,0.000384,0.001664,0.001248,0.000384,1.206547
0.416466,0.698814,0.005472,0.048482,0.000769,0.013696,0.000384,0.001536,0.001312,0.000384,1.195955
0.436978,0.701470,0.005280,0.048098,0.000832,0.013633,0.000352,0.001472,0.001152,0.000384,1.217812
0.416050,0.703454,0.005472,0.048547,0.000608,0.013920,0.000384,0.001504,0.001184,0.000384,1.200147
0.415730,0.713759,0.005408,0.048226,0.000608,0.013633,0.000352,0.001472,0.001216,0.000352,1.208756
0.416178,0.715711,0.005600,0.048834,0.000576,0.013409,0.000352,0.001504,0.001120,0.000384,1.213204
0.417106,0.686174,0.005504,0.048002,0.000608,0.013345,0.000352,0.001536,0.001056,0.000384,1.182163
0.416690,0.780418,0.005440,0.048066,0.000640,0.013345,0.000352,0.001504,0.001120,0.000352,1.276791
0.415378,0.687998,0.005600,0.048450,0.000800,0.013345,0.000352,0.001536,0.001152,0.000320,1.183411
0.415537,0.693309,0.005601,0.048386,0.000800,0.013312,0.000352,0.001504,0.001121,0.000352,1.188723
0.416786,0.757120,0.005313,0.048962,0.000608,0.013440,0.000352,0.001473,0.000992,0.000416,1.253654
0.415762,0.703390,0.008128,0.048898,0.000576,0.013537,0.000352,0.001440,0.001024,0.000320,1.200883
0.415474,0.708318,0.005313,0.047682,0.000608,0.013344,0.000384,0.001504,0.001056,0.000352,1.204403
0.435603,0.747296,0.005504,0.048578,0.001024,0.013377,0.000384,0.001472,0.001056,0.000384,1.263734
0.415474,0.704575,0.005504,0.048194,0.000544,0.013377,0.000352,0.001504,0.001120,0.000384,1.200596
0.416146,0.711070,0.005536,0.048290,0.000608,0.013408,0.000384,0.001536,0.001120,0.000384,1.208724
0.416210,0.728096,0.005632,0.048386,0.000608,0.013377,0.000352,0.001472,0.001152,0.000384,1.224597
0.415314,0.719583,0.005472,0.047970,0.000768,0.013377,0.000384,0.001504,0.001056,0.000352,1.214996
0.416626,0.762528,0.005505,0.048258,0.000544,0.013376,0.000352,0.001600,0.001216,0.000353,1.259543
0.416114,0.708319,0.005344,0.048546,0.000800,0.013441,0.000352,0.001568,0.001216,0.000320,1.205588
0.415762,0.704734,0.005473,0.048322,0.000544,0.013376,0.000384,0.001537,0.001248,0.000384,1.200788
0.417170,0.714431,0.005664,0.048610,0.000544,0.013345,0.000352,0.001472,0.001152,0.000384,1.213012
0.415602,0.724415,0.005472,0.048546,0.000576,0.013345,0.000352,0.001536,0.001152,0.000384,1.220404
0.415762,0.702014,0.005601,0.047970,0.000768,0.013376,0.000352,0.001537,0.001184,0.000448,1.198452
0.429106,0.714622,0.005537,0.048322,0.000832,0.013376,0.000384,0.001504,0.001088,0.000288,1.224181
0.415762,0.727455,0.005504,0.048162,0.000800,0.013601,0.000352,0.001504,0.001312,0.000352,1.223924
0.415858,0.706943,0.005568,0.048290,0.000768,0.013633,0.000352,0.001568,0.001216,0.000384,1.203956
0.415665,0.700382,0.005472,0.048386,0.000800,0.013601,0.000352,0.001568,0.001184,0.000384,1.196851
0.415698,0.737440,0.005664,0.048386,0.000800,0.013505,0.000384,0.001472,0.001024,0.000352,1.233813
0.416050,0.727135,0.005601,0.048066,0.000928,0.013440,0.000384,0.001473,0.001088,0.000320,1.223413
0.416338,0.741568,0.005504,0.048130,0.000608,0.013665,0.000352,0.001472,0.001280,0.000384,1.238485
0.416210,0.708638,0.005537,0.048450,0.000832,0.013504,0.000352,0.001472,0.001120,0.000352,1.205844
0.415954,0.716703,0.005408,0.048450,0.000864,0.013473,0.000352,0.001504,0.001216,0.000384,1.213588
0.416977,0.713854,0.005441,0.048514,0.000800,0.013664,0.000352,0.001536,0.001217,0.000384,1.212372
0.416434,0.707167,0.005760,0.048578,0.000608,0.013473,0.000384,0.001568,0.001216,0.000352,1.205012
0.433747,0.704126,0.005728,0.048546,0.000832,0.013505,0.000352,0.001600,0.001152,0.000352,1.218997
0.417074,0.716478,0.005633,0.048546,0.000800,0.013376,0.000352,0.001472,0.001281,0.000384,1.214325
0.415122,0.705918,0.005377,0.065058,0.000832,0.013440,0.000384,0.001504,0.001120,0.000384,1.218708
0.415826,0.697662,0.005408,0.048226,0.000608,0.013313,0.000384,0.001504,0.001216,0.000384,1.193555
0.416145,0.690941,0.005537,0.048130,0.000576,0.013344,0.000384,0.001504,0.001056,0.000384,1.187315
0.415890,0.717919,0.005600,0.047842,0.000800,0.013345,0.000416,0.001440,0.001152,0.000352,1.213396
0.415793,0.712478,0.005536,0.048610,0.000576,0.013344,0.000384,0.001536,0.001152,0.000320,1.209075
0.415570,0.704766,0.005504,0.048258,0.000608,0.013409,0.000352,0.001536,0.001216,0.000416,1.200723
0.415922,0.725311,0.005504,0.048802,0.000768,0.013569,0.000352,0.001536,0.001152,0.000352,1.222580
0.415634,0.709886,0.005601,0.048418,0.000608,0.013344,0.000352,0.001601,0.001152,0.000416,1.206420
0.415890,0.703486,0.005472,0.048386,0.000833,0.013376,0.000352,0.001568,0.001152,0.000352,1.200115
0.447091,0.714655,0.005696,0.048354,0.000800,0.013409,0.000352,0.001536,0.001152,0.000416,1.242709
0.416562,0.706047,0.005440,0.048418,0.000800,0.013441,0.000384,0.001568,0.001344,0.000416,1.203988
0.416690,0.713790,0.005505,0.048450,0.000832,0.013568,0.000384,0.001472,0.001152,0.000416,1.211572
0.416082,0.694014,0.005568,0.048322,0.000640,0.013409,0.000384,0.001504,0.001248,0.000352,1.190739
0.417970,0.755201,0.005696,0.048450,0.000768,0.013473,0.000384,0.001728,0.001280,0.000352,1.254742
0.416882,0.763841,0.005600,0.048354,0.000576,0.013409,0.000384,0.001600,0.001216,0.000384,1.262422
0.415762,0.700959,0.005440,0.048098,0.000608,0.013473,0.000416,0.001568,0.001184,0.000384,1.196980
0.416754,0.703934,0.005568,0.048482,0.000608,0.013473,0.000384,0.001600,0.001120,0.000416,1.201555
0.437107,0.712543,0.005856,0.049154,0.000608,0.013569,0.000352,0.001600,0.001056,0.000384,1.231669
0.415762,0.708030,0.005472,0.048386,0.001056,0.013408,0.000352,0.001536,0.001216,0.000384,1.204596
0.416242,0.711327,0.005536,0.048354,0.000800,0.013633,0.000384,0.001568,0.001376,0.000384,1.208692
0.416402,0.712127,0.005504,0.048450,0.000576,0.013504,0.000352,0.001568,0.001216,0.000352,1.209236
0.416082,0.744064,0.005600,0.050562,0.000768,0.013601,0.000320,0.001536,0.001088,0.000352,1.242741
0.415826,0.764577,0.005632,0.048866,0.000608,0.013569,0.000384,0.001504,0.001216,0.000352,1.262326
0.415698,0.691358,0.005536,0.048194,0.000544,0.013409,0.000384,0.001504,0.001120,0.000352,1.187411
0.416466,0.697214,0.005472,0.048163,0.000640,0.013344,0.000384,0.001408,0.001056,0.000384,1.194259
0.416209,0.710942,0.006336,0.048611,0.000736,0.013632,0.000384,0.001536,0.001216,0.000384,1.209491
0.415026,0.704287,0.005504,0.048258,0.000768,0.013345,0.000352,0.001600,0.001152,0.000320,1.198964
0.416658,0.699358,0.005664,0.048354,0.000704,0.013505,0.000384,0.001568,0.001024,0.000384,1.197459
0.435443,0.706463,0.005408,0.048514,0.000736,0.013793,0.000352,0.001536,0.001280,0.000352,1.222997
0.416018,0.704734,0.005568,0.048514,0.000800,0.013409,0.000352,0.001536,0.001024,0.000352,1.202099
0.415602,0.705758,0.005537,0.048674,0.000800,0.013920,0.000416,0.001537,0.001152,0.000384,1.203060
0.416722,0.715679,0.005504,0.048578,0.000801,0.013696,0.000384,0.001536,0.001152,0.000384,1.214004
0.415922,0.696446,0.005665,0.048930,0.000576,0.013600,0.000352,0.001440,0.001152,0.000384,1.193684
0.415698,0.739039,0.005441,0.048898,0.000576,0.014208,0.000416,0.002080,0.001184,0.000384,1.237365
0.416306,0.689245,0.005473,0.048130,0.001024,0.013984,0.000384,0.001921,0.001120,0.000352,1.187379
0.416914,0.699070,0.005568,0.048482,0.000576,0.013601,0.000384,0.001536,0.001248,0.000384,1.197683
0.415986,0.733280,0.005408,0.048354,0.000768,0.013473,0.000352,0.001600,0.001216,0.000416,1.229845
0.415698,0.695966,0.005568,0.047970,0.000640,0.013793,0.000384,0.001568,0.001216,0.000352,1.192147
0.416146,0.703774,0.005536,0.048322,0.000576,0.013441,0.000384,0.001536,0.001056,0.000416,1.199955
0.454643,0.712767,0.005504,0.048290,0.000608,0.013441,0.000384,0.001504,0.001056,0.000352,1.248117
0.415410,0.698238,0.005377,0.048098,0.001024,0.013472,0.000384,0.001601,0.001120,0.000384,1.194068
0.415858,0.730496,0.005632,0.048418,0.000768,0.013441,0.000384,0.001536,0.001088,0.000352,1.226389
0.416914,0.710590,0.005633,0.048802,0.000768,0.013792,0.000352,0.001504,0.001153,0.000256,1.207764
0.416050,0.699230,0.005665,0.048354,0.000864,0.013632,0.000384,0.001504,0.001248,0.000352,1.195988
0.416562,0.744128,0.007521,0.048354,0.000832,0.013729,0.000416,0.001728,0.001120,0.000384,1.243798
0.418706,0.710526,0.005696,0.048642,0.000896,0.013441,0.000352,0.001664,0.001152,0.000384,1.210356
0.418833,0.736575,0.005601,0.048482,0.000576,0.013824,0.000384,0.001952,0.001089,0.000352,1.237173
0.438418,0.775585,0.006272,0.049026,0.000832,0.013953,0.000352,0.002048,0.002016,0.000576,1.300855
0.417234,0.705951,0.005728,0.048290,0.000768,0.013633,0.000384,0.001696,0.001024,0.000224,1.204500
0.417362,0.739968,0.005664,0.050082,0.000768,0.013473,0.000352,0.001856,0.001024,0.000352,1.240341
0.417106,0.692606,0.005600,0.048610,0.000865,0.013824,0.000320,0.001760,0.001376,0.000352,1.191123
0.416626,0.740576,0.005600,0.048322,0.000800,0.013633,0.000384,0.001888,0.001152,0.000384,1.238773
0.416690,0.727903,0.005409,0.048290,0.000640,0.013632,0.000352,0.001792,0.001216,0.000353,1.225397
0.417714,0.703711,0.005664,0.049474,0.000768,0.013729,0.000352,0.001536,0.001184,0.000384,1.203924
0.417682,0.703102,0.005472,0.048482,0.000800,0.013761,0.000352,0.001792,0.001248,0.000416,1.202227
0.416530,0.736576,0.005504,0.048354,0.000608,0.013569,0.000352,0.001664,0.001184,0.000320,1.233941
0.416562,0.708383,0.005440,0.048418,0.000544,0.013537,0.000352,0.001920,0.001152,0.000384,1.205332
0.416658,0.713662,0.005824,0.048578,0.000832,0.013953,0.000384,0.001792,0.001376,0.000384,1.213620
0.433907,0.712607,0.005536,0.048674,0.000576,0.013985,0.000352,0.001536,0.001024,0.000352,1.229301
0.416818,0.703678,0.005536,0.048514,0.000576,0.013633,0.000384,0.001728,0.001280,0.000352,1.201299
0.418130,0.748512,0.005473,0.068163,0.001088,0.013760,0.000448,0.001600,0.001184,0.000384,1.268630
0.418290,0.712159,0.005984,0.048418,0.000800,0.013569,0.000384,0.001888,0.001216,0.000448,1.212500
0.416210,0.731136,0.005696,0.050562,0.000576,0.014113,0.000384,0.001792,0.001152,0.000384,1.231125
0.416978,0.716863,0.005568,0.048738,0.000608,0.013760,0.000352,0.001504,0.001120,0.000352,1.215124
0.416210,0.752769,0.005632,0.048834,0.000608,0.013889,0.000352,0.001472,0.001184,0.000384,1.250550
0.416722,0.724863,0.005537,0.048354,0.000576,0.013664,0.000352,0.001536,0.001120,0.000352,1.221653
0.435411,0.706526,0.005569,0.049666,0.000832,0.014049,0.000384,0.001792,0.001120,0.000416,1.225525
0.418194,0.696158,0.005632,0.048290,0.000608,0.013601,0.000384,0.001728,0.001312,0.000352,1.196051
0.418066,0.698110,0.005536,0.048610,0.000897,0.013600,0.000352,0.001600,0.001344,0.000384,1.196691
0.415378,0.710494,0.005825,0.048994,0.001088,0.013824,0.000416,0.001569,0.001344,0.000352,1.208276
0.417458,0.732192,0.005504,0.050242,0.000768,0.014113,0.000384,0.001504,0.001312,0.000352,1.232757
0.415730,0.731615,0.005601,0.048706,0.000800,0.013824,0.000384,0.001568,0.001120,0.000384,1.228821
0.416145,0.721887,0.005344,0.048706,0.000800,0.013441,0.000352,0.001536,0.001152,0.000384,1.218612
0.416434,0.753696,0.005568,0.048706,0.000576,0.013729,0.000384,0.001600,0.001088,0.000384,1.251798
0.415378,0.723519,0.005472,0.048162,0.000800,0.013824,0.000352,0.001600,0.001152,0.000352,1.219796
0.417298,0.704638,0.005536,0.048258,0.000544,0.013345,0.000416,0.001536,0.001088,0.000384,1.201844
0.416146,0.716095,0.005472,0.048291,0.000576,0.013376,0.000352,0.001536,0.001120,0.000384,1.212948
0.432499,0.714846,0.005409,0.048290,0.000608,0.013376,0.000352,0.001505,0.001120,0.000416,1.227797
0.415377,0.694654,0.005505,0.048290,0.000800,0.013472,0.000384,0.001600,0.001184,0.000352,1.191251
0.417234,0.732639,0.005377,0.048930,0.000576,0.013600,0.000384,0.001696,0.001057,0.000352,1.230837
0.416274,0.732447,0.005601,0.048194,0.000608,0.013568,0.000352,0.001696,0.001088,0.000384,1.229652
0.415954,0.709886,0.005729,0.049794,0.000576,0.013536,0.000384,0.001600,0.001088,0.000321,1.207828
0.415890,0.726719,0.005568,0.048066,0.000576,0.013792,0.000385,0.001984,0.001248,0.000384,1.224501
0.415602,0.714047,0.005472,0.048322,0.000800,0.013409,0.000352,0.001472,0.001184,0.000352,1.210452
0.415762,0.720607,0.005568,0.048098,0.000864,0.013505,0.000320,0.001600,0.001280,0.000384,1.216980
0.417202,0.722783,0.005665,0.049186,0.000544,0.013600,0.000416,0.001633,0.001120,0.000320,1.222133
0.415538,0.704798,0.005696,0.048290,0.000800,0.013633,0.000352,0.001600,0.001216,0.000384,1.201652
0.416306,0.707262,0.005793,0.048898,0.000768,0.013888,0.000352,0.001536,0.001216,0.000352,1.205588
0.447956,0.708414,0.005504,0.048354,0.000769,0.013664,0.000384,0.001568,0.001120,0.000384,1.237653
0.416530,0.690270,0.005536,0.048546,0.000864,0.013505,0.000384,0.001536,0.001120,0.000352,1.186771
0.415538,0.700542,0.005888,0.050114,0.000544,0.013697,0.000352,0.001600,0.001120,0.000352,1.197940
0.417138,0.707358,0.005728,0.048322,0.000736,0.013568,0.000352,0.001728,0.001152,0.000352,1.204947
0.418994,0.701630,0.005569,0.048578,0.000800,0.013760,0.000352,0.001600,0.001216,0.000384,1.201556
0.418066,0.737280,0.005600,0.050402,0.000576,0.013568,0.000352,0.001536,0.001120,0.000352,1.238293
0.418034,0.710270,0.005633,0.049634,0.000576,0.013760,0.000320,0.001985,0.001088,0.000416,1.210484
0.417330,0.711359,0.005632,0.048770,0.000576,0.013569,0.000384,0.001568,0.001088,0.000384,1.209620
0.417202,0.733087,0.005568,0.048674,0.000832,0.014081,0.000384,0.002080,0.001376,0.000384,1.232917
