Layer[0],Layer[1],TEE[2-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.863841,0.036068,1.576377,0.001758,0.030408,0.000959,0.003198,0.002111,0.000608,2.531571
0.864449,0.036772,1.592108,0.002111,0.030792,0.000992,0.003389,0.003997,0.001055,2.552867
0.864769,0.036356,1.593419,0.002238,0.030824,0.001023,0.003325,0.003901,0.001087,2.557375
0.862275,0.036068,1.516359,0.001918,0.029705,0.001023,0.003518,0.002846,0.001183,2.471138
0.909279,0.036292,1.516200,0.001790,0.030025,0.000959,0.003549,0.002398,0.001055,2.519581
0.864928,0.036227,1.562436,0.002526,0.030632,0.000991,0.003390,0.002015,0.000735,2.520444
0.864161,0.036419,1.525153,0.001598,0.029481,0.000959,0.003325,0.002110,0.000864,2.480634
0.864065,0.036196,1.535161,0.001887,0.030473,0.000959,0.003709,0.002174,0.000863,2.492817
0.862540,0.036292,1.530573,0.001854,0.030185,0.000959,0.003293,0.002110,0.000864,2.483828
0.873092,0.036132,1.547872,0.001727,0.029578,0.000959,0.003165,0.002014,0.000863,2.511711
0.871237,0.035972,1.521556,0.001567,0.029481,0.000959,0.003069,0.002302,0.000832,2.482293
0.902638,0.036517,1.532779,0.001759,0.030824,0.000991,0.003326,0.002111,0.000863,2.529009
0.867465,0.035909,1.550782,0.001598,0.030281,0.001023,0.003454,0.002143,0.000895,2.510080
0.874340,0.036516,1.573548,0.001567,0.029738,0.000991,0.003198,0.002111,0.000864,2.539657
0.863596,0.036005,1.517367,0.001631,0.029801,0.001023,0.003198,0.002143,0.000800,2.471517
0.902094,0.036388,1.526033,0.001918,0.029993,0.001023,0.003230,0.001919,0.000608,2.519993
0.885946,0.036165,1.566705,0.001791,0.029610,0.000895,0.003038,0.002110,0.000639,2.543846
0.862477,0.036356,1.514841,0.001471,0.030153,0.000991,0.003390,0.038275,0.000959,2.505859
0.873358,0.036388,1.521061,0.001822,0.029961,0.001024,0.003390,0.002526,0.000864,2.486765
0.892480,0.036452,1.566595,0.001375,0.029546,0.000928,0.003390,0.002558,0.000864,2.549950
0.866803,0.036101,1.623672,0.001823,0.029962,0.000991,0.003453,0.002334,0.000832,2.582149
0.880872,0.036069,1.590544,0.002143,0.031656,0.001215,0.003325,0.002046,0.000863,2.565682
0.873422,0.036484,1.513867,0.001791,0.029578,0.000960,0.003357,0.002046,0.000703,2.477844
0.906165,0.036260,1.516456,0.001822,0.030377,0.000960,0.003390,0.002174,0.000639,2.514456
0.863061,0.036261,1.555339,0.001535,0.030217,0.001023,0.002974,0.002142,0.000864,2.508861
0.861175,0.035845,1.514858,0.001503,0.029258,0.000991,0.003070,0.001983,0.000608,2.465342
0.863573,0.036388,1.524642,0.001855,0.029834,0.000991,0.003485,0.001886,0.000991,2.481233
0.897307,0.036037,1.491899,0.001567,0.029738,0.000959,0.003645,0.002142,0.000832,2.479923
0.874582,0.036645,1.583271,0.002654,0.030825,0.000991,0.003293,0.002910,0.000927,2.554678
0.861344,0.035973,1.519990,0.001727,0.031016,0.000991,0.003358,0.002463,0.000608,2.473778
0.866780,0.036229,1.512189,0.001790,0.030185,0.000991,0.003422,0.002238,0.000799,2.471188
0.897413,0.039107,1.523156,0.001758,0.029514,0.000832,0.003006,0.002303,0.000704,2.513748
0.866012,0.036421,1.561655,0.001790,0.029546,0.000991,0.003485,0.002046,0.000671,2.519760
0.863742,0.035942,1.516793,0.001535,0.029066,0.000991,0.003486,0.001951,0.000608,2.471251
0.861440,0.036741,1.575565,0.001695,0.029290,0.000895,0.003262,0.002143,0.000672,2.527978
0.902977,0.038659,1.516025,0.001759,0.029994,0.000960,0.003294,0.002238,0.000863,2.516274
0.861248,0.036293,1.531278,0.001631,0.029642,0.001023,0.003390,0.001823,0.000832,2.481196
0.861120,0.035878,1.508575,0.001695,0.030090,0.000959,0.003357,0.001854,0.000831,2.460220
