Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],TEE[8-9],Layer[10],classifier
0.416368,0.017345,0.202152,0.004992,0.047106,0.000608,0.013441,0.000384,0.174727,0.000608,0.885283
0.420208,0.020833,0.201864,0.004864,0.047138,0.000608,0.013441,0.000384,0.160870,0.000576,0.877890
0.415952,0.017153,0.201864,0.005088,0.046850,0.000544,0.013376,0.000384,0.203080,0.000609,0.912996
0.416272,0.017473,0.202024,0.005312,0.047138,0.000576,0.013440,0.000384,0.178791,0.000800,0.889794
0.416369,0.017280,0.201832,0.005280,0.048386,0.000576,0.013441,0.000384,0.182311,0.000544,0.893155
0.420848,0.017377,0.203112,0.005248,0.048738,0.000544,0.013376,0.000385,0.175462,0.000576,0.892322
0.437937,0.017376,0.201864,0.004833,0.048225,0.000608,0.013377,0.000352,0.183111,0.000608,0.915204
0.417040,0.017377,0.202824,0.004768,0.047618,0.000768,0.013377,0.000352,0.178183,0.000576,0.889891
0.416592,0.017153,0.202440,0.004864,0.047938,0.000576,0.013409,0.000416,0.178151,0.000608,0.889507
0.416016,0.017345,0.202312,0.005088,0.047234,0.000576,0.013440,0.000417,0.213128,0.000736,0.923588
0.416112,0.017345,0.202056,0.004864,0.047298,0.000800,0.013409,0.000352,0.182055,0.000608,0.892707
0.418608,0.018272,0.202856,0.005120,0.048802,0.000576,0.013473,0.000384,0.186663,0.001152,0.903587
0.422257,0.017665,0.201800,0.005248,0.048802,0.000608,0.014144,0.000384,0.170726,0.000512,0.892195
0.436625,0.017761,0.202312,0.005088,0.048738,0.000544,0.013536,0.000384,0.173735,0.000672,0.906755
0.421873,0.017536,0.202248,0.004801,0.049474,0.000736,0.013760,0.000384,0.177895,0.000704,0.896387
0.417137,0.018368,0.201959,0.004865,0.048994,0.000800,0.013888,0.000384,0.175271,0.000576,0.889251
0.416240,0.017409,0.202152,0.005056,0.048610,0.000576,0.013696,0.000384,0.209353,0.000704,0.921924
0.416528,0.017377,0.202376,0.004800,0.048706,0.000800,0.013537,0.000416,0.175751,0.000576,0.888419
0.417200,0.020897,0.202056,0.004832,0.047618,0.000608,0.013441,0.000352,0.176519,0.000544,0.891459
0.420784,0.017569,0.202600,0.005056,0.047714,0.000576,0.013568,0.000416,0.178983,0.000640,0.895011
0.433072,0.017632,0.202408,0.004864,0.047650,0.000608,0.013505,0.000352,0.177063,0.000672,0.906851
0.416112,0.017505,0.202600,0.004960,0.047970,0.000608,0.013473,0.000352,0.174119,0.000992,0.885571
0.415888,0.017280,0.204008,0.005056,0.047810,0.000576,0.013729,0.000384,0.176839,0.000544,0.889763
0.420753,0.017761,0.202824,0.004864,0.048066,0.000544,0.013440,0.000352,0.177415,0.000832,0.895043
0.416401,0.017632,0.202120,0.004801,0.048610,0.000608,0.013792,0.000416,0.170631,0.000608,0.882691
0.421200,0.017409,0.202280,0.004864,0.048386,0.000736,0.013441,0.000384,0.176231,0.000640,0.892227
0.417905,0.017568,0.202056,0.004864,0.049218,0.000576,0.013633,0.000384,0.181127,0.000640,0.895683
0.437297,0.017665,0.202184,0.005184,0.049538,0.000576,0.013664,0.000352,0.200776,0.000992,0.936228
0.415920,0.017440,0.202120,0.005056,0.048866,0.000608,0.013697,0.000352,0.179367,0.000704,0.891523
0.416817,0.017824,0.202184,0.005024,0.048834,0.000576,0.013409,0.000352,0.179463,0.000576,0.892547
0.420337,0.017153,0.201927,0.005281,0.048162,0.000576,0.013408,0.000384,0.203496,0.001184,0.919844
0.417488,0.017505,0.202632,0.005120,0.048066,0.000544,0.013472,0.000448,0.183528,0.000608,0.896739
0.420144,0.017505,0.204392,0.005024,0.048834,0.000768,0.013601,0.000416,0.178407,0.000576,0.897859
0.415825,0.017472,0.202536,0.004864,0.048194,0.000544,0.013537,0.000416,0.177991,0.000800,0.889699
0.438833,0.017697,0.204840,0.004864,0.049506,0.000768,0.013793,0.000352,0.176455,0.000768,0.916452
0.421073,0.017600,0.203880,0.005313,0.048193,0.000608,0.013729,0.000352,0.180071,0.000928,0.898627
0.417744,0.017601,0.202728,0.005088,0.047554,0.000768,0.013569,0.000416,0.186471,0.000768,0.901539
0.418064,0.017441,0.202600,0.005056,0.048866,0.000736,0.013888,0.000448,0.201416,0.000832,0.917347
0.416145,0.017760,0.203144,0.004833,0.049762,0.000768,0.013888,0.000352,0.197192,0.000704,0.914532
0.417201,0.017665,0.203431,0.004864,0.049282,0.000736,0.013664,0.000416,0.182119,0.000992,0.897156
0.417392,0.017505,0.202536,0.004832,0.048962,0.000736,0.013889,0.000416,0.184327,0.000576,0.900387
0.432401,0.017761,0.202632,0.004768,0.048610,0.000576,0.014016,0.000384,0.177159,0.000544,0.907075
