Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],TEE[8-9],Layer[10],classifier
0.416305,0.017760,0.202376,0.005088,0.049058,0.000640,0.014017,0.000384,0.176839,0.000800,0.891427
0.421104,0.018017,0.202216,0.004992,0.048386,0.000576,0.013921,0.000416,0.182919,0.000704,0.900931
0.421265,0.017569,0.202088,0.005280,0.048738,0.000704,0.013856,0.000384,0.183816,0.000672,0.902244
0.421425,0.017761,0.203464,0.005248,0.048514,0.000576,0.013536,0.000384,0.183207,0.000609,0.902500
0.420656,0.034690,0.202408,0.005408,0.048258,0.000736,0.013664,0.000416,0.180487,0.000672,0.915684
0.421392,0.017601,0.202120,0.004832,0.048162,0.000736,0.013601,0.000384,0.174471,0.000704,0.891747
0.417105,0.017569,0.202183,0.004864,0.047970,0.000576,0.013600,0.000352,0.182247,0.000928,0.894947
0.427569,0.017792,0.203528,0.005025,0.048450,0.000608,0.013568,0.000416,0.184711,0.000929,0.911044
0.416400,0.017761,0.202568,0.004768,0.049986,0.000736,0.013729,0.000384,0.175495,0.000640,0.889347
0.418192,0.017601,0.202760,0.005056,0.048290,0.000736,0.013473,0.000352,0.177607,0.000640,0.892515
0.416817,0.017440,0.202728,0.004833,0.048609,0.000768,0.013633,0.000416,0.182631,0.000544,0.896387
0.423537,0.017665,0.219432,0.005217,0.049025,0.000769,0.013440,0.000384,0.177831,0.000576,0.915588
0.416240,0.017697,0.203048,0.005056,0.047650,0.000768,0.013729,0.000384,0.174758,0.000577,0.887331
0.418225,0.017505,0.203176,0.004800,0.048834,0.000768,0.013376,0.000416,0.175943,0.000608,0.891107
0.417488,0.017504,0.202632,0.004800,0.048674,0.000800,0.013601,0.000384,0.173447,0.000896,0.887747
0.418704,0.017889,0.202984,0.005024,0.048962,0.000512,0.013376,0.000384,0.187143,0.000640,0.902947
0.416752,0.017569,0.203016,0.004960,0.048034,0.000576,0.013376,0.000384,0.179847,0.000672,0.892418
0.416593,0.017505,0.202887,0.005025,0.048898,0.000544,0.013312,0.000352,0.177095,0.000992,0.890883
0.415760,0.017537,0.222633,0.005152,0.049282,0.000608,0.013537,0.000352,0.179015,0.000768,0.912324
0.421840,0.017921,0.203304,0.004832,0.048162,0.000768,0.013569,0.000416,0.179495,0.000608,0.898275
0.416592,0.017569,0.203560,0.005056,0.049346,0.000736,0.014112,0.000576,0.176455,0.000992,0.892674
0.417393,0.017665,0.202472,0.004800,0.049762,0.000576,0.013952,0.000384,0.166119,0.000736,0.880803
0.437105,0.017505,0.202984,0.004832,0.048578,0.000544,0.014017,0.000384,0.182375,0.000832,0.917348
0.416080,0.017537,0.202248,0.005056,0.048642,0.000608,0.013537,0.000416,0.178855,0.001120,0.891363
0.420752,0.017472,0.201992,0.004864,0.048002,0.000576,0.013377,0.000416,0.175879,0.000544,0.891491
0.417200,0.017921,0.203112,0.004864,0.066243,0.000800,0.013504,0.000384,0.178439,0.001056,0.911139
0.416977,0.017504,0.202920,0.005185,0.048130,0.000736,0.013408,0.000384,0.162726,0.000576,0.876483
0.421713,0.017665,0.203144,0.004832,0.048226,0.000736,0.013376,0.000352,0.175079,0.000576,0.892995
0.417392,0.017376,0.202216,0.005024,0.047938,0.000640,0.013441,0.000416,0.159366,0.000608,0.871458
0.436017,0.017473,0.202152,0.004768,0.048162,0.000544,0.013376,0.000416,0.164231,0.000704,0.894979
0.416400,0.018241,0.202184,0.004960,0.047394,0.000544,0.013569,0.000384,0.168166,0.000544,0.879106
0.415760,0.017569,0.202632,0.004864,0.048450,0.000448,0.013280,0.000352,0.160871,0.000576,0.871266
0.416496,0.017569,0.201992,0.004896,0.048002,0.000480,0.013376,0.000416,0.158567,0.000768,0.869090
0.416145,0.017664,0.202088,0.004832,0.047202,0.000544,0.013281,0.000416,0.167110,0.000512,0.876003
0.415248,0.017473,0.202760,0.005312,0.047810,0.000448,0.013312,0.000384,0.155878,0.000737,0.865794
0.415312,0.017921,0.202248,0.004896,0.048034,0.000544,0.013345,0.000352,0.163622,0.000512,0.873826
0.416208,0.017505,0.216232,0.005248,0.049346,0.000608,0.013633,0.000384,0.160966,0.000576,0.888066
0.415856,0.017729,0.202440,0.005312,0.048098,0.000448,0.013344,0.000384,0.159399,0.000544,0.869890
0.416881,0.017472,0.202088,0.005313,0.048481,0.000480,0.013377,0.000384,0.155270,0.000896,0.867522
0.415504,0.017473,0.203048,0.004928,0.047554,0.000448,0.013344,0.000384,0.161927,0.000672,0.872418
0.432209,0.017569,0.203016,0.005120,0.050210,0.000576,0.013825,0.000384,0.182951,0.000544,0.913636
0.417041,0.017568,0.202984,0.004768,0.049953,0.000737,0.013440,0.000416,0.170375,0.000896,0.884899
0.416465,0.017600,0.201992,0.005024,0.048130,0.000640,0.013409,0.000384,0.159238,0.000640,0.870050
0.415377,0.017536,0.201896,0.004800,0.048706,0.000448,0.013313,0.000352,0.185127,0.000640,0.894563
0.416049,0.020928,0.202728,0.005057,0.048418,0.000640,0.013888,0.000416,0.183111,0.000640,0.899171
0.415344,0.017377,0.202344,0.004832,0.047394,0.000736,0.013504,0.000576,0.151301,0.000640,0.860578
0.415728,0.017665,0.202024,0.004864,0.047586,0.000576,0.013952,0.000384,0.163143,0.000576,0.873058
0.416912,0.017601,0.215529,0.004928,0.048674,0.000608,0.013952,0.000416,0.167495,0.000864,0.894147
0.414576,0.017537,0.202952,0.004768,0.047810,0.000576,0.013569,0.000352,0.158438,0.000608,0.867490
0.416048,0.017665,0.202440,0.004800,0.047874,0.000608,0.013505,0.000352,0.162822,0.000576,0.873794
0.414384,0.017601,0.203624,0.005312,0.048514,0.000512,0.013409,0.000384,0.156710,0.000512,0.867458
0.429137,0.017537,0.202216,0.004832,0.047682,0.000448,0.013344,0.000448,0.172903,0.000576,0.895651
0.416368,0.021121,0.201736,0.004800,0.048226,0.000544,0.013280,0.000352,0.161383,0.000672,0.875010
0.415824,0.017633,0.202536,0.005088,0.048130,0.000480,0.013345,0.000352,0.171334,0.000544,0.881539
0.417136,0.017761,0.202024,0.004768,0.047810,0.000448,0.013280,0.000320,0.212905,0.000672,0.923940
0.421361,0.018273,0.202440,0.004832,0.047842,0.000608,0.013920,0.000384,0.176167,0.000544,0.894211
0.416208,0.017633,0.201992,0.004864,0.047874,0.000576,0.013440,0.000352,0.186312,0.000512,0.897987
0.415857,0.017568,0.202888,0.005121,0.048033,0.000544,0.013696,0.000416,0.182823,0.000544,0.895299
0.433585,0.017761,0.202504,0.005056,0.048226,0.000704,0.013664,0.000384,0.181672,0.000512,0.912452
0.421105,0.017568,0.202632,0.005057,0.047937,0.000576,0.013856,0.000384,0.187975,0.000736,0.905892
0.416368,0.017633,0.203112,0.005312,0.048386,0.000544,0.013537,0.000384,0.178151,0.000672,0.891779
0.416048,0.017697,0.202216,0.005280,0.048610,0.000512,0.013344,0.000384,0.193832,0.000864,0.905795
0.415824,0.017729,0.202312,0.004864,0.048642,0.000576,0.013632,0.000384,0.196520,0.000544,0.907683
0.415825,0.017537,0.202119,0.004897,0.048514,0.000512,0.013408,0.000384,0.157158,0.000576,0.867714
0.415984,0.017697,0.202504,0.004896,0.047938,0.000544,0.013344,0.000352,0.168967,0.000544,0.879490
0.415537,0.017697,0.202600,0.005280,0.047810,0.000576,0.013440,0.000384,0.149925,0.000480,0.875523
0.416209,0.017600,0.203144,0.005056,0.047169,0.000576,0.013345,0.000384,0.177799,0.000640,0.889635
0.415504,0.017281,0.202600,0.004832,0.047394,0.000448,0.013600,0.000416,0.183719,0.001024,0.893891
0.419344,0.017473,0.202472,0.004800,0.047906,0.000480,0.013312,0.000384,0.165542,0.000960,0.879714
0.415537,0.017793,0.202023,0.004865,0.047105,0.000481,0.013344,0.000384,0.176103,0.000576,0.885731
0.420241,0.017793,0.202472,0.004800,0.047970,0.000480,0.013440,0.000384,0.191336,0.000672,0.906276
0.415824,0.017409,0.202536,0.004800,0.047906,0.000544,0.013376,0.000352,0.159718,0.000736,0.869570
0.415504,0.017729,0.201864,0.004864,0.060066,0.000640,0.013537,0.000384,0.199944,0.000672,0.921572
0.415664,0.017473,0.201928,0.004768,0.047554,0.000608,0.013313,0.000384,0.170150,0.000928,0.878851
0.416561,0.017696,0.202055,0.004929,0.047938,0.000480,0.013312,0.000352,0.168839,0.000512,0.879459
0.415664,0.017601,0.202792,0.005056,0.047362,0.000480,0.013313,0.000384,0.198440,0.000640,0.908132
0.425744,0.017473,0.203144,0.004768,0.047106,0.000576,0.013313,0.000384,0.160294,0.000448,0.879906
0.415857,0.017632,0.202472,0.004864,0.046946,0.000512,0.013377,0.000384,0.160358,0.000544,0.869314
0.415504,0.017697,0.202824,0.004928,0.046946,0.000576,0.013408,0.000384,0.173959,0.000672,0.883810
0.416656,0.017441,0.202280,0.004832,0.049154,0.000544,0.013665,0.000384,0.160102,0.000640,0.872034
0.416305,0.017760,0.202472,0.004865,0.048417,0.000544,0.013793,0.000416,0.162054,0.000544,0.873443
0.416240,0.017633,0.202055,0.005312,0.049090,0.000576,0.013472,0.000416,0.161351,0.000704,0.873474
0.415888,0.017601,0.202248,0.004768,0.048002,0.000448,0.013344,0.000384,0.176263,0.000544,0.885794
0.415984,0.017473,0.217672,0.005216,0.047778,0.000512,0.013281,0.000384,0.167142,0.000608,0.892451
0.416561,0.017504,0.202055,0.004833,0.047457,0.000544,0.013408,0.000352,0.159814,0.000576,0.869314
0.417200,0.017601,0.202728,0.005024,0.047490,0.000544,0.013504,0.000384,0.172135,0.000672,0.885218
0.415728,0.017473,0.202216,0.005312,0.046946,0.000576,0.013505,0.000384,0.181735,0.000608,0.890915
0.431185,0.017665,0.202856,0.004896,0.047010,0.000480,0.013377,0.000416,0.202600,0.000672,0.929957
0.417136,0.017601,0.202504,0.004864,0.047426,0.000640,0.013377,0.000448,0.174663,0.000704,0.886627
0.416976,0.017888,0.202792,0.004864,0.048930,0.000736,0.013665,0.000384,0.187015,0.000512,0.900739
0.417072,0.017505,0.201992,0.005056,0.047714,0.000736,0.013696,0.000352,0.188648,0.000704,0.900163
0.416176,0.017633,0.202472,0.004768,0.048194,0.000512,0.013409,0.000384,0.175366,0.000768,0.886819
0.416720,0.017697,0.202408,0.004864,0.046882,0.000608,0.013408,0.000320,0.177639,0.000576,0.888034
0.415216,0.017345,0.202504,0.004768,0.047554,0.000544,0.013376,0.000416,0.167495,0.000608,0.877346
0.416913,0.017505,0.218504,0.005312,0.047170,0.000576,0.013633,0.000352,0.161158,0.000576,0.888835
0.417072,0.017569,0.202056,0.005056,0.048002,0.000576,0.013505,0.000384,0.180839,0.000608,0.893539
0.422225,0.020961,0.202695,0.005281,0.047490,0.000448,0.013376,0.000352,0.164999,0.000544,0.885027
0.416497,0.017505,0.202055,0.004833,0.047586,0.000480,0.013344,0.000320,0.164231,0.000768,0.874307
0.431345,0.017441,0.202472,0.004832,0.047106,0.000608,0.013472,0.000416,0.177799,0.000672,0.902979
0.421169,0.017825,0.202216,0.004800,0.047970,0.000576,0.013440,0.000416,0.181799,0.000768,0.898884
0.416465,0.017760,0.202823,0.004833,0.050210,0.000608,0.013696,0.000352,0.176519,0.000608,0.891651
0.415601,0.017664,0.202248,0.005089,0.048129,0.024449,0.014113,0.000384,0.218057,0.000608,0.954662
0.420049,0.017569,0.202728,0.005088,0.048034,0.000576,0.013344,0.000384,0.178887,0.000640,0.894499
0.416304,0.017537,0.201928,0.004800,0.049026,0.000544,0.013601,0.000384,0.177351,0.001024,0.889891
0.417489,0.017600,0.202248,0.005024,0.047202,0.000608,0.013569,0.000384,0.176647,0.000608,0.888227
0.445842,0.017600,0.202152,0.005345,0.047617,0.000576,0.013345,0.000352,0.179847,0.000672,0.921284
0.421041,0.017537,0.201864,0.004832,0.048322,0.000576,0.013312,0.000384,0.167495,0.000704,0.883619
0.417136,0.017345,0.202440,0.004800,0.048482,0.000768,0.013408,0.000416,0.181799,0.000576,0.894852
0.417713,0.017665,0.202312,0.004832,0.047970,0.000544,0.013728,0.000384,0.189544,0.000576,0.903652
0.416753,0.017568,0.202248,0.005025,0.048833,0.000704,0.013632,0.000384,0.177063,0.000576,0.890147
0.416336,0.017729,0.203016,0.004832,0.048610,0.000736,0.013345,0.000352,0.164870,0.000832,0.877986
0.420912,0.017601,0.202728,0.004832,0.047810,0.000576,0.013440,0.000416,0.176646,0.000673,0.893603
0.433041,0.017856,0.201960,0.004993,0.048353,0.000577,0.013376,0.000416,0.175591,0.000544,0.904131
0.417584,0.017569,0.202856,0.004800,0.048866,0.000768,0.013537,0.000384,0.176967,0.000512,0.891267
0.417072,0.017569,0.202600,0.004928,0.048194,0.000736,0.013665,0.000384,0.180327,0.000640,0.893667
0.417168,0.017441,0.202728,0.005056,0.050466,0.000672,0.013473,0.000416,0.202472,0.000576,0.918660
0.416785,0.017761,0.203176,0.004864,0.049026,0.000544,0.013600,0.000416,0.173383,0.000960,0.888035
0.416337,0.017824,0.202504,0.004801,0.048290,0.000576,0.013632,0.000352,0.176711,0.000576,0.889923
0.416688,0.017792,0.202184,0.004928,0.047842,0.000576,0.013665,0.000384,0.179399,0.000576,0.892163
0.431665,0.017632,0.202567,0.004897,0.047554,0.000544,0.013504,0.000384,0.176711,0.000928,0.904195
0.416784,0.017569,0.202856,0.005024,0.048226,0.000608,0.013377,0.000384,0.169574,0.000512,0.881506
0.420593,0.017441,0.202663,0.004737,0.047394,0.000544,0.013344,0.000416,0.169543,0.000480,0.884323
0.421136,0.017632,0.202312,0.005088,0.048258,0.000544,0.013953,0.000416,0.171943,0.000608,0.888867
0.421073,0.017792,0.202599,0.004833,0.047714,0.000576,0.013632,0.000352,0.163975,0.000512,0.880003
0.417009,0.017632,0.203080,0.004896,0.047554,0.000480,0.013537,0.000384,0.173959,0.000992,0.886947
0.416432,0.017633,0.202888,0.004832,0.047234,0.000576,0.013376,0.000384,0.172199,0.000640,0.883074
0.433809,0.017633,0.202216,0.004992,0.047138,0.000608,0.013377,0.000352,0.172294,0.000512,0.899875
0.417296,0.017505,0.202440,0.005120,0.047522,0.000576,0.013344,0.000353,0.178182,0.000544,0.891107
0.416112,0.017601,0.202760,0.004864,0.047170,0.000544,0.013409,0.000416,0.181735,0.000640,0.893987
0.416657,0.017632,0.202024,0.004833,0.047393,0.000609,0.013664,0.000384,0.176807,0.000800,0.888675
0.415984,0.017601,0.202856,0.005056,0.047746,0.000640,0.013856,0.000384,0.171559,0.000672,0.883458
0.416241,0.017472,0.202152,0.005088,0.048802,0.000576,0.013665,0.000352,0.174119,0.000640,0.885603
0.416496,0.017632,0.202664,0.005056,0.047362,0.000576,0.013377,0.000384,0.181383,0.000992,0.893187
0.416400,0.017569,0.232361,0.005568,0.049122,0.000608,0.013633,0.000416,0.184839,0.000832,0.929380
0.417200,0.017665,0.202728,0.005088,0.048546,0.000768,0.014016,0.000384,0.185384,0.000736,0.900067
0.416368,0.017761,0.202120,0.005120,0.049154,0.000576,0.013888,0.000352,0.173990,0.000576,0.887458
0.415568,0.017601,0.202536,0.005152,0.049090,0.000768,0.013824,0.000384,0.177223,0.000480,0.889602
0.416497,0.017760,0.203368,0.004865,0.047938,0.000576,0.013696,0.000384,0.168935,0.000480,0.881475
0.417680,0.017729,0.203208,0.005024,0.048674,0.000576,0.013697,0.000384,0.173511,0.000544,0.888739
0.416624,0.017505,0.202536,0.005024,0.048514,0.000576,0.013633,0.000416,0.180871,0.000576,0.893635
0.415696,0.017793,0.224297,0.005152,0.048482,0.000576,0.013376,0.000384,0.187080,0.000640,0.920740
0.419888,0.017313,0.202408,0.004800,0.047618,0.000576,0.013601,0.000384,0.175975,0.000928,0.890531
0.415345,0.017280,0.201928,0.004897,0.047233,0.000577,0.013632,0.000384,0.174535,0.000512,0.883459
0.414608,0.017441,0.202152,0.005344,0.047650,0.000544,0.013664,0.000352,0.172263,0.000512,0.881506
0.433169,0.017633,0.202088,0.004864,0.046946,0.000576,0.013344,0.000352,0.173511,0.000608,0.899715
0.416048,0.017537,0.202952,0.004832,0.047394,0.000576,0.013409,0.000416,0.175814,0.000736,0.886403
0.416432,0.017601,0.202888,0.004928,0.046882,0.000608,0.013377,0.000352,0.159174,0.000576,0.869698
0.415824,0.017505,0.201832,0.004992,0.064067,0.000672,0.013504,0.000384,0.173543,0.000512,0.900419
0.416145,0.017504,0.202728,0.005089,0.047329,0.000577,0.013600,0.000448,0.180935,0.000576,0.893923
0.416112,0.017537,0.202408,0.004832,0.046946,0.000608,0.013409,0.000416,0.176454,0.000672,0.886819
0.417232,0.017441,0.202184,0.004864,0.047074,0.000544,0.013376,0.000352,0.172999,0.000672,0.883970
0.431089,0.018049,0.202344,0.004864,0.046978,0.000544,0.013376,0.000352,0.169159,0.000544,0.894659
0.420336,0.017665,0.203528,0.004864,0.047138,0.000576,0.013377,0.000384,0.171879,0.000704,0.887651
0.415472,0.017441,0.202792,0.004832,0.047138,0.000576,0.013344,0.000416,0.170087,0.000512,0.879682
0.421681,0.017729,0.202344,0.004832,0.046850,0.000544,0.013344,0.000384,0.181095,0.000608,0.896803
0.416433,0.017856,0.202632,0.004864,0.046818,0.000576,0.013633,0.000384,0.162438,0.000480,0.873154
0.416336,0.017761,0.203144,0.004864,0.046850,0.000640,0.013665,0.000352,0.164806,0.000608,0.876706
0.415696,0.017665,0.202408,0.004800,0.046914,0.000608,0.013409,0.000384,0.161062,0.000512,0.870082
0.435505,0.017761,0.202408,0.005248,0.046850,0.000544,0.013440,0.000384,0.176967,0.000736,0.907971
0.416368,0.017473,0.202472,0.004864,0.047906,0.000576,0.013408,0.000416,0.177095,0.000640,0.888642
0.415824,0.017633,0.202408,0.005088,0.047682,0.000576,0.013664,0.000416,0.180455,0.000480,0.890978
0.416464,0.017473,0.201864,0.004960,0.047138,0.000608,0.013440,0.000384,0.178119,0.000640,0.887426
0.416976,0.017441,0.202280,0.004832,0.047138,0.000576,0.013409,0.000384,0.172390,0.000512,0.882466
0.416080,0.017505,0.201928,0.005312,0.047554,0.000576,0.013376,0.000416,0.181704,0.000576,0.891459
0.416305,0.017568,0.202408,0.004897,0.047073,0.000576,0.013345,0.000352,0.173191,0.000544,0.882915
0.416496,0.017761,0.220232,0.005089,0.046977,0.000608,0.013377,0.000384,0.182407,0.000672,0.911523
0.416560,0.017345,0.202280,0.004864,0.046946,0.000576,0.013728,0.000384,0.160390,0.000576,0.870946
0.415376,0.017761,0.202440,0.004832,0.046914,0.000608,0.013441,0.000384,0.178855,0.000640,0.888771
0.416305,0.017761,0.201991,0.004833,0.047074,0.000608,0.013408,0.000384,0.179559,0.001024,0.892323
0.433009,0.017473,0.202472,0.004864,0.046946,0.000512,0.013441,0.000384,0.179399,0.000608,0.906276
0.415856,0.017409,0.202376,0.004896,0.046978,0.000512,0.013664,0.000352,0.171655,0.000512,0.880898
0.415760,0.017921,0.201992,0.004864,0.046978,0.000512,0.013408,0.000352,0.175206,0.000512,0.884002
0.416048,0.017568,0.203208,0.005056,0.062851,0.000576,0.013568,0.000384,0.171558,0.000544,0.897795
0.415952,0.017473,0.205064,0.004832,0.046914,0.000544,0.013409,0.000352,0.172967,0.000544,0.884515
0.416176,0.017505,0.201928,0.004928,0.046850,0.000576,0.013376,0.000384,0.164295,0.000544,0.872674
0.415825,0.017632,0.202248,0.004833,0.046785,0.000576,0.013633,0.000352,0.172647,0.000544,0.881795
0.433457,0.017633,0.201864,0.004832,0.046914,0.000576,0.013376,0.000352,0.174279,0.000576,0.901315
0.417456,0.017729,0.202184,0.005088,0.047778,0.000576,0.013568,0.000352,0.180424,0.000736,0.893603
0.416369,0.017696,0.203080,0.005025,0.048546,0.000544,0.013376,0.000384,0.167431,0.000672,0.880451
0.415952,0.017665,0.203016,0.004832,0.049410,0.000608,0.013665,0.000416,0.190119,0.000576,0.902947
0.415696,0.017569,0.202888,0.005088,0.048130,0.000768,0.013856,0.000384,0.171111,0.000512,0.883490
0.416081,0.017728,0.203816,0.005025,0.048577,0.000544,0.013857,0.000416,0.165607,0.000576,0.879235
0.416112,0.017569,0.203592,0.004768,0.048834,0.000608,0.013473,0.000352,0.171814,0.000544,0.885762
0.432401,0.017856,0.202184,0.004833,0.048674,0.000576,0.013888,0.000384,0.192072,0.000640,0.920996
0.417553,0.017824,0.202696,0.005313,0.048641,0.000608,0.014113,0.000384,0.181607,0.000832,0.897795
0.422384,0.017537,0.201864,0.005120,0.047938,0.000768,0.013921,0.000416,0.175302,0.000673,0.893315
0.421617,0.017536,0.202280,0.005057,0.047809,0.000576,0.013472,0.000416,0.204424,0.000864,0.922756
0.421264,0.017825,0.202344,0.005056,0.047906,0.000544,0.013857,0.000416,0.180615,0.000576,0.898915
0.417937,0.017536,0.202760,0.005024,0.052067,0.000736,0.013568,0.000416,0.185831,0.000801,0.904804
0.416592,0.017569,0.202696,0.005056,0.048354,0.000736,0.013505,0.000384,0.190503,0.000800,0.904067
0.434577,0.017633,0.202664,0.004800,0.048226,0.000608,0.013473,0.000352,0.176583,0.001024,0.908644
0.421456,0.017760,0.202632,0.005216,0.050434,0.000736,0.013441,0.000384,0.181831,0.000832,0.902659
0.420881,0.017600,0.202248,0.004865,0.049729,0.000576,0.013536,0.000384,0.183559,0.000672,0.901731
0.420304,0.017536,0.202152,0.005088,0.048002,0.000800,0.013793,0.000384,0.198120,0.001056,0.915300
0.420592,0.017793,0.203496,0.004864,0.048994,0.000736,0.013792,0.000384,0.165958,0.000768,0.885635
0.421232,0.017792,0.202088,0.005056,0.048226,0.000608,0.013729,0.000448,0.177639,0.000608,0.895107
0.420816,0.017921,0.202184,0.005120,0.048642,0.000800,0.013441,0.000384,0.180711,0.000800,0.899107
0.438065,0.017568,0.202632,0.004832,0.048738,0.000768,0.013505,0.000384,0.185223,0.000704,0.920484
0.420816,0.017984,0.202344,0.004832,0.047458,0.000576,0.013505,0.000384,0.180071,0.000960,0.896835
0.417104,0.017761,0.202984,0.004832,0.048898,0.000704,0.013537,0.000416,0.178311,0.001120,0.893443
0.421968,0.017600,0.202184,0.004864,0.048194,0.000512,0.013473,0.000352,0.185031,0.000608,0.902755
0.421136,0.017569,0.202024,0.004992,0.048130,0.000704,0.013536,0.000384,0.178695,0.000544,0.895363
0.422064,0.017600,0.202184,0.005088,0.047874,0.000800,0.013505,0.000384,0.178887,0.000608,0.896931
0.420784,0.017537,0.202888,0.005088,0.047778,0.000576,0.013472,0.000352,0.176967,0.000608,0.893794
0.436977,0.017504,0.203784,0.005056,0.048674,0.000544,0.013633,0.000416,0.175751,0.000800,0.912068
0.417009,0.017760,0.202183,0.004769,0.047810,0.000544,0.013568,0.000416,0.177767,0.000640,0.890243
0.416433,0.017760,0.202120,0.005057,0.048065,0.000608,0.013408,0.000352,0.175015,0.000800,0.886979
0.416112,0.017504,0.202696,0.005056,0.047746,0.000576,0.013473,0.000384,0.196840,0.000896,0.909156
0.415888,0.017633,0.203048,0.004832,0.048482,0.000576,0.013664,0.000416,0.170023,0.000768,0.882914
0.416560,0.017601,0.202760,0.004864,0.048930,0.000576,0.013729,0.000352,0.165798,0.000608,0.878338
0.420337,0.017697,0.202535,0.004992,0.048002,0.000576,0.013728,0.000384,0.169095,0.000576,0.885155
0.431856,0.017792,0.202536,0.004768,0.048034,0.000576,0.013377,0.000352,0.199144,0.000672,0.926436
0.420113,0.017601,0.202824,0.004800,0.047778,0.000544,0.013376,0.000416,0.172967,0.000608,0.888323
0.416209,0.017696,0.202504,0.004801,0.047873,0.000577,0.013408,0.000352,0.169671,0.000608,0.880867
0.420528,0.017793,0.202856,0.005312,0.047650,0.000576,0.013344,0.000384,0.175303,0.000640,0.891138
0.416560,0.017825,0.202568,0.004832,0.047874,0.000576,0.013472,0.000416,0.174087,0.000960,0.886370
0.423473,0.017697,0.202920,0.005056,0.047170,0.000544,0.013344,0.000352,0.166151,0.000576,0.884611
0.417520,0.017537,0.202216,0.004800,0.048418,0.000736,0.013441,0.000320,0.178407,0.000704,0.891747
0.432497,0.017889,0.202248,0.004992,0.048290,0.000608,0.013409,0.000320,0.181479,0.000544,0.910244
0.415761,0.018304,0.203848,0.004801,0.049666,0.000736,0.013568,0.000352,0.174823,0.000928,0.890339
0.416304,0.017953,0.202248,0.005024,0.048226,0.000576,0.013344,0.000384,0.177895,0.000544,0.890722
0.416657,0.017505,0.202343,0.005088,0.047714,0.000576,0.013376,0.000416,0.172647,0.000608,0.884099
0.421201,0.017697,0.202632,0.004768,0.047010,0.000576,0.013312,0.000448,0.170279,0.000544,0.886627
0.420464,0.017761,0.202088,0.004864,0.047298,0.000736,0.013376,0.000320,0.183496,0.000480,0.898179
0.417328,0.017600,0.202376,0.004768,0.046882,0.000576,0.013633,0.000384,0.162598,0.000960,0.874498
0.417328,0.017345,0.221576,0.005409,0.047041,0.000576,0.013408,0.000384,0.175303,0.000672,0.907107
0.417744,0.018048,0.203656,0.004897,0.047777,0.000544,0.013505,0.000352,0.189895,0.000544,0.906788
0.417937,0.017632,0.203048,0.004928,0.047105,0.000576,0.013409,0.000416,0.179047,0.000704,0.893635
0.416368,0.017761,0.202536,0.005056,0.048066,0.000576,0.013569,0.000416,0.183367,0.000576,0.897763
0.416496,0.017569,0.202792,0.005056,0.048770,0.000800,0.013825,0.000352,0.169926,0.000640,0.883203
0.416752,0.018209,0.202536,0.005056,0.047458,0.000736,0.013568,0.000384,0.178183,0.000640,0.891842
0.416176,0.017505,0.203047,0.004896,0.048994,0.000608,0.013696,0.000416,0.173287,0.000672,0.886115
0.417104,0.017761,0.237641,0.005281,0.048929,0.000544,0.013377,0.000352,0.173575,0.000608,0.923876
0.417040,0.017601,0.202728,0.004832,0.049090,0.000608,0.013473,0.000416,0.178599,0.000576,0.892259
0.417136,0.017473,0.202984,0.005248,0.048098,0.000608,0.013601,0.000416,0.177479,0.000896,0.891427
0.416081,0.017600,0.202120,0.005056,0.048770,0.000544,0.013473,0.000384,0.183367,0.000928,0.895843
0.415824,0.017408,0.202504,0.004864,0.048898,0.000576,0.013473,0.000416,0.177063,0.000608,0.890403
0.416976,0.017537,0.202280,0.005280,0.048546,0.000576,0.013441,0.000384,0.180519,0.000512,0.894019
0.416721,0.017633,0.202983,0.005089,0.049058,0.000608,0.013536,0.000384,0.177799,0.000544,0.892675
0.415601,0.018016,0.218217,0.005440,0.048674,0.000768,0.013601,0.000384,0.177191,0.000704,0.906308
0.415824,0.017473,0.203240,0.005280,0.048994,0.000544,0.013697,0.000384,0.165990,0.000864,0.880386
0.417424,0.018209,0.201928,0.004832,0.049058,0.000576,0.013376,0.000416,0.174471,0.000608,0.888418
0.417040,0.017472,0.202440,0.005088,0.049474,0.000608,0.014209,0.000352,0.181319,0.000704,0.897987
0.432913,0.017984,0.202376,0.005057,0.048993,0.000576,0.013728,0.000352,0.184327,0.000672,0.914691
0.415217,0.017472,0.203240,0.005057,0.048418,0.000576,0.013600,0.000416,0.176455,0.000544,0.888611
0.420464,0.017473,0.202280,0.004960,0.049186,0.000576,0.013921,0.000416,0.177255,0.000576,0.893667
0.417040,0.017504,0.202792,0.004896,0.070659,0.000704,0.013889,0.000384,0.185639,0.000640,0.922084
0.421136,0.017633,0.202568,0.005024,0.049826,0.000768,0.013889,0.000416,0.179783,0.000544,0.900035
0.420689,0.017441,0.202440,0.005056,0.049058,0.000736,0.013600,0.000352,0.179335,0.000545,0.897028
0.419472,0.017665,0.203112,0.004896,0.048450,0.000768,0.013408,0.000384,0.175399,0.000608,0.891042
0.433393,0.017985,0.202152,0.004896,0.048802,0.000544,0.013377,0.000352,0.174695,0.000576,0.905348
0.416272,0.017601,0.202120,0.004896,0.048610,0.000512,0.013313,0.000384,0.173766,0.000704,0.885762
0.416016,0.017729,0.202952,0.004832,0.048450,0.000576,0.013920,0.000416,0.181543,0.000577,0.894211
