TEE[0-7],Layer[8],Layer[9],Layer[10],classifier
1.776407,0.002976,0.001152,0.000416,1.786776
1.754326,0.003072,0.001152,0.000608,1.764983
1.733109,0.003456,0.000864,0.000288,1.743542
1.802585,0.003264,0.001056,0.000385,1.815034
1.752886,0.002848,0.000992,0.000352,1.763031
1.762167,0.002944,0.001088,0.000384,1.772919
1.750294,0.002720,0.001153,0.000352,1.760823
1.753014,0.002816,0.000993,0.000576,1.763607
1.756727,0.002624,0.000960,0.000320,1.766551
1.779127,0.003552,0.001120,0.000480,1.791128
1.740342,0.002624,0.001088,0.000416,1.750390
1.755287,0.003040,0.000928,0.000352,1.765591
1.730997,0.002848,0.001344,0.000608,1.741973
1.790008,0.002816,0.001024,0.000352,1.800568
1.762263,0.002560,0.001088,0.000384,1.772055
1.774488,0.002720,0.001120,0.000576,1.784568
1.744470,0.002752,0.001312,0.000576,1.755510
1.747221,0.003200,0.001056,0.000576,1.758550
1.735125,0.003296,0.001344,0.000416,1.746133
1.791960,0.002656,0.001088,0.000576,1.802073
1.737141,0.003105,0.001120,0.000416,1.747766
1.785399,0.002688,0.001088,0.000352,1.796056
1.734549,0.002496,0.000960,0.000544,1.744309
1.765527,0.002976,0.001056,0.000416,1.776887
1.749206,0.003585,0.001280,0.000448,1.761943
1.764151,0.002784,0.001120,0.000608,1.774679
1.736885,0.002912,0.001216,0.000576,1.747190
1.771959,0.003200,0.001120,0.000416,1.782935
1.729749,0.003072,0.001152,0.000416,1.739925
1.779352,0.003392,0.001120,0.000448,1.792152
1.768119,0.002656,0.001216,0.000416,1.778328
1.810809,0.003200,0.001024,0.000352,1.822874
1.740853,0.002656,0.001216,0.000384,1.749878
1.762679,0.002688,0.001184,0.000320,1.773879
1.744534,0.002688,0.001120,0.000288,1.753302
1.757526,0.002752,0.001088,0.000384,1.767927
1.735093,0.002688,0.001184,0.000320,1.745429
1.753238,0.002688,0.000992,0.000384,1.762359
1.736693,0.002624,0.001120,0.000256,1.746357
1.782711,0.002784,0.001024,0.000384,1.793431
1.734293,0.002784,0.001120,0.000384,1.744854
1.761974,0.002720,0.001088,0.000384,1.772215
1.741237,0.002785,0.001088,0.000352,1.753014
1.795896,0.002721,0.001024,0.000416,1.806617
1.725236,0.002688,0.001024,0.000352,1.735125
1.831258,0.003456,0.000928,0.000416,1.842874
1.777560,0.002592,0.001056,0.000352,1.787768
1.759607,0.003392,0.001120,0.000384,1.770551
1.761463,0.002752,0.001024,0.000384,1.772119
1.788247,0.002721,0.001024,0.000352,1.797848
1.732469,0.002880,0.000832,0.000352,1.742901
1.740085,0.002656,0.000960,0.000320,1.749749
1.740534,0.002592,0.001248,0.000416,1.751222
1.775928,0.002688,0.001056,0.000352,1.786392
1.720084,0.002624,0.001056,0.000320,1.729364
1.750165,0.002752,0.001152,0.000384,1.759894
1.756022,0.002624,0.000896,0.000480,1.765783
1.757910,0.003072,0.001120,0.000320,1.767830
1.757462,0.002656,0.000992,0.000448,1.768150
1.764406,0.002977,0.001088,0.000608,1.775031
1.754550,0.003424,0.001120,0.000608,1.766070
1.783127,0.002592,0.001152,0.000384,1.793560
1.739733,0.003040,0.001216,0.000384,1.752054
1.747542,0.003296,0.001088,0.000352,1.757878
1.751478,0.002496,0.001121,0.000384,1.761559
1.798040,0.003744,0.001440,0.000416,1.810969
1.742645,0.003104,0.001184,0.000384,1.753814
1.793816,0.003040,0.001216,0.000352,1.804249
1.738134,0.002944,0.001024,0.000384,1.748374
1.796376,0.002976,0.001120,0.000608,1.807288
1.783287,0.003424,0.001056,0.000384,1.794488
1.783031,0.003297,0.001248,0.000608,1.794360
1.740918,0.002880,0.001088,0.000576,1.753238
1.749654,0.003200,0.001472,0.000416,1.760630
1.763703,0.003392,0.001120,0.000384,1.775703
1.770039,0.002880,0.001248,0.000608,1.780919
1.743029,0.003105,0.001120,0.000384,1.754134
1.776311,0.002816,0.001088,0.000576,1.786775
1.763031,0.003072,0.001120,0.000320,1.773527
1.803672,0.002560,0.001025,0.000352,1.813881
1.746389,0.002720,0.001120,0.000416,1.757494
1.763959,0.002880,0.001024,0.000384,1.774583
1.722037,0.002656,0.001120,0.000352,1.732757
1.790904,0.002784,0.001056,0.000416,1.801784
1.743798,0.003072,0.001152,0.000352,1.755094
1.744918,0.003200,0.000928,0.000320,1.755894
1.719764,0.002624,0.001056,0.000352,1.730965
1.743669,0.003424,0.001088,0.000641,1.754518
1.759990,0.003392,0.001408,0.000384,1.771542
1.762391,0.003168,0.001184,0.000384,1.773559
1.769015,0.002688,0.001088,0.000320,1.779287
1.776183,0.002720,0.001216,0.000320,1.786040
1.745430,0.003232,0.001184,0.000352,1.756822
1.768279,0.003104,0.001120,0.000608,1.778871
1.743093,0.003073,0.001248,0.000416,1.753366
1.762327,0.003008,0.001248,0.000608,1.773655
1.730549,0.002592,0.001088,0.000416,1.740917
1.788568,0.003104,0.001088,0.000384,1.798968
1.764439,0.003200,0.001056,0.000384,1.774327
1.778551,0.003233,0.001408,0.000352,1.789848
1.737653,0.003936,0.000992,0.000352,1.749653
1.756694,0.003328,0.001056,0.000352,1.768278
1.754646,0.003200,0.001312,0.000384,1.765014
1.732852,0.003296,0.001152,0.000384,1.744022
1.725941,0.002432,0.000960,0.000416,1.735925
1.751670,0.002752,0.001120,0.000416,1.761622
1.768246,0.002497,0.000960,0.000352,1.776887
1.725621,0.002464,0.001152,0.000384,1.735317
1.741013,0.002752,0.001120,0.000416,1.751862
1.780215,0.002785,0.000992,0.000352,1.790104
1.752086,0.002656,0.001248,0.000352,1.762486
1.771383,0.003328,0.001025,0.000320,1.784248
1.743701,0.003040,0.001248,0.000352,1.754070
1.736565,0.002721,0.001088,0.000352,1.746518
1.743989,0.002848,0.001344,0.000384,1.754550
1.741269,0.002880,0.000992,0.000320,1.751670
1.774903,0.002720,0.001088,0.000384,1.785399
1.737461,0.002752,0.000992,0.000416,1.747509
1.723668,0.002752,0.001056,0.000352,1.734037
1.741205,0.002561,0.001024,0.000416,1.751414
1.740085,0.002497,0.001088,0.000384,1.749590
1.736884,0.002496,0.001120,0.000384,1.746549
1.770263,0.002688,0.001088,0.000384,1.780055
1.730964,0.002816,0.001056,0.000352,1.741077
1.729492,0.002816,0.001121,0.000320,1.740213
1.768663,0.002560,0.001184,0.000384,1.778327
1.731989,0.002720,0.001024,0.000352,1.741781
1.719412,0.002688,0.001248,0.000352,1.729684
1.768822,0.002497,0.001088,0.000384,1.778839
1.738901,0.002689,0.001152,0.000320,1.750806
1.781975,0.003456,0.001056,0.000384,1.793367
1.731893,0.002720,0.001056,0.000384,1.742357
1.733621,0.002816,0.001024,0.000416,1.742581
1.742197,0.002689,0.000992,0.000416,1.752790
1.746037,0.002752,0.001088,0.000384,1.755062
1.751349,0.002561,0.001184,0.000416,1.760918
1.715828,0.002880,0.000992,0.000417,1.725333
1.732276,0.002721,0.001056,0.000416,1.741525
1.766006,0.002656,0.001216,0.000384,1.776855
1.736853,0.002656,0.001184,0.000352,1.747350
1.768982,0.002848,0.001152,0.000384,1.780471
1.733845,0.002624,0.001120,0.000384,1.744501
1.760598,0.002752,0.001120,0.000384,1.770358
1.732820,0.002753,0.001120,0.000384,1.743861
1.772246,0.002688,0.000928,0.000384,1.781943
1.737653,0.002688,0.001152,0.000384,1.747413
1.759958,0.003008,0.001537,0.000352,1.770839
1.766646,0.002721,0.001056,0.000416,1.776727
1.750550,0.003072,0.001184,0.000416,1.761942
1.750325,0.002720,0.001120,0.000352,1.761110
1.745557,0.019425,0.001504,0.000352,1.773975
1.763286,0.002528,0.001152,0.000384,1.773687
1.745461,0.002560,0.001216,0.000416,1.755509
1.744085,0.002688,0.001056,0.000384,1.754614
1.756662,0.002720,0.001184,0.000352,1.766614
1.765142,0.002625,0.001056,0.000416,1.774935
1.787127,0.002752,0.001184,0.000352,1.796376
1.772758,0.002496,0.001120,0.000352,1.782839
1.786295,0.003137,0.001184,0.000352,1.797784
1.762326,0.002497,0.000960,0.000384,1.771959
1.763094,0.002689,0.001024,0.000416,1.773655
1.766838,0.002753,0.001056,0.000384,1.776183
1.766902,0.003360,0.001120,0.000352,1.777783
1.732757,0.002528,0.001376,0.000416,1.743221
1.748085,0.002624,0.001152,0.000384,1.758582
1.761718,0.002465,0.001120,0.000352,1.770839
1.760885,0.003328,0.001120,0.000384,1.772438
1.736917,0.002784,0.001152,0.000384,1.747221
1.776695,0.002688,0.001056,0.000384,1.787159
1.766998,0.002752,0.001056,0.000384,1.776887
1.754485,0.002721,0.001152,0.000416,1.764790
1.758134,0.002624,0.001088,0.000384,1.768150
1.752245,0.003104,0.001120,0.000384,1.764566
1.764566,0.002816,0.001120,0.000384,1.775062
1.758262,0.003200,0.001120,0.000416,1.771031
1.736533,0.002624,0.001280,0.000417,1.746870
1.759030,0.002912,0.001216,0.000384,1.769335
1.744117,0.002689,0.001152,0.000384,1.754838
1.782103,0.002752,0.001120,0.000352,1.792663
1.757589,0.002784,0.000992,0.000352,1.767638
1.768982,0.002529,0.000992,0.000352,1.780087
1.750741,0.002848,0.001024,0.000385,1.760598
1.764214,0.002784,0.001152,0.000416,1.774679
1.761366,0.002784,0.001088,0.000384,1.771350
1.745333,0.002752,0.001088,0.000352,1.754102
1.739957,0.003008,0.001440,0.000352,1.751286
1.740789,0.003936,0.001024,0.000384,1.751893
1.742133,0.002720,0.000736,0.000384,1.751349
1.743893,0.002752,0.000736,0.000384,1.752694
1.722772,0.003649,0.000896,0.000416,1.733301
1.770998,0.002752,0.001184,0.000384,1.781111
1.713364,0.003136,0.001088,0.000384,1.723476
1.789143,0.002688,0.000960,0.000448,1.798744
1.725076,0.003552,0.000832,0.000416,1.735093
1.740501,0.003681,0.000768,0.000352,1.751318
1.716372,0.002816,0.000832,0.000384,1.725876
1.740341,0.002528,0.000960,0.000352,1.749013
1.726132,0.003776,0.000960,0.000352,1.736629
1.753173,0.002752,0.000960,0.000448,1.762293
1.709459,0.002721,0.001024,0.000352,1.719540
1.721556,0.002464,0.000928,0.000384,1.730772
1.713971,0.003360,0.000960,0.000416,1.723764
1.722228,0.003040,0.000992,0.000416,1.732340
1.733076,0.002432,0.000768,0.000384,1.741973
1.719220,0.003265,0.000992,0.000384,1.729525
1.721332,0.002592,0.001024,0.000256,1.730036
1.729428,0.002784,0.001408,0.000416,1.740020
1.776630,0.002944,0.001184,0.000416,1.787479
1.740981,0.002944,0.001152,0.000384,1.751445
1.750966,0.002976,0.001088,0.000384,1.762166
1.773238,0.002720,0.001120,0.000352,1.783447
1.722804,0.002752,0.001153,0.000384,1.733685
1.747445,0.002752,0.001216,0.000352,1.757846
1.741781,0.002688,0.001056,0.000352,1.751093
1.724980,0.002752,0.001152,0.000384,1.735604
1.736437,0.003840,0.001184,0.000416,1.748949
1.763958,0.002816,0.001120,0.000352,1.773943
1.739989,0.002880,0.001056,0.000352,1.750709
1.750422,0.002624,0.001024,0.000384,1.761366
1.764982,0.002881,0.000960,0.000352,1.776023
1.738165,0.002912,0.001120,0.000320,1.747541
1.760630,0.002784,0.001088,0.000384,1.770806
1.738901,0.002752,0.001120,0.000417,1.748406
1.769015,0.002912,0.000992,0.000384,1.779799
1.747477,0.002496,0.001216,0.000416,1.757590
1.732724,0.002720,0.001056,0.000352,1.742804
1.766806,0.002816,0.001120,0.000352,1.776919
1.742645,0.002784,0.001024,0.000320,1.753558
1.768054,0.003072,0.001056,0.000384,1.778646
1.723092,0.002689,0.001056,0.000352,1.733621
1.747573,0.002752,0.001120,0.000384,1.758069
1.763894,0.002624,0.001056,0.000448,1.774454
1.759317,0.002976,0.001344,0.000608,1.770902
1.755286,0.002752,0.001120,0.000352,1.765686
1.733429,0.002784,0.001152,0.000352,1.742869
1.732756,0.002656,0.001024,0.000352,1.742453
1.748853,0.002816,0.001088,0.000320,1.759542
1.734676,0.002848,0.001216,0.000384,1.744949
1.758998,0.002656,0.001376,0.000320,1.769046
1.736501,0.003360,0.001280,0.000384,1.747797
1.733332,0.002656,0.001024,0.000384,1.743061
1.748213,0.003072,0.001120,0.000320,1.758709
1.771735,0.002592,0.001152,0.000384,1.782263
1.771414,0.003457,0.000992,0.000384,1.782519
1.724916,0.002784,0.001216,0.000384,1.735636
1.727572,0.003264,0.000928,0.000416,1.737236
1.737332,0.002784,0.001056,0.000352,1.746965
1.722036,0.003297,0.000960,0.000352,1.733141
1.728660,0.002624,0.000992,0.000384,1.737620
1.707091,0.002944,0.000864,0.000417,1.717300
1.697459,0.002560,0.000992,0.000416,1.706291
1.741653,0.002688,0.000929,0.000352,1.750838
1.741909,0.002880,0.000992,0.000384,1.752053
1.739381,0.002560,0.001024,0.000384,1.748981
1.715379,0.003873,0.001056,0.000384,1.725556
1.743445,0.003840,0.001024,0.000416,1.753813
1.720531,0.003904,0.000992,0.000384,1.730964
1.745461,0.002912,0.001088,0.000384,1.755285
1.772215,0.003296,0.000864,0.000384,1.782679
1.769942,0.002720,0.000960,0.000384,1.780343
1.717236,0.002592,0.000960,0.000576,1.726132
1.767670,0.003201,0.001120,0.000384,1.778743
1.752597,0.002848,0.000992,0.000384,1.762678
1.762742,0.002848,0.001120,0.000320,1.772182
1.739797,0.002944,0.001056,0.000256,1.750357
1.760053,0.003424,0.001120,0.000608,1.771574
1.740149,0.003040,0.001216,0.000384,1.750677
1.794776,0.003296,0.001312,0.000288,1.804632
1.758965,0.003009,0.001088,0.000384,1.771094
1.810552,0.003904,0.002081,0.000352,1.823929
1.746901,0.003328,0.001280,0.000352,1.759061
1.746549,0.003328,0.001152,0.000352,1.757429
1.747349,0.003425,0.001152,0.000320,1.758294
1.740885,0.002912,0.001440,0.000416,1.751221
1.777302,0.002880,0.001216,0.000352,1.788727
1.749365,0.003072,0.001216,0.000320,1.760278
1.741140,0.002753,0.001184,0.000352,1.752213
1.744917,0.002912,0.001184,0.000608,1.756086
1.733812,0.002816,0.001248,0.000609,1.745493
1.751509,0.002720,0.001248,0.000352,1.761526
1.748725,0.002720,0.001249,0.000384,1.759798
1.750613,0.003040,0.001248,0.000416,1.761686
1.740308,0.002848,0.001248,0.000352,1.751029
1.736821,0.002752,0.001184,0.000288,1.746517
1.783255,0.002912,0.001216,0.000416,1.793431
1.743157,0.002912,0.001312,0.000416,1.754229
1.740084,0.003521,0.001184,0.000320,1.751285
1.742837,0.003456,0.001344,0.000384,1.754741
1.726324,0.018849,0.001696,0.000353,1.753558
1.787095,0.003392,0.001344,0.000416,1.797943
1.769462,0.003392,0.001408,0.000384,1.780918
1.743860,0.003136,0.001344,0.000320,1.754837
1.760310,0.003840,0.001216,0.000352,1.771798
1.725108,0.003136,0.001248,0.000320,1.735829
1.757302,0.003136,0.001344,0.000352,1.767638
1.783318,0.003521,0.001216,0.000352,1.795031
2.003393,0.003297,0.001472,0.000576,2.015682
1.742549,0.003200,0.001088,0.000320,1.753845
1.768758,0.002976,0.001312,0.000320,1.780598
1.742549,0.002624,0.000992,0.000320,1.752437
1.763446,0.003264,0.001216,0.000609,1.775063
1.744629,0.003040,0.000928,0.000352,1.755445
1.761526,0.002944,0.001184,0.000544,1.772406
1.762165,0.003169,0.001280,0.000608,1.773078
1.740757,0.003168,0.001024,0.000640,1.751381
1.734132,0.002976,0.001216,0.000608,1.745397
1.772022,0.002752,0.001504,0.000352,1.782007
1.741365,0.002976,0.001120,0.000352,1.753045
1.762262,0.003232,0.001088,0.000352,1.773622
1.764789,0.002849,0.000928,0.000384,1.774806
1.752853,0.003072,0.001248,0.000352,1.763477
1.770390,0.003168,0.001056,0.000352,1.781047
1.785207,0.002848,0.001185,0.000352,1.795608
1.739925,0.003040,0.000992,0.000576,1.750069
1.754581,0.002593,0.001120,0.000352,1.764310
1.745844,0.002752,0.001280,0.000416,1.756309
1.756917,0.002816,0.001152,0.000384,1.766902
1.732820,0.003104,0.001312,0.000608,1.744980
1.745269,0.002944,0.001280,0.000609,1.756726
1.755605,0.002816,0.001184,0.000320,1.766070
1.793111,0.002688,0.001152,0.000384,1.803575
1.732852,0.002720,0.001280,0.000608,1.744084
1.759030,0.002688,0.001088,0.000576,1.769302
1.738644,0.002752,0.001120,0.000352,1.748756
1.777175,0.003424,0.001056,0.000416,1.788311
1.743572,0.003648,0.001184,0.000352,1.755637
1.804952,0.002976,0.001216,0.000352,1.815672
1.742900,0.003072,0.001600,0.000416,1.754581
1.762965,0.002912,0.001376,0.000352,1.773750
1.751733,0.002784,0.001472,0.000384,1.763094
1.811320,0.002848,0.001344,0.000352,1.822168
1.728372,0.003072,0.001121,0.000416,1.739381
1.789623,0.003168,0.001024,0.000320,1.800119
1.737492,0.003072,0.001184,0.000320,1.748116
1.772054,0.003104,0.001088,0.000352,1.783063
1.736372,0.003104,0.001120,0.000352,1.747668
1.768629,0.002817,0.001120,0.000352,1.778518
1.746836,0.003488,0.001408,0.000416,1.758645
1.758742,0.003168,0.001248,0.000352,1.770454
1.756406,0.003776,0.001248,0.000320,1.768598
1.752949,0.003521,0.001536,0.000320,1.765206
1.728628,0.003296,0.001440,0.000320,1.740564
1.762326,0.003168,0.001280,0.000384,1.773622
1.741972,0.003425,0.001312,0.000320,1.753557
1.753781,0.003136,0.001504,0.000352,1.766614
1.748245,0.003200,0.001313,0.000384,1.759798
1.786454,0.003457,0.001440,0.000384,1.797975
1.742613,0.003232,0.001504,0.000320,1.754517
1.776695,0.003840,0.001440,0.000384,1.788151
1.753429,0.003137,0.001152,0.000320,1.764278
1.774646,0.002784,0.001120,0.000352,1.785078
1.742516,0.003232,0.001281,0.000320,1.753717
1.788727,0.003104,0.001184,0.000384,1.800823
1.768757,0.002912,0.001216,0.000384,1.779606
1.816184,0.003040,0.001216,0.000352,1.826905
1.746229,0.002912,0.001152,0.000384,1.756885
1.793527,0.003040,0.001216,0.000416,1.806487
1.747188,0.002784,0.001088,0.000352,1.757973
1.753429,0.002720,0.001152,0.000352,1.763574
1.760757,0.003168,0.001249,0.000352,1.772150
1.752308,0.002848,0.001280,0.000416,1.763285
1.756949,0.002881,0.001184,0.000384,1.767670
1.740469,0.002880,0.001152,0.000352,1.751029
1.753173,0.002688,0.001153,0.000384,1.763510
1.770646,0.002752,0.001184,0.000352,1.781174
1.727124,0.002784,0.001120,0.000320,1.738420
1.742836,0.002720,0.001184,0.000352,1.753524
1.726644,0.002784,0.000993,0.000352,1.736789
1.730612,0.002720,0.001153,0.000352,1.742293
1.752021,0.002816,0.001121,0.000416,1.762934
1.772309,0.002816,0.001120,0.000352,1.783030
1.746613,0.002752,0.001152,0.000384,1.757109
1.779639,0.002848,0.001248,0.000352,1.791031
1.773078,0.002849,0.001120,0.000320,1.783223
1.754773,0.003008,0.001056,0.000384,1.765941
1.768118,0.002848,0.001248,0.000384,1.778902
1.741717,0.002688,0.001024,0.000352,1.752021
1.773814,0.003392,0.001184,0.000320,1.784695
1.750357,0.002656,0.001152,0.000352,1.760629
1.748309,0.002944,0.001120,0.000384,1.758453
1.736436,0.002976,0.001024,0.000416,1.746932
1.775062,0.002976,0.001216,0.000384,1.786934
1.776758,0.003841,0.001600,0.000544,1.793527
1.745973,0.003904,0.001280,0.000544,1.759157
1.767030,0.003136,0.001056,0.000544,1.778134
1.739253,0.002880,0.001152,0.000320,1.750325
1.747988,0.002880,0.001216,0.000352,1.758645
1.759669,0.002912,0.001120,0.000384,1.770358
1.734100,0.003232,0.001440,0.000352,1.744309
1.792438,0.004160,0.001536,0.000384,1.805815
1.757845,0.003680,0.001344,0.000320,1.769334
1.758485,0.002752,0.001472,0.000320,1.768917
1.750484,0.003393,0.001408,0.000352,1.761589
1.768406,0.003296,0.001408,0.000352,1.779830
1.746740,0.003552,0.001248,0.000352,1.758357
1.747605,0.003520,0.001504,0.000352,1.759765
1.733684,0.003361,0.001216,0.000448,1.745877
1.752917,0.003329,0.001472,0.000384,1.765142
1.733620,0.003585,0.001440,0.000320,1.745909
1.790647,0.003648,0.001472,0.000384,1.802327
1.770326,0.003456,0.001120,0.000352,1.781142
1.766262,0.003264,0.001152,0.000608,1.777782
1.751604,0.003200,0.001216,0.000576,1.762773
1.747733,0.003264,0.001152,0.000352,1.758677
1.730356,0.003040,0.001376,0.000320,1.741332
1.773302,0.003232,0.001408,0.000352,1.785238
1.756181,0.003520,0.001152,0.000384,1.767638
1.765685,0.003488,0.001408,0.000385,1.777750
1.748789,0.002912,0.001280,0.000384,1.759701
1.801719,0.003200,0.001152,0.000352,1.812760
1.750709,0.003200,0.001120,0.000352,1.761685
1.788727,0.003008,0.001504,0.000352,1.799799
1.749844,0.003328,0.001120,0.000320,1.761237
1.834521,0.003200,0.001248,0.000320,1.845913
1.752277,0.003904,0.001152,0.000320,1.764757
1.767702,0.003488,0.001344,0.000352,1.779926
1.739828,0.003009,0.001184,0.000352,1.750613
1.789431,0.003072,0.001216,0.000320,1.800375
1.775670,0.002816,0.001184,0.000384,1.786550
1.742100,0.003328,0.001120,0.000320,1.752821
1.732628,0.002784,0.001376,0.000352,1.743476
1.756788,0.003040,0.001216,0.000320,1.767317
1.764533,0.003072,0.001056,0.000320,1.775221
1.759637,0.002816,0.001248,0.000416,1.770901
1.753813,0.002816,0.001024,0.000352,1.764501
1.765653,0.003329,0.001312,0.000320,1.777302
1.721107,0.003008,0.001025,0.000352,1.731476
1.800663,0.002624,0.001088,0.000416,1.810488
1.728723,0.002785,0.001120,0.000416,1.739060
1.802199,0.002752,0.001056,0.000320,1.812407
1.728116,0.002816,0.001088,0.000320,1.738196
1.757748,0.002848,0.001056,0.000320,1.768277
1.770614,0.002656,0.001184,0.000352,1.780886
1.798231,0.002625,0.001184,0.000384,1.808504
1.756245,0.002656,0.001120,0.000384,1.767509
1.749237,0.002624,0.001120,0.000352,1.760117
1.767157,0.002689,0.001056,0.000352,1.776886
1.779542,0.002560,0.001024,0.000224,1.789878
1.777238,0.002880,0.001152,0.000384,1.787830
1.753333,0.002784,0.001120,0.000320,1.764085
1.734900,0.002849,0.001088,0.000352,1.745141
1.774038,0.002688,0.001056,0.000320,1.783798
1.776437,0.003040,0.001344,0.000352,1.787510
1.734900,0.002944,0.001121,0.000352,1.745973
1.734515,0.002880,0.001216,0.000384,1.745492
1.855130,0.007168,0.003457,0.000576,1.874011
1.886267,0.007041,0.002816,0.000576,1.903996
