TEE[0-9],Layer[10],classifier
1.763601,0.000865,1.769682
1.763889,0.000704,1.769842
1.804500,0.000800,1.810676
1.754961,0.000640,1.760881
1.758674,0.000736,1.764690
1.768050,0.000864,1.774291
1.897720,0.001504,1.907737
1.795699,0.000800,1.802963
1.760274,0.000800,1.767058
1.759026,0.000736,1.765330
1.783155,0.000928,1.789811
1.765394,0.000672,1.771794
1.793907,0.000832,1.800755
1.775954,0.000704,1.781874
1.820213,0.000768,1.826453
1.758417,0.000705,1.764050
1.798963,0.000704,1.805171
1.769170,0.000672,1.775250
1.758417,0.000736,1.764049
1.734769,0.000672,1.740945
1.768978,0.000704,1.774099
1.773842,0.000640,1.780083
1.787923,0.000800,1.794739
1.754097,0.000864,1.760337
1.771058,0.000736,1.777074
1.693390,0.000672,1.699246
1.793139,0.000896,1.801395
1.735088,0.000704,1.741328
1.755377,0.000736,1.761169
1.749008,0.000800,1.754961
1.796308,0.000672,1.801812
1.721936,0.000768,1.728304
1.765522,0.000864,1.771698
1.723567,0.000704,1.729840
1.761553,0.000736,1.767570
1.734288,0.000672,1.741040
1.766866,0.000896,1.773746
1.719504,0.000704,1.726224
1.778290,0.000672,1.784691
1.728400,0.000736,1.734352
1.761777,0.000736,1.767793
1.760273,0.000800,1.766770
1.764914,0.000896,1.771762
1.762610,0.000704,1.768402
1.801043,0.000736,1.807347
1.782643,0.000640,1.787635
1.771058,0.000736,1.777074
1.778066,0.000736,1.784114
1.790291,0.000736,1.796531
1.768754,0.000800,1.775218
1.794195,0.000672,1.800723
1.736016,0.000640,1.741104
1.757361,0.000704,1.762993
1.734128,0.000672,1.740368
1.786515,0.000704,1.792627
1.725263,0.000672,1.731376
1.775922,0.000704,1.782994
1.742544,0.000704,1.748592
1.784466,0.000640,1.790834
1.741360,0.000800,1.747632
1.784434,0.000736,1.790578
1.768273,0.000704,1.774610
1.779251,0.000704,1.785171
1.767122,0.000704,1.772754
1.775154,0.000800,1.781394
1.737968,0.000640,1.744176
1.767122,0.000704,1.774034
1.757649,0.000608,1.762801
1.770066,0.000704,1.775667
1.736497,0.000768,1.741361
1.775666,0.000448,1.781138
1.775922,0.000672,1.780722
1.759506,0.000544,1.765138
1.784914,0.001280,1.797171
1.737392,0.000736,1.744624
1.740720,0.000480,1.746096
1.783122,0.000736,1.789746
1.737424,0.000640,1.742544
1.742033,0.000800,1.747505
1.733808,0.000704,1.739441
1.756369,0.000672,1.761778
1.699471,0.000576,1.705263
1.743889,0.000672,1.749329
1.745200,0.000672,1.750289
1.751665,0.000673,1.757490
1.702223,0.000672,1.707791
1.734192,0.000512,1.739792
1.725360,0.000608,1.731152
1.750609,0.000736,1.755953
1.718671,0.000704,1.723760
1.740080,0.000704,1.745841
1.715663,0.000512,1.720848
1.735696,0.000704,1.741072
1.729872,0.000608,1.734800
1.776370,0.000704,1.782322
1.757329,0.000480,1.763122
1.736880,0.000768,1.742896
1.737393,0.000672,1.742673
1.741840,0.000672,1.747760
1.746864,0.000864,1.752721
1.735280,0.000736,1.741104
1.734480,0.000608,1.739569
1.781426,0.000736,1.787379
1.713295,0.000704,1.718767
1.731376,0.000640,1.736977
1.754993,0.000640,1.760977
1.775154,0.000768,1.781842
1.764850,0.000736,1.771218
1.789779,0.000864,1.796467
1.766097,0.000640,1.772754
1.767633,0.000704,1.774162
1.763889,0.000705,1.769842
1.796787,0.000768,1.803155
1.777170,0.000640,1.783314
1.764337,0.000608,1.770418
1.747888,0.000640,1.754833
1.793843,0.000704,1.800691
1.759537,0.000768,1.765426
1.755152,0.000672,1.760498
1.757169,0.000768,1.762929
1.756945,0.000768,1.763153
1.757586,0.000608,1.763410
1.787891,0.000768,1.794131
1.757745,0.000704,1.763729
1.763889,0.000768,1.769969
1.749648,0.000736,1.755953
1.764209,0.000704,1.770673
1.736849,0.000640,1.742961
1.787602,0.000800,1.794002
1.763986,0.000672,1.769906
1.778034,0.000736,1.784179
1.747345,0.000768,1.753681
1.744273,0.000576,1.749873
1.712431,0.000544,1.718031
1.786546,0.000800,1.792562
1.715439,0.000576,1.721008
1.729328,0.000704,1.734864
1.745520,0.000640,1.750352
1.740720,0.000608,1.745936
1.713071,0.000512,1.718639
1.721712,0.000704,1.727056
1.749745,0.000576,1.755249
1.730864,0.000576,1.736880
1.754993,0.000896,1.761361
1.764305,0.000704,1.769810
