TEE[0-9],Layer[10],classifier
1.758384,0.000736,1.765072
1.753647,0.000832,1.760047
1.778064,0.000640,1.783793
1.766160,0.000544,1.771856
1.749935,0.000672,1.756079
1.722414,0.000672,1.727854
1.798641,0.000672,1.804145
1.740367,0.000672,1.745839
1.708270,0.000768,1.714734
1.752239,0.000512,1.757583
1.752399,0.000768,1.758447
1.736718,0.000608,1.741775
1.761872,0.000608,1.767024
1.726830,0.000705,1.732783
1.736399,0.000768,1.742287
1.744399,0.000608,1.749552
1.722638,0.000672,1.728526
1.743439,0.000672,1.749007
1.754351,0.000640,1.760079
1.738511,0.000672,1.745007
1.735182,0.000672,1.740911
1.739119,0.000672,1.744463
1.742095,0.000704,1.747567
1.737519,0.000704,1.742767
1.774769,0.000704,1.781489
1.766448,0.000704,1.772689
1.750383,0.000672,1.755695
1.725454,0.000672,1.730766
1.727919,0.000704,1.733583
1.742639,0.000640,1.748559
1.758607,0.000673,1.764496
1.760112,0.000736,1.765424
1.735055,0.000672,1.741167
1.768624,0.000736,1.773936
1.766928,0.000736,1.772912
1.763216,0.000768,1.769328
1.760431,0.000640,1.766608
1.759183,0.000800,1.765328
1.713613,0.000608,1.718862
1.763823,0.000576,1.770768
1.733167,0.000608,1.738671
1.770320,0.000736,1.776208
1.731727,0.000640,1.737391
1.723758,0.000704,1.729518
1.758448,0.000672,1.764336
1.751631,0.000640,1.757295
1.761040,0.000640,1.765808
1.761999,0.000640,1.766608
1.727438,0.000672,1.732910
1.775473,0.000736,1.781809
1.751087,0.000896,1.757327
1.783505,0.000480,1.788625
1.759312,0.000704,1.764944
1.774384,0.000704,1.780849
1.757840,0.000608,1.763216
1.744207,0.000640,1.750895
1.763088,0.000672,1.769808
1.772944,0.000704,1.778545
1.719726,0.000704,1.725934
1.753519,0.000672,1.759471
1.735631,0.000704,1.741583
1.771728,0.000864,1.778193
1.728399,0.000768,1.734703
1.756272,0.000672,1.761840
1.723886,0.000736,1.729902
1.782993,0.000576,1.788305
1.753263,0.000704,1.759375
1.785872,0.000704,1.792145
1.767120,0.000640,1.772336
1.750639,0.000672,1.756751
1.752080,0.000672,1.758384
1.795697,0.000608,1.801010
1.753455,0.000512,1.758672
