Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-8],Layer[9],Layer[10],classifier
0.415952,0.017409,0.201960,0.005024,0.245193,0.001281,0.000384,0.894563
0.416112,0.017697,0.202440,0.005120,0.262218,0.001280,0.000384,0.912867
0.416721,0.017921,0.202087,0.005025,0.249225,0.001313,0.000384,0.900804
0.431121,0.017504,0.202440,0.004833,0.250089,0.001281,0.000384,0.916580
0.417680,0.017633,0.201896,0.004832,0.242697,0.001280,0.000352,0.894147
0.416528,0.017697,0.201928,0.004864,0.249098,0.001312,0.000384,0.898211
0.416017,0.017665,0.201767,0.004865,0.267722,0.001472,0.000384,0.916452
0.416209,0.017856,0.202184,0.004833,0.248777,0.001280,0.000384,0.898371
0.415889,0.017697,0.202599,0.005249,0.257450,0.001248,0.000352,0.907716
0.416720,0.017728,0.202056,0.004896,0.244138,0.001216,0.000384,0.894531
0.433041,0.017537,0.202088,0.004832,0.242249,0.001344,0.000416,0.908484
0.415536,0.017888,0.202376,0.004800,0.238666,0.001376,0.000352,0.887587
0.415600,0.017601,0.202248,0.004992,0.240585,0.001216,0.000384,0.889571
0.416496,0.017536,0.201864,0.004896,0.288780,0.001472,0.000384,0.940933
0.416401,0.017633,0.202952,0.004800,0.256362,0.001376,0.000416,0.907556
0.415888,0.017665,0.201864,0.004800,0.261258,0.001312,0.000576,0.910083
0.416336,0.017697,0.202056,0.004832,0.258058,0.001376,0.000320,0.907011
0.430929,0.017313,0.202280,0.004832,0.245545,0.001408,0.000544,0.909348
0.416080,0.017473,0.202055,0.004768,0.238153,0.001248,0.000576,0.886690
0.416208,0.017633,0.201800,0.004800,0.239145,0.001344,0.000576,0.887842
0.416496,0.017825,0.202056,0.005056,0.290827,0.001312,0.000416,0.943781
0.417552,0.017856,0.201960,0.004864,0.255274,0.001472,0.000384,0.907460
0.416368,0.017473,0.201960,0.005088,0.264650,0.001440,0.000352,0.915172
0.417232,0.017760,0.201704,0.005056,0.266059,0.001440,0.000608,0.919844
0.433617,0.017729,0.202728,0.004832,0.268586,0.001568,0.000608,0.938053
0.416561,0.017504,0.202152,0.004865,0.265962,0.001632,0.000352,0.916900
0.415568,0.017985,0.201928,0.004896,0.263274,0.001440,0.000352,0.912868
0.415985,0.017537,0.201831,0.005056,0.286923,0.001312,0.000384,0.936837
0.416241,0.017761,0.202152,0.005248,0.266986,0.001536,0.000416,0.917508
0.415857,0.017792,0.202024,0.005024,0.247018,0.001376,0.000608,0.897347
0.416400,0.017793,0.202184,0.004864,0.250218,0.001536,0.000384,0.900771
0.450418,0.017536,0.201992,0.005057,0.262090,0.001536,0.000576,0.947141
0.416336,0.017473,0.202632,0.005024,0.254442,0.001440,0.000416,0.905347
0.416400,0.018049,0.202152,0.004992,0.259018,0.001472,0.000448,0.912003
0.416081,0.017920,0.227849,0.005345,0.265034,0.001504,0.000352,0.942469
0.417072,0.017825,0.203016,0.004832,0.252906,0.001568,0.000352,0.905411
0.417008,0.017761,0.202056,0.004768,0.249802,0.001472,0.000384,0.900643
0.416176,0.017601,0.202312,0.004832,0.259722,0.001504,0.000416,0.910723
0.415568,0.018017,0.202024,0.004896,0.257578,0.001312,0.000416,0.907235
0.415984,0.017857,0.201960,0.004896,0.262186,0.001408,0.000416,0.911523
0.416752,0.017633,0.202056,0.005056,0.253962,0.001472,0.000640,0.904707
0.449425,0.017697,0.201896,0.004832,0.261835,0.001216,0.000384,0.944997
0.416529,0.017824,0.202056,0.005025,0.250153,0.001504,0.000576,0.900868
0.416369,0.017600,0.202344,0.004897,0.249769,0.001248,0.000416,0.901412
0.416656,0.017601,0.201992,0.004928,0.280971,0.001600,0.000352,0.931780
0.415760,0.017729,0.201992,0.004896,0.240810,0.001504,0.000576,0.890947
0.416176,0.018017,0.202920,0.005024,0.260522,0.001376,0.000608,0.912643
0.416976,0.017729,0.202216,0.005088,0.261450,0.001632,0.000608,0.914116
0.432849,0.017664,0.202568,0.005217,0.252009,0.001472,0.000416,0.919972
0.416273,0.017793,0.201671,0.004801,0.259434,0.001536,0.000608,0.909540
0.416080,0.017569,0.201896,0.004864,0.250090,0.001440,0.000384,0.899523
0.417456,0.017441,0.202792,0.004832,0.334637,0.001601,0.000384,0.987175
0.415664,0.017568,0.201992,0.004832,0.240042,0.001280,0.000384,0.888739
0.417008,0.017536,0.202088,0.004864,0.258315,0.001632,0.000608,0.911012
0.416048,0.017601,0.201896,0.005024,0.250026,0.001472,0.000384,0.899747
0.415696,0.017920,0.202280,0.005024,0.250986,0.001472,0.000576,0.900643
0.415824,0.017889,0.202024,0.004800,0.241097,0.001569,0.000576,0.890467
0.416528,0.017697,0.201960,0.004896,0.247690,0.001472,0.000416,0.896963
0.416177,0.017856,0.222953,0.005408,0.244938,0.001504,0.000640,0.916996
0.415984,0.017441,0.204712,0.004832,0.231273,0.001409,0.000576,0.883043
0.415952,0.017697,0.201736,0.004896,0.247818,0.001344,0.000640,0.896771
0.416528,0.017696,0.202408,0.004864,0.245930,0.001280,0.000352,0.895427
0.415856,0.017793,0.201864,0.004896,0.249514,0.001312,0.000384,0.899363
0.416880,0.017537,0.201544,0.004864,0.262698,0.001568,0.000384,0.914403
0.417073,0.017601,0.202215,0.004832,0.257354,0.001344,0.000384,0.909092
0.416208,0.017504,0.221961,0.004928,0.261066,0.001408,0.000385,0.930789
0.415505,0.017409,0.202343,0.004865,0.242569,0.001216,0.000416,0.891331
0.415504,0.017920,0.202184,0.004864,0.253898,0.001280,0.000416,0.902308
0.416944,0.017537,0.202152,0.004864,0.252298,0.001472,0.000384,0.903395
0.416657,0.017760,0.203016,0.005248,0.260074,0.001280,0.000448,0.911076
0.415888,0.017761,0.202504,0.004832,0.253994,0.001248,0.000416,0.902979
0.416368,0.017664,0.202248,0.004800,0.252842,0.001312,0.000416,0.901763
0.415857,0.017696,0.220105,0.005472,0.244266,0.001184,0.000416,0.913284
0.416145,0.017792,0.201959,0.004865,0.263242,0.001440,0.000384,0.914692
0.416208,0.017473,0.201896,0.004896,0.250698,0.001248,0.000416,0.900867
0.416880,0.017697,0.201672,0.004864,0.243338,0.001472,0.000352,0.893027
0.416208,0.017825,0.201672,0.004800,0.264874,0.001472,0.000416,0.914148
0.416081,0.017728,0.201864,0.004801,0.275786,0.001344,0.000384,0.924965
0.415760,0.017857,0.201992,0.004768,0.254058,0.001312,0.000352,0.902211
0.415984,0.017793,0.222601,0.005504,0.242314,0.001184,0.000384,0.912740
0.415825,0.017408,0.202472,0.004833,0.253322,0.001248,0.000352,0.901796
0.415856,0.017697,0.202504,0.004864,0.243945,0.001216,0.000352,0.893379
0.416720,0.017889,0.201800,0.004864,0.239817,0.001216,0.000320,0.889602
0.416048,0.017664,0.201800,0.005024,0.262955,0.001440,0.000608,0.913956
0.416145,0.017793,0.201543,0.004833,0.250377,0.001441,0.000352,0.899620
0.416336,0.017697,0.201928,0.004864,0.248106,0.001344,0.000352,0.897347
0.415408,0.018017,0.221384,0.005344,0.235305,0.001248,0.000352,0.905123
0.414864,0.017793,0.201960,0.005152,0.253482,0.001376,0.000352,0.901155
0.415024,0.017888,0.201960,0.005056,0.244234,0.001152,0.000416,0.892387
0.415312,0.017665,0.201800,0.004896,0.233385,0.001248,0.000352,0.881122
0.432529,0.017568,0.201736,0.004832,0.265227,0.001280,0.000320,0.930885
0.416497,0.017825,0.201736,0.004832,0.256746,0.001408,0.000352,0.906596
0.415024,0.017696,0.201992,0.004800,0.236874,0.001184,0.000320,0.886083
0.416144,0.017888,0.222697,0.005248,0.248234,0.001344,0.000320,0.921412
0.416432,0.017729,0.201896,0.005216,0.241033,0.001280,0.000353,0.891363
0.416080,0.017729,0.201992,0.004800,0.252234,0.001312,0.000384,0.901187
0.416528,0.017633,0.201896,0.004832,0.243786,0.001248,0.000320,0.892803
0.432593,0.017600,0.201864,0.004800,0.247690,0.001376,0.000320,0.912163
0.417200,0.017601,0.202312,0.004800,0.257706,0.001344,0.000320,0.908036
0.415568,0.017281,0.202440,0.004864,0.257898,0.001376,0.000352,0.906883
0.415536,0.017473,0.221801,0.005280,0.282315,0.001344,0.000352,0.952325
0.415792,0.017697,0.202152,0.004800,0.260330,0.001408,0.000352,0.909507
0.416112,0.017409,0.201896,0.004800,0.247434,0.001280,0.000384,0.898371
0.415857,0.017888,0.202215,0.004865,0.265098,0.001344,0.000320,0.915332
0.416464,0.017473,0.202056,0.004832,0.238794,0.001280,0.000352,0.888515
0.416656,0.017697,0.201896,0.004832,0.238921,0.001248,0.000416,0.888738
0.415952,0.017345,0.201704,0.004896,0.240970,0.001344,0.000352,0.888643
0.415728,0.017185,0.223305,0.005024,0.254698,0.001408,0.000352,0.924644
0.415153,0.017472,0.201896,0.004800,0.251722,0.001312,0.000416,0.899427
0.415185,0.017408,0.201960,0.004864,0.257931,0.001376,0.000352,0.905348
0.416368,0.017665,0.201928,0.004768,0.247946,0.001376,0.000352,0.897507
0.434129,0.017281,0.201992,0.004800,0.254186,0.001280,0.000352,0.921060
0.415568,0.017280,0.202280,0.004928,0.242762,0.001376,0.000352,0.892899
0.416240,0.017697,0.202088,0.004992,0.255594,0.001344,0.000352,0.905539
0.416112,0.017409,0.219561,0.005184,0.248714,0.001280,0.000384,0.915556
0.415665,0.017184,0.202088,0.004833,0.245321,0.001376,0.000352,0.893155
0.415633,0.017409,0.202119,0.005025,0.244361,0.001280,0.000352,0.892867
0.415825,0.017440,0.201704,0.004833,0.253129,0.001249,0.000384,0.900932
0.435218,0.017664,0.202024,0.004864,0.254730,0.001473,0.000352,0.922693
0.415281,0.017281,0.202407,0.004833,0.253226,0.001312,0.000384,0.901188
0.416048,0.017537,0.201896,0.004864,0.265323,0.001280,0.000416,0.913124
0.416016,0.017409,0.220521,0.004960,0.259434,0.001280,0.000320,0.926916
0.415568,0.017408,0.202088,0.004832,0.247946,0.001312,0.000288,0.897955
0.416560,0.017473,0.202152,0.004768,0.265674,0.001408,0.000320,0.916356
0.416753,0.017633,0.202344,0.004960,0.257834,0.001216,0.000320,0.907524
0.434545,0.017665,0.201960,0.004896,0.260426,0.001216,0.000352,0.928164
0.415824,0.017376,0.202056,0.005056,0.242346,0.001376,0.000416,0.891971
0.416112,0.017505,0.201736,0.004896,0.252170,0.001216,0.000352,0.900579
0.415600,0.017377,0.220361,0.004960,0.287787,0.001248,0.000352,0.955141
0.415312,0.017665,0.202120,0.004800,0.254954,0.001248,0.000320,0.902979
0.416433,0.017504,0.202504,0.004801,0.252137,0.001409,0.000384,0.902756
0.416048,0.017728,0.202056,0.004864,0.265291,0.001408,0.000608,0.916644
0.416368,0.017473,0.201960,0.005024,0.251626,0.001408,0.000608,0.904835
0.416336,0.017665,0.201928,0.004864,0.251466,0.001344,0.000608,0.902083
0.416017,0.017792,0.202312,0.004865,0.248745,0.001408,0.000448,0.898499
0.415856,0.017761,0.220456,0.005441,0.263914,0.001376,0.000416,0.932836
0.416048,0.017569,0.201704,0.004896,0.248906,0.001376,0.000608,0.898371
0.415696,0.017440,0.202152,0.004864,0.255402,0.001473,0.000384,0.904996
0.415792,0.017761,0.202152,0.004832,0.261098,0.001344,0.000672,0.910691
0.415856,0.017345,0.203720,0.004960,0.287308,0.001376,0.000608,0.938565
0.415952,0.017825,0.202216,0.004800,0.250186,0.001472,0.000384,0.899843
0.416113,0.017440,0.202088,0.005025,0.250857,0.001472,0.000384,0.901252
0.416528,0.017729,0.218280,0.005153,0.260746,0.001472,0.000384,0.929380
0.417008,0.017921,0.202088,0.004992,0.250378,0.001376,0.000416,0.901507
0.416337,0.017953,0.202055,0.005024,0.265354,0.001440,0.000320,0.916548
0.416304,0.017697,0.202056,0.005056,0.264203,0.001696,0.000448,0.914596
0.417552,0.017632,0.201992,0.005024,0.262443,0.001536,0.000352,0.913956
0.416496,0.017921,0.201832,0.005056,0.255946,0.001344,0.000576,0.906243
0.416592,0.017953,0.201768,0.004832,0.246314,0.001312,0.000640,0.896579
0.434449,0.017857,0.201864,0.005280,0.260234,0.001312,0.000832,0.929508
0.415952,0.017505,0.202184,0.004864,0.246090,0.001248,0.000384,0.895875
0.415889,0.017761,0.202472,0.004864,0.250890,0.001408,0.000512,0.902884
0.416656,0.017568,0.201672,0.004832,0.258155,0.001504,0.000608,0.909732
0.416304,0.017729,0.201928,0.004768,0.253258,0.001408,0.000608,0.904291
0.416145,0.017441,0.201543,0.005089,0.262506,0.001376,0.000608,0.911620
0.416656,0.017953,0.202120,0.004800,0.236650,0.001248,0.000352,0.886851
0.431921,0.017408,0.202312,0.004865,0.252777,0.001280,0.000352,0.918596
0.416112,0.017569,0.201704,0.004800,0.236073,0.001376,0.000608,0.885378
0.416785,0.017696,0.201928,0.004865,0.243689,0.001312,0.000576,0.894467
0.416721,0.017441,0.202951,0.004960,0.266826,0.001504,0.000576,0.918980
0.417681,0.017536,0.202472,0.004993,0.269066,0.001408,0.000352,0.921700
0.417040,0.017729,0.202824,0.004832,0.264426,0.001313,0.000352,0.915876
0.416720,0.017505,0.203784,0.005056,0.258890,0.001472,0.000416,0.912388
0.429137,0.017921,0.202600,0.004864,0.253386,0.001344,0.000384,0.916900
0.416432,0.017985,0.202504,0.005056,0.250954,0.001216,0.000608,0.901507
0.415985,0.017633,0.202215,0.004864,0.226313,0.001408,0.000384,0.876195
0.416016,0.017505,0.202344,0.005280,0.248842,0.001408,0.000608,0.898307
0.416016,0.017665,0.202216,0.004800,0.243914,0.001248,0.000608,0.893219
0.416369,0.017728,0.202024,0.004864,0.240394,0.001504,0.000576,0.889571
0.416912,0.017761,0.203048,0.004864,0.265611,0.001472,0.000384,0.917892
0.435697,0.017985,0.202760,0.004864,0.255498,0.001344,0.000448,0.925956
0.416112,0.017696,0.202472,0.004800,0.253610,0.001376,0.000416,0.903844
0.417712,0.017729,0.202056,0.004864,0.256266,0.001472,0.000416,0.909379
0.417169,0.017760,0.201992,0.004864,0.279050,0.001536,0.000608,0.930981
0.416720,0.017985,0.202024,0.004928,0.241769,0.001536,0.000608,0.893507
0.416112,0.017760,0.202824,0.005024,0.249258,0.001504,0.000384,0.900483
0.416177,0.017921,0.202631,0.004865,0.258058,0.001536,0.000416,0.909060
0.433969,0.017760,0.202536,0.005025,0.244361,0.001344,0.000384,0.912419
0.416304,0.017729,0.202408,0.004832,0.249418,0.001440,0.000608,0.899427
0.416977,0.017985,0.202248,0.004832,0.252458,0.001472,0.000384,0.903332
0.415984,0.017761,0.201960,0.004864,0.296972,0.001600,0.000416,0.946597
0.415952,0.017920,0.202280,0.005056,0.258091,0.001568,0.000384,0.909092
0.418736,0.017824,0.205000,0.004801,0.246889,0.001536,0.000640,0.904355
0.417553,0.017569,0.202824,0.004832,0.258890,0.001600,0.000384,0.911684
0.432848,0.017792,0.201960,0.004768,0.266059,0.001344,0.000384,0.933316
0.417104,0.017953,0.202024,0.005056,0.263146,0.001280,0.000384,0.914403
0.416336,0.017761,0.202632,0.004864,0.265802,0.001408,0.000417,0.916868
0.416560,0.017729,0.221481,0.005248,0.256970,0.001376,0.000384,0.927204
0.417009,0.017888,0.202216,0.004865,0.249609,0.001568,0.000608,0.901283
0.415920,0.017921,0.202824,0.004928,0.263275,0.001536,0.000608,0.914340
0.416304,0.017601,0.202408,0.005056,0.263402,0.001472,0.000608,0.914564
0.416496,0.017665,0.202184,0.005056,0.266923,0.001504,0.000352,0.918308
0.416497,0.017728,0.202152,0.005057,0.258954,0.001376,0.000448,0.911044
0.416304,0.017761,0.202376,0.005056,0.263786,0.001376,0.000384,0.914660
0.416784,0.017921,0.221576,0.005472,0.269194,0.001280,0.000384,0.940676
0.416336,0.017889,0.202472,0.004800,0.247722,0.001312,0.000384,0.898307
0.416209,0.017953,0.202823,0.004993,0.262634,0.001344,0.000576,0.913220
0.416081,0.017825,0.201928,0.004864,0.261226,0.001376,0.000384,0.910756
0.415760,0.017889,0.202024,0.004864,0.260683,0.001472,0.000352,0.910660
0.417585,0.017633,0.202824,0.005056,0.263242,0.001728,0.000576,0.918468
0.416656,0.017793,0.203112,0.005120,0.270635,0.001472,0.000576,0.923876
0.429873,0.017537,0.203048,0.004896,0.262538,0.001312,0.000640,0.927749
0.416016,0.017505,0.201864,0.004832,0.263178,0.001376,0.000576,0.913379
0.416081,0.017857,0.201991,0.004800,0.254762,0.001376,0.000352,0.903620
0.415856,0.017601,0.202536,0.004768,0.283275,0.001248,0.000352,0.931972
0.415216,0.017505,0.202024,0.004832,0.252394,0.001152,0.000384,0.899875
0.415665,0.017408,0.201992,0.004865,0.254442,0.001184,0.000384,0.901732
0.415376,0.018401,0.202504,0.004992,0.246474,0.001152,0.000288,0.894883
0.433425,0.017505,0.202024,0.004832,0.234313,0.001184,0.000352,0.900419
0.416624,0.017825,0.202312,0.004864,0.258410,0.001280,0.000385,0.909284
0.415536,0.017601,0.202216,0.004928,0.253322,0.001184,0.000384,0.902243
0.415824,0.017953,0.202312,0.004864,0.324365,0.001248,0.000352,0.976070
0.416081,0.017472,0.202088,0.005248,0.259499,0.001280,0.000608,0.910212
0.416144,0.017760,0.202952,0.005056,0.241930,0.001376,0.000416,0.891907
0.415920,0.017697,0.201800,0.004960,0.255818,0.001344,0.000384,0.904163
0.434097,0.017377,0.202024,0.005152,0.237961,0.001216,0.000352,0.904900
0.416112,0.017601,0.202183,0.004832,0.253674,0.001248,0.000384,0.902020
0.415664,0.017569,0.202056,0.004800,0.251946,0.001280,0.000416,0.899875
0.415313,0.017472,0.202408,0.004865,0.270282,0.001312,0.000384,0.918404
0.416144,0.017281,0.202536,0.004864,0.258346,0.001440,0.000384,0.908003
0.415952,0.017377,0.203432,0.004992,0.277675,0.001312,0.000384,0.928548
0.416017,0.017729,0.202408,0.005056,0.247049,0.001312,0.000576,0.899556
0.432785,0.017313,0.202472,0.005056,0.261610,0.001345,0.000448,0.928773
0.415792,0.017665,0.202088,0.004864,0.254506,0.001248,0.000608,0.902947
0.415568,0.017440,0.202152,0.004800,0.245738,0.001280,0.000352,0.893955
0.415632,0.017441,0.202088,0.005056,0.262027,0.001216,0.000352,0.910436
0.416176,0.017441,0.201896,0.005120,0.253194,0.001216,0.000384,0.902115
0.416176,0.017313,0.202056,0.004832,0.251690,0.001312,0.000384,0.900739
0.415856,0.017441,0.202248,0.004800,0.251466,0.001408,0.000352,0.899907
0.454578,0.017793,0.202536,0.004832,0.260874,0.001376,0.000352,0.950661
0.416080,0.017505,0.202216,0.005088,0.258730,0.001376,0.000352,0.908932
0.415472,0.017921,0.202824,0.005024,0.260778,0.001408,0.000608,0.912931
0.416689,0.018016,0.201928,0.005057,0.273322,0.001472,0.000576,0.925316
0.416625,0.017665,0.202439,0.005057,0.261098,0.001504,0.000384,0.910788
0.416592,0.017632,0.202664,0.005152,0.261995,0.001504,0.000576,0.912932
0.417073,0.017664,0.201896,0.004832,0.245418,0.001216,0.000352,0.895459
0.435313,0.017345,0.202600,0.004800,0.251370,0.001344,0.000416,0.920388
0.416144,0.017216,0.202152,0.005280,0.257194,0.001248,0.000384,0.906148
0.415792,0.017473,0.202536,0.004800,0.248522,0.001280,0.000320,0.897827
0.416400,0.017569,0.202024,0.004832,0.294988,0.001472,0.000384,0.944901
0.416144,0.017664,0.202024,0.004928,0.259819,0.001280,0.000384,0.910020
0.416337,0.017472,0.202568,0.005057,0.255242,0.001376,0.000352,0.906660
0.416112,0.017888,0.201992,0.004768,0.250314,0.001472,0.000608,0.901059
0.429681,0.017953,0.202056,0.004992,0.254602,0.001280,0.000352,0.918308
0.416369,0.017696,0.202152,0.005057,0.247561,0.001376,0.000384,0.897763
0.416944,0.017697,0.201928,0.004896,0.247849,0.001312,0.000480,0.898435
0.416144,0.017601,0.220904,0.005312,0.248425,0.001312,0.000384,0.917124
0.415665,0.017696,0.201608,0.004833,0.259434,0.001280,0.000352,0.907748
0.415761,0.017440,0.202472,0.004832,0.257163,0.001312,0.000384,0.906884
0.416560,0.017760,0.202824,0.004832,0.259659,0.001248,0.000640,0.911396
0.415920,0.017920,0.202248,0.005056,0.265707,0.001440,0.000384,0.916868
0.416785,0.017504,0.202056,0.004801,0.260490,0.001376,0.000352,0.911588
0.415569,0.017504,0.202792,0.005025,0.262794,0.001312,0.000352,0.912996
0.417040,0.017537,0.217672,0.005505,0.269066,0.001248,0.000384,0.937092
0.415952,0.017665,0.201896,0.004800,0.264362,0.001216,0.000384,0.913603
0.417104,0.017825,0.202344,0.005056,0.253386,0.001408,0.000352,0.904963
0.415633,0.017632,0.202216,0.004993,0.245161,0.001344,0.000384,0.894147
0.417488,0.017697,0.202120,0.004896,0.262506,0.001248,0.000352,0.913539
0.415953,0.017665,0.201799,0.004929,0.266698,0.001376,0.000384,0.916164
0.416912,0.017665,0.202664,0.004864,0.264362,0.001344,0.000352,0.915556
0.440914,0.017696,0.202120,0.004801,0.267370,0.001440,0.000608,0.943493
0.416337,0.017568,0.202248,0.004833,0.252329,0.001472,0.000384,0.902948
0.416305,0.017472,0.202824,0.004801,0.261866,0.001312,0.000416,0.912420
0.415761,0.017568,0.201960,0.004992,0.258379,0.001312,0.000672,0.907588
0.415984,0.017953,0.204200,0.004832,0.246442,0.001344,0.000576,0.898499
0.416592,0.017537,0.202504,0.005024,0.264619,0.001280,0.000384,0.914980
0.416624,0.017761,0.202344,0.004832,0.255946,0.001280,0.000608,0.906947
0.433265,0.017537,0.202632,0.005152,0.261994,0.001248,0.000352,0.929029
0.416560,0.017504,0.202376,0.004832,0.257419,0.001248,0.000352,0.907332
0.416304,0.017473,0.202055,0.005088,0.267338,0.001440,0.000576,0.916740
0.415888,0.017569,0.202376,0.005056,0.282571,0.001376,0.000352,0.933220
0.416688,0.017665,0.202152,0.004864,0.264682,0.001472,0.000608,0.917348
0.416432,0.017729,0.202024,0.005024,0.282219,0.001280,0.000384,0.932100
0.416688,0.017633,0.202216,0.004832,0.263466,0.001280,0.000353,0.912964
0.433873,0.017600,0.203464,0.004801,0.258410,0.001216,0.000352,0.926884
0.417552,0.017505,0.202120,0.005056,0.234345,0.001280,0.000352,0.885858
0.416561,0.017409,0.201895,0.004929,0.259178,0.001280,0.000608,0.909540
0.416400,0.017697,0.201928,0.004864,0.267403,0.001280,0.000352,0.917124
0.417424,0.017569,0.202152,0.004864,0.254378,0.001312,0.000416,0.905539
0.416432,0.017569,0.201864,0.004896,0.247498,0.001376,0.000608,0.897315
0.416240,0.017633,0.202088,0.005248,0.257674,0.001248,0.000384,0.907875
0.433873,0.017856,0.202440,0.005025,0.266538,0.001376,0.000576,0.936388
0.416336,0.017760,0.201832,0.005024,0.256874,0.001344,0.000576,0.906948
0.416880,0.017569,0.202824,0.004864,0.262122,0.001376,0.000352,0.913091
0.416432,0.017729,0.202312,0.004896,0.291819,0.001184,0.000608,0.941733
0.416208,0.017921,0.201608,0.005024,0.248522,0.001248,0.000576,0.897859
0.415856,0.017601,0.202280,0.004832,0.255754,0.001376,0.000576,0.905572
0.416497,0.017440,0.201768,0.004897,0.260522,0.001440,0.000608,0.909924
0.451410,0.017665,0.201927,0.005089,0.262314,0.001376,0.000608,0.948677
0.416721,0.017761,0.201863,0.005057,0.267402,0.001472,0.000576,0.919396
0.416176,0.017505,0.202088,0.004800,0.267050,0.001376,0.000640,0.918884
0.415920,0.017441,0.220041,0.005312,0.268747,0.001280,0.000576,0.937925
0.415824,0.017441,0.201736,0.005056,0.261738,0.001441,0.000352,0.911204
0.415888,0.017729,0.201608,0.005056,0.258730,0.001216,0.000384,0.907907
0.415793,0.017664,0.201608,0.004929,0.250985,0.001248,0.000416,0.900228
0.415856,0.017697,0.201928,0.004800,0.265034,0.001248,0.000448,0.914883
0.416337,0.017760,0.202152,0.004864,0.255850,0.001280,0.000384,0.905540
0.415728,0.017633,0.202056,0.005248,0.255210,0.001376,0.000352,0.904771
0.416144,0.018401,0.240586,0.005440,0.269162,0.001313,0.000384,0.959494
0.416049,0.017664,0.201992,0.004832,0.261835,0.001312,0.000416,0.911428
0.415825,0.017824,0.202056,0.004865,0.271178,0.001472,0.000384,0.922020
0.416560,0.017505,0.201928,0.004800,0.268970,0.001376,0.000480,0.919780
0.416112,0.017569,0.201736,0.004864,0.259466,0.001249,0.000416,0.908996
0.415312,0.017537,0.201608,0.005280,0.247978,0.001280,0.000384,0.895523
0.415377,0.017472,0.201960,0.004896,0.259115,0.001248,0.000384,0.906788
0.415984,0.017921,0.220201,0.005408,0.245034,0.001216,0.000384,0.913444
0.416688,0.017761,0.201512,0.004864,0.262506,0.001248,0.000384,0.912164
0.415601,0.017600,0.201608,0.004864,0.258219,0.001216,0.000384,0.906628
0.415696,0.017505,0.201736,0.005056,0.245130,0.001216,0.000352,0.894019
0.415761,0.017984,0.201991,0.005025,0.259850,0.001344,0.000352,0.910724
0.415728,0.017664,0.201800,0.005024,0.264139,0.001440,0.000384,0.914148
0.415761,0.017536,0.201704,0.005057,0.271210,0.001504,0.000384,0.921348
0.432497,0.017696,0.201992,0.005249,0.261674,0.001408,0.000384,0.928516
0.415729,0.017504,0.201672,0.004896,0.259723,0.001472,0.000384,0.908804
0.416048,0.017537,0.201864,0.004896,0.260042,0.001248,0.000384,0.909091
0.416144,0.017792,0.203080,0.004864,0.243050,0.001248,0.000480,0.911524
0.416432,0.017921,0.201992,0.004832,0.246409,0.001281,0.000384,0.895971
0.416784,0.017697,0.201896,0.004800,0.243593,0.001345,0.000384,0.894147
0.415729,0.017537,0.201735,0.004897,0.246537,0.001280,0.000384,0.894563
0.433521,0.017825,0.201703,0.004833,0.245929,0.001280,0.000384,0.913219
0.416401,0.017569,0.201927,0.004801,0.252106,0.001536,0.000384,0.902564
0.416432,0.017856,0.201768,0.004992,0.268523,0.001344,0.000384,0.919364
0.415953,0.017632,0.201512,0.005313,0.245769,0.001312,0.000416,0.895043
0.416401,0.017568,0.202664,0.004832,0.262506,0.001312,0.000384,0.913124
0.415856,0.017633,0.201768,0.004832,0.262986,0.001344,0.000384,0.911908
0.416560,0.017761,0.202024,0.004832,0.268011,0.001376,0.000384,0.918052
0.436337,0.017664,0.202120,0.005312,0.262955,0.001376,0.000352,0.933925
0.416624,0.017633,0.201864,0.005024,0.263306,0.001441,0.000384,0.913572
0.417424,0.017569,0.202408,0.005024,0.258794,0.001408,0.000352,0.910019
0.416433,0.017664,0.201640,0.004865,0.286859,0.001440,0.000416,0.937189
0.416912,0.017697,0.203080,0.004832,0.258186,0.001504,0.000416,0.911619
0.416368,0.017953,0.202824,0.005024,0.255306,0.001408,0.000384,0.906275
0.415921,0.017920,0.202632,0.005089,0.254090,0.001344,0.000416,0.904868
0.433297,0.017633,0.203240,0.004992,0.251434,0.001344,0.000352,0.920452
0.415664,0.017761,0.202056,0.004832,0.240458,0.001344,0.000384,0.889859
0.415984,0.017729,0.202792,0.004960,0.250730,0.001312,0.000352,0.901251
0.415825,0.017504,0.202504,0.004897,0.271690,0.001280,0.000352,0.920420
0.415824,0.017473,0.202536,0.004992,0.263498,0.001281,0.000416,0.912132
0.416464,0.017889,0.202152,0.004800,0.254410,0.001312,0.000416,0.903939
0.415984,0.017729,0.202248,0.004864,0.243722,0.001312,0.000608,0.894723
0.430353,0.017857,0.202568,0.004928,0.256554,0.001536,0.000672,0.923588
0.416400,0.017697,0.202472,0.005024,0.257930,0.001216,0.000320,0.909155
0.415952,0.017505,0.202280,0.004864,0.268810,0.001536,0.000384,0.919556
0.416081,0.017696,0.220297,0.005248,0.239594,0.001184,0.000352,0.908612
0.416368,0.017889,0.201928,0.004832,0.246570,0.001344,0.000768,0.897315
0.416048,0.017473,0.202024,0.005248,0.240137,0.001280,0.000608,0.889635
0.415824,0.017793,0.202056,0.004768,0.283595,0.001408,0.000416,0.931812
0.429905,0.017761,0.201736,0.004960,0.233897,0.001280,0.000416,0.896195
