Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-8],Layer[9],Layer[10],classifier
0.432177,0.017793,0.202248,0.004928,0.266475,0.001312,0.000512,0.933893
0.416304,0.017729,0.202088,0.004800,0.250890,0.001440,0.000352,0.900803
0.417072,0.017505,0.202056,0.005024,0.259210,0.001280,0.000384,0.909283
0.415888,0.017697,0.220008,0.004993,0.264042,0.001344,0.000352,0.932580
0.415665,0.017696,0.202280,0.004833,0.264298,0.001408,0.000384,0.914084
0.416721,0.017952,0.201992,0.004833,0.254122,0.001376,0.000384,0.904516
0.416272,0.017345,0.201896,0.004832,0.259818,0.001312,0.000384,0.909924
0.423472,0.017568,0.204104,0.004896,0.258091,0.001440,0.000384,0.918628
0.416656,0.018017,0.202632,0.004832,0.263690,0.001600,0.000416,0.917188
0.416784,0.017537,0.202920,0.004800,0.250154,0.001536,0.000352,0.902563
0.416304,0.017697,0.229385,0.005056,0.250506,0.001600,0.000352,0.931012
0.415952,0.017601,0.202280,0.004832,0.251338,0.001440,0.000352,0.901571
0.416464,0.017601,0.202216,0.004864,0.245258,0.001408,0.000416,0.895715
0.416465,0.017921,0.201896,0.005056,0.250634,0.001376,0.000352,0.902052
0.417040,0.017568,0.202696,0.004832,0.253962,0.001344,0.000353,0.904836
0.416080,0.017537,0.202216,0.005024,0.251466,0.001376,0.000352,0.901539
0.416144,0.017441,0.202184,0.004832,0.245386,0.001440,0.000384,0.895427
0.441617,0.017504,0.202312,0.004896,0.252970,0.001536,0.000384,0.929380
0.414416,0.017633,0.201736,0.005024,0.255466,0.001408,0.000384,0.902275
0.415440,0.017921,0.202088,0.004864,0.238953,0.001344,0.000384,0.890882
0.416272,0.017761,0.201896,0.004832,0.250346,0.001472,0.000416,0.901795
0.417008,0.017761,0.204232,0.005024,0.243978,0.001536,0.000384,0.897955
0.416080,0.017921,0.202088,0.004832,0.255786,0.001408,0.000384,0.905987
0.415953,0.017632,0.201896,0.005025,0.253097,0.001440,0.000416,0.902980
