Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],TEE[6-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416560,0.017600,0.202152,0.004832,0.065923,0.000704,0.192584,0.000672,0.001696,0.001152,0.000384,0.913348
0.416529,0.017504,0.202471,0.004801,0.047042,0.000576,0.188359,0.000672,0.001792,0.001120,0.000352,0.888739
0.416080,0.017633,0.202120,0.004800,0.049282,0.000544,0.179463,0.000800,0.001792,0.001184,0.000416,0.882338
0.416241,0.017248,0.202472,0.004832,0.047393,0.000576,0.184776,0.000640,0.001792,0.001056,0.000384,0.885059
0.431185,0.017537,0.202184,0.004800,0.047586,0.000576,0.181511,0.000800,0.001696,0.001088,0.000384,0.897379
0.416048,0.017345,0.202408,0.004832,0.047714,0.000608,0.194631,0.000544,0.001697,0.001024,0.000352,0.894755
0.416208,0.017377,0.202664,0.004800,0.047586,0.000544,0.190440,0.000704,0.001856,0.001152,0.000416,0.892643
0.416017,0.017312,0.202344,0.004833,0.046913,0.000544,0.213161,0.000640,0.001920,0.001088,0.000352,0.913028
0.415984,0.017537,0.202120,0.004800,0.046978,0.000576,0.180775,0.000480,0.001728,0.000961,0.000320,0.880003
0.415728,0.017537,0.202024,0.004800,0.047106,0.000576,0.164294,0.000544,0.001729,0.001120,0.000384,0.863490
0.416016,0.017537,0.201928,0.004832,0.046754,0.000544,0.183303,0.000576,0.001920,0.001184,0.000352,0.883138
0.433265,0.017600,0.202696,0.004833,0.047041,0.000576,0.179463,0.000768,0.001856,0.001184,0.000384,0.897379
0.415568,0.017345,0.201800,0.004800,0.046914,0.000544,0.202792,0.000544,0.001792,0.001088,0.000384,0.901539
0.418480,0.017313,0.202504,0.004832,0.046850,0.000576,0.175015,0.000544,0.001760,0.001344,0.000352,0.877378
0.415504,0.017409,0.202152,0.004864,0.046914,0.000480,0.205736,0.000640,0.001920,0.001056,0.000352,0.906019
0.415921,0.017313,0.202215,0.004833,0.047330,0.000576,0.191015,0.000640,0.001888,0.001152,0.000352,0.891203
0.415472,0.017376,0.203368,0.004832,0.046850,0.000544,0.173767,0.000640,0.001792,0.001120,0.000384,0.873890
0.415472,0.017409,0.202408,0.004800,0.047010,0.000512,0.211208,0.000544,0.001824,0.001120,0.000320,0.910339
0.434257,0.017505,0.202952,0.004928,0.046946,0.000512,0.196039,0.000608,0.001920,0.001120,0.000352,0.916580
0.415504,0.017697,0.202056,0.004832,0.046946,0.000576,0.199464,0.000704,0.001888,0.001056,0.000320,0.899523
0.416048,0.017537,0.203080,0.004832,0.047202,0.000544,0.196424,0.000576,0.001856,0.001408,0.000384,0.899267
0.416880,0.017473,0.202312,0.004832,0.048962,0.000576,0.191335,0.000640,0.019680,0.001440,0.000352,0.913763
0.416016,0.017537,0.203176,0.004832,0.049698,0.000576,0.196840,0.000768,0.001856,0.001088,0.000352,0.901763
0.417168,0.017505,0.202856,0.004832,0.048674,0.000608,0.189319,0.000800,0.001952,0.001024,0.000384,0.893122
0.416496,0.017825,0.202568,0.004800,0.048706,0.000576,0.204776,0.001088,0.001984,0.001185,0.000384,0.910084
0.433745,0.017665,0.203400,0.004832,0.048770,0.000576,0.205128,0.000864,0.002240,0.001216,0.000385,0.927749
0.416305,0.017473,0.202311,0.004801,0.048802,0.000608,0.191847,0.001024,0.001856,0.001312,0.000352,0.896131
0.416336,0.017473,0.202792,0.004864,0.048482,0.000608,0.192295,0.000832,0.001952,0.001472,0.000352,0.896003
0.416369,0.017665,0.202471,0.004801,0.048450,0.000576,0.209768,0.001088,0.002240,0.001280,0.000384,0.913892
0.417137,0.017504,0.202695,0.004833,0.047714,0.000640,0.203016,0.000832,0.001952,0.001472,0.000352,0.906116
0.416976,0.017536,0.203304,0.004864,0.049186,0.000576,0.208009,0.000704,0.002336,0.001216,0.000384,0.916164
0.416049,0.017505,0.202951,0.004833,0.049698,0.000576,0.192135,0.000736,0.002272,0.001088,0.000384,0.896452
0.431889,0.017985,0.202120,0.004800,0.048578,0.000512,0.188711,0.000672,0.002496,0.001088,0.000352,0.908195
0.416048,0.017697,0.202888,0.004832,0.049506,0.000576,0.181607,0.000961,0.002048,0.001184,0.000384,0.886211
0.416304,0.017313,0.202472,0.004832,0.047938,0.000576,0.190407,0.000800,0.002337,0.001184,0.000352,0.893539
0.416016,0.017441,0.202088,0.004800,0.048418,0.000608,0.221705,0.000896,0.002368,0.001216,0.000384,0.923748
0.416272,0.017473,0.202248,0.004800,0.048514,0.000608,0.191560,0.000864,0.002080,0.001280,0.000352,0.894883
0.418192,0.017409,0.203016,0.004832,0.048514,0.000544,0.182983,0.000832,0.002240,0.001152,0.000416,0.887714
0.416560,0.017729,0.202440,0.004832,0.048162,0.000608,0.185031,0.001025,0.002048,0.001248,0.000352,0.888739
0.430001,0.017440,0.202664,0.004832,0.048194,0.000576,0.215561,0.000736,0.001920,0.001056,0.000352,0.931108
0.416432,0.017409,0.202120,0.004832,0.050018,0.000576,0.188359,0.001120,0.002112,0.001056,0.000352,0.893507
0.417360,0.017568,0.202408,0.004832,0.048258,0.000608,0.192360,0.000768,0.001856,0.001152,0.000384,0.896387
0.418513,0.017601,0.204136,0.004896,0.049218,0.000576,0.235721,0.001152,0.002304,0.001504,0.000384,0.944805
0.417264,0.017793,0.203208,0.004864,0.048642,0.000576,0.194248,0.001024,0.002144,0.001152,0.000320,0.900003
0.416849,0.017729,0.202888,0.004832,0.047522,0.000608,0.195815,0.000896,0.002401,0.001216,0.000384,0.900644
0.417072,0.017377,0.203560,0.004832,0.047682,0.000576,0.195080,0.000832,0.002112,0.001216,0.000416,0.899715
0.433681,0.017505,0.202728,0.004832,0.048290,0.000608,0.198952,0.000800,0.002240,0.001312,0.000448,0.920804
0.416240,0.017569,0.203016,0.004864,0.048962,0.000576,0.194536,0.000832,0.002240,0.001184,0.000448,0.898723
0.416912,0.017537,0.203528,0.004800,0.049570,0.000544,0.192327,0.000673,0.002272,0.001248,0.000352,0.898915
0.416176,0.017825,0.203144,0.004896,0.048994,0.000576,0.214152,0.000800,0.002560,0.001217,0.000384,0.918916
0.417201,0.017761,0.203528,0.004832,0.049538,0.000576,0.194631,0.000832,0.002113,0.001472,0.000384,0.902404
0.416848,0.017729,0.202472,0.004800,0.049442,0.000544,0.199176,0.000640,0.002400,0.001248,0.000384,0.903811
0.416081,0.017664,0.202920,0.004832,0.048418,0.000544,0.184840,0.000832,0.002272,0.001248,0.000320,0.888483
0.433969,0.017729,0.202408,0.004800,0.047874,0.000576,0.195495,0.000800,0.002304,0.001472,0.000384,0.916836
0.416752,0.017345,0.202024,0.004832,0.048610,0.000576,0.199240,0.000736,0.002400,0.001408,0.000352,0.903139
0.416241,0.017568,0.202344,0.004833,0.048545,0.000576,0.194280,0.001120,0.003072,0.001376,0.000352,0.899395
0.416336,0.017472,0.220905,0.005152,0.048226,0.000576,0.188135,0.001056,0.002368,0.001216,0.000384,0.910820
0.415824,0.017409,0.202920,0.004864,0.048674,0.000576,0.213096,0.000992,0.002336,0.001440,0.000352,0.916580
0.415824,0.017601,0.203208,0.004864,0.048354,0.000480,0.187751,0.000704,0.002304,0.001440,0.000384,0.891394
0.417137,0.017472,0.202088,0.004928,0.048162,0.000608,0.195432,0.001056,0.002240,0.001344,0.000384,0.898979
0.416272,0.017601,0.202312,0.004832,0.048354,0.000608,0.190856,0.001120,0.002112,0.001408,0.000352,0.896259
0.416144,0.017761,0.202216,0.004800,0.049474,0.000544,0.187335,0.000864,0.002433,0.001376,0.000352,0.891139
0.415952,0.017601,0.202504,0.004832,0.048322,0.000544,0.190632,0.000768,0.002048,0.001120,0.000416,0.893283
0.415952,0.017697,0.222249,0.005024,0.049762,0.000576,0.186727,0.001056,0.002400,0.001121,0.000352,0.912068
0.416048,0.017441,0.202504,0.004800,0.048642,0.000576,0.195528,0.000704,0.002144,0.001184,0.000416,0.898947
0.415921,0.017408,0.202536,0.004833,0.048610,0.000544,0.196839,0.000864,0.002272,0.001121,0.000384,0.899844
0.416560,0.017505,0.202856,0.004832,0.048546,0.000576,0.201544,0.000704,0.002272,0.001152,0.000384,0.905667
0.415633,0.017472,0.202536,0.004833,0.048257,0.000512,0.184135,0.001056,0.002208,0.001184,0.000384,0.886467
0.416336,0.017473,0.202152,0.004896,0.048834,0.000576,0.192456,0.000736,0.002176,0.001152,0.000448,0.895683
