Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],TEE[6-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416912,0.017569,0.203208,0.005248,0.048258,0.000672,0.171239,0.000704,0.001920,0.001152,0.000352,0.875522
0.416176,0.017825,0.203784,0.005248,0.048450,0.000800,0.192872,0.000704,0.001888,0.001248,0.000352,0.898435
0.417584,0.017761,0.202312,0.005120,0.048098,0.000768,0.195304,0.000768,0.002144,0.000960,0.000704,0.899107
0.417105,0.017568,0.202760,0.005185,0.047329,0.000801,0.197159,0.000832,0.001856,0.001088,0.000385,0.900100
0.415920,0.017633,0.202664,0.005280,0.047650,0.000480,0.189767,0.000800,0.002080,0.000800,0.000352,0.891555
0.418512,0.017537,0.202248,0.005120,0.048514,0.000736,0.181543,0.000736,0.001920,0.000992,0.000320,0.886594
0.416112,0.017569,0.220168,0.005281,0.047234,0.000736,0.180679,0.000736,0.001856,0.000992,0.000320,0.899747
0.415888,0.017664,0.202248,0.005088,0.049090,0.000960,0.193160,0.000576,0.001888,0.001056,0.000320,0.896163
0.415792,0.017921,0.202120,0.005184,0.047170,0.000800,0.187303,0.000576,0.001888,0.001184,0.000352,0.888098
0.415825,0.017536,0.203304,0.005313,0.048130,0.000448,0.217544,0.000640,0.001888,0.000896,0.000320,0.919140
0.415505,0.017632,0.202184,0.005280,0.047074,0.000576,0.188232,0.000544,0.001952,0.001120,0.000352,0.887331
0.415696,0.017601,0.202056,0.005280,0.047842,0.000480,0.170759,0.000576,0.001824,0.000832,0.000352,0.869826
0.415633,0.017440,0.202120,0.005280,0.047298,0.000768,0.162791,0.000608,0.001856,0.000864,0.000576,0.862818
0.415377,0.017536,0.219017,0.005216,0.048162,0.000704,0.184935,0.000512,0.001697,0.001024,0.000320,0.902948
0.417360,0.017505,0.202344,0.005248,0.047938,0.000672,0.204168,0.000576,0.001728,0.000928,0.000576,0.906275
0.415568,0.017665,0.201928,0.005216,0.046946,0.000704,0.175399,0.000640,0.001856,0.001152,0.000576,0.875170
0.415920,0.017441,0.202312,0.005376,0.047362,0.000704,0.178023,0.000576,0.001696,0.001120,0.000352,0.878786
0.429808,0.017441,0.201992,0.005344,0.047106,0.000672,0.206632,0.000672,0.001824,0.000960,0.000384,0.919427
0.415089,0.017664,0.203208,0.005025,0.048001,0.000768,0.188840,0.000544,0.001920,0.001280,0.000608,0.891171
0.415664,0.017537,0.201992,0.005248,0.047970,0.000672,0.166087,0.000640,0.001888,0.000960,0.000384,0.866338
0.415376,0.017569,0.202376,0.005312,0.048130,0.000704,0.216425,0.000576,0.001920,0.001056,0.000576,0.917604
0.415600,0.017537,0.201992,0.005312,0.048098,0.000544,0.199144,0.000544,0.001760,0.000896,0.000320,0.898851
0.415824,0.017473,0.203624,0.005248,0.047266,0.000768,0.178759,0.000576,0.001856,0.001088,0.000384,0.882083
0.415729,0.018241,0.202599,0.005281,0.046818,0.000480,0.200231,0.000576,0.001760,0.000896,0.000320,0.900292
0.428689,0.017473,0.201832,0.004832,0.046850,0.000448,0.176615,0.000672,0.001792,0.000896,0.000384,0.887107
0.415313,0.017504,0.202472,0.005153,0.047329,0.000832,0.184232,0.000544,0.001824,0.001216,0.000352,0.884291
0.415920,0.017313,0.202248,0.005280,0.046818,0.000736,0.180007,0.000544,0.001888,0.001088,0.000224,0.879298
0.415728,0.017633,0.202024,0.005216,0.046786,0.000576,0.188679,0.000768,0.001888,0.001088,0.000352,0.888931
0.416208,0.017505,0.201735,0.005280,0.046818,0.000576,0.177383,0.000608,0.001792,0.000928,0.000352,0.876162
0.416016,0.017537,0.202088,0.005056,0.046882,0.000512,0.215529,0.000544,0.001728,0.001056,0.000384,0.914212
0.415792,0.017409,0.202184,0.005280,0.047874,0.000512,0.182503,0.000544,0.001728,0.000992,0.000384,0.882082
0.415760,0.017441,0.218153,0.005184,0.046850,0.000512,0.161862,0.000480,0.001728,0.000800,0.000352,0.876514
0.415089,0.017472,0.202248,0.005120,0.046786,0.000736,0.190600,0.000672,0.001728,0.001024,0.000352,0.889795
0.415952,0.017697,0.201704,0.005344,0.046786,0.000736,0.172967,0.000640,0.001920,0.000992,0.000384,0.872034
0.415985,0.017536,0.201832,0.004800,0.046754,0.000768,0.197512,0.001024,0.002752,0.000928,0.000320,0.898083
0.448466,0.017537,0.201992,0.005280,0.046786,0.000704,0.182727,0.000512,0.001888,0.001120,0.000352,0.915556
0.415985,0.017665,0.201959,0.005312,0.047234,0.000704,0.177639,0.000608,0.002080,0.001152,0.000320,0.879843
0.416528,0.017633,0.202568,0.005280,0.047330,0.000768,0.195528,0.000672,0.002272,0.001120,0.000320,0.898339
0.415888,0.017505,0.224456,0.005217,0.047746,0.000896,0.195911,0.000608,0.002144,0.001153,0.000384,0.921924
0.416272,0.017409,0.202984,0.005216,0.047458,0.000768,0.195207,0.000577,0.002272,0.001184,0.000352,0.897987
0.415856,0.017761,0.203368,0.005312,0.047298,0.000768,0.194984,0.000640,0.002080,0.001120,0.000416,0.899075
0.416304,0.017760,0.202440,0.005248,0.048002,0.000800,0.192008,0.000576,0.002144,0.001216,0.000384,0.894787
0.416049,0.017857,0.203240,0.005344,0.048162,0.001088,0.191271,0.000768,0.002273,0.001248,0.000416,0.898884
0.416048,0.017761,0.202088,0.005440,0.048322,0.000768,0.188072,0.000544,0.002368,0.001088,0.000352,0.891075
0.416752,0.017665,0.202568,0.005344,0.047970,0.000736,0.177063,0.000800,0.002368,0.001216,0.000640,0.881858
0.416688,0.017633,0.220712,0.005185,0.049825,0.000897,0.197863,0.001120,0.002144,0.001185,0.000416,0.922212
0.416336,0.017665,0.202408,0.005088,0.047490,0.000832,0.192071,0.000832,0.001888,0.001249,0.000384,0.893923
0.416625,0.017664,0.202152,0.005345,0.048481,0.000801,0.189159,0.001024,0.002144,0.001248,0.000544,0.893475
0.417328,0.017376,0.202952,0.005312,0.048258,0.000864,0.185000,0.000512,0.002016,0.001248,0.000384,0.889539
0.416049,0.017600,0.202120,0.005377,0.047746,0.000768,0.189415,0.000608,0.002080,0.001248,0.000640,0.891523
0.416113,0.017504,0.202344,0.005249,0.047745,0.000801,0.186535,0.000640,0.002048,0.001216,0.000384,0.888131
0.415760,0.017473,0.202184,0.005248,0.047426,0.000736,0.188999,0.000513,0.001920,0.001184,0.000416,0.889475
0.415888,0.017569,0.218120,0.005472,0.048385,0.000736,0.219145,0.000832,0.002144,0.001152,0.000416,0.940164
0.416593,0.017728,0.202024,0.005089,0.049026,0.000800,0.188871,0.000832,0.001792,0.001152,0.000672,0.892355
0.416432,0.017473,0.202632,0.005024,0.047842,0.000768,0.182983,0.000576,0.001761,0.001248,0.000608,0.885283
0.417392,0.017505,0.202344,0.005312,0.047362,0.000768,0.192839,0.000512,0.002048,0.001184,0.000576,0.895907
0.415761,0.017664,0.201960,0.005025,0.047009,0.000800,0.189224,0.000512,0.001760,0.001120,0.000576,0.889315
0.416432,0.017729,0.202280,0.005024,0.047266,0.000960,0.184775,0.000640,0.001952,0.001216,0.000576,0.886818
0.415792,0.017377,0.202536,0.005024,0.047426,0.000768,0.175527,0.000608,0.001824,0.001088,0.000320,0.875874
0.416049,0.017504,0.220809,0.005248,0.048994,0.000768,0.220169,0.000608,0.002016,0.001088,0.000352,0.941957
0.415953,0.017632,0.201832,0.005313,0.047393,0.000672,0.182247,0.000640,0.001824,0.001088,0.000352,0.882307
0.416145,0.017441,0.202727,0.005249,0.047522,0.000832,0.192839,0.000704,0.001984,0.001120,0.000288,0.895619
0.416561,0.017440,0.201960,0.005280,0.047554,0.000832,0.188744,0.000736,0.002112,0.001184,0.000384,0.891555
0.416432,0.017473,0.202504,0.005056,0.048354,0.000864,0.188200,0.000832,0.002048,0.001056,0.000384,0.891139
0.415921,0.017473,0.202183,0.005313,0.047874,0.000736,0.188263,0.000704,0.001920,0.001152,0.000640,0.889891
0.416272,0.017601,0.202312,0.005312,0.047458,0.000768,0.192488,0.000704,0.002176,0.001120,0.000576,0.895171
0.416560,0.017537,0.218856,0.005216,0.048130,0.000768,0.185768,0.000832,0.002112,0.001120,0.000416,0.905667
0.416368,0.017505,0.201928,0.005088,0.048418,0.001024,0.181735,0.000896,0.001824,0.000992,0.000384,0.883779
0.416048,0.017569,0.201960,0.005216,0.047842,0.000800,0.182023,0.000544,0.002080,0.001088,0.000384,0.882754
0.415441,0.017792,0.201960,0.005217,0.047457,0.000992,0.178214,0.000576,0.001824,0.001120,0.000384,0.878147
0.432465,0.017504,0.202312,0.005249,0.046977,0.000768,0.179079,0.000736,0.002016,0.001024,0.000384,0.896931
0.416080,0.017409,0.202120,0.005248,0.047042,0.000736,0.179687,0.000544,0.001824,0.001056,0.000384,0.879714
0.415856,0.017441,0.201992,0.005280,0.046946,0.000800,0.190791,0.000704,0.001888,0.001216,0.000608,0.892706
0.415856,0.017665,0.202312,0.005312,0.069603,0.000832,0.197128,0.000736,0.001952,0.001152,0.000544,0.921828
0.417265,0.017441,0.202183,0.005280,0.048130,0.001024,0.193799,0.000672,0.002144,0.001217,0.000576,0.898532
0.415632,0.017441,0.202280,0.005248,0.048066,0.000768,0.197128,0.000768,0.002112,0.001248,0.000384,0.898467
0.416208,0.017601,0.202472,0.005344,0.047362,0.000800,0.187879,0.000512,0.002016,0.001248,0.000640,0.889923
0.434769,0.017505,0.202120,0.005120,0.047714,0.000800,0.186567,0.000544,0.002016,0.001184,0.000384,0.906755
0.416496,0.017665,0.202408,0.004992,0.048130,0.000768,0.182311,0.000576,0.001920,0.001120,0.000608,0.884642
0.415952,0.017504,0.202152,0.005088,0.047842,0.000832,0.185768,0.000608,0.001888,0.001088,0.000576,0.886467
0.415760,0.017281,0.201960,0.005248,0.065443,0.000768,0.176583,0.000576,0.001792,0.001024,0.000384,0.894595
0.416976,0.017281,0.201768,0.004960,0.048258,0.000800,0.183623,0.000608,0.002017,0.001056,0.000352,0.884387
0.416176,0.017729,0.202632,0.005088,0.047714,0.000672,0.190728,0.000576,0.001984,0.001184,0.000576,0.894307
0.417297,0.017473,0.202152,0.005088,0.047970,0.000800,0.187111,0.000800,0.001984,0.001152,0.000576,0.890915
0.450514,0.017664,0.202920,0.005217,0.047457,0.000833,0.186343,0.000992,0.001856,0.001120,0.000352,0.923812
0.416688,0.017729,0.202184,0.005280,0.048066,0.000768,0.185447,0.000897,0.002528,0.001152,0.000608,0.889603
0.416849,0.017569,0.202440,0.005088,0.048322,0.000800,0.198951,0.000768,0.002112,0.001120,0.000576,0.903588
0.416912,0.017825,0.202344,0.005024,0.048194,0.000832,0.215593,0.000864,0.002080,0.000992,0.000544,0.919172
0.416368,0.017537,0.202504,0.004832,0.047394,0.000768,0.181127,0.000800,0.002400,0.001056,0.000416,0.882882
0.416144,0.017441,0.202408,0.005056,0.048098,0.000800,0.195912,0.000800,0.002400,0.001184,0.000576,0.899299
0.416113,0.017568,0.201896,0.005088,0.047106,0.000800,0.179271,0.000768,0.002113,0.001120,0.000352,0.879587
0.433201,0.017601,0.202312,0.005216,0.047842,0.000768,0.189799,0.000992,0.002272,0.001120,0.000384,0.909699
0.416305,0.017664,0.201864,0.005057,0.047201,0.000800,0.195368,0.000640,0.002400,0.001056,0.000384,0.896963
0.417873,0.017568,0.202984,0.005313,0.048194,0.000800,0.195559,0.000640,0.002304,0.001249,0.000608,0.901892
0.416848,0.017569,0.202216,0.005216,0.048130,0.000800,0.230921,0.000608,0.002144,0.001120,0.000608,0.935108
0.415857,0.017504,0.202600,0.005089,0.047649,0.000800,0.195272,0.000896,0.002400,0.001152,0.000384,0.897731
0.416912,0.017633,0.202472,0.005216,0.047554,0.000928,0.197128,0.001024,0.002240,0.001152,0.000384,0.901315
0.416112,0.017633,0.202408,0.005280,0.047586,0.001024,0.198568,0.000672,0.002272,0.001280,0.000672,0.901795
0.435697,0.017601,0.202472,0.005376,0.047586,0.000768,0.194728,0.000704,0.002336,0.001120,0.000608,0.917860
0.416144,0.017697,0.202472,0.005248,0.048034,0.000800,0.187559,0.000800,0.002177,0.001280,0.000608,0.891523
0.415920,0.017697,0.202696,0.005344,0.048386,0.001056,0.195527,0.000800,0.002560,0.001248,0.000384,0.899651
0.416048,0.017665,0.202376,0.005280,0.065667,0.000864,0.191015,0.000864,0.002080,0.001248,0.000576,0.912676
0.416464,0.017793,0.202056,0.005312,0.047714,0.000832,0.202920,0.000640,0.002112,0.001184,0.000416,0.907011
0.416273,0.017728,0.201960,0.005313,0.048289,0.000864,0.197736,0.000704,0.003360,0.001217,0.000608,0.903140
0.416208,0.017537,0.202248,0.005216,0.048098,0.000736,0.193447,0.000608,0.002209,0.001120,0.000608,0.896227
0.434417,0.017760,0.201928,0.005120,0.047458,0.000768,0.193000,0.000992,0.002112,0.001152,0.000608,0.913892
0.415312,0.017601,0.202440,0.005024,0.048450,0.000800,0.197480,0.000800,0.002208,0.001120,0.000384,0.899971
0.416016,0.018017,0.202248,0.005312,0.047234,0.000832,0.199912,0.000736,0.002176,0.001312,0.000352,0.903235
0.416400,0.017729,0.219528,0.005281,0.048290,0.000800,0.185735,0.000768,0.002176,0.001120,0.000320,0.907395
0.416432,0.017601,0.202216,0.005120,0.048258,0.000736,0.196904,0.000736,0.001984,0.001312,0.000640,0.900451
0.416689,0.017664,0.201960,0.005440,0.048002,0.000736,0.182728,0.000768,0.002048,0.001184,0.000640,0.886307
0.416081,0.017536,0.202024,0.005281,0.047169,0.000832,0.192999,0.000992,0.002144,0.001440,0.000640,0.896099
0.415985,0.017888,0.211529,0.005376,0.048226,0.000832,0.197320,0.000992,0.002176,0.001088,0.000576,0.911716
0.416528,0.017697,0.203208,0.005312,0.048290,0.000768,0.193096,0.000736,0.002016,0.001216,0.000384,0.897315
0.415664,0.017441,0.202056,0.005280,0.047714,0.000800,0.188711,0.000576,0.002176,0.001088,0.000608,0.890370
0.416304,0.017697,0.219016,0.005536,0.047298,0.000768,0.197544,0.000512,0.002048,0.001216,0.000352,0.917091
0.416177,0.017504,0.202184,0.005281,0.048225,0.000768,0.189735,0.000576,0.002048,0.001216,0.000640,0.892675
0.416945,0.017569,0.202407,0.005281,0.048162,0.000800,0.181671,0.000768,0.002112,0.001152,0.000608,0.886723
0.417264,0.017473,0.202216,0.005280,0.047746,0.000768,0.192808,0.000768,0.002048,0.001280,0.000608,0.896451
0.416144,0.017601,0.202120,0.005280,0.048130,0.000800,0.218569,0.001088,0.002240,0.001184,0.000640,0.921764
0.416624,0.017505,0.201928,0.005088,0.047522,0.000800,0.218504,0.000896,0.002240,0.001184,0.000448,0.920804
0.416176,0.017665,0.202312,0.005280,0.047650,0.000736,0.197128,0.000992,0.002112,0.001216,0.000448,0.900707
0.432913,0.017537,0.202568,0.005280,0.047970,0.000800,0.183495,0.000832,0.001984,0.001216,0.000640,0.903779
0.417137,0.017729,0.202471,0.005281,0.048130,0.000768,0.197159,0.000736,0.002145,0.001216,0.000608,0.901764
0.417009,0.017504,0.203240,0.005281,0.047681,0.000800,0.206089,0.000608,0.002176,0.001216,0.000640,0.910756
0.416112,0.017569,0.201768,0.005088,0.048226,0.000832,0.216200,0.000640,0.002240,0.001312,0.000608,0.919908
0.416657,0.017696,0.202632,0.005281,0.047553,0.000800,0.196776,0.000608,0.002240,0.001216,0.000352,0.900259
0.415537,0.017505,0.202023,0.005249,0.048930,0.000768,0.195527,0.000576,0.002209,0.001184,0.000416,0.898148
0.417425,0.017664,0.202375,0.005249,0.048194,0.000608,0.213544,0.000640,0.002176,0.001120,0.000608,0.918340
0.434033,0.017793,0.202696,0.005248,0.047650,0.000512,0.195848,0.000640,0.001952,0.001152,0.000640,0.916740
0.431312,0.017760,0.202280,0.005280,0.048162,0.000768,0.190376,0.000512,0.002272,0.001120,0.000672,0.909347
0.417296,0.017600,0.202376,0.005184,0.047906,0.000800,0.193160,0.000672,0.002080,0.001248,0.000576,0.898659
0.416304,0.017600,0.202408,0.005120,0.047618,0.000800,0.220233,0.000768,0.002080,0.001120,0.000384,0.922532
0.417137,0.017761,0.202311,0.005313,0.047618,0.000736,0.186215,0.000736,0.002112,0.001184,0.000352,0.890595
0.416912,0.017888,0.202184,0.005280,0.047970,0.000768,0.193608,0.000832,0.002112,0.001152,0.000352,0.897219
0.416336,0.017601,0.202504,0.005376,0.047554,0.000800,0.202696,0.000832,0.002272,0.001152,0.000384,0.906211
0.430097,0.017569,0.202184,0.005312,0.048482,0.000832,0.194055,0.000768,0.002305,0.001152,0.000608,0.912580
0.417008,0.017633,0.202664,0.005120,0.048098,0.000800,0.190951,0.000608,0.002113,0.001088,0.000608,0.895011
0.416561,0.017601,0.202407,0.005216,0.047746,0.000800,0.185159,0.000928,0.002208,0.001184,0.000608,0.888803
0.416528,0.017569,0.202696,0.005280,0.067363,0.000768,0.194472,0.000736,0.002016,0.001248,0.000352,0.917860
0.416144,0.017505,0.202440,0.005344,0.047746,0.000704,0.187975,0.001024,0.001984,0.001120,0.000416,0.890338
0.416432,0.017728,0.202216,0.005280,0.048162,0.000960,0.205864,0.000800,0.002112,0.001248,0.000416,0.910468
0.416560,0.017632,0.202184,0.005248,0.047970,0.000768,0.188168,0.000704,0.002208,0.001248,0.000640,0.891651
0.434865,0.017793,0.202248,0.005152,0.048578,0.000800,0.184359,0.000800,0.002240,0.001120,0.000384,0.906820
0.416176,0.017601,0.202120,0.005344,0.047810,0.000768,0.189703,0.000768,0.001984,0.001248,0.000384,0.892450
0.416112,0.017409,0.202119,0.005280,0.048386,0.000704,0.189799,0.000736,0.002336,0.001152,0.000608,0.892931
0.415344,0.017505,0.222345,0.005440,0.048258,0.000800,0.188391,0.000832,0.002240,0.001184,0.000416,0.911940
0.416433,0.017568,0.202343,0.005345,0.047970,0.000800,0.188903,0.000768,0.002272,0.001024,0.000352,0.892067
0.416337,0.017632,0.202407,0.005281,0.047554,0.000768,0.187399,0.000928,0.002144,0.001120,0.000384,0.890051
0.417809,0.017632,0.202312,0.005280,0.048258,0.000704,0.192872,0.000800,0.002048,0.001216,0.000608,0.898595
0.421521,0.018177,0.202311,0.005281,0.047682,0.000704,0.184135,0.000832,0.002304,0.001184,0.000608,0.893155
0.416080,0.017825,0.201992,0.005312,0.047810,0.000992,0.202664,0.000864,0.002208,0.001120,0.000384,0.907427
0.416304,0.017537,0.201927,0.005184,0.048322,0.000768,0.190599,0.000608,0.002048,0.001280,0.000352,0.893027
0.416304,0.017985,0.236969,0.005600,0.048290,0.000864,0.198696,0.000640,0.002400,0.001216,0.000352,0.938789
0.416336,0.017825,0.201864,0.006080,0.048130,0.001056,0.195463,0.000609,0.001952,0.001152,0.000384,0.898851
0.416112,0.017761,0.202536,0.005248,0.048226,0.000832,0.190919,0.000576,0.002080,0.001280,0.000609,0.894211
0.417297,0.017697,0.202152,0.005312,0.047778,0.000800,0.202248,0.000672,0.001856,0.001248,0.000352,0.905924
0.416368,0.017569,0.202248,0.005280,0.048130,0.000736,0.188647,0.000960,0.002080,0.001088,0.000352,0.891682
0.417296,0.017729,0.202152,0.005280,0.048290,0.000768,0.197512,0.000608,0.002112,0.001216,0.000384,0.901571
0.416304,0.017697,0.202120,0.005344,0.048034,0.000512,0.200648,0.000640,0.001984,0.001120,0.000352,0.902723
0.434993,0.017985,0.202952,0.005344,0.047458,0.000768,0.193512,0.000576,0.002016,0.001184,0.000384,0.915396
0.416625,0.017728,0.202440,0.005089,0.047682,0.000768,0.205224,0.000864,0.002304,0.001152,0.000352,0.909380
0.416881,0.017696,0.202504,0.005248,0.048129,0.000768,0.193160,0.001056,0.002528,0.001280,0.000608,0.898499
0.416529,0.017793,0.202536,0.005280,0.048450,0.000736,0.190407,0.000800,0.002208,0.001152,0.000352,0.895363
0.416944,0.017569,0.202536,0.005248,0.048354,0.000800,0.190184,0.000736,0.002240,0.001184,0.000384,0.894531
0.417137,0.017824,0.202056,0.005281,0.047841,0.000800,0.192136,0.000768,0.002016,0.001184,0.000576,0.895843
0.416400,0.017984,0.202152,0.005216,0.048290,0.000800,0.195688,0.000992,0.002144,0.001120,0.000608,0.899747
0.438194,0.017440,0.202472,0.005281,0.047393,0.000800,0.193160,0.000704,0.001888,0.001280,0.000608,0.917924
0.416272,0.017760,0.201992,0.005280,0.048386,0.000768,0.189384,0.000992,0.002176,0.001184,0.000576,0.893699
0.416528,0.017696,0.202472,0.005088,0.047970,0.000704,0.200744,0.000736,0.002144,0.001312,0.000576,0.904836
0.415888,0.017441,0.202536,0.005216,0.048642,0.000736,0.218761,0.000992,0.002208,0.001184,0.000384,0.922628
0.416945,0.017792,0.202215,0.005313,0.047810,0.000768,0.199751,0.000993,0.002208,0.001280,0.000416,0.904644
0.416784,0.017761,0.202408,0.005056,0.048258,0.000832,0.195112,0.000768,0.002144,0.001152,0.000608,0.899427
0.418864,0.017665,0.204872,0.005248,0.048258,0.000800,0.186887,0.000608,0.002752,0.001184,0.000384,0.896387
0.436209,0.017665,0.203208,0.005280,0.047810,0.000800,0.192455,0.000928,0.002113,0.001184,0.000448,0.917348
0.417040,0.017505,0.202536,0.005120,0.047810,0.000704,0.192776,0.000960,0.002272,0.001152,0.000640,0.896867
0.416528,0.017601,0.202536,0.005312,0.048162,0.000800,0.191272,0.000864,0.002112,0.001088,0.000640,0.895779
0.416240,0.017889,0.202600,0.005056,0.067331,0.000768,0.192392,0.000928,0.001952,0.001216,0.000416,0.915940
0.415664,0.017793,0.202408,0.005248,0.048610,0.000832,0.198632,0.000704,0.002272,0.001088,0.000384,0.901699
0.417424,0.017569,0.202632,0.005312,0.047746,0.000768,0.194439,0.000512,0.002240,0.001216,0.000576,0.898851
0.416240,0.017665,0.203048,0.005600,0.048226,0.000832,0.193128,0.000800,0.002304,0.001120,0.000384,0.897795
0.435409,0.017633,0.202184,0.005344,0.047074,0.001024,0.189832,0.000736,0.002272,0.001280,0.000416,0.912900
0.416560,0.017824,0.202472,0.005280,0.047938,0.000800,0.199304,0.000928,0.002240,0.001216,0.000352,0.903363
0.416561,0.017600,0.202696,0.005089,0.047489,0.000769,0.197895,0.001024,0.002112,0.001089,0.000608,0.901572
0.416048,0.017761,0.220040,0.005345,0.047809,0.000832,0.194055,0.000864,0.002240,0.001536,0.000352,0.916323
0.416080,0.017729,0.202984,0.005344,0.047746,0.000768,0.190631,0.000704,0.001984,0.001120,0.000608,0.894243
0.417552,0.017921,0.202216,0.005344,0.047938,0.000832,0.195176,0.000768,0.001984,0.001280,0.000544,0.900323
0.415952,0.017633,0.202536,0.005344,0.048258,0.000736,0.188167,0.000704,0.001953,0.001088,0.000384,0.891875
0.416145,0.017473,0.202535,0.005345,0.048610,0.000736,0.200648,0.000960,0.001984,0.001120,0.000608,0.904868
0.416144,0.017761,0.202472,0.005312,0.048066,0.000768,0.218312,0.000992,0.002080,0.001152,0.000640,0.921988
0.416465,0.017568,0.202696,0.005313,0.048002,0.000768,0.194311,0.000704,0.001984,0.001216,0.000576,0.898052
0.417680,0.017793,0.221545,0.005376,0.047906,0.000832,0.198376,0.000800,0.002240,0.001248,0.000576,0.924708
0.416113,0.017505,0.202407,0.005281,0.048514,0.000800,0.183815,0.000992,0.002272,0.001152,0.000384,0.887459
0.416464,0.017409,0.202760,0.005248,0.048194,0.000768,0.189767,0.000736,0.002176,0.001216,0.000608,0.893923
0.416752,0.017569,0.202856,0.005312,0.048194,0.000800,0.193032,0.000736,0.002304,0.001152,0.000608,0.897955
0.417040,0.017569,0.202728,0.005280,0.047970,0.000736,0.203176,0.000736,0.002048,0.001248,0.000608,0.908035
0.415953,0.017728,0.202344,0.005249,0.048257,0.000800,0.194696,0.000704,0.002144,0.001216,0.000576,0.898467
0.415824,0.017505,0.202440,0.005312,0.048130,0.000800,0.197991,0.000736,0.002528,0.001216,0.000384,0.901539
0.433265,0.017633,0.202824,0.005280,0.048194,0.000800,0.193031,0.000673,0.002368,0.001120,0.000416,0.914276
0.415793,0.017536,0.202504,0.005313,0.047649,0.000704,0.194855,0.000704,0.001888,0.001184,0.000352,0.897123
0.416656,0.017760,0.202632,0.005344,0.048770,0.000992,0.199880,0.000960,0.002176,0.001185,0.000384,0.904932
0.416784,0.017409,0.202568,0.005312,0.048130,0.000800,0.192488,0.000992,0.001984,0.001216,0.000608,0.898531
0.416657,0.017697,0.202472,0.005120,0.047266,0.000768,0.193927,0.000992,0.002272,0.000993,0.000608,0.897476
0.415696,0.017761,0.202888,0.005344,0.048194,0.000864,0.204744,0.000992,0.002176,0.001088,0.000608,0.910148
0.415472,0.017505,0.202504,0.005504,0.047650,0.000768,0.214216,0.000768,0.002176,0.001280,0.000608,0.917636
0.434513,0.017760,0.202280,0.005345,0.048065,0.000800,0.192231,0.001056,0.002208,0.001216,0.000384,0.915843
0.416912,0.017697,0.202696,0.005216,0.047746,0.000800,0.187047,0.000672,0.002368,0.001056,0.000416,0.892227
0.417456,0.017505,0.202376,0.005280,0.048386,0.000736,0.189415,0.000576,0.002304,0.001216,0.000608,0.894787
0.415633,0.017537,0.202503,0.005504,0.048226,0.000736,0.221992,0.000704,0.002529,0.001120,0.000384,0.925477
0.416305,0.017536,0.202664,0.005313,0.048482,0.000800,0.197063,0.000576,0.002432,0.001121,0.000608,0.900964
0.416369,0.017761,0.202568,0.005120,0.048706,0.000768,0.179335,0.000608,0.002016,0.001312,0.000608,0.884867
0.416176,0.017761,0.202792,0.005312,0.048098,0.000608,0.192168,0.000608,0.002176,0.001248,0.000384,0.895843
0.433041,0.017825,0.202504,0.005280,0.047554,0.000768,0.193288,0.000608,0.002144,0.001120,0.000352,0.913988
0.415472,0.017377,0.202792,0.005312,0.047714,0.000736,0.202248,0.000544,0.001888,0.001088,0.000384,0.903619
0.415824,0.017441,0.202920,0.005344,0.048258,0.000832,0.188392,0.000608,0.002080,0.001216,0.000640,0.892899
0.416656,0.017217,0.202408,0.005248,0.048034,0.000992,0.210504,0.000640,0.002208,0.001121,0.000576,0.913892
0.417488,0.017600,0.202376,0.005280,0.048258,0.000832,0.186376,0.000704,0.002240,0.001216,0.000704,0.892227
0.415824,0.017665,0.203016,0.005344,0.047554,0.000768,0.201448,0.000640,0.002048,0.001184,0.000384,0.903875
0.416560,0.017441,0.202408,0.005216,0.048418,0.000800,0.194151,0.000544,0.002112,0.001152,0.000608,0.898307
0.431985,0.017825,0.202728,0.005088,0.048066,0.000800,0.187240,0.000672,0.002176,0.001216,0.000640,0.907492
0.416912,0.017761,0.202344,0.005376,0.048450,0.000736,0.194152,0.000608,0.002176,0.001088,0.000352,0.899267
0.416817,0.017696,0.202952,0.005089,0.047553,0.000800,0.203560,0.000673,0.002080,0.001216,0.000608,0.907844
0.417392,0.017665,0.202280,0.022241,0.049634,0.000768,0.193639,0.000640,0.002624,0.001184,0.000704,0.917988
0.416177,0.017569,0.202119,0.005345,0.047778,0.000800,0.191239,0.000576,0.002208,0.001184,0.000576,0.893827
0.416785,0.017536,0.202632,0.005153,0.048129,0.000737,0.194791,0.000576,0.002080,0.001120,0.000608,0.898275
0.417008,0.017505,0.202760,0.005344,0.048290,0.000832,0.196680,0.000576,0.002176,0.001312,0.000576,0.901603
0.434833,0.017537,0.202472,0.005312,0.048226,0.000800,0.195208,0.000544,0.002336,0.001088,0.000320,0.918020
0.416241,0.017473,0.202759,0.005248,0.047842,0.000768,0.184199,0.000544,0.002112,0.001184,0.000352,0.886339
0.416208,0.017441,0.202248,0.005312,0.048098,0.000704,0.194664,0.000576,0.002016,0.001056,0.000384,0.896419
0.417073,0.017504,0.219785,0.005248,0.047778,0.000768,0.189608,0.000800,0.002016,0.001248,0.000352,0.910724
0.416176,0.017537,0.202984,0.005248,0.047906,0.000768,0.197288,0.000640,0.001952,0.001184,0.000320,0.900995
0.417264,0.017569,0.202536,0.005408,0.047970,0.000768,0.196456,0.000736,0.002112,0.001184,0.000320,0.899619
