TEE[0-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.246206,0.203375,0.005216,0.048644,0.000576,0.013729,0.000416,0.001472,0.001057,0.000352,1.529044
1.215196,0.203088,0.004992,0.049060,0.000576,0.013729,0.000384,0.001440,0.001088,0.000384,1.497969
1.227037,0.221232,0.005121,0.048388,0.000832,0.013921,0.000384,0.001376,0.001088,0.000384,1.529012
1.187738,0.203375,0.005089,0.048387,0.000545,0.013665,0.000384,0.001408,0.001024,0.000384,1.470095
1.193403,0.203151,0.005025,0.048676,0.000800,0.014177,0.000416,0.001472,0.001056,0.000384,1.477072
1.255487,0.203568,0.005088,0.048932,0.000576,0.013697,0.000416,0.001440,0.001056,0.000320,1.538772
1.211899,0.203983,0.005121,0.048579,0.000608,0.013698,0.000416,0.001376,0.001248,0.000320,1.495537
1.207420,0.203792,0.005120,0.048772,0.000608,0.013761,0.000384,0.001504,0.001088,0.000384,1.491057
1.223421,0.203343,0.005121,0.048355,0.000576,0.013601,0.000416,0.001568,0.001120,0.000352,1.506258
1.211612,0.204047,0.005153,0.048003,0.000544,0.013537,0.000352,0.001440,0.001120,0.000384,1.494417
1.193722,0.203567,0.005504,0.047748,0.000576,0.013409,0.000384,0.001536,0.001184,0.000384,1.476560
1.188826,0.203760,0.005056,0.048068,0.000800,0.034403,0.000768,0.001536,0.001152,0.000384,1.494129
1.242814,0.204175,0.005409,0.048195,0.000576,0.013441,0.000384,0.001440,0.001120,0.000352,1.526388
1.233213,0.203759,0.005216,0.047747,0.000800,0.013857,0.000384,0.001536,0.000992,0.000384,1.516211
1.188442,0.203983,0.005088,0.048932,0.000608,0.013857,0.000320,0.001505,0.001056,0.000384,1.472176
1.240414,0.203503,0.005088,0.048644,0.000576,0.013761,0.000384,0.001473,0.001568,0.000384,1.523988
1.253150,0.203919,0.005153,0.048739,0.000640,0.014370,0.000352,0.001472,0.001088,0.000416,1.537588
1.211356,0.203407,0.005121,0.048259,0.000545,0.013537,0.000384,0.001504,0.001120,0.000384,1.493521
1.236606,0.204111,0.005088,0.050468,0.000576,0.013537,0.000384,0.001440,0.001024,0.000416,1.522163
1.215837,0.204015,0.005121,0.048931,0.000576,0.013505,0.000352,0.001504,0.001216,0.000384,1.499314
1.214780,0.203472,0.005056,0.048644,0.000544,0.013441,0.000416,0.001504,0.001024,0.000384,1.497458
1.224157,0.206064,0.005056,0.047748,0.000576,0.013441,0.000352,0.001408,0.000960,0.000352,1.508882
1.232061,0.204175,0.005089,0.049411,0.000576,0.013537,0.000352,0.001504,0.001024,0.000384,1.516019
1.227517,0.203855,0.005601,0.048419,0.000576,0.013537,0.000384,0.001505,0.001024,0.000384,1.510611
1.205755,0.203791,0.005121,0.048291,0.000640,0.013697,0.000384,0.001472,0.001120,0.000416,1.489585
1.234110,0.203983,0.005121,0.048419,0.000577,0.013729,0.000352,0.001568,0.001056,0.000416,1.517715
1.229341,0.203471,0.005056,0.048323,0.000576,0.014113,0.000384,0.001473,0.000992,0.000352,1.512563
1.233309,0.203728,0.005120,0.048964,0.000576,0.013441,0.000352,0.001440,0.000992,0.000352,1.515122
1.224700,0.205487,0.005057,0.048099,0.000576,0.013345,0.000385,0.001504,0.001056,0.000448,1.508050
1.205627,0.203952,0.005120,0.048036,0.000608,0.013345,0.000352,0.001504,0.000992,0.000416,1.487696
1.200538,0.203599,0.005056,0.047779,0.000576,0.013441,0.000384,0.001472,0.000961,0.000384,1.482353
1.218364,0.204080,0.005152,0.047620,0.000576,0.013441,0.000384,0.001504,0.000992,0.000384,1.499505
1.248414,0.204016,0.005088,0.048580,0.000608,0.013505,0.000384,0.001472,0.000992,0.000352,1.531412
1.238398,0.204752,0.005056,0.048708,0.000608,0.013537,0.000384,0.001440,0.000960,0.000352,1.522035
1.240990,0.204495,0.005088,0.049091,0.000768,0.013697,0.000384,0.001537,0.001120,0.000384,1.527124
1.247614,0.208016,0.005472,0.048900,0.000832,0.013825,0.000384,0.001664,0.001888,0.000576,1.538964
1.340102,0.212432,0.005505,0.049315,0.000832,0.013921,0.000576,0.001856,0.002368,0.000512,1.639004
1.267328,0.207855,0.005729,0.048740,0.000864,0.014305,0.000352,0.001856,0.002048,0.000544,1.560694
1.230493,0.222321,0.005472,0.048548,0.000800,0.013985,0.000416,0.001536,0.001505,0.000416,1.534196
1.198043,0.205360,0.005600,0.048580,0.000832,0.013729,0.000384,0.001600,0.001600,0.000352,1.484880
1.206940,0.204559,0.005185,0.048420,0.000832,0.013601,0.000384,0.001504,0.001152,0.000384,1.492273
1.208091,0.204368,0.005312,0.048580,0.000800,0.013473,0.000416,0.001760,0.001057,0.000352,1.493105
1.211996,0.203951,0.005153,0.048484,0.000800,0.014113,0.000320,0.001536,0.001408,0.000384,1.496753
1.210364,0.204015,0.005505,0.048548,0.000832,0.014497,0.000384,0.001440,0.001088,0.000384,1.495569
1.210556,0.204400,0.005344,0.048388,0.000832,0.013697,0.000384,0.001696,0.001024,0.000352,1.495249
1.272320,0.203440,0.005312,0.048516,0.000832,0.013729,0.000352,0.001760,0.001024,0.000320,1.555349
1.197530,0.203567,0.005568,0.048547,0.000608,0.013505,0.000352,0.001697,0.000992,0.000384,1.480976
1.208123,0.203503,0.005600,0.067461,0.000896,0.014081,0.000416,0.001441,0.001056,0.000384,1.510674
1.224156,0.203056,0.005088,0.048836,0.000832,0.013889,0.000384,0.001664,0.000928,0.000352,1.506417
1.196954,0.203856,0.005120,0.048644,0.001056,0.014337,0.000384,0.001536,0.001024,0.000257,1.480208
1.262336,0.205967,0.005056,0.048260,0.000608,0.013665,0.000352,0.001408,0.001056,0.000384,1.547477
1.213244,0.205584,0.005280,0.048132,0.000832,0.014401,0.000416,0.001440,0.000992,0.000352,1.498258
1.249086,0.205711,0.005697,0.048611,0.000864,0.014497,0.000416,0.001440,0.001056,0.000416,1.537108
1.202650,0.204559,0.005536,0.048420,0.000768,0.014369,0.000384,0.001473,0.000960,0.000384,1.487921
1.246494,0.203856,0.005088,0.048548,0.000800,0.014337,0.000352,0.001440,0.001312,0.000384,1.531476
1.227164,0.204303,0.005184,0.048452,0.000832,0.014177,0.000416,0.001504,0.001024,0.000416,1.512210
1.199034,0.203184,0.005376,0.048804,0.000832,0.014177,0.000384,0.001760,0.001184,0.000384,1.483247
1.222492,0.203407,0.005568,0.048580,0.000800,0.014017,0.000384,0.001696,0.000929,0.000352,1.506898
1.196794,0.204432,0.005088,0.048452,0.000800,0.014081,0.000384,0.001472,0.000992,0.000384,1.481488
1.262847,0.203728,0.005600,0.047716,0.000800,0.014241,0.000384,0.001536,0.001088,0.000416,1.546420
1.216252,0.204112,0.005280,0.048068,0.000768,0.013921,0.000384,0.001472,0.001120,0.000352,1.499761
1.263680,0.204720,0.005344,0.048324,0.000800,0.014209,0.000384,0.001568,0.001120,0.000352,1.550325
1.228604,0.207919,0.005601,0.048452,0.000832,0.013985,0.000352,0.001536,0.001216,0.000352,1.517618
1.235741,0.203216,0.005600,0.048452,0.000800,0.014273,0.000384,0.001408,0.001248,0.000352,1.520978
1.206491,0.203855,0.005056,0.048452,0.000832,0.013697,0.000384,0.001472,0.001089,0.000384,1.490321
1.198171,0.204207,0.005185,0.048419,0.000801,0.013985,0.000416,0.001472,0.001024,0.000384,1.482800
1.211067,0.203567,0.005153,0.048163,0.000768,0.013953,0.000352,0.001473,0.001152,0.000352,1.494257
1.220636,0.203760,0.005120,0.048260,0.000832,0.014113,0.000384,0.001504,0.001024,0.000320,1.505041
1.216027,0.203504,0.005216,0.048260,0.000768,0.013825,0.000384,0.001472,0.001184,0.000352,1.499153
1.189242,0.203631,0.005153,0.050500,0.000576,0.013825,0.000448,0.001440,0.000992,0.000384,1.474511
1.230557,0.203536,0.005120,0.049092,0.000800,0.013761,0.000384,0.001472,0.000992,0.000384,1.514034
1.202075,0.203504,0.005088,0.048804,0.000832,0.013697,0.000384,0.001504,0.001664,0.000352,1.487664
1.228092,0.224017,0.005312,0.048292,0.000576,0.014273,0.000576,0.001472,0.001344,0.000384,1.533043
1.217436,0.203504,0.005184,0.048452,0.000800,0.014849,0.000384,0.001504,0.001152,0.000384,1.501490
1.199930,0.204592,0.005664,0.048548,0.000768,0.014401,0.000608,0.001536,0.001024,0.000384,1.486096
1.246782,0.203759,0.005089,0.047875,0.000833,0.014337,0.000384,0.001472,0.001088,0.000352,1.530131
1.211259,0.203952,0.005088,0.047588,0.000576,0.014593,0.000416,0.001536,0.001216,0.000384,1.494768
1.211676,0.203727,0.005185,0.048451,0.000672,0.015009,0.000384,0.001440,0.001120,0.000416,1.495729
1.213884,0.203695,0.009569,0.048804,0.000576,0.014593,0.000416,0.001472,0.001088,0.000384,1.502737
1.259935,0.204271,0.005056,0.047972,0.000576,0.014465,0.000384,0.001376,0.001121,0.000384,1.543797
1.230749,0.203791,0.005601,0.047971,0.000800,0.015010,0.000576,0.001440,0.001024,0.000384,1.514930
1.201371,0.203664,0.005088,0.067205,0.000864,0.014049,0.000576,0.001473,0.001472,0.000384,1.505810
1.228253,0.204304,0.005600,0.048164,0.000800,0.014881,0.000384,0.001792,0.001152,0.000352,1.514258
1.197818,0.203759,0.005281,0.048067,0.000800,0.015073,0.000417,0.001632,0.001184,0.000352,1.484080
1.246238,0.204528,0.005088,0.048772,0.000768,0.013889,0.000352,0.001440,0.001120,0.000576,1.530804
1.223196,0.204240,0.005088,0.048868,0.000800,0.014273,0.000384,0.001536,0.001344,0.000353,1.508594
1.200251,0.205807,0.005312,0.048420,0.000896,0.014561,0.000416,0.001728,0.001056,0.000384,1.486992
1.223036,0.206704,0.005216,0.047652,0.000800,0.013857,0.000384,0.001472,0.001120,0.000417,1.509362
1.249214,0.204527,0.005633,0.048260,0.000576,0.013793,0.000384,0.001408,0.001152,0.000352,1.533235
1.220092,0.205007,0.005632,0.050211,0.000800,0.013505,0.000384,0.001440,0.001152,0.000352,1.507314
1.192473,0.204143,0.005600,0.048676,0.000768,0.013505,0.000416,0.001440,0.001120,0.000416,1.476303
1.204410,0.204400,0.005440,0.048452,0.000832,0.013697,0.000416,0.001440,0.001088,0.000384,1.489808
1.224860,0.205488,0.005600,0.048708,0.000864,0.014465,0.000416,0.001440,0.001056,0.000352,1.511537
1.242301,0.204207,0.005600,0.048356,0.000864,0.014561,0.000384,0.001536,0.001184,0.000384,1.528851
1.216668,0.203759,0.005089,0.048771,0.000800,0.014369,0.000352,0.001568,0.001216,0.000384,1.500977
1.259935,0.204047,0.005089,0.048932,0.000864,0.013953,0.000384,0.001536,0.001120,0.000384,1.544532
1.221116,0.204719,0.005121,0.048963,0.000577,0.014145,0.000416,0.001472,0.001184,0.000416,1.506289
1.239741,0.204911,0.005088,0.048196,0.000864,0.013665,0.000384,0.001472,0.001088,0.000352,1.523922
1.253758,0.205584,0.005088,0.047716,0.000768,0.013441,0.000416,0.001472,0.001152,0.000384,1.538228
1.201499,0.204143,0.005089,0.047459,0.000609,0.013473,0.000384,0.001440,0.001216,0.000384,1.484944
1.236029,0.204431,0.005089,0.048387,0.000832,0.013889,0.000384,0.001472,0.001152,0.000384,1.521010
1.228636,0.204975,0.005089,0.048579,0.000736,0.014273,0.000384,0.001760,0.001088,0.000416,1.514290
1.241886,0.204271,0.005409,0.048772,0.000800,0.013665,0.000384,0.001440,0.000992,0.000416,1.526803
1.230812,0.205136,0.005568,0.049252,0.000832,0.013889,0.000384,0.001472,0.000992,0.000384,1.517170
1.227740,0.203887,0.005120,0.048740,0.000832,0.013665,0.000384,0.001760,0.000960,0.000384,1.511761
1.229564,0.204656,0.005248,0.048676,0.000768,0.013793,0.000384,0.001568,0.001184,0.000385,1.515090
1.185369,0.205551,0.005025,0.048515,0.000865,0.013697,0.000384,0.001568,0.001056,0.000384,1.470606
1.223515,0.204815,0.005633,0.048387,0.000800,0.014273,0.000416,0.001473,0.000928,0.000416,1.508273
1.184665,0.203727,0.004961,0.048803,0.000737,0.013793,0.000352,0.001440,0.000992,0.000352,1.467342
1.223612,0.203791,0.005505,0.049027,0.000736,0.014402,0.000352,0.001408,0.001024,0.000352,1.507665
1.185753,0.204336,0.005472,0.048292,0.000544,0.013377,0.000384,0.001408,0.000960,0.000384,1.468942
1.239709,0.204496,0.004992,0.048100,0.000832,0.013473,0.000384,0.001664,0.000992,0.000640,1.522898
1.209019,0.203663,0.005569,0.048323,0.000800,0.013505,0.000608,0.001696,0.000928,0.000416,1.492080
1.255422,0.205359,0.005312,0.048900,0.000800,0.013985,0.000384,0.001536,0.001089,0.000384,1.541940
1.251422,0.204015,0.005537,0.048451,0.000769,0.014017,0.000576,0.001664,0.000864,0.000320,1.536147
1.167640,0.203344,0.005120,0.048228,0.000576,0.013985,0.000576,0.001504,0.000928,0.000416,1.449741
1.231837,0.203951,0.005057,0.048771,0.000768,0.014017,0.000384,0.001505,0.000960,0.000416,1.514802
1.233468,0.204591,0.005120,0.049668,0.000800,0.014081,0.000384,0.001377,0.000960,0.000384,1.518450
1.196282,0.203920,0.005120,0.047908,0.000832,0.014049,0.000352,0.001696,0.001024,0.000384,1.479247
1.219547,0.204015,0.004896,0.047844,0.001056,0.014241,0.000640,0.001728,0.001152,0.000353,1.503057
1.210715,0.205295,0.005024,0.047556,0.000768,0.013921,0.000384,0.001696,0.001056,0.000352,1.493905
1.187577,0.203407,0.005121,0.048644,0.000736,0.014049,0.000416,0.001760,0.000864,0.000352,1.470350
1.225915,0.206127,0.005121,0.048419,0.000832,0.034083,0.000736,0.001728,0.001024,0.000352,1.533554
1.196345,0.205103,0.005377,0.048483,0.000832,0.014465,0.000416,0.001793,0.001056,0.000384,1.483087
1.232188,0.204655,0.005600,0.048356,0.000832,0.014337,0.000352,0.001472,0.001376,0.000352,1.518258
1.241629,0.205039,0.005376,0.048548,0.000832,0.013761,0.000416,0.001440,0.001184,0.000352,1.526227
1.221980,0.203407,0.005473,0.048707,0.000800,0.014593,0.000384,0.001600,0.001024,0.000352,1.506801
1.252830,0.205008,0.005408,0.048868,0.000832,0.014049,0.000352,0.001440,0.000928,0.000384,1.538355
