Layer[0],Layer[1],TEE[2-10],classifier
0.438257,0.017761,0.694715,1.219920
0.420880,0.017665,0.682075,1.190350
0.420113,0.017601,0.676410,1.181615
0.420016,0.017473,0.693019,1.200495
0.419856,0.017697,0.687707,1.192879
0.416944,0.017249,0.709308,1.221072
0.420433,0.017345,0.678938,1.184015
0.416624,0.017281,0.688923,1.191630
0.419920,0.017312,0.707580,1.218864
0.416528,0.017409,0.697499,1.201679
0.420497,0.017409,0.696955,1.201807
0.439282,0.017568,0.698204,1.224528
0.420496,0.017537,0.689307,1.196975
0.420848,0.017569,0.693563,1.202831
0.420369,0.017345,0.704091,1.211408
0.415601,0.017536,0.692092,1.194511
0.421105,0.017313,0.711420,1.220848
0.421393,0.017505,0.693083,1.202735
0.415825,0.017344,0.694300,1.196495
0.420145,0.017601,0.705787,1.214672
0.420209,0.017729,0.694555,1.202159
0.420304,0.017505,0.696251,1.203567
0.438162,0.017344,0.695740,1.220048
0.415664,0.017408,0.677211,1.179118
0.415889,0.017729,0.691739,1.194287
0.420721,0.017761,0.705148,1.214192
0.420016,0.017537,0.693595,1.201679
0.420592,0.017281,0.710300,1.223312
0.421136,0.017281,0.688827,1.196111
0.419920,0.017537,0.684283,1.192270
0.420688,0.017281,0.714492,1.228304
0.415632,0.018400,0.690747,1.195151
0.420561,0.017697,0.692315,1.201999
0.438065,0.017409,0.682778,1.208399
0.421072,0.017504,0.680219,1.187695
0.419952,0.017568,0.693019,1.202767
0.420241,0.017728,0.690460,1.197231
0.420241,0.017345,0.693115,1.200496
0.420624,0.017441,0.711388,1.220912
0.415792,0.017729,0.700091,1.205167
0.415697,0.017472,0.696188,1.199727
0.419888,0.017601,0.713020,1.221487
0.415664,0.017537,0.687867,1.188910
0.420017,0.017504,0.685723,1.188719
0.432401,0.017344,0.674139,1.189678
0.416081,0.017184,0.662938,1.159406
0.415344,0.017537,0.672602,1.173646
0.429745,0.017217,0.683195,1.198351
0.420752,0.017281,0.683643,1.191854
0.415984,0.017473,0.685691,1.185390
0.415728,0.017345,0.690939,1.190766
0.415760,0.017440,0.675867,1.174254
0.420144,0.017536,0.712892,1.231088
0.420240,0.017761,0.689307,1.196079
0.415664,0.017409,0.696155,1.200495
0.420592,0.017505,0.704188,1.212655
0.416176,0.017536,0.678779,1.181486
0.415600,0.017665,0.682395,1.183950
0.434193,0.017569,0.692667,1.213743
0.420240,0.017536,0.696860,1.205711
0.415953,0.017568,0.696219,1.198415
0.420272,0.017569,0.693819,1.201263
0.420496,0.017729,0.688283,1.198191
0.416368,0.017889,0.711036,1.215792
0.420464,0.017377,0.692859,1.201647
0.420752,0.017472,0.684603,1.191183
0.420464,0.017281,0.715484,1.232208
0.415440,0.017248,0.663578,1.165454
0.420560,0.017505,0.696251,1.206351
0.438577,0.017441,0.693691,1.220304
0.420656,0.017313,0.694779,1.201359
0.420848,0.017985,0.695163,1.203375
0.416528,0.017537,0.695707,1.198511
0.420369,0.017536,0.693596,1.200559
0.417232,0.017537,0.713596,1.217968
0.420112,0.017601,0.681979,1.187854
0.414673,0.017504,0.692572,1.193935
0.416496,0.017728,0.701372,1.207791
0.420369,0.017697,0.698427,1.205456
0.415856,0.017313,0.698172,1.202287
0.437809,0.017409,0.694299,1.218416
0.416433,0.017408,0.686235,1.188079
0.420304,0.017376,0.662938,1.166862
0.420753,0.017313,0.693595,1.201007
0.420849,0.017409,0.690843,1.198767
0.420656,0.017504,0.713916,1.233616
0.420689,0.017281,0.694043,1.200239
0.420657,0.017505,0.691835,1.197903
0.420497,0.017793,0.710076,1.227633
0.420497,0.017504,0.692892,1.201423
0.420753,0.017569,0.693371,1.201616
0.436561,0.017729,0.691675,1.214671
0.416497,0.017504,0.683643,1.188751
0.422257,0.017376,0.678043,1.184111
0.422480,0.017569,0.675899,1.183118
0.421200,0.017185,0.673818,1.179278
0.416433,0.017536,0.667483,1.201263
0.415793,0.017825,0.695163,1.198511
0.420337,0.017505,0.698395,1.210800
0.420624,0.017665,0.712060,1.222000
0.420496,0.017313,0.692731,1.201295
0.420240,0.017504,0.691451,1.201839
0.433681,0.017441,0.676154,1.195343
0.415728,0.017537,0.680667,1.184302
0.420561,0.017249,0.713916,1.221552
0.434161,0.017761,0.707356,1.230736
0.415888,0.017537,0.693147,1.199407
0.420913,0.017600,0.710908,1.221200
0.420016,0.017729,0.686203,1.194094
0.416017,0.017761,0.678778,1.183055
0.420304,0.017825,0.701340,1.210255
0.415728,0.017345,0.691899,1.195759
0.420689,0.017504,0.690748,1.199599
0.433073,0.017569,0.683675,1.203247
0.420656,0.017345,0.690235,1.197903
0.420241,0.017313,0.679482,1.185423
0.439409,0.017345,0.691515,1.219503
0.420113,0.017281,0.691291,1.198863
0.416785,0.017632,0.718781,1.228848
0.420273,0.017632,0.694396,1.202575
0.421073,0.017568,0.689756,1.197807
0.420977,0.017312,0.709500,1.225040
0.419888,0.017793,0.688859,1.195663
0.420592,0.017377,0.720060,1.226800
0.432945,0.017568,0.697500,1.217007
0.422545,0.018049,0.738909,1.251922
0.421456,0.017729,0.700027,1.210352
0.419632,0.017793,0.735165,1.247665
0.416304,0.017793,0.700892,1.205583
0.416849,0.017600,0.708476,1.215216
0.416432,0.017761,0.680923,1.185198
0.421265,0.017665,0.684251,1.192143
0.416304,0.017601,0.709244,1.211888
0.415345,0.017664,0.679867,1.184175
0.416272,0.017313,0.693947,1.197263
0.450066,0.017825,0.723804,1.261330
0.420113,0.017761,0.691835,1.198896
0.416433,0.017825,0.695323,1.219920
0.420689,0.017888,0.693020,1.201679
0.416049,0.018048,0.694875,1.202640
0.416529,0.017824,0.711964,1.219792
0.416208,0.017537,0.665786,1.170126
0.415889,0.017472,0.680347,1.178574
0.415633,0.017440,0.682267,1.182287
0.416465,0.017184,0.664858,1.163886
0.419856,0.017281,0.682779,1.190799
0.438033,0.017889,0.686107,1.208943
0.415376,0.017473,0.681403,1.183726
0.414384,0.017377,0.678682,1.175086
0.434737,0.017505,0.681211,1.223504
0.420497,0.017505,0.685659,1.191247
0.420177,0.017312,0.674747,1.198383
0.416080,0.017345,0.673787,1.173934
0.419953,0.017248,0.690715,1.193647
0.415505,0.017249,0.700347,1.200368
0.416657,0.017248,0.704988,1.205552
0.415376,0.017473,0.685307,1.186350
0.419984,0.017825,0.709724,1.218511
0.416080,0.017825,0.692059,1.197167
