Layer[0],Layer[1],TEE[2-10],classifier
0.420785,0.017472,0.694780,1.202607
0.420592,0.017632,0.679451,1.187374
0.421456,0.017664,0.690555,1.200911
0.432529,0.017504,0.691163,1.213392
0.416273,0.017473,0.693723,1.198639
0.415440,0.017569,0.691899,1.198671
0.417392,0.017281,0.717724,1.223408
0.418129,0.017728,0.693307,1.201071
0.420624,0.017472,0.708284,1.225392
0.416945,0.017825,0.680794,1.184911
0.420241,0.017537,0.689915,1.197743
0.420304,0.017697,0.708284,1.219503
0.420656,0.017440,0.690395,1.199535
0.421552,0.017313,0.694107,1.203151
0.438290,0.017664,0.691516,1.219536
0.416496,0.017857,0.693819,1.199247
0.421200,0.017697,0.686619,1.194671
0.415857,0.017505,0.693243,1.197935
0.415920,0.017440,0.689563,1.191151
0.421328,0.017472,0.702908,1.220368
0.421201,0.017505,0.680474,1.188559
0.420784,0.017825,0.690875,1.201167
0.416401,0.017504,0.697179,1.206000
0.420529,0.017505,0.686971,1.194607
0.420688,0.017505,0.694075,1.202703
0.417136,0.034433,0.679163,1.200879
0.422001,0.017728,0.689947,1.198799
0.420753,0.017441,0.658746,1.164750
0.432145,0.017504,0.695003,1.215792
0.416208,0.017248,0.690267,1.193103
0.419761,0.017280,0.676091,1.181262
0.420689,0.017665,0.690075,1.200911
0.416624,0.017473,0.690619,1.194255
0.421297,0.017440,0.696124,1.211888
0.420081,0.017696,0.682971,1.188943
0.420560,0.017632,0.689115,1.196463
0.416081,0.017473,0.697851,1.201456
0.416368,0.017441,0.683675,1.186767
0.420752,0.017793,0.693915,1.203023
0.434545,0.017313,0.685787,1.207344
0.415504,0.017889,0.688123,1.189934
0.420944,0.017504,0.721981,1.230768
0.416817,0.017664,0.717757,1.222288
0.416209,0.017441,0.688827,1.197199
0.420305,0.017665,0.704251,1.213520
0.415665,0.017921,0.682010,1.182575
0.420240,0.017889,0.680699,1.186958
0.420112,0.017857,0.707324,1.221168
0.421105,0.017761,0.686266,1.195311
0.416049,0.017696,0.677051,1.178926
0.415216,0.033185,0.710588,1.234448
0.418992,0.017504,0.682363,1.185647
0.419889,0.017601,0.677946,1.181871
0.438577,0.017761,0.688315,1.213167
0.421041,0.017793,0.690011,1.198095
0.420560,0.017473,0.688987,1.196591
0.420081,0.017440,0.679099,1.183599
0.420848,0.017696,0.688955,1.196687
0.420785,0.017504,0.705468,1.217904
0.421200,0.017664,0.682939,1.191151
0.420560,0.017505,0.687643,1.195407
0.421137,0.017889,0.719612,1.234449
0.416145,0.017696,0.688540,1.192975
0.421169,0.017409,0.681978,1.190671
0.428657,0.017632,0.698108,1.212911
0.415408,0.017697,0.673658,1.177262
0.414800,0.017153,0.666906,1.169262
0.434353,0.017697,0.689371,1.211952
0.416176,0.017921,0.708412,1.214768
0.416433,0.017728,0.685147,1.209968
0.416304,0.017728,0.677819,1.179886
0.420976,0.017729,0.695195,1.205295
0.421393,0.017569,0.701019,1.212400
0.420273,0.017696,0.681403,1.191919
0.416337,0.017792,0.694012,1.197519
0.419985,0.017505,0.699515,1.206320
0.420369,0.017920,0.664539,1.171758
0.420945,0.018016,0.687675,1.195823
0.437361,0.017856,0.702588,1.229617
0.414960,0.017697,0.689339,1.192942
0.420401,0.017984,0.694844,1.202927
0.417489,0.017633,0.693211,1.198479
0.421105,0.017696,0.690299,1.197455
0.420593,0.017760,0.707900,1.219696
0.420048,0.017665,0.693595,1.200207
0.415249,0.017472,0.689627,1.191215
0.420465,0.017793,0.693435,1.213648
0.419664,0.017889,0.687867,1.197295
0.420560,0.018049,0.676443,1.184270
0.434449,0.017824,0.692283,1.214384
0.414768,0.017696,0.689115,1.193967
0.420849,0.017921,0.691387,1.201487
0.416208,0.017729,0.692091,1.197455
0.421776,0.017729,0.700828,1.219696
0.418641,0.017825,0.734909,1.251761
0.417904,0.017665,0.694331,1.203791
0.420944,0.017601,0.665658,1.175342
0.421041,0.017728,0.708700,1.217424
0.420817,0.017761,0.677050,1.184111
0.420368,0.017473,0.690363,1.198767
0.446290,0.017696,0.694364,1.234096
0.421393,0.018177,0.694907,1.205936
0.415920,0.017569,0.680794,1.182958
0.418160,0.017569,0.693339,1.199151
0.420657,0.017760,0.689179,1.194799
0.415632,0.017536,0.705628,1.210832
0.415536,0.017473,0.678842,1.180174
0.420913,0.018240,0.714876,1.224944
0.416400,0.017569,0.702972,1.208559
0.416272,0.017697,0.691675,1.196911
0.420689,0.017440,0.686683,1.193871
0.436530,0.017888,0.706716,1.231921
0.416976,0.017729,0.689339,1.191599
0.420848,0.017760,0.723773,1.232944
0.420752,0.017985,0.679131,1.184686
0.420657,0.017793,0.678362,1.187279
0.416368,0.017793,0.708988,1.214063
0.420656,0.017537,0.688955,1.197935
0.416880,0.017697,0.681979,1.185102
0.421297,0.017505,0.712508,1.233745
0.421488,0.017729,0.681339,1.190414
0.421296,0.017761,0.687355,1.193454
0.438897,0.017761,0.685499,1.213423
0.416816,0.017697,0.698043,1.202159
0.416529,0.017792,0.692284,1.196975
0.432657,0.017889,0.679738,1.198511
0.421873,0.017536,0.694620,1.205679
0.418193,0.018369,0.721148,1.231665
0.421648,0.017537,0.685947,1.199247
0.421072,0.017568,0.679323,1.187343
0.421393,0.017345,0.699579,1.211120
0.420848,0.017505,0.688219,1.195759
0.421041,0.017696,0.690716,1.200495
0.421936,0.034658,0.703675,1.231920
0.416720,0.017729,0.714140,1.217776
0.420208,0.017921,0.689819,1.198543
0.440529,0.017505,0.684283,1.212592
0.416817,0.017441,0.685178,1.186863
0.421488,0.017697,0.683931,1.210415
0.420657,0.017921,0.679066,1.187663
0.420689,0.017760,0.684027,1.194447
0.420529,0.018176,0.704412,1.213584
0.421393,0.017793,0.683739,1.191855
0.421040,0.017504,0.693052,1.201647
0.415344,0.017537,0.709756,1.214512
0.431121,0.017569,0.691387,1.214192
0.416560,0.017697,0.686459,1.192783
0.440721,0.017568,0.701500,1.235281
0.416497,0.017472,0.690300,1.198319
0.417808,0.017536,0.691099,1.210576
0.416241,0.017697,0.691483,1.200272
0.417008,0.017600,0.682523,1.198159
0.416817,0.017569,0.690171,1.207568
0.417776,0.017697,0.690395,1.196591
0.416560,0.017633,0.689627,1.197423
0.416529,0.017504,0.699676,1.208976
0.416528,0.017473,0.675706,1.182350
0.416336,0.017601,0.691899,1.207983
0.415856,0.030817,0.678362,1.201007
0.425009,0.018177,0.703931,1.219696
0.421552,0.017761,0.682491,1.194255
0.441361,0.018176,0.696284,1.225168
0.421585,0.017505,0.696539,1.205712
0.421456,0.017537,0.716284,1.230384
0.418384,0.017568,0.691707,1.196335
0.421744,0.017537,0.683003,1.190766
0.421392,0.017409,0.707804,1.223440
0.421105,0.017761,0.693019,1.201871
0.418384,0.017313,0.688859,1.193391
0.436945,0.017537,0.696091,1.221104
0.420784,0.017696,0.692475,1.201615
0.420368,0.017761,0.691003,1.201359
0.420400,0.017920,0.691195,1.199759
0.421553,0.017473,0.693147,1.202800
0.420336,0.017696,0.711516,1.226224
0.421104,0.017825,0.680699,1.188366
0.416400,0.018177,0.688763,1.196975
0.416305,0.017825,0.708251,1.210480
0.421169,0.017568,0.689627,1.197071
0.427953,0.017921,0.752925,1.274994
0.445650,0.018016,0.731036,1.274034
0.418481,0.017888,0.707772,1.217584
0.416784,0.017633,0.701852,1.211727
0.416369,0.018048,0.678491,1.181583
0.415728,0.017953,0.715420,1.217072
0.416144,0.017793,0.700572,1.202703
0.415824,0.017825,0.678427,1.183598
0.420433,0.017537,0.692123,1.199919
0.420721,0.017217,0.700987,1.221488
0.415664,0.017633,0.693883,1.199055
0.420464,0.017697,0.690587,1.198095
0.431089,0.017793,0.691131,1.208399
0.420688,0.017601,0.693947,1.201807
0.420176,0.017537,0.685691,1.190702
0.416976,0.018017,0.717084,1.219567
0.420529,0.017569,0.690075,1.198543
0.420497,0.017760,0.696540,1.208368
0.420081,0.017632,0.686810,1.193487
0.416784,0.017921,0.690299,1.194095
0.416144,0.017633,0.708444,1.212719
0.420432,0.017504,0.683451,1.191983
0.419889,0.017281,0.716540,1.224016
0.437105,0.018049,0.696796,1.221872
0.419760,0.017760,0.685723,1.190959
0.420592,0.017729,0.685595,1.191758
0.420593,0.017824,0.678363,1.185679
0.415409,0.017696,0.679962,1.182287
0.419089,0.017281,0.687899,1.212912
0.420816,0.017600,0.689083,1.197583
0.420784,0.017760,0.686363,1.192559
0.415920,0.017473,0.697275,1.198255
0.420400,0.017697,0.692379,1.199503
0.422928,0.018016,0.732381,1.253041
0.440178,0.017792,0.715325,1.244785
0.419089,0.017889,0.692027,1.199791
0.421553,0.017441,0.690875,1.199375
0.420305,0.018113,0.691227,1.204880
0.421745,0.017728,0.688860,1.199951
0.421041,0.017697,0.713820,1.225904
0.421073,0.017889,0.693051,1.201359
0.416368,0.017537,0.690395,1.193134
0.415761,0.017473,0.711035,1.217712
0.416144,0.017441,0.693275,1.196495
0.420336,0.017505,0.689883,1.196335
0.431121,0.017761,0.689467,1.209744
0.415888,0.017345,0.692699,1.196207
0.420080,0.017633,0.687163,1.192462
0.431569,0.017921,0.692475,1.214480
0.420497,0.017921,0.678362,1.183407
0.419728,0.017760,0.688987,1.217200
0.420081,0.017441,0.687803,1.192591
0.420080,0.017760,0.690235,1.198895
0.420496,0.017633,0.710588,1.221040
0.420113,0.017569,0.684891,1.193263
0.415792,0.017696,0.690235,1.195535
0.419888,0.017920,0.695676,1.202799
0.415824,0.017409,0.685467,1.186478
0.420433,0.018208,0.678843,1.184847
0.454706,0.017825,0.690747,1.234193
0.416688,0.017824,0.695548,1.204495
0.420561,0.017696,0.696284,1.204591
0.420721,0.017472,0.691067,1.198447
0.420368,0.017664,0.685179,1.190031
0.419888,0.017505,0.694075,1.201647
0.420432,0.017473,0.687899,1.193359
0.420945,0.017217,0.694011,1.201295
0.420560,0.018016,0.710172,1.219728
0.420848,0.017729,0.690619,1.198639
0.420337,0.017633,0.686939,1.193615
0.437329,0.017537,0.734493,1.260241
0.420593,0.017792,0.689692,1.196815
0.419760,0.017729,0.693115,1.199215
0.415696,0.017505,0.679226,1.181902
0.420528,0.017536,0.702588,1.213904
0.420496,0.017504,0.715772,1.231408
0.420624,0.017473,0.695131,1.201871
0.416592,0.017377,0.691099,1.197711
0.421200,0.017473,0.695003,1.201999
0.421008,0.017505,0.676763,1.186414
0.421232,0.017377,0.689851,1.198415
0.416048,0.018017,0.701691,1.212879
0.420688,0.017857,0.698044,1.208975
0.421328,0.017537,0.719644,1.231824
0.438513,0.017760,0.691675,1.217200
0.416656,0.017633,0.674234,1.175758
0.416016,0.017473,0.688059,1.196847
0.421617,0.017697,0.684826,1.193071
0.420945,0.017793,0.694651,1.204271
0.421904,0.017601,0.720636,1.234832
0.416337,0.017312,0.701116,1.205264
0.416304,0.017473,0.669306,1.172110
0.422032,0.017984,0.714044,1.229744
0.421809,0.017761,0.688603,1.198863
0.421329,0.017601,0.695547,1.206480
0.436561,0.017793,0.691003,1.213168
0.421713,0.017473,0.694555,1.205520
0.421201,0.017696,0.695868,1.202735
0.421233,0.017537,0.695163,1.202832
0.416752,0.017569,0.698523,1.201807
0.416656,0.017569,0.708156,1.214191
0.417264,0.017281,0.698235,1.203727
0.422033,0.017793,0.696763,1.208752
0.416656,0.017697,0.711228,1.219248
0.423696,0.017665,0.693211,1.205103
0.416688,0.017761,0.692955,1.197263
0.439313,0.017824,0.694940,1.221392
0.421712,0.017568,0.697244,1.207247
0.416561,0.017696,0.694044,1.203536
0.421105,0.017632,0.694299,1.203503
0.421297,0.017505,0.696475,1.206544
0.431441,0.018017,0.707771,1.233456
0.420849,0.017505,0.679898,1.190831
0.420945,0.017761,0.692891,1.200623
0.420688,0.017601,0.740061,1.254673
0.420592,0.017761,0.684091,1.192302
0.416241,0.017536,0.695932,1.201231
0.440722,0.017761,0.691419,1.223280
0.421009,0.017473,0.680538,1.188687
0.420753,0.018017,0.694779,1.205456
0.419792,0.017793,0.694363,1.205231
0.420657,0.017632,0.686459,1.199599
0.420849,0.017921,0.715164,1.226833
0.416144,0.017601,0.692987,1.197103
0.420689,0.017568,0.693692,1.203855
