Layer[0],Layer[1],Layer[2],TEE[3-10],classifier
0.416337,0.017504,0.202920,0.217673,0.921860
0.416304,0.017536,0.202888,0.203240,0.909412
0.415760,0.017473,0.202696,0.201768,0.906404
0.416048,0.017665,0.203240,0.194792,0.898627
0.434257,0.017569,0.202504,0.203144,0.925989
0.416625,0.018177,0.202344,0.208232,0.914980
0.415984,0.017665,0.202696,0.206216,0.911875
0.418544,0.017537,0.223497,0.205096,0.933028
0.416145,0.017664,0.202856,0.198728,0.903236
0.416624,0.017793,0.202312,0.191047,0.895779
0.416528,0.017569,0.202440,0.205000,0.911524
0.416368,0.017537,0.203240,0.201576,0.911012
0.415952,0.017633,0.202504,0.201992,0.906179
0.416592,0.017825,0.202568,0.190759,0.895651
0.415536,0.036546,0.202568,0.203496,0.928612
0.417072,0.017729,0.202120,0.204360,0.914659
0.416368,0.017569,0.202184,0.198344,0.902723
0.416881,0.017472,0.202664,0.199944,0.904068
0.416529,0.017696,0.202023,0.197896,0.901988
0.416272,0.017697,0.202152,0.192007,0.907203
0.417712,0.017633,0.202248,0.192136,0.896899
0.432465,0.017441,0.202216,0.186503,0.906435
0.417104,0.017441,0.202440,0.192360,0.896675
0.416016,0.017473,0.202184,0.192903,0.894275
0.416336,0.017697,0.202792,0.202792,0.928100
0.416688,0.017761,0.202824,0.207272,0.913316
0.416528,0.017537,0.202920,0.193512,0.898787
0.415889,0.017536,0.203944,0.229129,0.935909
0.438129,0.017536,0.202536,0.203048,0.931013
0.416432,0.017505,0.203080,0.203592,0.908643
0.416560,0.017633,0.202312,0.198536,0.904131
0.416849,0.017728,0.203176,0.207016,0.912868
0.417041,0.017569,0.202663,0.190216,0.896036
0.416048,0.017569,0.202088,0.194919,0.898243
0.415729,0.017824,0.202792,0.193800,0.899748
0.434257,0.017537,0.203624,0.222505,0.948549
0.416272,0.017793,0.202088,0.196488,0.898371
0.416433,0.017473,0.203047,0.204040,0.908196
0.416529,0.017697,0.202439,0.211913,0.915396
0.416240,0.017633,0.202536,0.197992,0.901699
0.416656,0.017601,0.202312,0.205896,0.910308
0.417168,0.017793,0.202984,0.204200,0.912260
0.432656,0.017664,0.202568,0.213385,0.936996
0.417232,0.017569,0.202440,0.197063,0.902851
0.416689,0.017761,0.202280,0.202888,0.916164
0.415856,0.017537,0.221225,0.202696,0.925860
0.417841,0.017440,0.202407,0.199432,0.905572
0.416913,0.017536,0.202120,0.197032,0.902212
0.417744,0.017216,0.202152,0.193576,0.898947
0.417712,0.017345,0.203208,0.188423,0.893891
0.416496,0.017633,0.202216,0.188231,0.892226
0.415952,0.017633,0.202568,0.194600,0.901731
0.416912,0.017729,0.221545,0.200936,0.923684
0.417840,0.017600,0.202632,0.193352,0.900355
0.417617,0.017505,0.202984,0.201224,0.908036
0.416689,0.017665,0.202344,0.209512,0.915780
0.416880,0.017569,0.203272,0.196680,0.901827
0.416496,0.017537,0.202792,0.190247,0.893507
0.416848,0.017569,0.202120,0.199688,0.903235
0.435697,0.017985,0.202824,0.204104,0.930180
0.417041,0.017600,0.202632,0.192008,0.897699
0.416560,0.017601,0.202184,0.192807,0.898115
0.415120,0.017633,0.202696,0.201384,0.929668
0.416816,0.017505,0.202152,0.198152,0.903203
0.416368,0.017600,0.202408,0.199336,0.904932
0.416976,0.017665,0.202056,0.193159,0.898244
0.435537,0.017569,0.203176,0.203016,0.927044
0.417520,0.017729,0.202312,0.200872,0.907779
0.417360,0.017665,0.202952,0.197768,0.903619
0.417904,0.017569,0.202824,0.212648,0.922820
0.416656,0.017697,0.202440,0.203720,0.908323
0.417488,0.017633,0.202888,0.200808,0.907683
0.416529,0.017761,0.203816,0.237577,0.944709
0.431185,0.017344,0.203368,0.201096,0.919684
0.416144,0.017697,0.202920,0.220136,0.925412
0.416848,0.017536,0.202280,0.201096,0.904772
0.416432,0.017409,0.221640,0.230921,0.960485
0.415953,0.017504,0.202184,0.199208,0.902020
0.417200,0.017569,0.202216,0.199528,0.905219
0.415536,0.017249,0.202056,0.183207,0.883939
0.416656,0.017601,0.202248,0.206120,0.911876
0.416848,0.017473,0.201832,0.182791,0.884643
0.417808,0.017313,0.202344,0.187495,0.892259
0.415952,0.017537,0.221929,0.204424,0.928132
0.418993,0.017537,0.205288,0.206216,0.917156
0.417488,0.017793,0.202760,0.207464,0.911651
0.416112,0.017248,0.203048,0.203400,0.909124
0.415952,0.017568,0.202344,0.204904,0.905924
0.416529,0.017440,0.202568,0.186696,0.892451
0.416304,0.017697,0.202760,0.190119,0.893955
0.417457,0.020769,0.220872,0.190952,0.916100
0.415952,0.017665,0.203016,0.206216,0.910595
0.417073,0.017633,0.202760,0.202919,0.908292
0.416913,0.017664,0.203016,0.189896,0.895651
0.416752,0.017761,0.203240,0.201512,0.906467
0.417232,0.017537,0.204008,0.199944,0.905571
0.416688,0.017473,0.203048,0.202056,0.907203
0.435666,0.017600,0.203080,0.193160,0.918212
0.416561,0.017281,0.202856,0.197511,0.903652
0.416944,0.017345,0.202600,0.203016,0.907651
0.416464,0.017505,0.203272,0.194472,0.924132
0.417328,0.017441,0.202504,0.197352,0.902883
0.416689,0.017249,0.202568,0.191047,0.896452
0.416625,0.017313,0.202984,0.187783,0.891043
0.433297,0.017568,0.202792,0.197896,0.920228
0.416656,0.017793,0.203016,0.212904,0.917188
0.415536,0.017537,0.202632,0.195720,0.896771
0.417809,0.017504,0.203144,0.221065,0.930245
0.416625,0.017344,0.203368,0.198472,0.906212
0.417360,0.017569,0.202536,0.200840,0.906595
0.416721,0.017409,0.203048,0.210344,0.915588
0.435761,0.017472,0.202632,0.195336,0.918980
0.416592,0.017697,0.202792,0.209800,0.914180
0.418513,0.017536,0.201992,0.191336,0.896963
0.416721,0.017472,0.203176,0.221577,0.926756
0.416561,0.017473,0.202727,0.194855,0.900612
0.417617,0.017920,0.203048,0.197512,0.903812
0.417041,0.017569,0.202440,0.202919,0.909604
0.429873,0.017536,0.202888,0.176711,0.904611
0.415952,0.017601,0.201832,0.196040,0.907780
0.416753,0.017761,0.203816,0.167142,0.868962
0.415952,0.017793,0.201704,0.221897,0.925156
0.416912,0.017664,0.203464,0.187592,0.892131
0.417457,0.017472,0.203048,0.168935,0.872610
0.416496,0.017537,0.203272,0.201544,0.908163
0.433457,0.017600,0.202504,0.210921,0.931652
0.416305,0.017505,0.202760,0.201767,0.907684
0.416720,0.017505,0.202408,0.205064,0.912548
0.416880,0.017761,0.202024,0.222217,0.928228
0.416400,0.017633,0.202664,0.198184,0.902147
0.417008,0.017504,0.202280,0.203080,0.908356
0.416080,0.017633,0.201928,0.201480,0.905187
0.433681,0.017409,0.202632,0.204264,0.924772
0.416208,0.017761,0.202120,0.193767,0.898467
0.419536,0.017793,0.202984,0.209320,0.918660
0.416240,0.017569,0.220553,0.203208,0.925924
0.416784,0.017537,0.202120,0.200648,0.909315
0.416592,0.017313,0.202888,0.201512,0.906531
0.416273,0.017760,0.202888,0.201480,0.906148
0.417072,0.017729,0.203976,0.205896,0.913732
0.416080,0.017505,0.202344,0.201608,0.906531
0.418129,0.017728,0.201832,0.199144,0.904740
0.441906,0.017633,0.202951,0.202791,0.931877
0.416208,0.017697,0.202472,0.199080,0.904675
0.417137,0.017825,0.202472,0.207016,0.913124
0.416945,0.017601,0.202055,0.201352,0.935205
0.416688,0.017600,0.202344,0.194088,0.898499
0.416497,0.017568,0.202664,0.199432,0.907620
0.415984,0.017729,0.202856,0.200104,0.906243
0.434833,0.018273,0.202823,0.202663,0.926084
0.417040,0.017569,0.202728,0.200071,0.907332
0.417745,0.017728,0.202760,0.199528,0.905892
0.416752,0.017569,0.203432,0.210536,0.922500
0.417168,0.017473,0.203080,0.196136,0.902915
0.417681,0.017504,0.202632,0.205576,0.915652
0.416176,0.017569,0.202088,0.187687,0.891043
0.437777,0.017761,0.202664,0.201608,0.930180
0.415665,0.017728,0.202696,0.200424,0.907076
0.416592,0.017505,0.202408,0.202760,0.908772
0.416240,0.017473,0.202632,0.224777,0.936356
0.415696,0.017633,0.202504,0.191303,0.897571
0.416464,0.017761,0.202472,0.193255,0.902819
0.416464,0.017537,0.202728,0.203368,0.909571
0.431312,0.017632,0.202728,0.203240,0.925028
0.417808,0.017569,0.202504,0.193767,0.902308
0.416816,0.017473,0.202376,0.203144,0.910435
0.415600,0.017440,0.216937,0.202120,0.922020
0.416625,0.017729,0.202535,0.197768,0.901828
0.417264,0.017600,0.204456,0.210249,0.923780
0.418129,0.018241,0.203144,0.202856,0.913028
0.416912,0.017761,0.202632,0.195464,0.902627
0.415856,0.017760,0.202952,0.207240,0.917828
0.415824,0.017537,0.202696,0.198760,0.903683
0.436337,0.017601,0.202728,0.200775,0.929444
0.416912,0.017568,0.202600,0.199656,0.907172
0.417585,0.017729,0.202632,0.204488,0.911748
0.416881,0.017536,0.203208,0.202728,0.931845
0.417200,0.017729,0.202856,0.202184,0.908771
0.416336,0.017633,0.202248,0.187303,0.893251
0.416016,0.017665,0.202344,0.210024,0.912612
0.435505,0.017536,0.202152,0.187752,0.910180
0.416912,0.017408,0.202280,0.189224,0.893059
0.416528,0.017665,0.202120,0.231081,0.934116
0.415824,0.017665,0.202216,0.219720,0.925764
0.416560,0.017825,0.202216,0.189959,0.893539
0.416496,0.017697,0.201960,0.205640,0.907972
0.416080,0.017377,0.202376,0.195816,0.899843
0.445073,0.017761,0.202600,0.201576,0.933732
0.418736,0.017697,0.205640,0.190759,0.901539
0.416944,0.017793,0.204296,0.200200,0.908259
0.416624,0.017377,0.204200,0.212008,0.917604
0.417776,0.017665,0.202920,0.188679,0.895971
0.415600,0.017633,0.203112,0.194120,0.902435
0.417393,0.017568,0.204808,0.197800,0.909188
0.434641,0.017601,0.203560,0.203656,0.930052
0.417296,0.017505,0.203592,0.196456,0.904515
0.416400,0.017345,0.202504,0.207080,0.913123
0.415856,0.017729,0.202600,0.228873,0.935268
0.416432,0.017761,0.204040,0.176519,0.881539
0.416465,0.017280,0.202280,0.203560,0.905604
0.416400,0.017569,0.202024,0.203496,0.911555
0.427632,0.017697,0.202344,0.213096,0.925348
0.415505,0.017504,0.201992,0.199912,0.899876
0.416145,0.017632,0.202920,0.192232,0.903268
0.415536,0.017505,0.202184,0.202920,0.921508
0.414289,0.018368,0.202184,0.183304,0.883107
0.415600,0.017537,0.202088,0.166758,0.871330
0.415216,0.017377,0.202024,0.165414,0.869634
0.416209,0.017312,0.217513,0.200904,0.918372
0.416945,0.017376,0.202216,0.206824,0.911492
0.415697,0.017472,0.202280,0.205288,0.909476
0.415344,0.017472,0.202216,0.183815,0.885219
0.415824,0.017313,0.201960,0.193896,0.899139
0.417008,0.017761,0.202056,0.189991,0.894979
0.417425,0.017664,0.202984,0.203720,0.911556
0.415952,0.018305,0.223016,0.205865,0.932772
0.416368,0.017473,0.203048,0.202664,0.909220
0.416720,0.017697,0.202824,0.201832,0.908003
0.417073,0.017537,0.202920,0.200423,0.906404
0.416177,0.017440,0.202023,0.197064,0.902404
0.417040,0.017665,0.202088,0.200168,0.906307
0.416817,0.017505,0.202120,0.198439,0.902916
0.434257,0.017537,0.202632,0.192007,0.915044
0.415536,0.018145,0.202504,0.207080,0.914179
0.417456,0.017665,0.202504,0.198439,0.904227
0.416656,0.017665,0.202408,0.217352,0.928388
0.416817,0.017664,0.202440,0.199752,0.905636
0.415728,0.017761,0.202792,0.201544,0.907459
0.416432,0.017697,0.203432,0.204520,0.911908
0.434033,0.017664,0.202056,0.188584,0.910276
0.416112,0.017857,0.203080,0.190375,0.894531
0.416336,0.017664,0.201896,0.182503,0.884035
0.416016,0.017473,0.201768,0.216905,0.926404
0.416112,0.017633,0.202216,0.198280,0.905187
0.416976,0.017537,0.202440,0.193928,0.899811
0.417360,0.017568,0.203496,0.190024,0.892739
0.444946,0.017345,0.202568,0.189383,0.923173
0.415696,0.017440,0.202504,0.196616,0.897827
0.415696,0.017505,0.202344,0.193415,0.893795
0.418064,0.017537,0.202056,0.215208,0.920132
0.417328,0.017537,0.203528,0.202536,0.909379
0.416849,0.017537,0.203464,0.188679,0.896611
0.416880,0.017376,0.202248,0.194344,0.901379
0.433041,0.017665,0.203240,0.216520,0.941637
0.417873,0.017568,0.203112,0.213833,0.919268
0.417680,0.017345,0.203720,0.207016,0.911875
0.416592,0.017569,0.203624,0.227113,0.935077
0.418832,0.017761,0.202280,0.195208,0.900931
0.418961,0.017409,0.202408,0.194983,0.901124
0.418192,0.017473,0.203048,0.193448,0.900963
0.434929,0.017729,0.203048,0.184551,0.908483
0.417969,0.017537,0.202856,0.204616,0.911940
0.418224,0.017665,0.202664,0.191079,0.897699
0.417105,0.017216,0.202792,0.211305,0.920900
0.415825,0.017344,0.202119,0.207817,0.914404
0.416657,0.017344,0.202248,0.190824,0.894787
0.419856,0.017313,0.201928,0.208360,0.918788
0.434705,0.017409,0.203624,0.191015,0.915460
0.418160,0.017633,0.202696,0.199240,0.904835
0.418385,0.017536,0.201992,0.231273,0.935909
0.416049,0.017344,0.202120,0.203016,0.906372
0.415536,0.017697,0.202376,0.210120,0.909220
0.415120,0.017409,0.202280,0.232969,0.933605
0.415889,0.017633,0.202119,0.187336,0.891875
0.433937,0.017856,0.204136,0.205576,0.931780
0.417296,0.017441,0.202536,0.186631,0.891715
0.416176,0.017633,0.202408,0.179111,0.880578
0.416560,0.017697,0.202504,0.227497,0.937093
0.417872,0.018017,0.202248,0.206472,0.910596
0.416881,0.017696,0.202568,0.195784,0.904100
0.416368,0.017473,0.202152,0.204360,0.910340
0.437425,0.017537,0.201959,0.216521,0.943941
0.416880,0.017569,0.203080,0.207144,0.917796
0.417904,0.018305,0.203112,0.198792,0.908163
0.417296,0.017921,0.202120,0.205832,0.910819
0.417392,0.017569,0.202248,0.202184,0.908547
0.417488,0.017537,0.202312,0.198280,0.903875
0.416560,0.017729,0.202152,0.210440,0.913987
0.432113,0.017504,0.203112,0.202472,0.931044
0.417169,0.017697,0.203880,0.192871,0.903716
0.417200,0.017633,0.202952,0.208072,0.915812
0.417552,0.017569,0.221545,0.212328,0.935940
0.417105,0.017665,0.202439,0.202407,0.908964
0.417584,0.017569,0.203528,0.194759,0.901315
0.417553,0.017665,0.202792,0.202088,0.906820
0.435025,0.017472,0.202888,0.195432,0.921156
0.417488,0.017601,0.203976,0.208808,0.915972
0.416464,0.017537,0.203816,0.196072,0.903779
0.419056,0.017504,0.219849,0.200104,0.925732
0.419184,0.017761,0.202824,0.196712,0.905059
0.418864,0.017729,0.202632,0.193704,0.900387
0.417488,0.017473,0.203016,0.197480,0.903331
0.423248,0.017633,0.202856,0.216169,0.930308
0.418160,0.017601,0.203080,0.196968,0.908356
0.420433,0.017536,0.202760,0.187880,0.894691
0.417713,0.017665,0.217928,0.200424,0.921444
0.417104,0.017505,0.203464,0.198184,0.903619
0.415633,0.017889,0.202824,0.211080,0.916164
0.416272,0.017249,0.202824,0.194247,0.899651
0.416080,0.017825,0.202856,0.232585,0.936836
0.416656,0.017377,0.202344,0.191495,0.894947
0.417713,0.017536,0.202440,0.207816,0.911524
0.416721,0.017504,0.219817,0.203848,0.927269
0.414832,0.017633,0.202728,0.203592,0.904963
0.416688,0.017632,0.203112,0.192936,0.896899
0.415632,0.017793,0.202600,0.199656,0.902019
0.416912,0.017633,0.203400,0.207112,0.914211
0.415729,0.017697,0.202984,0.202631,0.907300
0.417713,0.017536,0.202792,0.195304,0.901508
0.420977,0.037729,0.202984,0.199144,0.928421
0.416400,0.017537,0.202984,0.192136,0.894563
0.417265,0.017793,0.202855,0.197959,0.902948
0.417489,0.017569,0.202631,0.208553,0.916292
0.415856,0.017473,0.202888,0.200967,0.909635
0.416048,0.017761,0.203400,0.197352,0.903491
0.416369,0.017696,0.203240,0.198536,0.903652
0.440849,0.017760,0.202312,0.199464,0.927108
0.416592,0.017697,0.202216,0.192135,0.897667
0.416528,0.017473,0.202824,0.188743,0.893315
0.416593,0.017568,0.202696,0.203752,0.907940
0.416976,0.017505,0.202984,0.195400,0.899331
0.416976,0.017633,0.202056,0.196615,0.901859
0.417200,0.017505,0.202248,0.216360,0.923844
0.433841,0.017600,0.202920,0.199080,0.921732
0.419664,0.017473,0.202472,0.212392,0.922212
0.419728,0.017665,0.203144,0.206472,0.915716
0.417393,0.017600,0.202664,0.207209,0.937733
0.416752,0.017505,0.202568,0.211656,0.918532
0.419441,0.017664,0.202984,0.187976,0.897699
0.415696,0.017473,0.202664,0.196136,0.898563
0.434993,0.018209,0.202536,0.199816,0.923076
0.420113,0.017536,0.203239,0.207593,0.919908
0.416048,0.017665,0.203816,0.212104,0.920900
0.415281,0.017600,0.202728,0.234825,0.945573
0.415760,0.017601,0.202984,0.193703,0.897315
0.416176,0.017697,0.202440,0.213128,0.916676
0.415056,0.017473,0.202376,0.200679,0.901987
0.435377,0.017728,0.202536,0.200584,0.920900
0.415760,0.017505,0.202696,0.204616,0.906179
0.417168,0.017313,0.202024,0.192264,0.894179
0.415856,0.017440,0.203240,0.212649,0.924068
0.415792,0.017505,0.202792,0.205672,0.911203
0.414864,0.017473,0.202664,0.209032,0.911428
0.416944,0.017345,0.202664,0.207240,0.912356
0.431217,0.017281,0.202920,0.201512,0.919620
0.414737,0.017664,0.203240,0.192808,0.894275
0.416304,0.017505,0.202408,0.196743,0.899619
0.417392,0.017345,0.202184,0.229993,0.939301
0.416113,0.017632,0.202664,0.190120,0.891619
0.415312,0.017601,0.202536,0.206056,0.908292
0.414256,0.017665,0.202376,0.194952,0.894435
0.429137,0.017537,0.202440,0.199208,0.916388
0.414833,0.017472,0.202312,0.205032,0.904932
0.416016,0.017441,0.202088,0.219368,0.918340
0.416656,0.017665,0.203496,0.218057,0.928676
0.416720,0.017505,0.202600,0.190791,0.893795
0.416817,0.017664,0.202279,0.198568,0.901316
0.415985,0.017472,0.202472,0.191624,0.896707
0.432273,0.017729,0.202791,0.193128,0.912355
0.416688,0.017569,0.203304,0.195975,0.902147
0.417968,0.017665,0.202920,0.203688,0.910948
0.417008,0.017761,0.202792,0.225577,0.933476
0.416560,0.017536,0.202056,0.208072,0.911748
0.416304,0.017729,0.202856,0.198055,0.905603
0.419216,0.017696,0.202952,0.199464,0.908164
0.433553,0.017504,0.202440,0.201608,0.923332
0.416113,0.017664,0.202504,0.199720,0.904548
0.417201,0.017633,0.202247,0.200488,0.907940
0.416529,0.017473,0.202247,0.224200,0.932645
0.416080,0.017505,0.202280,0.198983,0.903363
0.415920,0.017537,0.202536,0.198696,0.901955
0.415984,0.017697,0.202216,0.206760,0.911364
0.415632,0.017697,0.202184,0.228873,0.931940
0.415696,0.017760,0.202184,0.206888,0.912196
0.415985,0.017312,0.202344,0.199592,0.903236
0.415345,0.017505,0.221320,0.202856,0.929669
0.415825,0.017632,0.202311,0.194568,0.896004
0.415792,0.017249,0.202248,0.191175,0.894275
0.417361,0.017504,0.202248,0.181639,0.883587
0.415056,0.017249,0.202184,0.186439,0.884514
0.415792,0.017249,0.202056,0.212488,0.911108
0.415856,0.017569,0.202216,0.195591,0.895747
0.415536,0.017505,0.221192,0.182759,0.901860
0.414992,0.017537,0.202472,0.199944,0.898563
0.415280,0.017281,0.202088,0.187015,0.884515
0.415697,0.017440,0.201896,0.199848,0.900516
0.432593,0.017345,0.202920,0.189639,0.910148
0.416368,0.017601,0.202088,0.187399,0.885890
0.415152,0.017377,0.201928,0.166310,0.862913
0.414960,0.017696,0.201800,0.199848,0.900131
0.415120,0.017345,0.201800,0.175015,0.871714
0.415280,0.017537,0.202888,0.235529,0.941189
0.417840,0.017377,0.202696,0.186055,0.888482
0.429041,0.017505,0.202056,0.213128,0.926564
0.417072,0.017473,0.201896,0.190151,0.911843
0.419440,0.017665,0.202280,0.195432,0.896483
0.417009,0.017696,0.203016,0.205608,0.935397
0.417040,0.017793,0.202472,0.201224,0.905795
0.416016,0.017889,0.202632,0.198984,0.900291
0.417105,0.017568,0.202632,0.201032,0.905252
0.433329,0.017600,0.202152,0.202632,0.930501
0.417072,0.017697,0.202856,0.201288,0.908163
0.416049,0.017504,0.202728,0.203528,0.907428
0.415857,0.017473,0.202792,0.227016,0.933893
0.416592,0.017761,0.205096,0.194984,0.899971
0.415632,0.017889,0.202856,0.191560,0.895459
0.416144,0.017761,0.203144,0.201448,0.908291
0.436465,0.017761,0.202760,0.195047,0.922852
0.415728,0.017153,0.202472,0.198376,0.904259
0.415952,0.017473,0.203336,0.206504,0.911235
0.438449,0.017793,0.219432,0.227945,0.971686
0.416337,0.017472,0.204488,0.208488,0.915236
0.416944,0.017729,0.202632,0.193927,0.897475
0.418097,0.017472,0.202344,0.210729,0.916868
0.415632,0.017665,0.202248,0.239721,0.942245
0.416400,0.017537,0.202792,0.201544,0.905155
0.415824,0.017313,0.202760,0.190791,0.898307
0.415377,0.017728,0.222792,0.212905,0.939269
0.418064,0.017505,0.202824,0.191943,0.897475
0.416209,0.017697,0.203047,0.206920,0.911876
0.415600,0.017473,0.203016,0.199016,0.904643
0.416337,0.017633,0.202856,0.219816,0.926469
0.417008,0.017569,0.203080,0.199464,0.905795
0.416369,0.017440,0.202696,0.195240,0.899812
0.446258,0.017729,0.202504,0.201703,0.937029
0.416528,0.017504,0.202408,0.202248,0.907492
0.417329,0.017504,0.202504,0.201064,0.906052
0.420881,0.017569,0.203400,0.199815,0.928357
0.418544,0.017536,0.202664,0.197832,0.905123
0.417808,0.017696,0.202568,0.197128,0.901955
0.415664,0.017505,0.202664,0.194824,0.898947
0.430961,0.017728,0.202984,0.217385,0.938084
0.415568,0.017952,0.203080,0.201096,0.904548
0.416528,0.017440,0.202984,0.200744,0.906404
0.418513,0.017697,0.202952,0.254409,0.962598
0.417361,0.017921,0.203400,0.199687,0.905508
0.415569,0.017825,0.202343,0.199943,0.902500
0.416177,0.017504,0.202856,0.199112,0.903780
0.433265,0.017313,0.203080,0.198472,0.918788
0.416784,0.017697,0.203080,0.210792,0.917412
0.416336,0.017408,0.202600,0.193672,0.897795
0.417776,0.017569,0.203976,0.224201,0.935813
0.417713,0.017632,0.203208,0.212457,0.919428
0.416464,0.017633,0.202920,0.198216,0.908067
0.416720,0.017505,0.203400,0.197288,0.901955
0.434033,0.017664,0.203016,0.204488,0.931493
0.419600,0.017824,0.205800,0.214633,0.928324
0.418000,0.017632,0.203336,0.199976,0.908676
0.417392,0.017569,0.223433,0.203016,0.935460
