Layer[0],Layer[1],TEE[2-7],Layer[8],Layer[9],Layer[10],classifier
0.420048,0.017953,0.751998,0.002432,0.001184,0.000384,1.201359
0.438802,0.017984,0.743870,0.002464,0.001056,0.000576,1.211952
0.420369,0.017665,0.750109,0.002752,0.001184,0.000384,1.198928
0.415344,0.017473,0.728957,0.002464,0.001152,0.000384,1.172782
0.420336,0.017857,0.745470,0.002560,0.001312,0.000320,1.195087
0.421520,0.017408,0.744926,0.002432,0.001120,0.000384,1.194575
0.416017,0.017920,0.768383,0.002592,0.001216,0.000352,1.214640
0.415824,0.017569,0.742461,0.002464,0.001216,0.000449,1.187151
0.415856,0.017633,0.735325,0.002592,0.001152,0.000640,1.180014
0.421265,0.017921,0.761054,0.002752,0.001120,0.000384,1.211888
0.420593,0.017633,0.744733,0.002464,0.001184,0.000448,1.194447
0.415728,0.017601,0.746589,0.002272,0.001120,0.000384,1.190639
0.439153,0.017953,0.791423,0.002368,0.001120,0.000384,1.259537
0.415824,0.017697,0.745181,0.002336,0.001152,0.000384,1.189262
0.420529,0.017761,0.739133,0.002496,0.001152,0.000640,1.187855
0.420240,0.018081,0.744605,0.002273,0.001120,0.000416,1.194479
0.420240,0.017441,0.751262,0.002304,0.001024,0.000416,1.198863
0.420496,0.017505,0.759710,0.003232,0.001216,0.000384,1.210159
0.420465,0.017825,0.746877,0.003104,0.001280,0.000384,1.196207
0.420401,0.017761,0.747005,0.002112,0.001184,0.000352,1.195407
0.420849,0.017888,0.769855,0.003680,0.001184,0.000384,1.220336
0.421713,0.017856,0.745886,0.002400,0.001120,0.000384,1.196015
0.420433,0.017536,0.738174,0.002592,0.001088,0.000384,1.187343
0.420817,0.017472,0.780287,0.003328,0.001280,0.000384,1.230928
0.420049,0.017569,0.747837,0.002464,0.001121,0.000416,1.195472
0.416400,0.017761,0.746525,0.002497,0.001184,0.000384,1.191375
0.436977,0.017761,0.760958,0.003008,0.001056,0.000384,1.225424
0.420657,0.017888,0.746398,0.002304,0.001120,0.000384,1.194799
0.420432,0.017409,0.756318,0.003488,0.001216,0.000416,1.205487
0.420784,0.017792,0.751326,0.003488,0.001216,0.000384,1.201167
0.420945,0.017505,0.738237,0.002464,0.001120,0.000640,1.187087
0.419984,0.017504,0.763390,0.002464,0.001089,0.000416,1.211312
0.420112,0.017601,0.737149,0.002464,0.001120,0.000448,1.185198
0.415825,0.017664,0.742558,0.002752,0.001120,0.000384,1.186287
0.420561,0.017664,0.766526,0.003232,0.001344,0.000416,1.217840
0.419857,0.017761,0.741725,0.002560,0.001216,0.000384,1.190927
0.415472,0.017697,0.747901,0.002304,0.001249,0.000384,1.191887
0.438386,0.017537,0.758589,0.003425,0.001216,0.000384,1.226257
0.419728,0.017537,0.738525,0.002240,0.001184,0.000384,1.186094
0.421777,0.017953,0.732476,0.002465,0.001152,0.000384,1.183279
0.420144,0.017825,0.742269,0.002369,0.001152,0.000352,1.190767
0.421137,0.017728,0.750238,0.002816,0.000992,0.000352,1.198319
0.416177,0.017792,0.770687,0.002432,0.001152,0.000352,1.214800
0.415281,0.017664,0.748830,0.002272,0.000992,0.000416,1.191599
0.415984,0.017729,0.746109,0.002400,0.001185,0.000384,1.190287
0.419825,0.017537,0.756733,0.003584,0.001216,0.000384,1.206992
0.420273,0.017697,0.741533,0.002400,0.001120,0.000384,1.189551
0.419952,0.017664,0.734365,0.002240,0.001120,0.000384,1.182254
0.444242,0.017537,0.743101,0.002464,0.001184,0.000416,1.214928
0.419664,0.017536,0.733085,0.002464,0.001152,0.000352,1.181198
0.420017,0.017984,0.730205,0.002400,0.001088,0.000384,1.178574
0.439185,0.017760,0.744478,0.002368,0.001088,0.000416,1.211984
0.415473,0.017728,0.739486,0.002432,0.001088,0.000384,1.182959
0.420400,0.017505,0.742429,0.002656,0.000992,0.000352,1.190414
0.419888,0.017601,0.747645,0.003329,0.001184,0.000384,1.196559
0.415409,0.017376,0.754622,0.002720,0.000992,0.000352,1.198127
0.420721,0.017889,0.770718,0.003360,0.001312,0.000384,1.221424
0.415952,0.017921,0.743805,0.002401,0.001216,0.000576,1.188047
0.415793,0.017569,0.749021,0.002784,0.001152,0.000384,1.193359
0.415793,0.017632,0.769503,0.003424,0.001408,0.000608,1.216464
0.415824,0.017729,0.745885,0.003232,0.001152,0.000384,1.190542
0.420945,0.017632,0.732797,0.002496,0.001184,0.000385,1.182223
0.444402,0.017729,0.753405,0.002336,0.001120,0.000384,1.225744
0.419985,0.017664,0.734236,0.002465,0.001120,0.000416,1.182031
0.420849,0.017857,0.739581,0.002464,0.001184,0.000608,1.187919
0.416017,0.017377,0.736573,0.002688,0.001056,0.000384,1.181615
0.416273,0.017665,0.745245,0.002304,0.001120,0.000416,1.189167
0.416625,0.017504,0.773951,0.002496,0.001088,0.000384,1.219088
0.420272,0.017760,0.780383,0.003968,0.001152,0.000608,1.230832
0.420241,0.017793,0.743645,0.002656,0.001152,0.000608,1.193583
0.415984,0.017953,0.771743,0.003936,0.001184,0.000384,1.217904
0.420496,0.017601,0.748317,0.003041,0.001312,0.000384,1.197999
0.420529,0.017505,0.752125,0.003713,0.001216,0.000416,1.202192
0.445234,0.017952,0.745374,0.002496,0.001152,0.000608,1.218704
0.415857,0.017793,0.733149,0.002752,0.001184,0.000416,1.177679
0.420624,0.017665,0.731517,0.002496,0.001056,0.000384,1.181134
0.437617,0.017697,0.738173,0.002304,0.001152,0.000416,1.203951
0.420497,0.017665,0.731612,0.002208,0.001216,0.000384,1.179791
0.420465,0.017505,0.742045,0.002336,0.001216,0.000416,1.190543
0.420624,0.017601,0.745245,0.002432,0.001088,0.000416,1.193903
0.415697,0.017920,0.741310,0.003456,0.001120,0.000416,1.185679
0.420433,0.017441,0.762398,0.002176,0.001216,0.000640,1.210576
0.420816,0.017728,0.746526,0.002432,0.001120,0.000384,1.195375
0.415536,0.018017,0.747806,0.003616,0.001248,0.000416,1.192751
0.415376,0.017825,0.772862,0.002496,0.001088,0.000352,1.216751
0.416689,0.017793,0.749213,0.002528,0.001120,0.000385,1.195184
0.415952,0.017921,0.743325,0.002624,0.001184,0.000416,1.188110
0.433905,0.017505,0.748222,0.002752,0.001120,0.000384,1.211312
0.415824,0.018017,0.749790,0.002816,0.001216,0.000384,1.195279
0.420048,0.017889,0.745789,0.002433,0.001152,0.000384,1.194255
0.415920,0.017633,0.733885,0.002688,0.000928,0.000384,1.177326
0.416976,0.017729,0.746622,0.002432,0.001184,0.000384,1.191951
0.420337,0.017697,0.763006,0.003872,0.000992,0.000384,1.212784
0.415600,0.017729,0.743101,0.002497,0.001024,0.000384,1.186063
0.415408,0.017888,0.745502,0.003520,0.001120,0.000384,1.190543
0.421041,0.017729,0.738269,0.002368,0.001024,0.000384,1.186607
0.420080,0.017984,0.741245,0.002848,0.000960,0.000352,1.189391
0.415568,0.017857,0.743709,0.002176,0.000896,0.000384,1.186094
0.420465,0.017633,0.757085,0.002145,0.000864,0.000416,1.204912
0.420913,0.017824,0.735197,0.003777,0.001184,0.000384,1.185967
0.415569,0.017601,0.740605,0.002528,0.001184,0.000384,1.184175
0.431089,0.017504,0.735357,0.002464,0.001152,0.000384,1.195023
0.416784,0.017760,0.749022,0.003296,0.001280,0.000384,1.195087
0.420112,0.017888,0.740381,0.002561,0.001024,0.000384,1.188143
0.434929,0.017665,0.746750,0.002656,0.001024,0.000384,1.210384
0.420752,0.017537,0.743805,0.002496,0.001120,0.000384,1.192847
0.416240,0.017440,0.774335,0.002528,0.001088,0.000384,1.218736
0.420144,0.017377,0.746909,0.002560,0.001153,0.000416,1.194831
0.420145,0.017569,0.744861,0.002336,0.001088,0.000640,1.193167
0.420208,0.017729,0.784319,0.002528,0.001184,0.000384,1.233232
0.415664,0.017632,0.741085,0.002400,0.001088,0.000416,1.184111
0.419952,0.017857,0.734621,0.002400,0.001280,0.000448,1.182958
0.420273,0.017537,0.754302,0.002496,0.001120,0.000384,1.203344
0.415185,0.017473,0.731996,0.003041,0.001120,0.000384,1.175727
0.415440,0.017856,0.734173,0.002528,0.001152,0.000416,1.179214
0.437906,0.017921,0.730620,0.002432,0.001217,0.000384,1.197392
0.420945,0.017472,0.741214,0.002304,0.001152,0.000384,1.190223
0.420560,0.017729,0.771806,0.003136,0.001344,0.000384,1.222000
0.415633,0.017536,0.755198,0.002560,0.001152,0.000416,1.200015
0.416529,0.017344,0.746558,0.002272,0.001152,0.000352,1.190479
0.420688,0.017697,0.768062,0.003584,0.001152,0.000640,1.218480
0.421809,0.017825,0.768606,0.003136,0.001856,0.000641,1.222993
0.421169,0.018145,0.755806,0.003520,0.001216,0.000352,1.207760
0.421808,0.017345,0.769791,0.002592,0.001216,0.000608,1.220112
0.421361,0.017345,0.734685,0.003488,0.001248,0.000352,1.185647
