Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],TEE[6-10],classifier
0.415600,0.017313,0.202376,0.004768,0.046850,0.000608,0.155142,0.912451
0.440049,0.018145,0.202215,0.005281,0.046850,0.000768,0.131685,0.914851
0.420336,0.017473,0.202760,0.004800,0.046818,0.000608,0.124453,0.884802
0.420240,0.017537,0.202056,0.004832,0.046946,0.000640,0.137477,0.894051
0.415152,0.017601,0.202376,0.004864,0.046818,0.000832,0.163206,0.915172
0.417776,0.017793,0.203208,0.004896,0.047170,0.000832,0.134022,0.896835
0.421073,0.017377,0.202663,0.005185,0.049026,0.000768,0.134437,0.903460
0.420432,0.017313,0.202568,0.004960,0.047778,0.000768,0.133509,0.896963
0.439697,0.017569,0.202568,0.004864,0.049282,0.000768,0.139525,0.926180
0.420592,0.017697,0.202600,0.004992,0.048834,0.000800,0.139686,0.910083
0.420720,0.017505,0.202600,0.005312,0.048866,0.000800,0.135846,0.911300
0.420689,0.017345,0.202184,0.005056,0.048642,0.000832,0.163750,0.941477
0.416272,0.017505,0.202216,0.005248,0.048034,0.000640,0.134981,0.896995
0.416400,0.017537,0.202120,0.004832,0.049122,0.000800,0.132549,0.894403
0.416400,0.017441,0.202056,0.004832,0.048674,0.000608,0.131685,0.889347
0.431216,0.017632,0.202664,0.004832,0.048738,0.000800,0.137990,0.914339
0.421360,0.017505,0.202120,0.004896,0.049218,0.000800,0.133797,0.907011
0.415856,0.017505,0.202056,0.004832,0.048674,0.000576,0.130437,0.888675
0.415985,0.017473,0.202792,0.004896,0.048866,0.000800,0.154246,0.916644
0.420721,0.017569,0.203080,0.005248,0.048130,0.000608,0.132741,0.896419
0.420977,0.017633,0.202568,0.005024,0.049346,0.000608,0.141797,0.909188
0.417072,0.017536,0.202280,0.004832,0.048834,0.000896,0.129253,0.889443
0.438065,0.017440,0.202375,0.004801,0.048162,0.000832,0.138085,0.920772
0.420145,0.017377,0.202120,0.004768,0.049090,0.000768,0.134117,0.898052
0.420817,0.017345,0.202152,0.005248,0.048066,0.000800,0.134437,0.903812
0.415665,0.017697,0.218504,0.005120,0.048706,0.000768,0.136678,0.910820
0.416528,0.017313,0.202408,0.004832,0.049026,0.000800,0.130757,0.889154
0.420144,0.017665,0.202280,0.005216,0.048258,0.000576,0.134693,0.898723
0.420560,0.017281,0.202664,0.004800,0.049442,0.000800,0.135269,0.896963
0.433073,0.017345,0.202056,0.004800,0.048994,0.000832,0.133413,0.909508
0.420753,0.017504,0.202056,0.005184,0.048546,0.000768,0.131334,0.895331
0.419472,0.017505,0.202280,0.004992,0.048290,0.000832,0.129861,0.894979
0.417040,0.017313,0.216488,0.005281,0.048801,0.000800,0.135141,0.911395
0.420465,0.017376,0.202376,0.004801,0.048545,0.000800,0.125221,0.887235
0.420464,0.017409,0.202280,0.004800,0.048194,0.000832,0.162374,0.934692
0.420240,0.017505,0.202056,0.004768,0.048354,0.000832,0.133445,0.900195
0.416305,0.017536,0.202504,0.004865,0.048801,0.000833,0.135877,0.898435
0.421745,0.017761,0.201799,0.004833,0.048962,0.000768,0.130629,0.898083
0.420689,0.017376,0.202248,0.004896,0.049410,0.000576,0.137830,0.904611
0.416240,0.017505,0.220105,0.005312,0.049218,0.000608,0.138629,0.919556
0.416528,0.017249,0.202344,0.004832,0.048610,0.000768,0.130693,0.887715
0.415952,0.017536,0.202312,0.004800,0.048130,0.000768,0.134598,0.894467
0.415792,0.017601,0.202120,0.004864,0.048802,0.000800,0.135365,0.895971
0.421489,0.017504,0.203112,0.005185,0.048258,0.000800,0.141957,0.909732
0.421136,0.017473,0.202760,0.005216,0.048418,0.000864,0.137446,0.910787
0.420144,0.017441,0.202888,0.004832,0.048194,0.000800,0.132037,0.897507
0.438161,0.017376,0.202152,0.004896,0.047394,0.000576,0.134438,0.920260
0.419856,0.017313,0.202152,0.004800,0.048162,0.000608,0.143334,0.913251
0.415729,0.017536,0.202152,0.004801,0.047841,0.000576,0.145350,0.901828
0.421265,0.017504,0.201927,0.004961,0.047297,0.000577,0.130213,0.912996
0.417040,0.017441,0.202216,0.004800,0.046882,0.000608,0.130725,0.895075
0.416624,0.017665,0.202280,0.004864,0.047010,0.000640,0.128677,0.892323
0.416240,0.017345,0.202056,0.004832,0.046850,0.000864,0.129445,0.888771
0.441585,0.017377,0.203848,0.004928,0.046946,0.000608,0.130725,0.927108
0.415184,0.017505,0.204136,0.004832,0.047010,0.000576,0.141318,0.897315
0.420209,0.017408,0.202280,0.004832,0.046914,0.001024,0.138086,0.896387
0.419920,0.017441,0.202120,0.004864,0.046818,0.000576,0.130437,0.890402
0.420337,0.017473,0.201895,0.004865,0.046850,0.000736,0.130661,0.890115
0.415440,0.017313,0.202120,0.004800,0.046978,0.000832,0.146086,0.901891
0.419568,0.017505,0.202248,0.004832,0.046978,0.000512,0.147686,0.905411
0.415408,0.020193,0.202376,0.005088,0.046914,0.000608,0.154566,0.937893
0.422896,0.017761,0.203336,0.004832,0.048546,0.001024,0.162343,0.937188
0.420657,0.017761,0.201960,0.004832,0.050402,0.000800,0.137477,0.907844
0.416080,0.017697,0.201896,0.004864,0.048226,0.000576,0.155942,0.918084
0.420592,0.017505,0.202152,0.004736,0.050018,0.000640,0.132966,0.898691
0.416816,0.017761,0.201832,0.004864,0.048258,0.000800,0.135333,0.897955
0.414960,0.017569,0.202120,0.004992,0.048066,0.000832,0.135781,0.891779
0.437777,0.017569,0.202216,0.004896,0.048546,0.000800,0.135846,0.922916
0.420177,0.017761,0.201960,0.004896,0.048002,0.000768,0.134885,0.898148
0.419121,0.017696,0.202856,0.005217,0.047905,0.000833,0.136389,0.906980
0.416145,0.017504,0.202056,0.005281,0.047681,0.000832,0.155111,0.920612
0.420336,0.017569,0.203112,0.004832,0.047490,0.000832,0.132517,0.896131
0.420593,0.017537,0.202344,0.004864,0.047490,0.000800,0.135365,0.900740
0.420016,0.017857,0.202152,0.004928,0.047426,0.000832,0.150054,0.911267
0.438673,0.017601,0.202152,0.004864,0.047778,0.000800,0.134214,0.916292
0.420528,0.017665,0.202248,0.004992,0.049538,0.000832,0.143878,0.914820
0.420433,0.017601,0.202056,0.004832,0.049346,0.000832,0.141861,0.916356
0.420369,0.017729,0.219528,0.005185,0.048609,0.000800,0.138406,0.923557
0.417745,0.017888,0.203848,0.004833,0.049922,0.000800,0.142981,0.912612
0.420625,0.017664,0.203176,0.004897,0.048065,0.000608,0.140997,0.912420
0.420561,0.017889,0.203144,0.004800,0.047810,0.000576,0.160230,0.930469
0.420656,0.017664,0.202600,0.004800,0.049122,0.000608,0.132710,0.904067
0.415824,0.017633,0.202632,0.004896,0.048866,0.000800,0.134949,0.894979
0.415505,0.017633,0.202759,0.004833,0.048770,0.000608,0.131109,0.890787
0.419984,0.017344,0.221993,0.005088,0.048642,0.000640,0.127525,0.908676
0.415728,0.017697,0.203912,0.004896,0.048130,0.000768,0.133254,0.891939
0.416593,0.017569,0.202920,0.005280,0.048610,0.000832,0.128037,0.888931
0.419920,0.017633,0.202440,0.004800,0.049602,0.000640,0.124837,0.884770
0.417552,0.017921,0.204136,0.004896,0.049890,0.000864,0.146950,0.915780
0.417456,0.017569,0.203240,0.005024,0.048642,0.000832,0.130757,0.895715
0.415984,0.017569,0.203528,0.004896,0.048034,0.000832,0.131045,0.891075
0.416560,0.017377,0.234537,0.005120,0.048706,0.000832,0.125669,0.919780
0.420400,0.017920,0.202344,0.004832,0.048322,0.000640,0.134118,0.898915
0.419216,0.017921,0.202504,0.004800,0.047362,0.000640,0.125285,0.885314
0.420592,0.017633,0.202472,0.004800,0.048130,0.000832,0.124741,0.888099
