Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],TEE[6-10],classifier
0.416272,0.017761,0.202440,0.004800,0.049794,0.000864,0.136774,0.894339
0.420560,0.017665,0.201960,0.005248,0.070659,0.001024,0.156710,0.949253
0.417265,0.017568,0.202215,0.004865,0.048194,0.000800,0.145189,0.900964
0.419408,0.017729,0.202344,0.005312,0.048226,0.000768,0.132613,0.899875
0.420209,0.017952,0.202343,0.005089,0.048162,0.000832,0.148485,0.908900
0.436081,0.017601,0.203112,0.005280,0.047842,0.000800,0.146886,0.929700
0.416656,0.017888,0.202312,0.004992,0.048546,0.000768,0.147334,0.904612
0.415760,0.017536,0.202472,0.005024,0.047906,0.000832,0.148678,0.907684
0.423185,0.017633,0.221288,0.005088,0.048290,0.000832,0.138597,0.927205
0.416369,0.017600,0.203176,0.004992,0.048098,0.000832,0.138566,0.897251
0.421104,0.017729,0.203048,0.005024,0.048450,0.000608,0.134342,0.903907
0.423121,0.017664,0.204712,0.005025,0.048450,0.001056,0.165766,0.938597
0.420913,0.017537,0.203176,0.005024,0.048802,0.000832,0.142917,0.908548
0.421168,0.017729,0.202216,0.005088,0.048898,0.000832,0.135430,0.902179
0.416400,0.017537,0.202247,0.004960,0.048034,0.000768,0.145925,0.902852
0.436497,0.017632,0.203080,0.004801,0.048354,0.000800,0.136133,0.918275
0.416976,0.017921,0.202568,0.005280,0.048738,0.000800,0.149350,0.910052
0.420913,0.017537,0.202248,0.004928,0.048386,0.000832,0.147461,0.912996
0.415696,0.017888,0.202440,0.004896,0.048162,0.000864,0.169735,0.933125
0.420816,0.017409,0.202408,0.004832,0.048226,0.000832,0.139750,0.905859
0.421105,0.017729,0.202472,0.004928,0.048290,0.000832,0.131045,0.895300
0.421648,0.017472,0.202280,0.004832,0.049154,0.000832,0.146054,0.910180
0.434929,0.017729,0.202408,0.004864,0.048130,0.000832,0.136870,0.912676
0.420273,0.017760,0.202376,0.005440,0.047906,0.000800,0.131718,0.893859
0.420560,0.017985,0.202408,0.004832,0.048226,0.000832,0.148134,0.910403
0.417040,0.017473,0.202600,0.004832,0.049058,0.000800,0.165478,0.927460
0.421040,0.017921,0.202408,0.004768,0.047746,0.000768,0.131461,0.893219
0.420816,0.017632,0.202504,0.004800,0.049058,0.000800,0.128165,0.891843
0.419888,0.017345,0.202504,0.004768,0.048162,0.000800,0.135142,0.901923
0.438481,0.017793,0.202216,0.004800,0.047650,0.000832,0.132805,0.914308
0.420112,0.017857,0.202632,0.004800,0.047490,0.000736,0.128549,0.886434
0.420208,0.017409,0.202344,0.004800,0.047266,0.000576,0.131205,0.892163
0.420721,0.017536,0.202216,0.004865,0.047265,0.000608,0.166855,0.930213
0.421328,0.017505,0.202312,0.004800,0.047490,0.000608,0.109668,0.868610
0.420240,0.017985,0.202184,0.004832,0.046946,0.000640,0.153958,0.912611
0.419952,0.017633,0.203368,0.004832,0.047202,0.000768,0.135237,0.900451
0.435153,0.017632,0.202504,0.004896,0.047906,0.000608,0.150374,0.926789
0.420017,0.017953,0.202408,0.004896,0.048162,0.000608,0.145061,0.905700
0.415664,0.017856,0.202792,0.004864,0.047330,0.000736,0.115013,0.874306
0.415728,0.017505,0.202120,0.004864,0.047362,0.000928,0.167110,0.923172
0.416081,0.017632,0.202472,0.004832,0.047553,0.000864,0.151334,0.908612
0.420209,0.017473,0.202664,0.004864,0.047202,0.000800,0.132389,0.895460
0.420912,0.017760,0.202088,0.005056,0.047170,0.000800,0.154918,0.920772
0.438833,0.017761,0.202568,0.004832,0.048546,0.000928,0.138341,0.921732
0.420624,0.017537,0.204168,0.004832,0.049058,0.000864,0.138246,0.905827
0.417329,0.017696,0.203144,0.004769,0.047874,0.000608,0.147237,0.905860
0.420721,0.017856,0.202408,0.004865,0.048386,0.000832,0.161062,0.926116
0.420784,0.017473,0.202856,0.004832,0.049602,0.000864,0.150598,0.913571
0.420721,0.017569,0.202504,0.004800,0.049090,0.000864,0.131877,0.899075
0.420848,0.017889,0.202088,0.004800,0.048770,0.000768,0.131173,0.893795
0.435441,0.017953,0.203144,0.004800,0.048130,0.000800,0.157862,0.938277
0.420849,0.017600,0.202504,0.005057,0.048417,0.000864,0.142629,0.903300
0.416272,0.017665,0.202632,0.004864,0.048002,0.000832,0.134982,0.893315
0.419793,0.017536,0.202568,0.004897,0.065282,0.000896,0.134309,0.923748
0.420145,0.017761,0.203080,0.004896,0.048770,0.000864,0.135397,0.899332
0.420849,0.017504,0.202504,0.004993,0.048865,0.000832,0.134629,0.898467
0.415792,0.017953,0.202664,0.005184,0.048418,0.000800,0.129349,0.894627
0.433457,0.017536,0.202376,0.005024,0.048737,0.000800,0.154823,0.930820
0.420401,0.017536,0.202503,0.004897,0.049154,0.000608,0.139685,0.900964
0.417072,0.017505,0.202664,0.004864,0.047394,0.000832,0.138886,0.897699
0.420209,0.017504,0.234250,0.005312,0.047938,0.000896,0.142821,0.932741
0.421745,0.017601,0.202407,0.004864,0.048194,0.000864,0.145029,0.908196
0.420912,0.017729,0.202536,0.004832,0.050018,0.001056,0.148518,0.912132
0.419825,0.017729,0.202631,0.004865,0.048322,0.001024,0.135941,0.898467
0.416112,0.017761,0.202408,0.004864,0.048450,0.000832,0.146310,0.907139
0.420048,0.017505,0.202280,0.005312,0.048290,0.000864,0.129381,0.889539
0.420337,0.017601,0.201959,0.005249,0.048578,0.000576,0.126885,0.889283
0.419888,0.017473,0.222345,0.005152,0.048706,0.000864,0.136965,0.921636
0.414929,0.017664,0.202504,0.004864,0.049378,0.000800,0.148710,0.906212
0.419728,0.017761,0.204904,0.004832,0.048674,0.000608,0.150694,0.911427
0.420369,0.017473,0.202472,0.004832,0.047810,0.000768,0.166502,0.935397
0.415664,0.017664,0.202632,0.004832,0.047298,0.000832,0.137990,0.891107
0.415888,0.017697,0.202856,0.004800,0.048802,0.000832,0.121765,0.879458
0.422577,0.017664,0.203880,0.004961,0.048705,0.000832,0.137125,0.907972
0.415953,0.017856,0.218569,0.005152,0.048386,0.000800,0.131877,0.906820
0.421232,0.017441,0.202728,0.004768,0.047938,0.000768,0.149094,0.911331
0.421136,0.017697,0.202408,0.004800,0.047906,0.000640,0.145926,0.913444
0.420369,0.017632,0.203720,0.004833,0.047361,0.000608,0.131686,0.899683
0.428689,0.017760,0.202024,0.004832,0.047042,0.000608,0.128613,0.894435
0.415664,0.017537,0.202024,0.004832,0.046882,0.000608,0.131973,0.893987
0.417072,0.017441,0.202312,0.004832,0.046786,0.000640,0.126117,0.882946
0.415600,0.017569,0.202952,0.004768,0.046946,0.000640,0.145221,0.900611
0.416304,0.017569,0.202728,0.004736,0.047074,0.001024,0.122117,0.880323
0.415536,0.017473,0.202280,0.004832,0.046978,0.000576,0.126373,0.882882
0.415984,0.017505,0.202568,0.004800,0.046978,0.000576,0.147622,0.905123
0.431345,0.017920,0.202056,0.004801,0.046817,0.000608,0.134022,0.904899
0.415665,0.017888,0.201896,0.004801,0.046913,0.000512,0.136422,0.886243
0.416849,0.017536,0.202600,0.004800,0.047330,0.000672,0.136102,0.896195
0.416400,0.017537,0.202184,0.004800,0.046818,0.000736,0.173446,0.929284
0.419761,0.018049,0.202024,0.004832,0.047074,0.000768,0.122116,0.883907
0.420081,0.017760,0.203048,0.004833,0.046945,0.000928,0.122213,0.891139
0.420273,0.017569,0.202408,0.004960,0.046978,0.000576,0.153702,0.911876
0.415024,0.017409,0.216072,0.005152,0.046978,0.000800,0.143334,0.909443
0.420208,0.017505,0.202088,0.004832,0.047074,0.000768,0.120324,0.887298
0.415376,0.017537,0.202088,0.004896,0.046786,0.000800,0.129573,0.886371
0.420080,0.017601,0.202696,0.005024,0.048962,0.000800,0.155142,0.917668
0.416112,0.017697,0.202696,0.004832,0.047970,0.000608,0.125317,0.881539
0.416720,0.017697,0.202088,0.004864,0.049026,0.000800,0.139205,0.901283
0.420880,0.017601,0.202184,0.004896,0.047906,0.000800,0.127269,0.889219
0.420177,0.017632,0.223881,0.005408,0.048834,0.000800,0.164839,0.954693
0.420337,0.017665,0.201864,0.004864,0.048002,0.000800,0.129285,0.889763
0.419920,0.017697,0.202344,0.004832,0.047682,0.000800,0.157894,0.921636
0.419824,0.017889,0.202120,0.004800,0.047554,0.000832,0.133381,0.894851
0.415792,0.017825,0.202504,0.004800,0.048450,0.001088,0.133605,0.894019
0.420368,0.017793,0.202088,0.004832,0.047810,0.000800,0.148454,0.916036
0.415921,0.017504,0.202568,0.004864,0.048098,0.000576,0.139814,0.899075
0.420560,0.017824,0.220649,0.005440,0.049090,0.000640,0.131013,0.913188
0.420496,0.017697,0.202344,0.005024,0.047970,0.000832,0.136710,0.901187
0.420977,0.017633,0.202152,0.004832,0.048386,0.000768,0.125573,0.887235
0.415792,0.017697,0.202088,0.004832,0.048258,0.000832,0.132485,0.889923
0.417808,0.017953,0.202120,0.005280,0.048290,0.000800,0.142854,0.905987
0.420337,0.017793,0.202439,0.004801,0.048130,0.000800,0.139333,0.903428
0.416656,0.017792,0.202920,0.004992,0.048322,0.000864,0.136518,0.901059
0.442833,0.017920,0.202472,0.005216,0.050338,0.000800,0.139014,0.930693
0.415697,0.017760,0.202248,0.005025,0.048898,0.000832,0.139653,0.899268
0.415984,0.017665,0.202152,0.005216,0.048578,0.000864,0.135429,0.894083
0.420432,0.017793,0.202536,0.004960,0.048098,0.000992,0.136549,0.926404
0.420753,0.017825,0.202023,0.005056,0.048354,0.001024,0.134277,0.896515
0.419728,0.017888,0.201832,0.005056,0.047714,0.001024,0.143526,0.907331
0.416593,0.017760,0.202184,0.005025,0.048321,0.000992,0.138149,0.895715
0.432721,0.017953,0.202216,0.005408,0.047778,0.001024,0.136581,0.910948
0.416401,0.017760,0.202120,0.005025,0.048385,0.000801,0.139653,0.899844
0.420113,0.017857,0.202024,0.004864,0.048738,0.000832,0.133541,0.893731
0.420561,0.017889,0.202088,0.005216,0.048482,0.000832,0.152294,0.919684
0.420209,0.017856,0.202920,0.004833,0.048321,0.000769,0.139653,0.906084
0.422897,0.017697,0.202215,0.004833,0.048994,0.000832,0.136005,0.904612
0.420497,0.017760,0.202024,0.004801,0.047969,0.000800,0.135014,0.901251
0.441041,0.017537,0.202760,0.005024,0.049346,0.000800,0.134213,0.919748
0.420369,0.017696,0.202408,0.004801,0.048098,0.000832,0.126309,0.887299
0.416016,0.017536,0.202184,0.004864,0.048802,0.000992,0.130918,0.895555
0.415920,0.017697,0.201800,0.004864,0.048386,0.000800,0.160934,0.921476
0.416304,0.017761,0.202120,0.004864,0.049282,0.000800,0.128645,0.885666
0.417232,0.017473,0.203880,0.004928,0.047554,0.000832,0.132357,0.888611
0.415856,0.017473,0.202056,0.005312,0.048322,0.000832,0.132965,0.892515
0.435473,0.017792,0.203527,0.004864,0.047874,0.001024,0.144805,0.926308
0.421937,0.017825,0.203240,0.005024,0.047906,0.000800,0.138373,0.903844
0.417680,0.017729,0.202856,0.005024,0.048354,0.000768,0.149830,0.915011
0.419824,0.017856,0.202184,0.024769,0.048130,0.000768,0.133573,0.914532
0.421072,0.017729,0.202824,0.004800,0.047938,0.000832,0.154854,0.920132
0.421457,0.018273,0.202503,0.004833,0.047938,0.000800,0.140485,0.908740
0.414865,0.017760,0.202088,0.004801,0.049922,0.000800,0.132197,0.887459
0.437201,0.017441,0.201832,0.004864,0.048002,0.000768,0.136518,0.916100
0.420304,0.017665,0.202280,0.004832,0.048354,0.000800,0.149670,0.910916
0.420080,0.017697,0.202408,0.004768,0.047394,0.000832,0.138181,0.902883
0.420240,0.017729,0.222249,0.005152,0.047682,0.000832,0.144677,0.926212
0.416657,0.017729,0.202024,0.004832,0.048034,0.000832,0.130405,0.889251
0.419953,0.017728,0.202216,0.004864,0.048290,0.000832,0.151206,0.913124
0.420272,0.017857,0.202376,0.005056,0.048738,0.000832,0.133669,0.894275
0.429009,0.017889,0.202536,0.004864,0.048226,0.000864,0.152262,0.924740
0.420176,0.017697,0.202728,0.004832,0.048514,0.000864,0.174471,0.942276
0.415504,0.017761,0.202248,0.004864,0.048706,0.000832,0.164583,0.926276
0.420241,0.017569,0.220136,0.005281,0.048289,0.000801,0.176006,0.955142
0.415216,0.017665,0.202792,0.004768,0.048098,0.000768,0.149094,0.905443
0.416849,0.017728,0.201960,0.004801,0.048482,0.000832,0.152326,0.911684
0.416304,0.017537,0.203816,0.004832,0.048098,0.000832,0.143142,0.902083
0.421520,0.017729,0.202248,0.005216,0.048162,0.000800,0.151398,0.912451
0.417360,0.017761,0.202280,0.004864,0.048322,0.000864,0.135621,0.898531
0.420016,0.017729,0.202472,0.005056,0.047938,0.001024,0.138373,0.902563
0.420208,0.034754,0.202792,0.005216,0.048002,0.001024,0.139333,0.927332
0.415792,0.017697,0.201960,0.004800,0.047458,0.000832,0.146598,0.901027
0.420400,0.017953,0.202728,0.004928,0.048514,0.000800,0.137957,0.902275
0.416337,0.017600,0.202280,0.004801,0.047905,0.000832,0.143654,0.901508
0.415441,0.017920,0.202472,0.004833,0.047841,0.001024,0.130342,0.889123
0.416464,0.017632,0.202920,0.004800,0.048610,0.000832,0.128133,0.884483
0.420272,0.017889,0.202632,0.004832,0.048930,0.000768,0.143910,0.910244
0.415920,0.034817,0.203336,0.005440,0.047970,0.000800,0.134246,0.912739
0.416080,0.017793,0.202184,0.004800,0.048034,0.000736,0.155174,0.914852
0.420593,0.018048,0.202056,0.004832,0.048962,0.000800,0.146150,0.906212
0.420528,0.017985,0.202152,0.004896,0.048226,0.000800,0.157638,0.921764
0.414577,0.017536,0.203176,0.005217,0.048673,0.000800,0.136933,0.891747
0.420368,0.017921,0.202184,0.004864,0.048482,0.000800,0.148614,0.907875
0.415377,0.017664,0.202504,0.004897,0.047617,0.000993,0.132837,0.891203
0.420465,0.036929,0.202504,0.004768,0.048098,0.000864,0.133125,0.911492
0.415377,0.017696,0.202536,0.004769,0.047778,0.000864,0.134661,0.890115
0.420465,0.017569,0.202216,0.004832,0.048098,0.000832,0.131397,0.892131
0.422128,0.017633,0.202248,0.004832,0.048066,0.000768,0.133925,0.898659
0.415792,0.017505,0.202280,0.004800,0.050146,0.000800,0.135397,0.894083
0.416048,0.017568,0.204488,0.004800,0.047554,0.000800,0.131558,0.899683
0.420657,0.017473,0.202216,0.004832,0.047714,0.001024,0.129189,0.894883
0.420272,0.017569,0.234153,0.005217,0.048546,0.000832,0.133189,0.937445
0.416912,0.017441,0.202120,0.004832,0.047906,0.000992,0.132325,0.889987
0.420368,0.017601,0.201928,0.005024,0.048386,0.000896,0.134149,0.896771
0.421137,0.017505,0.202023,0.004832,0.047938,0.000832,0.128261,0.890563
0.415984,0.017537,0.202472,0.004832,0.048034,0.000800,0.148838,0.904291
0.415696,0.017441,0.202120,0.004896,0.048418,0.000832,0.136197,0.894467
0.419344,0.017537,0.202440,0.004832,0.047682,0.000800,0.131397,0.900611
0.419921,0.017536,0.218952,0.005248,0.047874,0.000800,0.139398,0.916260
0.420336,0.017537,0.204296,0.004864,0.048738,0.001024,0.159783,0.923844
0.421425,0.017920,0.202088,0.004993,0.048002,0.000832,0.144517,0.904484
0.415536,0.017537,0.202184,0.004832,0.048130,0.000800,0.147878,0.904228
0.420817,0.017921,0.202280,0.005184,0.048930,0.000864,0.148966,0.910148
0.415985,0.017440,0.202152,0.005249,0.048162,0.000800,0.146949,0.903812
0.415568,0.017729,0.201992,0.004800,0.048162,0.000800,0.146566,0.904675
0.420465,0.017921,0.218664,0.005280,0.048130,0.000800,0.144742,0.925125
0.415473,0.017696,0.202087,0.004769,0.047586,0.000992,0.133989,0.896484
0.419952,0.017857,0.202472,0.004864,0.048642,0.001024,0.160966,0.926596
0.416112,0.017441,0.202184,0.004896,0.048706,0.000800,0.140805,0.897187
0.421392,0.017505,0.201832,0.004864,0.047906,0.000800,0.131909,0.890658
0.420016,0.017729,0.201800,0.004800,0.048194,0.000832,0.149894,0.909315
0.420433,0.017537,0.203592,0.004992,0.047682,0.001056,0.149894,0.911460
0.420721,0.017472,0.221416,0.005280,0.048130,0.000928,0.131654,0.926853
0.419921,0.017665,0.201895,0.004992,0.048290,0.000800,0.126757,0.886435
0.415761,0.017536,0.201640,0.004833,0.048481,0.000800,0.149158,0.904772
0.416529,0.017505,0.202408,0.004896,0.049666,0.000800,0.145862,0.908100
0.420497,0.017697,0.202344,0.004768,0.048514,0.000800,0.131301,0.905732
0.415952,0.017665,0.202504,0.004800,0.048642,0.000800,0.142342,0.900611
0.420881,0.017728,0.201992,0.004896,0.049922,0.000800,0.149126,0.912836
0.420624,0.017441,0.220457,0.005120,0.048898,0.000832,0.127781,0.918052
0.420944,0.017665,0.202248,0.004832,0.048386,0.000800,0.147334,0.907875
0.420369,0.017632,0.202344,0.004769,0.047521,0.000832,0.130758,0.891171
0.420433,0.017824,0.202280,0.004801,0.047713,0.000800,0.128933,0.886819
0.416049,0.017568,0.203239,0.004833,0.047810,0.000768,0.131877,0.891075
0.415696,0.017761,0.201736,0.004832,0.047810,0.000800,0.126661,0.881250
0.420496,0.017473,0.201896,0.004864,0.047330,0.000864,0.133669,0.894371
0.420560,0.017505,0.222569,0.004992,0.048482,0.000800,0.140837,0.925892
0.420592,0.017697,0.202248,0.004832,0.049250,0.000800,0.134917,0.895267
0.416432,0.017761,0.202088,0.004800,0.047842,0.000768,0.134821,0.893059
0.415856,0.017697,0.202280,0.004832,0.046946,0.000992,0.145414,0.902371
0.452242,0.017761,0.202184,0.004992,0.047586,0.000800,0.143141,0.941477
0.415536,0.017665,0.202280,0.004832,0.046914,0.000832,0.134213,0.895011
0.415376,0.017473,0.202952,0.004864,0.047010,0.000992,0.133349,0.890851
0.420528,0.017441,0.217896,0.005281,0.047105,0.000801,0.128453,0.904099
0.415344,0.017601,0.202216,0.004928,0.046914,0.000768,0.159462,0.914916
0.420272,0.018401,0.202376,0.004800,0.047042,0.000800,0.136453,0.897507
0.420369,0.017536,0.202024,0.004833,0.048353,0.000832,0.131717,0.892579
0.436081,0.017889,0.202088,0.004832,0.048418,0.000800,0.133221,0.910660
0.415760,0.017569,0.202152,0.004800,0.047842,0.000768,0.133957,0.897091
0.415537,0.017632,0.202152,0.004865,0.047873,0.000801,0.144965,0.899972
0.416401,0.017728,0.204456,0.004896,0.086275,0.000864,0.136614,0.938917
0.417040,0.017793,0.201864,0.004864,0.048546,0.000736,0.134021,0.892579
0.420496,0.017665,0.201928,0.004768,0.047330,0.000896,0.178791,0.942309
0.415665,0.017536,0.203080,0.004865,0.049058,0.000768,0.132869,0.890243
0.437586,0.017568,0.202120,0.004865,0.047553,0.000864,0.132166,0.912804
0.419856,0.017472,0.202536,0.005024,0.049058,0.000832,0.138758,0.902691
0.416176,0.017505,0.202024,0.004800,0.047938,0.000832,0.127301,0.881442
0.439601,0.017761,0.218825,0.005280,0.048066,0.000832,0.158278,0.992455
0.420240,0.017504,0.202920,0.004800,0.048098,0.000832,0.159783,0.929508
0.420336,0.017569,0.202376,0.004832,0.047938,0.000832,0.129477,0.894211
0.415952,0.017761,0.202376,0.004992,0.048738,0.000832,0.132357,0.891330
0.420720,0.017537,0.203112,0.005024,0.048194,0.001024,0.147782,0.912739
0.420624,0.017536,0.202152,0.004800,0.048130,0.000864,0.135494,0.899939
0.415889,0.017760,0.203464,0.004865,0.048513,0.001025,0.133093,0.890563
0.420849,0.017760,0.222569,0.005184,0.047938,0.000832,0.158055,0.942277
0.420945,0.017728,0.202343,0.004865,0.048962,0.000800,0.152518,0.916388
0.415632,0.017569,0.202152,0.005056,0.048226,0.000768,0.147462,0.904067
0.420305,0.017537,0.202152,0.004832,0.050114,0.000800,0.131013,0.894307
0.415536,0.017537,0.202600,0.004832,0.049154,0.000800,0.132485,0.891043
0.416080,0.017568,0.202344,0.004864,0.048642,0.001024,0.128997,0.885667
0.415152,0.017473,0.202216,0.004832,0.047810,0.000800,0.160774,0.919812
0.415600,0.017697,0.216744,0.005121,0.047137,0.001024,0.143078,0.915588
0.419984,0.017729,0.203368,0.004832,0.047330,0.000800,0.129861,0.894403
0.420400,0.017505,0.201800,0.004832,0.047362,0.000608,0.148582,0.906275
0.415472,0.017472,0.202248,0.004832,0.047266,0.000768,0.134918,0.893443
0.415536,0.017761,0.202248,0.004768,0.047074,0.000832,0.133765,0.890723
0.420400,0.017505,0.202344,0.004864,0.047170,0.000608,0.135109,0.906755
0.420144,0.017761,0.202536,0.004800,0.047042,0.000768,0.148486,0.908963
0.420689,0.017537,0.218248,0.005088,0.048034,0.000832,0.130789,0.907876
0.420369,0.017729,0.201960,0.004928,0.047842,0.000832,0.147686,0.907460
0.420369,0.017760,0.202376,0.004801,0.047425,0.000768,0.132518,0.890787
0.415729,0.017728,0.201928,0.004896,0.047650,0.000928,0.133382,0.891715
0.432592,0.017440,0.201864,0.005024,0.048002,0.000768,0.134598,0.909123
0.419953,0.017696,0.201992,0.004801,0.048097,0.000896,0.129509,0.891363
0.420081,0.017504,0.202440,0.004833,0.048354,0.001024,0.137925,0.902019
0.420368,0.017505,0.219049,0.005184,0.047746,0.000832,0.133733,0.912291
0.416113,0.017601,0.202503,0.004897,0.048834,0.000800,0.129925,0.885667
0.416465,0.017633,0.201959,0.004801,0.048418,0.000864,0.149317,0.905956
0.420656,0.017697,0.202120,0.005280,0.048802,0.000800,0.134789,0.896355
0.437585,0.017729,0.202600,0.004800,0.048162,0.000832,0.146086,0.922276
0.420369,0.017505,0.202344,0.004896,0.048194,0.000832,0.126789,0.887715
0.421489,0.017761,0.202056,0.004864,0.048994,0.000800,0.131589,0.895363
0.419889,0.017504,0.221609,0.005216,0.048034,0.000800,0.135334,0.938341
0.416336,0.017825,0.202312,0.004896,0.048002,0.000800,0.146982,0.906019
0.420305,0.017537,0.202312,0.004800,0.047362,0.000768,0.129349,0.891779
0.420209,0.017697,0.202408,0.004960,0.048130,0.000736,0.129413,0.890723
0.433105,0.017505,0.202184,0.004896,0.048514,0.001024,0.133541,0.913028
0.420112,0.017473,0.201896,0.004864,0.048130,0.000832,0.139941,0.904067
0.420368,0.017760,0.202184,0.004864,0.048066,0.000800,0.143910,0.906819
0.415952,0.017569,0.217896,0.005184,0.048514,0.000800,0.128485,0.902787
0.419761,0.017792,0.202376,0.004768,0.047138,0.000768,0.126373,0.897155
0.420080,0.017569,0.202024,0.004800,0.047042,0.000800,0.134757,0.895587
0.415856,0.017632,0.202248,0.004832,0.047170,0.000640,0.125189,0.888259
0.437681,0.017473,0.202824,0.004768,0.046946,0.000672,0.129893,0.909188
0.415504,0.017505,0.201799,0.004768,0.047618,0.000608,0.128261,0.884611
0.420048,0.017537,0.201800,0.004768,0.046850,0.000800,0.127173,0.887234
0.419889,0.017472,0.202248,0.004768,0.062914,0.000864,0.128933,0.905604
0.416209,0.017536,0.201863,0.004865,0.047457,0.000769,0.131365,0.886115
0.419985,0.017633,0.202184,0.004832,0.046850,0.000800,0.150214,0.908900
0.415632,0.017504,0.202792,0.005248,0.046946,0.000800,0.128645,0.891203
0.442001,0.017601,0.202632,0.004832,0.046914,0.000800,0.132069,0.918276
0.420048,0.017761,0.202152,0.004928,0.046978,0.000768,0.133189,0.891139
0.419856,0.017441,0.202088,0.005152,0.046946,0.000768,0.141894,0.899619
0.415409,0.017632,0.203016,0.004961,0.047745,0.000832,0.153606,0.911364
0.419696,0.017761,0.202312,0.004832,0.047394,0.000832,0.146310,0.905923
0.416017,0.017409,0.202023,0.004993,0.048130,0.000736,0.130565,0.888995
0.417168,0.017536,0.202472,0.004832,0.047714,0.000832,0.127973,0.884483
0.434001,0.017473,0.202120,0.004896,0.046914,0.000768,0.136901,0.910980
0.415313,0.017856,0.203368,0.004897,0.046881,0.000832,0.172679,0.927365
0.415888,0.017761,0.202056,0.004864,0.047650,0.000832,0.130565,0.898211
0.420208,0.017664,0.202216,0.004992,0.047266,0.000832,0.154534,0.914468
0.420144,0.017729,0.203912,0.005056,0.047906,0.000832,0.144774,0.906403
0.416240,0.017729,0.202600,0.004896,0.048674,0.000800,0.148710,0.906115
0.420785,0.017697,0.201927,0.004865,0.047746,0.000864,0.146245,0.902852
0.434385,0.017505,0.202248,0.004768,0.048162,0.000800,0.134789,0.911172
0.421008,0.017473,0.202376,0.005056,0.047970,0.000800,0.149286,0.911459
0.420656,0.017473,0.202440,0.005024,0.048066,0.000768,0.137893,0.903427
0.421168,0.017537,0.202504,0.004832,0.047938,0.001024,0.164774,0.931620
0.416912,0.017729,0.201864,0.004832,0.048802,0.000992,0.147942,0.907427
0.415537,0.017537,0.201959,0.005217,0.048642,0.000832,0.134821,0.890659
0.420624,0.017633,0.201928,0.005024,0.048194,0.000832,0.133189,0.899619
0.435473,0.018241,0.202408,0.005216,0.048610,0.000832,0.135141,0.916036
0.420912,0.017857,0.202408,0.004992,0.047522,0.000832,0.151398,0.912996
0.421616,0.017633,0.202024,0.004832,0.048066,0.000800,0.152710,0.919780
0.420977,0.017985,0.202664,0.004832,0.065506,0.000801,0.158598,0.940421
0.420209,0.017632,0.202312,0.004832,0.047970,0.000800,0.151814,0.911748
0.419792,0.017633,0.202056,0.004896,0.047682,0.000832,0.137989,0.904003
0.420529,0.017408,0.202536,0.004768,0.049249,0.000832,0.137733,0.898403
0.438065,0.017761,0.201768,0.004864,0.048386,0.000832,0.139205,0.918372
0.416048,0.017473,0.202632,0.004992,0.048706,0.000832,0.163686,0.920644
0.422097,0.017472,0.202472,0.004960,0.048642,0.000800,0.154566,0.919524
0.415984,0.017697,0.222569,0.005344,0.047970,0.000800,0.146630,0.922820
0.420273,0.017504,0.202088,0.004800,0.047746,0.000640,0.147846,0.904996
0.420817,0.017664,0.202248,0.004832,0.048162,0.000864,0.133382,0.895235
0.420208,0.017793,0.202184,0.005024,0.049538,0.000832,0.151174,0.916291
0.431025,0.018369,0.201927,0.004897,0.048418,0.000832,0.135077,0.909539
0.420593,0.017664,0.202056,0.005089,0.048609,0.000833,0.135365,0.895875
0.420305,0.017505,0.202600,0.004992,0.048642,0.000896,0.146598,0.910116
0.420625,0.017601,0.221416,0.005216,0.047778,0.000832,0.127717,0.906980
0.420272,0.017729,0.202024,0.004864,0.048066,0.000832,0.147302,0.907235
0.417328,0.017729,0.201896,0.005312,0.048322,0.000800,0.142054,0.910531
0.419761,0.017568,0.201960,0.004768,0.047554,0.000800,0.137830,0.899267
0.437937,0.017408,0.202375,0.005025,0.048546,0.000800,0.174950,0.957509
0.415825,0.017536,0.203752,0.004961,0.048193,0.000993,0.148549,0.907460
0.415440,0.017473,0.202440,0.004992,0.048674,0.000800,0.139622,0.894499
0.416273,0.017665,0.221288,0.005152,0.047618,0.000800,0.136902,0.915940
0.415633,0.017856,0.202216,0.004832,0.048257,0.000800,0.137510,0.896419
0.415825,0.017472,0.202056,0.005057,0.047873,0.000769,0.144837,0.899428
0.420561,0.017536,0.202728,0.005024,0.048418,0.000800,0.134822,0.906404
0.415664,0.017601,0.202184,0.005216,0.048610,0.000832,0.137542,0.896259
0.415536,0.017505,0.202216,0.004960,0.048482,0.000800,0.133381,0.894723
0.420273,0.017472,0.202312,0.004928,0.047585,0.000832,0.138822,0.906436
0.415408,0.017857,0.224425,0.005248,0.049378,0.000768,0.134885,0.928900
0.419793,0.017281,0.202471,0.005025,0.048898,0.000768,0.136069,0.897699
0.417072,0.017825,0.202952,0.005184,0.048642,0.000832,0.146054,0.906691
0.417520,0.017761,0.202952,0.004960,0.048834,0.000832,0.157414,0.919364
0.421425,0.017728,0.202696,0.004961,0.048609,0.000833,0.158502,0.925252
0.420848,0.017633,0.203208,0.005216,0.047394,0.000832,0.139878,0.902083
0.417552,0.017697,0.202376,0.004960,0.048514,0.000800,0.133285,0.905571
0.417233,0.017601,0.233065,0.005152,0.048386,0.000832,0.142022,0.932325
