Layer[0],Layer[1],Layer[2],TEE[3-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416880,0.017568,0.202472,0.191464,0.048642,0.000640,0.013920,0.000448,0.001568,0.001185,0.000352,0.904356
0.415856,0.017664,0.202216,0.197288,0.049090,0.000576,0.014017,0.000448,0.001664,0.001216,0.000352,0.910756
0.416529,0.017857,0.201992,0.190407,0.048770,0.000640,0.014273,0.000480,0.001632,0.001120,0.000448,0.903364
0.416944,0.017696,0.202120,0.194248,0.049154,0.000608,0.014176,0.000384,0.001601,0.001248,0.000384,0.908516
0.416849,0.017729,0.202152,0.193287,0.049378,0.000608,0.014433,0.000384,0.001760,0.001152,0.000384,0.907012
0.416433,0.036705,0.202984,0.215593,0.048930,0.000608,0.014400,0.000448,0.001536,0.001152,0.000384,0.948677
0.416369,0.017473,0.202119,0.186952,0.048706,0.000640,0.013984,0.000384,0.001505,0.001184,0.000352,0.899268
0.416977,0.017473,0.202216,0.186983,0.048642,0.000608,0.013888,0.000416,0.001536,0.001120,0.000576,0.899492
0.416688,0.017665,0.202856,0.191687,0.049154,0.000608,0.013920,0.000384,0.001568,0.001152,0.000320,0.905635
0.416368,0.017473,0.202280,0.199624,0.050978,0.000640,0.013824,0.000609,0.001504,0.000992,0.000384,0.913252
0.416496,0.017569,0.202664,0.189416,0.049250,0.000576,0.013888,0.000416,0.001568,0.001120,0.000384,0.902851
0.414865,0.017281,0.202280,0.188775,0.048354,0.000576,0.014369,0.000384,0.001568,0.001024,0.000416,0.899364
0.430160,0.018048,0.202920,0.192840,0.048706,0.000640,0.013632,0.000384,0.001537,0.000896,0.000384,0.918340
0.416112,0.017473,0.202600,0.201480,0.048898,0.000640,0.013888,0.000416,0.001536,0.001248,0.000352,0.915043
0.415856,0.017633,0.202184,0.196392,0.048738,0.000832,0.013952,0.000416,0.001472,0.000960,0.000416,0.908452
0.416433,0.018176,0.201896,0.186504,0.066498,0.000672,0.013665,0.000384,0.001408,0.001088,0.000384,0.916452
0.415281,0.017760,0.202152,0.181639,0.048834,0.000640,0.013473,0.000416,0.001440,0.000960,0.000384,0.890915
0.415856,0.017217,0.201960,0.172359,0.048866,0.000576,0.013376,0.000416,0.001536,0.001089,0.000576,0.882403
0.415632,0.017761,0.202376,0.189767,0.048866,0.000672,0.013473,0.000416,0.001504,0.000960,0.000384,0.900291
0.427409,0.017536,0.202664,0.173639,0.048578,0.000608,0.013441,0.000384,0.001440,0.001088,0.000384,0.894819
0.415856,0.017441,0.202600,0.182055,0.048322,0.000608,0.013409,0.000384,0.001504,0.001120,0.000384,0.891779
0.415185,0.017536,0.202248,0.172135,0.049122,0.000608,0.013441,0.000480,0.001472,0.000896,0.000352,0.881219
0.415536,0.017441,0.202824,0.172327,0.049634,0.000576,0.013408,0.000384,0.001472,0.000896,0.000416,0.882146
0.417488,0.017441,0.202888,0.194504,0.048898,0.000640,0.013600,0.000416,0.001568,0.001024,0.000384,0.909667
0.416465,0.021057,0.202728,0.180583,0.048930,0.000608,0.013408,0.000384,0.001472,0.001088,0.000384,0.895203
0.415856,0.017889,0.202280,0.185383,0.049058,0.000512,0.013441,0.000384,0.001504,0.001056,0.000576,0.896515
0.429073,0.017537,0.202440,0.176071,0.048322,0.000608,0.013632,0.000384,0.001472,0.001057,0.000384,0.900292
0.415472,0.018016,0.202408,0.194280,0.048546,0.000640,0.013376,0.000384,0.001441,0.000992,0.000384,0.904356
0.415953,0.020896,0.202312,0.189128,0.049186,0.000640,0.013440,0.000416,0.001472,0.000992,0.000352,0.903620
0.415633,0.017504,0.202568,0.191240,0.048866,0.000640,0.013408,0.000384,0.001536,0.000864,0.000384,0.901252
0.416176,0.017313,0.202696,0.180167,0.048674,0.000704,0.013664,0.000384,0.001441,0.000992,0.000352,0.890627
0.415249,0.017920,0.202311,0.185736,0.048866,0.000512,0.013344,0.000384,0.001536,0.000993,0.000384,0.896292
0.414832,0.017537,0.202440,0.183111,0.049410,0.000608,0.013505,0.000416,0.001568,0.001088,0.000352,0.894851
0.415665,0.017633,0.216392,0.180039,0.049922,0.000640,0.013505,0.000384,0.001536,0.001056,0.000768,0.907812
0.415536,0.017472,0.202440,0.178087,0.048578,0.000608,0.013633,0.000416,0.001504,0.001056,0.000384,0.888451
0.416753,0.017473,0.202055,0.186600,0.048418,0.000576,0.013440,0.000416,0.001440,0.001057,0.000384,0.897412
0.415824,0.017889,0.201928,0.185319,0.048450,0.000640,0.013377,0.000384,0.001472,0.000928,0.000384,0.895619
0.427601,0.017825,0.202184,0.180135,0.048034,0.000608,0.013504,0.000384,0.001504,0.001024,0.000352,0.901731
0.415665,0.017761,0.202087,0.180776,0.048706,0.000608,0.013376,0.000384,0.001504,0.000960,0.000352,0.890755
0.416625,0.017857,0.202920,0.179431,0.049122,0.000672,0.013408,0.000384,0.001504,0.001088,0.000384,0.892387
0.416464,0.018177,0.202216,0.190567,0.049154,0.000672,0.013377,0.000352,0.001504,0.001088,0.000448,0.902595
0.415569,0.017312,0.202376,0.177191,0.049794,0.000672,0.013377,0.000384,0.001440,0.000960,0.000384,0.887939
0.416273,0.017665,0.204424,0.185159,0.048930,0.000640,0.013601,0.000416,0.001536,0.001056,0.000384,0.900196
0.415761,0.017793,0.202472,0.183239,0.048802,0.000544,0.013440,0.000416,0.001536,0.000992,0.000416,0.895140
0.429585,0.017568,0.202280,0.199976,0.048546,0.000608,0.013345,0.000416,0.001472,0.000960,0.000768,0.924772
0.416369,0.017569,0.202568,0.183367,0.050274,0.000608,0.013408,0.000384,0.001504,0.001025,0.000352,0.896452
0.415472,0.021185,0.202536,0.188263,0.048738,0.000800,0.013473,0.000416,0.001504,0.000960,0.000544,0.902915
0.416112,0.017857,0.201896,0.206504,0.048770,0.000640,0.013569,0.000352,0.001504,0.000960,0.000384,0.917220
0.415856,0.017505,0.202696,0.177703,0.048194,0.000704,0.013376,0.000384,0.001472,0.000960,0.000576,0.887906
0.415121,0.017760,0.202280,0.180615,0.048673,0.000672,0.013377,0.000384,0.001472,0.000896,0.000352,0.890947
0.415312,0.017761,0.202504,0.191911,0.049058,0.000640,0.013505,0.000384,0.001472,0.001024,0.000384,0.902883
0.428273,0.018049,0.204296,0.183047,0.048834,0.000608,0.013377,0.000384,0.001504,0.000928,0.000416,0.908068
0.416336,0.017761,0.202952,0.191528,0.048065,0.000641,0.013472,0.000384,0.001568,0.001152,0.000320,0.903939
0.416368,0.020993,0.202248,0.175399,0.048962,0.000608,0.013376,0.000384,0.001473,0.001568,0.000384,0.890659
0.415504,0.017664,0.202184,0.200712,0.048386,0.000608,0.013697,0.000416,0.001504,0.001088,0.000384,0.910180
