Layer[0],Layer[1],Layer[2],TEE[3-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.433809,0.017697,0.203176,0.194824,0.048258,0.000800,0.013760,0.000384,0.001536,0.001024,0.000384,0.923684
0.415728,0.017505,0.202664,0.191047,0.048258,0.000864,0.013505,0.000416,0.001440,0.001088,0.000384,0.901379
0.415441,0.017344,0.202120,0.191176,0.048354,0.000800,0.013472,0.000384,0.001473,0.001216,0.000416,0.901060
0.417585,0.017280,0.201928,0.246122,0.051586,0.000608,0.013409,0.000416,0.001504,0.001024,0.000384,0.961030
0.415761,0.018016,0.202503,0.185512,0.048386,0.001024,0.013440,0.000416,0.001472,0.001056,0.000352,0.897668
0.415248,0.017217,0.202376,0.193032,0.050498,0.000896,0.013376,0.000384,0.001504,0.001088,0.000832,0.905667
0.416112,0.017632,0.202760,0.194568,0.048002,0.000832,0.013696,0.000385,0.001472,0.001152,0.000384,0.906916
0.432369,0.017985,0.202536,0.195176,0.048386,0.000800,0.013568,0.000384,0.001696,0.001152,0.000416,0.923972
0.416016,0.017985,0.201928,0.197832,0.048226,0.000832,0.013984,0.000416,0.001504,0.001088,0.000385,0.909444
0.416080,0.017953,0.202376,0.185095,0.048898,0.000800,0.013601,0.000448,0.001504,0.001120,0.000416,0.897187
0.415408,0.017760,0.218569,0.184935,0.048738,0.001024,0.013569,0.000448,0.001504,0.001024,0.000352,0.913092
0.415472,0.017728,0.202344,0.190792,0.048482,0.000832,0.013408,0.000384,0.001504,0.001088,0.000384,0.901219
0.415312,0.018113,0.202088,0.182471,0.048834,0.001056,0.013409,0.000384,0.001568,0.001056,0.000800,0.894051
0.415248,0.017633,0.202280,0.189416,0.048225,0.000800,0.013472,0.000416,0.001472,0.001056,0.000448,0.899619
0.433329,0.017953,0.202760,0.188040,0.048706,0.000864,0.013536,0.000384,0.001504,0.001056,0.000832,0.917380
0.415824,0.018017,0.202216,0.192008,0.049410,0.000800,0.013408,0.000384,0.001536,0.001216,0.000576,0.904739
0.418320,0.017793,0.202824,0.190567,0.049090,0.001024,0.013569,0.000384,0.001568,0.001696,0.000416,0.907299
0.416240,0.017760,0.223401,0.191880,0.048738,0.000672,0.013600,0.000448,0.001536,0.001088,0.000576,0.926180
0.415376,0.017761,0.202216,0.191016,0.048322,0.000640,0.013760,0.000416,0.001600,0.001216,0.000384,0.902499
0.416369,0.017792,0.202024,0.184904,0.048450,0.000608,0.013568,0.000384,0.001536,0.001120,0.000384,0.895971
0.415408,0.017792,0.202472,0.194664,0.048610,0.000640,0.013504,0.000416,0.001472,0.001216,0.000384,0.905924
0.415601,0.017824,0.201928,0.188232,0.048354,0.000544,0.013536,0.000384,0.001536,0.001120,0.000576,0.898500
0.415344,0.017376,0.202440,0.185576,0.048385,0.001025,0.013472,0.000416,0.001536,0.001088,0.000384,0.895523
0.415216,0.017409,0.204264,0.183783,0.049602,0.000608,0.013761,0.000448,0.001600,0.001088,0.000352,0.897347
0.441969,0.017569,0.202664,0.190632,0.049474,0.000864,0.013536,0.000416,0.001504,0.001056,0.000352,0.928996
0.415536,0.017473,0.201736,0.192040,0.049090,0.000832,0.013504,0.000416,0.001600,0.001088,0.000352,0.902435
0.415696,0.017793,0.202408,0.196808,0.048450,0.001024,0.013504,0.000448,0.001568,0.001120,0.000384,0.910372
0.415889,0.017345,0.202152,0.193415,0.048802,0.000832,0.034434,0.000704,0.001568,0.001120,0.000608,0.927621
0.415025,0.017376,0.202280,0.181703,0.048481,0.001024,0.013569,0.000448,0.001568,0.001184,0.000416,0.891971
0.415761,0.017440,0.202184,0.185288,0.048994,0.000832,0.013728,0.000416,0.001472,0.001152,0.000608,0.896419
0.415248,0.017441,0.201992,0.190695,0.049090,0.000640,0.013601,0.000384,0.001536,0.001248,0.000800,0.901219
1.448953,0.090756,0.546485,0.354542,0.111333,0.000704,0.066082,0.000704,0.001568,0.001184,0.000608,2.633959
0.417232,0.017793,0.205352,0.190183,0.050178,0.000672,0.013665,0.000448,0.001600,0.001120,0.000800,0.908291
0.416336,0.017601,0.202632,0.190983,0.048098,0.000608,0.013505,0.000448,0.001600,0.000992,0.000800,0.902884
0.415793,0.017601,0.202248,0.184679,0.049282,0.000672,0.013440,0.000384,0.001632,0.001088,0.000384,0.895748
0.415312,0.017985,0.202408,0.185351,0.048994,0.000608,0.013473,0.000416,0.001568,0.001024,0.000800,0.896643
0.416080,0.017504,0.220265,0.191719,0.048770,0.000640,0.013505,0.000448,0.001536,0.001152,0.000800,0.924068
0.416080,0.017856,0.202344,0.191816,0.047938,0.000640,0.013408,0.000448,0.001472,0.001088,0.000609,0.902724
0.415761,0.017345,0.201895,0.191591,0.047970,0.000640,0.013505,0.000384,0.001600,0.001024,0.000352,0.900356
0.415633,0.017889,0.202472,0.184935,0.049186,0.000608,0.013632,0.000384,0.001536,0.001089,0.000352,0.896740
0.415665,0.017600,0.202248,0.190856,0.048834,0.000992,0.013440,0.000384,0.001568,0.001056,0.000352,0.901764
0.416433,0.017824,0.204169,0.181575,0.048642,0.000864,0.013408,0.000416,0.001600,0.001056,0.000384,0.895075
0.417424,0.017696,0.201992,0.180711,0.049186,0.000864,0.013441,0.000384,0.001536,0.001120,0.000608,0.893571
0.437073,0.017824,0.202344,0.188008,0.048322,0.000608,0.013568,0.000416,0.001568,0.001056,0.000832,0.920868
0.415344,0.017249,0.203592,0.185831,0.047682,0.000608,0.013409,0.000416,0.001568,0.001088,0.000320,0.895267
0.415568,0.017345,0.202216,0.185191,0.047394,0.000608,0.013377,0.000416,0.001536,0.001024,0.000352,0.892931
0.416080,0.018048,0.202024,0.188936,0.047746,0.000672,0.013536,0.000384,0.001536,0.001120,0.000352,0.900131
0.415216,0.017377,0.202920,0.187591,0.048482,0.000608,0.013665,0.000384,0.001568,0.001184,0.000384,0.898755
0.416240,0.017569,0.203080,0.184583,0.048450,0.000672,0.013601,0.000384,0.001600,0.001216,0.000384,0.897315
0.415633,0.018016,0.202408,0.193064,0.048642,0.000608,0.013440,0.000384,0.001600,0.001280,0.000640,0.905028
0.433489,0.017761,0.202184,0.190855,0.048834,0.001056,0.013473,0.000384,0.001472,0.001184,0.000608,0.920068
0.415280,0.017888,0.202248,0.184360,0.048737,0.000609,0.013376,0.000416,0.001568,0.001184,0.000352,0.894979
0.415472,0.018017,0.202440,0.190055,0.048577,0.000672,0.013376,0.000416,0.001568,0.001184,0.000800,0.902467
0.414864,0.017729,0.202248,0.210216,0.052930,0.000832,0.013601,0.000384,0.001568,0.001184,0.000768,0.925828
0.415536,0.017857,0.202216,0.177703,0.048642,0.000864,0.013600,0.000384,0.001568,0.001057,0.000416,0.888387
0.416304,0.017537,0.202088,0.188231,0.049410,0.000640,0.013473,0.000416,0.001568,0.001152,0.000384,0.899971
0.415793,0.017761,0.202120,0.194311,0.049250,0.000800,0.013505,0.000416,0.001568,0.001216,0.000352,0.907588
0.435089,0.017665,0.202152,0.191207,0.048482,0.000768,0.013505,0.000416,0.001568,0.001248,0.000544,0.922564
0.415569,0.017505,0.202503,0.172902,0.048706,0.000640,0.013409,0.000608,0.001568,0.001088,0.000384,0.883939
0.415792,0.017793,0.202184,0.187751,0.048514,0.000832,0.013889,0.000448,0.001568,0.001248,0.000352,0.899107
0.415920,0.017569,0.202376,0.207656,0.048994,0.000608,0.013473,0.000384,0.001600,0.001248,0.000320,0.919524
0.414833,0.017504,0.202408,0.182632,0.048641,0.000608,0.013504,0.000352,0.001600,0.001152,0.000352,0.892515
0.415856,0.017985,0.202152,0.189703,0.048930,0.000640,0.013409,0.000416,0.001632,0.001184,0.000352,0.901315
0.415760,0.017537,0.202440,0.189255,0.048258,0.000608,0.013409,0.000384,0.001600,0.001184,0.000384,0.899779
0.433201,0.017793,0.202216,0.177223,0.048770,0.000640,0.013440,0.000384,0.001569,0.001152,0.000320,0.906052
0.415920,0.018017,0.202120,0.188200,0.049314,0.000576,0.013440,0.000384,0.001568,0.001152,0.000384,0.900419
0.418224,0.018113,0.202088,0.217064,0.048513,0.000800,0.013952,0.000448,0.002080,0.002048,0.000576,0.936868
0.415985,0.017761,0.221032,0.187304,0.048674,0.000768,0.014080,0.000384,0.001632,0.001312,0.000800,0.918757
0.415856,0.017473,0.202088,0.189543,0.048514,0.000640,0.013633,0.000416,0.001568,0.001248,0.000608,0.900035
0.415248,0.017665,0.202024,0.187623,0.048450,0.000640,0.013473,0.000384,0.001536,0.001216,0.000448,0.896771
0.415952,0.017537,0.202248,0.188711,0.048002,0.000576,0.013697,0.000416,0.001600,0.001024,0.000384,0.897987
0.414929,0.017184,0.201960,0.183015,0.048578,0.000640,0.013633,0.000352,0.001536,0.000992,0.000384,0.890371
0.415728,0.017632,0.201864,0.182407,0.048770,0.000608,0.013729,0.000416,0.001536,0.000960,0.000448,0.892387
0.415312,0.017472,0.202344,0.185608,0.047809,0.000576,0.013376,0.000416,0.001536,0.000992,0.000384,0.894019
0.414800,0.017216,0.220329,0.184679,0.047746,0.000608,0.013441,0.000384,0.001568,0.000960,0.000384,0.911268
0.415024,0.017473,0.203016,0.185479,0.047778,0.000608,0.013473,0.000416,0.001568,0.001056,0.000576,0.895555
0.415825,0.017664,0.201928,0.181256,0.049346,0.000576,0.013728,0.000384,0.001536,0.001088,0.000800,0.892963
0.415025,0.017697,0.201991,0.175559,0.047810,0.000608,0.013633,0.000448,0.001472,0.001344,0.000832,0.883939
0.415760,0.018208,0.202248,0.206632,0.048386,0.000544,0.013697,0.000416,0.001568,0.000992,0.000352,0.916644
0.414832,0.017601,0.201864,0.173799,0.048578,0.000576,0.013664,0.000416,0.001568,0.001088,0.000608,0.881890
0.416112,0.017217,0.202472,0.184135,0.048002,0.000640,0.013729,0.000384,0.001472,0.001024,0.000800,0.892899
0.414736,0.017409,0.219080,0.181415,0.047778,0.000544,0.013664,0.000416,0.001536,0.000928,0.000352,0.906467
0.415248,0.017281,0.201832,0.178983,0.047682,0.000608,0.013472,0.000384,0.001472,0.000897,0.000320,0.886179
0.415696,0.017409,0.202312,0.187143,0.047202,0.000544,0.013441,0.000384,0.001568,0.000992,0.000320,0.895811
0.417937,0.017280,0.202888,0.181383,0.047426,0.000608,0.013409,0.000384,0.001568,0.000960,0.000352,0.892643
0.415376,0.017793,0.202344,0.190631,0.047714,0.000672,0.013505,0.000384,0.001600,0.001024,0.000576,0.900643
0.415248,0.017281,0.201992,0.185607,0.047682,0.000800,0.013441,0.000448,0.001600,0.001056,0.000384,0.894435
0.415248,0.017249,0.202952,0.183015,0.048546,0.000576,0.013505,0.000384,0.001472,0.001056,0.000384,0.892643
0.415344,0.017665,0.221481,0.210696,0.048866,0.000608,0.013409,0.000416,0.001536,0.000992,0.000384,0.940261
0.415696,0.017281,0.202312,0.183943,0.048194,0.000640,0.013408,0.000384,0.001536,0.001056,0.000385,0.892547
0.414833,0.017504,0.202152,0.174663,0.047906,0.000608,0.013505,0.000416,0.001504,0.001056,0.000416,0.882179
0.415537,0.017697,0.202504,0.170502,0.048162,0.000576,0.013441,0.000416,0.001472,0.001056,0.000352,0.879811
0.449298,0.017697,0.202344,0.186599,0.047778,0.000608,0.013377,0.000448,0.001472,0.000992,0.000352,0.929637
0.413809,0.017248,0.202152,0.182183,0.047618,0.000608,0.013409,0.000416,0.001504,0.001024,0.000384,0.888995
0.414992,0.017697,0.202216,0.181127,0.047426,0.000800,0.013472,0.000384,0.001473,0.001024,0.000352,0.888643
0.415409,0.017761,0.223176,0.203528,0.047650,0.001056,0.013473,0.000448,0.001568,0.001088,0.000352,0.936389
0.415056,0.017697,0.202504,0.175783,0.048642,0.000896,0.013441,0.000416,0.001600,0.001120,0.000384,0.886531
0.416016,0.017473,0.202120,0.190119,0.047298,0.000832,0.013441,0.000448,0.001536,0.001024,0.000384,0.898627
0.415632,0.017313,0.203016,0.191752,0.047458,0.000800,0.013472,0.000448,0.001536,0.001024,0.000384,0.900675
0.432529,0.017761,0.202344,0.181927,0.047682,0.000608,0.013472,0.000416,0.001472,0.001024,0.000800,0.907363
0.415472,0.017729,0.201800,0.176135,0.047778,0.000576,0.013441,0.000416,0.001504,0.000960,0.000352,0.883555
0.414800,0.017696,0.201960,0.170055,0.047522,0.000576,0.013440,0.000352,0.001440,0.000960,0.000352,0.876547
0.415344,0.017792,0.201640,0.199112,0.047394,0.000576,0.013440,0.000384,0.001408,0.000928,0.000384,0.907364
0.415377,0.017697,0.201991,0.186472,0.047522,0.000576,0.013472,0.000416,0.001472,0.000928,0.000385,0.895268
0.415216,0.017664,0.201992,0.184711,0.047490,0.000608,0.013441,0.000384,0.001472,0.001056,0.000352,0.892099
0.416145,0.017728,0.201608,0.184072,0.049154,0.000576,0.013472,0.000416,0.001504,0.001024,0.000384,0.896099
0.435537,0.017856,0.202216,0.185832,0.047617,0.000608,0.013408,0.000416,0.001536,0.001024,0.000384,0.915396
0.415857,0.017408,0.201928,0.175655,0.048674,0.000832,0.013761,0.000384,0.001536,0.001088,0.000384,0.887171
0.415824,0.017601,0.201800,0.187687,0.048418,0.000608,0.013569,0.000352,0.001568,0.001248,0.000416,0.897763
0.415984,0.017632,0.201896,0.217961,0.048706,0.000608,0.013408,0.000384,0.001600,0.001249,0.000416,0.928965
0.415984,0.017377,0.202600,0.186119,0.050242,0.000640,0.013473,0.000416,0.001568,0.001248,0.000320,0.898531
0.415281,0.017984,0.202216,0.181511,0.048769,0.000833,0.013504,0.000384,0.001536,0.001216,0.000320,0.892643
0.416912,0.017792,0.203624,0.198696,0.048418,0.000608,0.013569,0.000384,0.001600,0.001248,0.000352,0.912420
0.435857,0.017825,0.203848,0.196648,0.048674,0.000832,0.013472,0.000416,0.001600,0.001088,0.000352,0.930948
0.426385,0.017825,0.203112,0.180775,0.048418,0.000800,0.013536,0.000384,0.001600,0.001184,0.000320,0.903204
0.417424,0.017888,0.202440,0.191112,0.048610,0.000832,0.013408,0.000384,0.001568,0.001088,0.000352,0.905028
0.415633,0.017633,0.218920,0.190472,0.048418,0.000608,0.013440,0.000416,0.001600,0.001088,0.000384,0.920612
0.416080,0.017953,0.202792,0.181639,0.048834,0.000736,0.013473,0.000416,0.001536,0.001088,0.000384,0.894307
0.416048,0.017888,0.202472,0.192168,0.048482,0.000832,0.013440,0.000416,0.001568,0.001024,0.000576,0.902916
0.416464,0.017729,0.202568,0.195591,0.048354,0.000736,0.013409,0.000416,0.001536,0.001056,0.000800,0.905891
0.415312,0.017665,0.202664,0.179847,0.048066,0.000608,0.013697,0.000416,0.001536,0.001024,0.000768,0.888579
0.415184,0.017377,0.202312,0.187847,0.048514,0.000576,0.013408,0.000384,0.001504,0.001056,0.000352,0.896323
0.415025,0.017632,0.202152,0.177255,0.048354,0.000608,0.013729,0.000352,0.001568,0.000960,0.000352,0.885731
0.415824,0.017665,0.221385,0.173127,0.047745,0.000609,0.013376,0.000416,0.001504,0.000992,0.000320,0.901923
0.415376,0.017472,0.202760,0.188264,0.047426,0.000640,0.013440,0.000384,0.001568,0.000928,0.000352,0.895939
0.415600,0.017377,0.202568,0.189895,0.047905,0.001088,0.013441,0.000448,0.001472,0.001056,0.000352,0.900451
0.415505,0.017696,0.202183,0.184392,0.048674,0.001056,0.013696,0.000352,0.001440,0.000928,0.000640,0.895587
0.415920,0.017889,0.203272,0.187752,0.048450,0.000800,0.013664,0.000416,0.001504,0.001024,0.000576,0.900163
0.415665,0.017984,0.203496,0.192199,0.047778,0.000832,0.013377,0.000416,0.001504,0.001120,0.000800,0.903876
0.415248,0.017281,0.202792,0.187143,0.048962,0.000768,0.013633,0.000384,0.001440,0.001024,0.000832,0.898147
0.415345,0.017441,0.220040,0.185032,0.048033,0.000833,0.013664,0.000416,0.001504,0.001056,0.000416,0.912740
0.415568,0.017729,0.201832,0.189384,0.048065,0.000833,0.013664,0.000384,0.001536,0.000960,0.000352,0.898563
0.415056,0.017697,0.201896,0.186727,0.048898,0.001024,0.013441,0.000384,0.001472,0.001088,0.000384,0.895715
0.416176,0.017952,0.202280,0.185127,0.049249,0.000833,0.013504,0.000384,0.001440,0.001056,0.000384,0.896195
0.415280,0.017249,0.202088,0.190375,0.049122,0.000576,0.013345,0.000416,0.001504,0.001024,0.000800,0.899971
0.416272,0.017889,0.201960,0.188743,0.048769,0.000864,0.013665,0.000416,0.001600,0.001120,0.000576,0.901379
0.415889,0.017921,0.202695,0.196743,0.048706,0.000768,0.014209,0.000416,0.001888,0.001120,0.000352,0.909764
0.416656,0.017568,0.219689,0.174023,0.048706,0.000832,0.013696,0.000416,0.001792,0.001057,0.000352,0.904388
0.415920,0.017729,0.202248,0.193895,0.048546,0.000832,0.013633,0.000448,0.001536,0.001088,0.000384,0.904868
0.415185,0.017889,0.203112,0.183367,0.048386,0.000800,0.013664,0.000384,0.001536,0.001120,0.000384,0.894371
0.415536,0.017921,0.202024,0.191879,0.048162,0.001024,0.013473,0.000416,0.001536,0.001088,0.000384,0.902083
0.415313,0.017761,0.202183,0.195527,0.048546,0.000928,0.013665,0.000416,0.001536,0.001120,0.000416,0.906468
0.415760,0.017728,0.202088,0.186824,0.048097,0.000833,0.013728,0.000416,0.001568,0.001120,0.000384,0.897859
0.415601,0.017248,0.202216,0.184904,0.048834,0.000800,0.013472,0.000416,0.001536,0.001216,0.000416,0.895843
0.416752,0.017793,0.221641,0.194343,0.048226,0.000832,0.013665,0.000416,0.001440,0.001184,0.000800,0.926212
0.418032,0.017793,0.202664,0.188232,0.048257,0.000768,0.013472,0.000416,0.001536,0.001088,0.000384,0.901987
0.415408,0.017825,0.202472,0.193575,0.048546,0.000800,0.013985,0.000384,0.001536,0.001120,0.000384,0.904931
0.415760,0.017761,0.202120,0.183751,0.048354,0.000832,0.013729,0.000416,0.001472,0.001152,0.000384,0.894691
0.416080,0.017761,0.202248,0.192776,0.048418,0.000768,0.014080,0.000384,0.001504,0.001088,0.000384,0.903619
0.417008,0.017985,0.204072,0.201384,0.048930,0.000800,0.014241,0.000448,0.001792,0.001536,0.000416,0.920036
0.417104,0.017376,0.202920,0.190856,0.048674,0.000800,0.014016,0.000416,0.001536,0.001377,0.000384,0.904964
0.452177,0.017632,0.202952,0.206632,0.049282,0.000832,0.013729,0.000416,0.001792,0.001312,0.000352,0.956197
0.415728,0.017377,0.202760,0.192807,0.048866,0.000832,0.014241,0.000416,0.001888,0.001280,0.000384,0.906499
0.415600,0.017825,0.201960,0.185415,0.048322,0.001056,0.013953,0.000608,0.001824,0.001248,0.000576,0.897411
0.415920,0.017921,0.202568,0.219912,0.049026,0.001024,0.013729,0.000416,0.001536,0.001344,0.000544,0.934404
0.416113,0.017953,0.202280,0.194279,0.048450,0.000800,0.013505,0.000384,0.001568,0.001472,0.000416,0.907332
0.415856,0.017825,0.202152,0.193095,0.048418,0.000832,0.014113,0.000384,0.001632,0.001248,0.000384,0.904931
0.415089,0.017921,0.202280,0.183591,0.048802,0.000736,0.014272,0.000416,0.001888,0.001345,0.000608,0.896068
0.433073,0.017537,0.202248,0.184103,0.048290,0.000608,0.013953,0.000416,0.001536,0.001216,0.000416,0.912420
0.415184,0.017536,0.202728,0.186888,0.048418,0.000672,0.013504,0.000352,0.001536,0.001120,0.000352,0.897379
0.415504,0.017793,0.202536,0.179431,0.048738,0.000640,0.013665,0.000384,0.001568,0.001376,0.000832,0.891427
0.415472,0.017697,0.237705,0.188871,0.048257,0.000608,0.013601,0.000416,0.001472,0.001344,0.000416,0.936165
0.415761,0.017760,0.202248,0.195144,0.049666,0.000608,0.013793,0.000416,0.001600,0.001376,0.000832,0.908996
0.415696,0.017984,0.202376,0.191688,0.048162,0.000608,0.013728,0.000384,0.001472,0.001152,0.000576,0.902947
0.415792,0.017857,0.202120,0.189767,0.048290,0.000800,0.013505,0.000416,0.001472,0.001152,0.000608,0.900675
0.415664,0.017889,0.202184,0.202504,0.048962,0.000832,0.013793,0.000416,0.001504,0.001280,0.000608,0.915652
0.415664,0.017921,0.201864,0.188839,0.048418,0.000864,0.013537,0.000416,0.001568,0.001216,0.000352,0.899459
0.415441,0.017920,0.201704,0.185992,0.048450,0.000672,0.013856,0.000384,0.001504,0.001312,0.000384,0.896931
0.414449,0.034337,0.202824,0.193544,0.049442,0.000704,0.013632,0.000416,0.001601,0.001056,0.000384,0.921957
0.416081,0.017889,0.201927,0.190023,0.048578,0.000576,0.013505,0.000480,0.001536,0.001056,0.000384,0.899460
0.415793,0.017632,0.202184,0.180071,0.048354,0.000608,0.013409,0.000384,0.001440,0.001056,0.000416,0.889059
0.415664,0.017376,0.201704,0.166855,0.048962,0.000608,0.013696,0.000416,0.001440,0.000960,0.000352,0.876002
0.415312,0.017473,0.201704,0.176295,0.047810,0.000928,0.013440,0.000448,0.001472,0.000960,0.000384,0.884962
0.415248,0.017345,0.201864,0.180455,0.047522,0.000672,0.013632,0.000384,0.001536,0.000864,0.000384,0.887842
0.415344,0.017793,0.201992,0.183655,0.047938,0.000480,0.013344,0.000384,0.001537,0.000928,0.000384,0.892195
0.416048,0.017409,0.217192,0.185959,0.047874,0.000640,0.013376,0.000384,0.001600,0.000833,0.000384,0.910564
0.416336,0.017633,0.202152,0.182343,0.047682,0.000576,0.013409,0.000384,0.001536,0.000832,0.000384,0.889987
0.415793,0.017280,0.201992,0.168423,0.047458,0.000672,0.013472,0.000448,0.001536,0.001056,0.000384,0.876739
0.415952,0.017697,0.201928,0.179207,0.047842,0.000640,0.013440,0.000416,0.001536,0.000992,0.000352,0.887683
0.428272,0.017889,0.202792,0.181063,0.047810,0.000640,0.013345,0.000384,0.001504,0.000864,0.000384,0.902627
0.414608,0.017441,0.201800,0.175943,0.047809,0.000640,0.013312,0.000384,0.001504,0.000992,0.000832,0.883522
0.415409,0.017440,0.201704,0.185896,0.047362,0.000672,0.013344,0.000352,0.001504,0.000992,0.000352,0.893507
0.415024,0.017409,0.201768,0.198375,0.047713,0.000480,0.013313,0.000384,0.001504,0.000960,0.000416,0.905283
0.415281,0.017216,0.201704,0.179271,0.047522,0.000704,0.013377,0.000384,0.001440,0.000928,0.000384,0.885987
0.415440,0.017793,0.201992,0.178503,0.048130,0.000736,0.013441,0.000448,0.001440,0.000896,0.000416,0.888995
0.415536,0.017729,0.202088,0.184199,0.047938,0.000608,0.013441,0.000384,0.001504,0.000928,0.000384,0.892611
0.427345,0.017633,0.202120,0.176167,0.047809,0.000577,0.013312,0.000416,0.001408,0.000992,0.000608,0.895395
0.415249,0.017728,0.201928,0.179655,0.047426,0.000672,0.013409,0.000416,0.001536,0.001056,0.000352,0.887395
0.416817,0.017824,0.203496,0.182920,0.047714,0.000640,0.013440,0.000416,0.001472,0.001120,0.000352,0.895491
0.415920,0.017729,0.203240,0.185831,0.047746,0.000576,0.013505,0.000416,0.001536,0.001056,0.000416,0.897987
0.415632,0.017761,0.202376,0.191847,0.049058,0.000608,0.013537,0.000416,0.001504,0.001184,0.000352,0.904067
0.416336,0.017377,0.202312,0.182663,0.048546,0.000608,0.013377,0.000384,0.001440,0.001024,0.000416,0.891811
0.415600,0.017697,0.202344,0.164647,0.048321,0.000513,0.013472,0.000384,0.001408,0.000832,0.000384,0.872962
0.428209,0.017889,0.202120,0.187079,0.047682,0.000576,0.013345,0.000384,0.001504,0.000960,0.000352,0.907716
0.416209,0.017537,0.202824,0.191271,0.049090,0.000800,0.013569,0.000416,0.001664,0.001088,0.000384,0.903684
0.415824,0.017729,0.202440,0.194503,0.048577,0.000768,0.013377,0.000416,0.001472,0.001056,0.000384,0.905475
0.415792,0.017729,0.202120,0.182791,0.048194,0.000800,0.013409,0.000448,0.001408,0.001248,0.000832,0.892739
0.415408,0.017345,0.202056,0.177671,0.048258,0.000672,0.013344,0.000416,0.001473,0.001056,0.000384,0.887011
0.414992,0.017281,0.201896,0.195431,0.047810,0.000608,0.013441,0.000384,0.001440,0.001120,0.000384,0.903363
0.415664,0.017505,0.201800,0.161094,0.047842,0.000640,0.013537,0.000384,0.001504,0.001088,0.000384,0.869634
0.415409,0.017408,0.217000,0.176903,0.048034,0.000736,0.013313,0.000416,0.001440,0.000992,0.000352,0.900484
0.414896,0.017633,0.201768,0.184391,0.047810,0.000640,0.013408,0.000384,0.001504,0.000993,0.000384,0.891651
0.414609,0.017248,0.202248,0.192136,0.047458,0.000640,0.013697,0.000416,0.001472,0.000992,0.000352,0.899748
0.414768,0.021249,0.202056,0.177543,0.047458,0.000608,0.013664,0.000384,0.001440,0.000960,0.000384,0.888290
0.427185,0.020897,0.202376,0.173639,0.047746,0.000672,0.013472,0.000416,0.001440,0.000864,0.000384,0.898339
0.415376,0.017664,0.202024,0.183623,0.047746,0.000704,0.013441,0.000416,0.001472,0.001088,0.000352,0.892899
0.415664,0.017729,0.201480,0.179111,0.047329,0.000640,0.013664,0.000416,0.001536,0.001056,0.000352,0.887170
0.414992,0.017249,0.201767,0.195559,0.047842,0.000640,0.013441,0.000448,0.001472,0.000928,0.000416,0.902723
0.416016,0.017953,0.201992,0.186119,0.047746,0.000640,0.013665,0.000416,0.001472,0.001184,0.000576,0.897091
0.415153,0.017408,0.202312,0.185672,0.048034,0.000992,0.013440,0.000416,0.001472,0.001120,0.000608,0.896227
0.416176,0.017857,0.201992,0.181191,0.047874,0.000800,0.013441,0.000416,0.001472,0.001056,0.000608,0.892099
0.429297,0.017729,0.203112,0.191239,0.048194,0.000832,0.013761,0.000416,0.001536,0.001024,0.000544,0.917732
0.415408,0.018049,0.202280,0.188360,0.047841,0.000832,0.013440,0.000448,0.001600,0.001152,0.000608,0.899139
0.415728,0.017889,0.201896,0.187399,0.047618,0.000800,0.013441,0.000384,0.001568,0.001120,0.000384,0.897219
0.416177,0.017440,0.220617,0.190984,0.047842,0.000800,0.014048,0.000384,0.001536,0.001408,0.000352,0.922468
0.415568,0.017857,0.202536,0.197800,0.048898,0.001024,0.013952,0.000416,0.001504,0.001281,0.000352,0.911140
0.415760,0.018017,0.202152,0.194151,0.048258,0.000608,0.013569,0.000416,0.001504,0.001248,0.000384,0.905091
0.415600,0.017792,0.202184,0.191592,0.047810,0.000800,0.013760,0.000384,0.001536,0.001344,0.000416,0.902659
0.415825,0.017920,0.202088,0.185480,0.048482,0.000832,0.013472,0.000416,0.001504,0.001120,0.000384,0.896227
0.415280,0.017697,0.202504,0.189735,0.049026,0.000800,0.013505,0.000416,0.001440,0.001088,0.000384,0.900771
0.415601,0.017729,0.201831,0.214985,0.048258,0.000800,0.013952,0.000416,0.001504,0.001088,0.000352,0.925093
0.416208,0.017697,0.223273,0.186663,0.049218,0.000832,0.013473,0.000416,0.001536,0.001056,0.000384,0.920164
0.414928,0.017185,0.201896,0.182215,0.048450,0.000832,0.013632,0.000384,0.001568,0.001184,0.000352,0.891651
0.415729,0.017728,0.202056,0.185416,0.048034,0.001056,0.013504,0.000416,0.001696,0.001280,0.000416,0.895267
0.415665,0.017473,0.202152,0.177286,0.049281,0.000768,0.013696,0.000384,0.001632,0.001152,0.000384,0.889987
0.416049,0.017760,0.202056,0.183176,0.048002,0.000832,0.013696,0.000416,0.001632,0.001184,0.000416,0.893603
0.415376,0.017217,0.202248,0.171271,0.047650,0.000576,0.013760,0.000384,0.001472,0.001120,0.000800,0.880194
0.414800,0.017728,0.202088,0.179207,0.047938,0.000800,0.013697,0.000416,0.001536,0.001152,0.000384,0.887907
0.415441,0.017600,0.220105,0.194600,0.048066,0.000800,0.013664,0.000416,0.001536,0.001280,0.000352,0.923492
0.416113,0.017697,0.202248,0.195463,0.048898,0.000704,0.013921,0.000384,0.001824,0.001312,0.000384,0.909540
0.416144,0.017697,0.202344,0.184231,0.049058,0.000800,0.013505,0.000384,0.001760,0.001056,0.000416,0.896419
0.415761,0.017536,0.202184,0.189512,0.051202,0.000864,0.013952,0.000417,0.001728,0.001408,0.000576,0.904708
