Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],TEE[7-8],Layer[9],Layer[10],classifier
0.421649,0.017473,0.203623,0.005024,0.048674,0.000576,0.014080,0.179367,0.001376,0.000352,0.899715
0.421681,0.017472,0.203496,0.005057,0.048802,0.000832,0.013664,0.175623,0.001344,0.000352,0.895555
0.436593,0.017729,0.203944,0.005024,0.048674,0.000608,0.013537,0.170823,0.001472,0.000384,0.905796
0.418448,0.017665,0.204776,0.005056,0.047554,0.000832,0.013952,0.165799,0.001344,0.000384,0.883074
0.422481,0.017505,0.203464,0.005056,0.048674,0.000800,0.013600,0.171815,0.001376,0.000384,0.892451
0.420272,0.017729,0.203656,0.005056,0.065347,0.000800,0.013408,0.176679,0.001312,0.000384,0.912035
0.417680,0.017473,0.203656,0.004992,0.047682,0.000864,0.013633,0.173190,0.001632,0.000352,0.888259
0.417904,0.017697,0.204200,0.005024,0.048578,0.000832,0.013633,0.182599,0.001408,0.000384,0.899811
0.416688,0.017665,0.203240,0.005056,0.048226,0.000544,0.013632,0.177095,0.001409,0.000384,0.892067
0.449489,0.017665,0.204200,0.005120,0.048898,0.000832,0.013921,0.176103,0.001280,0.000384,0.924676
0.415824,0.017760,0.203752,0.005024,0.049186,0.000832,0.014113,0.175367,0.001376,0.000352,0.891651
0.420400,0.017921,0.203464,0.005088,0.048962,0.000832,0.014273,0.176231,0.001280,0.000384,0.896451
0.420592,0.017504,0.203880,0.005056,0.067619,0.000864,0.014433,0.163750,0.001376,0.000384,0.903651
0.415888,0.017729,0.203784,0.005312,0.048610,0.000800,0.013985,0.173190,0.001248,0.000320,0.888579
0.419953,0.017665,0.203880,0.005088,0.048418,0.000800,0.013696,0.174535,0.001248,0.000384,0.893027
0.416176,0.017665,0.204296,0.004992,0.048258,0.000576,0.013793,0.177127,0.001216,0.000384,0.892867
0.431920,0.017824,0.204072,0.005056,0.048642,0.001024,0.013857,0.178407,0.001408,0.000384,0.910627
0.420305,0.017793,0.204168,0.005056,0.048834,0.000832,0.014112,0.175527,0.001472,0.000448,0.896419
0.415984,0.017601,0.203816,0.005280,0.048706,0.000800,0.014081,0.171974,0.001280,0.000384,0.888066
0.420433,0.017601,0.204072,0.005056,0.067810,0.000864,0.013728,0.171975,0.001408,0.000448,0.911652
0.420656,0.017761,0.204008,0.005056,0.050946,0.000608,0.014465,0.179207,0.001312,0.000320,0.902179
0.415729,0.017633,0.204264,0.005056,0.048962,0.000832,0.013984,0.173991,0.001472,0.000416,0.889987
0.419600,0.017505,0.204552,0.005024,0.048642,0.000832,0.013953,0.174759,0.001280,0.000352,0.894083
0.432881,0.017760,0.203943,0.005312,0.048962,0.000608,0.013760,0.164935,0.001344,0.000352,0.897827
