Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],TEE[7-8],Layer[9],Layer[10],classifier
0.420241,0.017505,0.204520,0.005184,0.048354,0.000800,0.013536,0.157831,0.001472,0.000384,0.878019
0.420721,0.017729,0.224072,0.005185,0.048450,0.000800,0.013696,0.178663,0.001440,0.000384,0.920900
0.421904,0.017633,0.204712,0.005120,0.049282,0.000800,0.013857,0.171239,0.001344,0.000384,0.893859
0.416593,0.017568,0.204264,0.005249,0.048962,0.000800,0.013600,0.178983,0.001344,0.000352,0.895299
0.416240,0.017793,0.203560,0.005056,0.049250,0.000544,0.013473,0.172934,0.001217,0.000384,0.888163
0.418768,0.017601,0.203464,0.005120,0.050146,0.000544,0.013505,0.169926,0.001280,0.000384,0.888419
0.420337,0.017377,0.203528,0.005056,0.048418,0.000608,0.013440,0.171815,0.001248,0.000384,0.889507
0.416528,0.017505,0.204104,0.005056,0.047362,0.000576,0.013376,0.165415,0.001184,0.000352,0.878626
0.416624,0.017601,0.225481,0.005184,0.047554,0.000576,0.013504,0.180807,0.001344,0.000384,0.917635
0.416944,0.017601,0.203592,0.005088,0.047458,0.000608,0.013537,0.175302,0.001377,0.000352,0.889891
0.420176,0.017793,0.203240,0.005088,0.047682,0.000576,0.013665,0.170566,0.001344,0.000352,0.888387
0.420112,0.017793,0.204424,0.005120,0.047138,0.000832,0.013760,0.177830,0.001408,0.000352,0.897475
0.420145,0.017856,0.203624,0.005089,0.048258,0.000832,0.013888,0.173543,0.001376,0.000608,0.893251
0.420337,0.017728,0.204328,0.005089,0.048321,0.000832,0.013504,0.178279,0.001440,0.000384,0.898467
0.416240,0.017633,0.202952,0.005120,0.048770,0.000800,0.014144,0.182888,0.001408,0.000640,0.898883
0.420752,0.032001,0.205224,0.005089,0.048738,0.000800,0.013952,0.171815,0.001504,0.000608,0.908643
0.420240,0.017792,0.204488,0.005120,0.048706,0.000800,0.013985,0.176455,0.001408,0.000416,0.897795
0.420720,0.017761,0.204584,0.005056,0.048194,0.000800,0.013729,0.181031,0.001408,0.000384,0.901155
0.420304,0.017601,0.204200,0.005088,0.048610,0.000832,0.013793,0.176422,0.001408,0.000480,0.896931
0.421553,0.017537,0.203752,0.005120,0.048354,0.000800,0.013728,0.170247,0.001472,0.000352,0.890563
0.420368,0.017761,0.203944,0.005120,0.048194,0.000832,0.013441,0.178471,0.001472,0.000384,0.897731
0.420592,0.017761,0.204200,0.005344,0.047298,0.000832,0.013729,0.174726,0.001377,0.000384,0.895011
0.436881,0.017792,0.204296,0.005377,0.048866,0.000832,0.013920,0.182247,0.001312,0.000320,0.919716
0.415632,0.017537,0.203816,0.005120,0.048514,0.000832,0.014177,0.181319,0.001440,0.000416,0.896675
0.420272,0.017761,0.203176,0.005248,0.048514,0.000832,0.013921,0.178439,0.001472,0.000416,0.898307
0.416336,0.017600,0.203720,0.005120,0.048642,0.000864,0.014593,0.173895,0.001504,0.000320,0.889987
0.420305,0.017729,0.203880,0.005344,0.048962,0.000832,0.013600,0.176999,0.001568,0.000384,0.897827
0.416240,0.017729,0.204200,0.005088,0.048386,0.000832,0.013825,0.174918,0.001377,0.000352,0.890755
0.416529,0.018016,0.203944,0.005153,0.048577,0.000800,0.013696,0.173575,0.001504,0.000384,0.890339
0.436050,0.017952,0.204168,0.005345,0.048641,0.000576,0.013664,0.182247,0.001312,0.000384,0.918052
0.415984,0.017601,0.204392,0.005056,0.048834,0.000576,0.013729,0.170119,0.001376,0.000416,0.886691
0.420785,0.017665,0.203496,0.005248,0.048482,0.000800,0.014144,0.173159,0.001504,0.000640,0.894179
0.416913,0.017600,0.204168,0.005249,0.048866,0.000800,0.013632,0.200552,0.001376,0.000608,0.918500
0.418128,0.017729,0.203624,0.005024,0.049154,0.000832,0.013825,0.180903,0.001440,0.000608,0.899267
0.420497,0.017600,0.204456,0.005281,0.049378,0.000832,0.014080,0.178119,0.001472,0.000352,0.900675
0.416561,0.017504,0.203720,0.005345,0.048833,0.000800,0.013984,0.173351,0.001472,0.000384,0.890211
0.436753,0.017633,0.204264,0.004992,0.049090,0.000832,0.014144,0.177895,0.001440,0.000640,0.916324
0.423217,0.017729,0.204392,0.005312,0.048194,0.000800,0.013824,0.175943,0.001408,0.000352,0.898819
0.420209,0.017536,0.204072,0.005057,0.048418,0.000832,0.013600,0.177223,0.001312,0.000416,0.896867
0.419889,0.017472,0.202792,0.005057,0.048289,0.000768,0.013729,0.198248,0.001344,0.000352,0.916100
0.420593,0.017729,0.203784,0.005056,0.048514,0.000576,0.013792,0.187400,0.001344,0.000384,0.907844
0.420336,0.017665,0.204456,0.005280,0.048482,0.000832,0.013761,0.178791,0.001504,0.000608,0.899843
0.420625,0.017601,0.203976,0.005024,0.049026,0.000832,0.014048,0.173639,0.001472,0.000384,0.894659
0.449425,0.017601,0.204200,0.005088,0.048802,0.000800,0.013537,0.180423,0.001440,0.000384,0.929860
0.415792,0.017441,0.204552,0.005056,0.048610,0.000832,0.013889,0.183079,0.001472,0.000320,0.899363
0.420433,0.017729,0.203304,0.005024,0.048610,0.000832,0.014240,0.186120,0.001472,0.000352,0.905892
0.420976,0.017793,0.203464,0.005056,0.069027,0.000832,0.013921,0.184487,0.001408,0.000384,0.925796
0.415760,0.017633,0.204168,0.005216,0.048610,0.000832,0.013825,0.182023,0.001376,0.000416,0.897859
0.419888,0.017601,0.203624,0.005248,0.048706,0.000800,0.013825,0.179463,0.001408,0.000352,0.899363
0.428016,0.017760,0.204072,0.005024,0.048354,0.000800,0.013793,0.179335,0.001344,0.000384,0.906723
0.441170,0.017824,0.204520,0.005057,0.048706,0.000800,0.013824,0.177095,0.001344,0.000384,0.919460
0.416784,0.017441,0.204040,0.005088,0.047778,0.000864,0.013697,0.149029,0.001152,0.000448,0.863458
0.420144,0.017729,0.204104,0.005024,0.048482,0.000832,0.013793,0.176647,0.001280,0.000352,0.895875
0.416368,0.017665,0.204008,0.005280,0.048866,0.000800,0.033633,0.172519,0.001248,0.000640,0.910115
0.416049,0.017632,0.204264,0.005185,0.048226,0.000800,0.013696,0.174119,0.001216,0.000384,0.889603
0.420241,0.017792,0.204488,0.005025,0.048130,0.000800,0.014400,0.176839,0.001280,0.000384,0.897091
0.415697,0.017441,0.203527,0.005057,0.048130,0.000832,0.013760,0.169447,0.001088,0.000352,0.882691
0.434161,0.017697,0.203720,0.005088,0.048002,0.000832,0.013728,0.165895,0.001280,0.000320,0.897539
0.416912,0.017633,0.203752,0.005056,0.048002,0.000800,0.013601,0.168262,0.001312,0.000384,0.883170
0.415985,0.017600,0.203367,0.005185,0.048226,0.000800,0.013760,0.166087,0.001344,0.000384,0.880227
0.419825,0.017569,0.203336,0.005120,0.048994,0.001024,0.013696,0.200904,0.001312,0.000384,0.920228
0.416497,0.017600,0.204360,0.005089,0.047937,0.000800,0.013601,0.160390,0.001280,0.000416,0.875106
0.421392,0.017568,0.203336,0.005184,0.048258,0.000800,0.013825,0.180583,0.001312,0.000320,0.900675
0.416144,0.017857,0.204424,0.004960,0.048514,0.000800,0.013985,0.178375,0.001312,0.000384,0.894563
0.435505,0.017697,0.203592,0.005024,0.049122,0.000832,0.014433,0.186343,0.001280,0.000640,0.922404
0.421616,0.017697,0.204072,0.005152,0.048770,0.000832,0.014113,0.178631,0.001440,0.000384,0.900131
0.416080,0.017601,0.203624,0.005408,0.048962,0.000800,0.014337,0.187015,0.001408,0.000352,0.903843
0.420816,0.017569,0.203272,0.004992,0.048386,0.000800,0.013985,0.195719,0.001408,0.000640,0.915299
0.417360,0.017601,0.204392,0.005024,0.048738,0.000832,0.013729,0.174791,0.001376,0.000576,0.892387
0.421521,0.017408,0.205096,0.005089,0.048418,0.000800,0.013440,0.165479,0.001408,0.000384,0.886659
0.418129,0.017600,0.203464,0.005057,0.048609,0.000800,0.014144,0.165223,0.001248,0.000352,0.882371
0.437169,0.017473,0.204712,0.005088,0.048386,0.000832,0.013793,0.179399,0.001440,0.000384,0.916772
0.422097,0.017504,0.204072,0.005281,0.048609,0.000833,0.013760,0.180711,0.001504,0.000352,0.902243
0.417776,0.017665,0.205384,0.005056,0.048002,0.000832,0.013760,0.176103,0.001344,0.000384,0.894147
0.418352,0.017697,0.204072,0.005024,0.049282,0.000832,0.013921,0.194888,0.001408,0.000384,0.913284
0.417008,0.017601,0.203816,0.004992,0.048514,0.000832,0.013728,0.179367,0.001344,0.000416,0.894403
0.417360,0.017697,0.203848,0.005024,0.048642,0.000832,0.013441,0.173190,0.001345,0.000864,0.889379
0.417712,0.017473,0.204968,0.004832,0.048386,0.000864,0.013473,0.172870,0.001472,0.000416,0.889475
0.440849,0.017729,0.204520,0.005024,0.048674,0.000832,0.013825,0.213576,0.001376,0.000416,0.954277
0.421937,0.017536,0.203880,0.004993,0.048290,0.000800,0.013664,0.173415,0.001440,0.000384,0.894339
0.418833,0.017505,0.203400,0.004992,0.047490,0.000800,0.013664,0.173191,0.001408,0.000384,0.889379
0.421072,0.017601,0.204584,0.005088,0.048706,0.000832,0.014209,0.192551,0.001248,0.000384,0.913091
0.422160,0.017537,0.203880,0.005056,0.048450,0.000832,0.013921,0.173159,0.001344,0.000608,0.894339
0.417168,0.017569,0.204136,0.005088,0.048866,0.000832,0.014368,0.180231,0.001440,0.000320,0.897571
0.415696,0.018113,0.204168,0.005056,0.048834,0.000800,0.014689,0.175879,0.001408,0.000416,0.893187
0.441425,0.017857,0.203752,0.005312,0.048674,0.000864,0.014241,0.181447,0.001280,0.000352,0.923460
0.415792,0.017601,0.203656,0.005056,0.048706,0.000832,0.013984,0.182888,0.001376,0.000384,0.898275
0.416688,0.017537,0.205000,0.005056,0.049154,0.000896,0.014209,0.179271,0.001376,0.000416,0.897283
0.416848,0.017633,0.203592,0.005088,0.048322,0.000832,0.014432,0.208745,0.001408,0.000384,0.925380
0.420337,0.017985,0.203016,0.005024,0.049026,0.000864,0.014016,0.171623,0.001408,0.000320,0.891491
0.415600,0.017601,0.204104,0.005024,0.048194,0.000864,0.014177,0.175846,0.001408,0.000384,0.891619
0.420625,0.017633,0.203432,0.005120,0.048482,0.000832,0.013696,0.177255,0.001344,0.000352,0.897443
0.429201,0.017633,0.203976,0.005056,0.048290,0.000832,0.013921,0.181927,0.001376,0.000640,0.911108
0.420881,0.017633,0.204616,0.005056,0.049122,0.000864,0.013985,0.179975,0.001440,0.000576,0.901988
0.420561,0.017505,0.204008,0.005024,0.048930,0.000832,0.014048,0.176775,0.001280,0.000576,0.897412
0.416817,0.017537,0.205128,0.005408,0.048226,0.000800,0.034017,0.177255,0.001408,0.000384,0.915492
0.422161,0.017696,0.204456,0.005249,0.049378,0.000800,0.013632,0.179975,0.001408,0.000352,0.902723
0.415280,0.017569,0.203816,0.005280,0.048674,0.000608,0.013761,0.178951,0.001312,0.000384,0.893379
0.415696,0.017729,0.204904,0.005056,0.048706,0.000768,0.013505,0.177447,0.001408,0.000352,0.893187
0.440753,0.017761,0.204520,0.005056,0.048578,0.000800,0.013761,0.165926,0.001376,0.000384,0.907203
0.416592,0.017569,0.204648,0.005056,0.048514,0.000800,0.013536,0.166215,0.001568,0.000320,0.883426
0.423761,0.017728,0.204616,0.005185,0.048770,0.000832,0.014144,0.177127,0.001344,0.000384,0.902179
0.422256,0.017568,0.204552,0.039842,0.050498,0.000800,0.013824,0.182791,0.001408,0.000384,0.942693
0.420561,0.017921,0.203496,0.005248,0.048386,0.000832,0.013792,0.178343,0.001472,0.000384,0.898243
0.416496,0.017761,0.205416,0.004800,0.049026,0.000832,0.013761,0.180647,0.001440,0.000352,0.898403
0.420656,0.017792,0.205192,0.004897,0.048705,0.000833,0.013824,0.180615,0.001376,0.000352,0.901987
0.416848,0.017761,0.204104,0.005088,0.048898,0.000832,0.013728,0.178151,0.001504,0.000352,0.895428
0.416560,0.017505,0.204936,0.005088,0.048706,0.001024,0.013697,0.178407,0.001472,0.000352,0.895395
0.415984,0.017569,0.203272,0.005152,0.048962,0.000800,0.013696,0.183367,0.001408,0.000352,0.898627
0.416656,0.017696,0.222121,0.005248,0.048610,0.000800,0.013697,0.176871,0.001376,0.000384,0.911620
0.422257,0.017729,0.204552,0.005088,0.049218,0.001024,0.013504,0.171399,0.001440,0.000384,0.895011
0.421777,0.017568,0.206121,0.004992,0.048162,0.000832,0.014016,0.177191,0.001376,0.000384,0.900515
0.416112,0.017569,0.203560,0.005056,0.048066,0.000768,0.013729,0.176967,0.001408,0.000352,0.891619
0.416112,0.017857,0.205096,0.005088,0.048930,0.000800,0.014177,0.178663,0.001376,0.000352,0.896835
0.420176,0.017793,0.204776,0.005024,0.048514,0.000800,0.013985,0.177351,0.001472,0.000384,0.897763
0.417233,0.017537,0.204424,0.005216,0.048546,0.000800,0.013984,0.175079,0.001312,0.000416,0.892227
0.420432,0.017568,0.218473,0.005184,0.048546,0.000576,0.013633,0.188487,0.001344,0.000352,0.922724
0.415824,0.017793,0.204136,0.005056,0.048482,0.000576,0.013632,0.174759,0.001344,0.000352,0.889538
0.415664,0.017697,0.204488,0.005248,0.048866,0.000576,0.013825,0.175815,0.001312,0.000384,0.891363
0.416273,0.017600,0.203720,0.005025,0.047842,0.000576,0.013728,0.173895,0.001376,0.000416,0.888323
0.419857,0.017889,0.204328,0.005280,0.048098,0.000800,0.013504,0.177159,0.001537,0.000448,0.896932
0.415825,0.017601,0.203208,0.005120,0.049218,0.000800,0.014432,0.163623,0.001408,0.000640,0.879715
0.420209,0.017601,0.204296,0.005056,0.048290,0.000832,0.013792,0.177671,0.001472,0.000576,0.897412
0.420145,0.017601,0.223272,0.005377,0.048674,0.000800,0.013888,0.174119,0.001408,0.000672,0.914500
0.420080,0.017537,0.203656,0.005248,0.048802,0.000768,0.013825,0.176262,0.001377,0.000352,0.895299
0.420017,0.017760,0.203239,0.005057,0.048418,0.000608,0.013792,0.178887,0.001376,0.000384,0.896931
0.420176,0.017888,0.203368,0.005280,0.049250,0.000544,0.013761,0.177511,0.001504,0.000384,0.897315
0.416592,0.017537,0.203528,0.005056,0.048514,0.000608,0.013793,0.178855,0.001408,0.000384,0.894083
0.419953,0.017985,0.204552,0.005312,0.048578,0.000544,0.013728,0.181864,0.001472,0.000352,0.902276
0.416401,0.017664,0.203752,0.005121,0.048098,0.000576,0.013472,0.178503,0.001344,0.000416,0.893571
0.420368,0.041698,0.205096,0.005120,0.048066,0.000800,0.013761,0.182279,0.001408,0.000352,0.927492
0.420144,0.017825,0.203528,0.005024,0.048994,0.000800,0.013921,0.171111,0.001312,0.000384,0.890755
0.416689,0.017952,0.204008,0.004993,0.048514,0.000832,0.013888,0.167975,0.001472,0.000416,0.884611
0.420432,0.017569,0.203752,0.005248,0.048546,0.000832,0.013697,0.183783,0.001440,0.000640,0.904099
0.418032,0.017729,0.204200,0.005024,0.048962,0.000832,0.014400,0.176423,0.001312,0.000416,0.894883
0.420401,0.017665,0.204168,0.005472,0.048386,0.000608,0.013728,0.181031,0.001344,0.000384,0.901028
0.416272,0.017697,0.203752,0.005120,0.048994,0.000576,0.013473,0.179047,0.001344,0.000384,0.894083
0.436913,0.017953,0.203944,0.005088,0.048226,0.000608,0.013440,0.178951,0.001376,0.000384,0.914532
0.421105,0.017728,0.203400,0.005057,0.048481,0.000769,0.013952,0.177831,0.001440,0.000352,0.897795
0.416272,0.017505,0.203944,0.005216,0.048866,0.001024,0.013793,0.165286,0.001440,0.000352,0.881282
0.420880,0.017857,0.204872,0.005248,0.048130,0.000800,0.013537,0.177831,0.001536,0.000352,0.899427
0.420465,0.017665,0.203816,0.005056,0.048674,0.000768,0.013536,0.179111,0.001376,0.000352,0.899140
0.422193,0.018209,0.206888,0.005056,0.048290,0.000800,0.013760,0.184840,0.001472,0.000640,0.910596
0.416496,0.017793,0.205256,0.005088,0.048866,0.000832,0.013856,0.175366,0.001472,0.000352,0.893891
0.438962,0.017632,0.205064,0.005089,0.048386,0.000800,0.013920,0.173191,0.001408,0.000608,0.912836
0.417201,0.017632,0.205320,0.005057,0.049154,0.000832,0.013600,0.185927,0.001344,0.000608,0.905796
0.416880,0.017761,0.204392,0.005056,0.048386,0.000896,0.013824,0.176519,0.001408,0.000609,0.893635
0.416593,0.017825,0.203816,0.005088,0.048834,0.000832,0.013792,0.205224,0.001312,0.000416,0.923045
0.416369,0.017600,0.202856,0.004993,0.048866,0.000832,0.013728,0.169063,0.001440,0.000320,0.884579
0.420368,0.017728,0.203784,0.005057,0.049569,0.000865,0.013728,0.179559,0.001440,0.000608,0.902371
0.416112,0.017825,0.203560,0.005088,0.048418,0.000768,0.013888,0.175687,0.001440,0.000385,0.892195
0.431857,0.017825,0.203528,0.005056,0.048546,0.000832,0.014049,0.175590,0.001409,0.000416,0.908004
0.420657,0.017664,0.203496,0.005025,0.047585,0.000800,0.014048,0.171335,0.001440,0.000384,0.890947
0.420112,0.017632,0.204072,0.005216,0.048161,0.000864,0.013665,0.177799,0.001472,0.000608,0.898499
0.416176,0.017729,0.203816,0.005056,0.048546,0.000864,0.013664,0.199911,0.001408,0.000384,0.915524
0.421744,0.017793,0.205352,0.004896,0.048546,0.000800,0.013665,0.189991,0.001376,0.000384,0.912803
0.416048,0.017665,0.205288,0.004992,0.048610,0.000832,0.013633,0.181127,0.001376,0.000352,0.897699
0.416304,0.017825,0.203784,0.005024,0.048098,0.000800,0.013729,0.176199,0.001344,0.000384,0.891811
0.436914,0.017888,0.204040,0.005249,0.048481,0.000800,0.013728,0.170055,0.001376,0.000352,0.906820
0.422992,0.017600,0.205192,0.005281,0.048321,0.000800,0.013537,0.177383,0.001344,0.000608,0.901763
0.422161,0.017665,0.204264,0.005056,0.048354,0.000800,0.014112,0.179943,0.001440,0.000416,0.903300
0.421169,0.017505,0.203848,0.004992,0.048418,0.000832,0.013760,0.190440,0.001536,0.000416,0.911364
0.416688,0.017633,0.204744,0.005184,0.048226,0.000832,0.013568,0.176071,0.001632,0.000416,0.893538
0.420912,0.017825,0.203688,0.005280,0.048674,0.000800,0.013761,0.182695,0.001408,0.000672,0.905091
0.421521,0.018049,0.206376,0.005088,0.049090,0.001024,0.014305,0.208936,0.001696,0.000352,0.938789
0.420848,0.017985,0.204744,0.005024,0.048866,0.001120,0.014081,0.193575,0.001856,0.000384,0.917284
0.420977,0.017665,0.204488,0.005024,0.049090,0.000832,0.014176,0.188776,0.001408,0.000640,0.911012
0.418256,0.017633,0.204520,0.005376,0.049154,0.000736,0.013953,0.179047,0.001280,0.000320,0.898051
0.420752,0.017601,0.221897,0.005088,0.048194,0.000608,0.013952,0.176487,0.001216,0.000608,0.914756
0.420081,0.018017,0.204648,0.005024,0.048930,0.000576,0.014144,0.179719,0.001248,0.000416,0.900548
0.420304,0.017633,0.203912,0.005184,0.048962,0.000832,0.013857,0.182503,0.001536,0.000384,0.903235
0.415408,0.017505,0.204136,0.005280,0.048674,0.000800,0.014016,0.180904,0.001312,0.000384,0.896611
0.420337,0.017729,0.204264,0.005088,0.048578,0.000768,0.013856,0.179207,0.001504,0.000416,0.899684
0.420017,0.017633,0.203848,0.005312,0.049378,0.000800,0.014336,0.169063,0.001248,0.000864,0.890499
0.417137,0.017697,0.203688,0.005024,0.048770,0.000864,0.014016,0.168519,0.001312,0.000352,0.885475
0.433873,0.017537,0.204488,0.005120,0.048834,0.000800,0.014401,0.179719,0.001280,0.000352,0.914340
0.415120,0.017889,0.203752,0.005280,0.048578,0.000800,0.014112,0.187720,0.001344,0.000384,0.902499
0.419984,0.017505,0.203816,0.005056,0.048450,0.000800,0.013985,0.176390,0.001280,0.000384,0.896003
0.416400,0.017920,0.204168,0.005312,0.048930,0.000608,0.013793,0.165542,0.001248,0.000352,0.881827
0.417072,0.017601,0.204392,0.005280,0.048482,0.000832,0.013825,0.178087,0.001248,0.000352,0.895459
0.420208,0.017537,0.203176,0.004992,0.048578,0.000832,0.013601,0.182215,0.001376,0.000416,0.901123
0.420208,0.017825,0.204136,0.005056,0.048930,0.000736,0.014305,0.182631,0.001440,0.000448,0.904323
0.440529,0.017825,0.204328,0.005120,0.048226,0.000896,0.013601,0.169638,0.001312,0.000352,0.909571
0.420944,0.017921,0.203912,0.005280,0.048706,0.000832,0.013761,0.180071,0.001408,0.000608,0.901859
0.419824,0.017857,0.204008,0.005088,0.048546,0.000800,0.013825,0.179207,0.001280,0.000416,0.898723
0.416368,0.017953,0.204264,0.005280,0.048770,0.000800,0.013441,0.198183,0.001312,0.000672,0.914980
0.421648,0.017633,0.204776,0.005312,0.048738,0.000800,0.013441,0.178951,0.001312,0.000672,0.901123
0.415825,0.017568,0.204776,0.005088,0.048578,0.000800,0.013472,0.173319,0.001280,0.000384,0.888867
0.420112,0.017505,0.203816,0.004992,0.049346,0.000800,0.013473,0.162438,0.001248,0.000416,0.881826
0.436337,0.017601,0.203464,0.005152,0.048738,0.000800,0.013568,0.171591,0.001280,0.000608,0.907715
0.420272,0.018273,0.204200,0.005280,0.048034,0.000832,0.013505,0.187111,0.001440,0.000416,0.907523
0.421745,0.017665,0.203368,0.005024,0.048226,0.000832,0.013760,0.180039,0.001345,0.000384,0.900516
0.422480,0.017825,0.205288,0.005280,0.047938,0.000896,0.013473,0.204104,0.001344,0.000608,0.927204
0.420465,0.017857,0.204936,0.005280,0.048642,0.000800,0.014529,0.173734,0.001376,0.000353,0.896356
0.416016,0.017601,0.203944,0.005056,0.048578,0.000800,0.013856,0.179815,0.001408,0.000608,0.895715
0.420497,0.017537,0.203976,0.005312,0.048610,0.000800,0.013536,0.180263,0.001440,0.000416,0.900420
0.438577,0.017569,0.202696,0.005056,0.048866,0.000832,0.013665,0.186855,0.001376,0.000416,0.923940
0.415664,0.017729,0.203496,0.004992,0.048514,0.000768,0.013568,0.182152,0.001344,0.000384,0.896291
0.416305,0.017632,0.204136,0.005281,0.048866,0.000800,0.013824,0.166119,0.001312,0.000352,0.883267
0.417424,0.017729,0.216296,0.005152,0.048674,0.001024,0.013697,0.201736,0.001312,0.000384,0.932581
0.416368,0.017473,0.203816,0.005216,0.048578,0.000512,0.013409,0.168806,0.001120,0.000288,0.882306
0.415536,0.017441,0.204104,0.005312,0.047970,0.000832,0.013601,0.165222,0.001120,0.000288,0.878914
0.415856,0.017632,0.204104,0.005088,0.048962,0.000832,0.013601,0.158854,0.001216,0.000384,0.873954
0.429073,0.017440,0.203368,0.005121,0.048833,0.000801,0.013472,0.187335,0.001281,0.000320,0.914852
0.415344,0.017409,0.204072,0.005056,0.047746,0.000576,0.013409,0.168582,0.001312,0.000320,0.881186
0.415536,0.017441,0.203880,0.005056,0.048514,0.000608,0.013536,0.144102,0.001152,0.000320,0.857089
0.415792,0.017505,0.203624,0.005248,0.047810,0.000608,0.013377,0.159014,0.001216,0.000320,0.871586
0.415024,0.017409,0.203400,0.005312,0.047586,0.000576,0.013409,0.197671,0.001152,0.000384,0.909636
0.417905,0.017632,0.203912,0.005217,0.047393,0.000608,0.013409,0.172583,0.001248,0.000384,0.887555
0.415537,0.017504,0.203016,0.005056,0.047586,0.000768,0.013537,0.170567,0.001344,0.000416,0.882787
0.415857,0.017472,0.217513,0.005120,0.048482,0.000800,0.013537,0.174022,0.001153,0.000288,0.901188
0.419345,0.017505,0.204296,0.005024,0.047298,0.000608,0.013568,0.171975,0.001312,0.000384,0.888739
0.421713,0.017761,0.203752,0.005024,0.048258,0.000576,0.013536,0.180296,0.001312,0.000352,0.900068
0.415313,0.017600,0.203784,0.005089,0.048770,0.000768,0.013344,0.180711,0.001312,0.000384,0.893603
0.430641,0.017664,0.203176,0.005217,0.047266,0.000576,0.013408,0.153862,0.001120,0.000320,0.879938
0.415248,0.017505,0.203816,0.005024,0.047618,0.000576,0.013408,0.160263,0.000992,0.000384,0.871202
0.415536,0.017505,0.202856,0.005120,0.046946,0.000576,0.013344,0.163623,0.001120,0.000288,0.873346
0.415216,0.017697,0.202760,0.005056,0.047426,0.000576,0.013312,0.154598,0.001216,0.000288,0.864514
0.415920,0.017473,0.203240,0.005024,0.046978,0.000576,0.013505,0.172519,0.001216,0.000352,0.883427
0.415184,0.018305,0.203528,0.005088,0.047298,0.000768,0.013665,0.165062,0.001184,0.000384,0.877378
0.415504,0.017537,0.204296,0.005312,0.049570,0.000832,0.013377,0.161062,0.001184,0.000352,0.875906
0.415281,0.017440,0.229897,0.005216,0.049058,0.000800,0.013376,0.189096,0.001312,0.000384,0.929413
0.415409,0.017472,0.202696,0.005024,0.048642,0.000800,0.013313,0.177671,0.001280,0.000352,0.889667
0.415121,0.017696,0.202760,0.005057,0.048706,0.000608,0.013440,0.158086,0.001344,0.000352,0.870307
0.415344,0.017697,0.202376,0.004992,0.047042,0.000544,0.013376,0.180935,0.001249,0.000320,0.890627
0.429169,0.017664,0.203272,0.005280,0.047778,0.000832,0.013377,0.166982,0.001408,0.000384,0.893475
0.415152,0.017473,0.203080,0.005088,0.046946,0.000576,0.013344,0.179623,0.001248,0.000352,0.889603
0.414960,0.017504,0.203048,0.004992,0.047298,0.000800,0.013377,0.171079,0.001376,0.000384,0.881923
0.421425,0.017633,0.204552,0.005088,0.047106,0.000576,0.013344,0.192008,0.001248,0.000352,0.911108
0.415056,0.017408,0.204936,0.005024,0.048065,0.000768,0.013569,0.167975,0.001312,0.000352,0.881283
0.415537,0.017440,0.203112,0.005313,0.048194,0.000832,0.013344,0.159718,0.001089,0.000384,0.871651
0.415344,0.017441,0.203399,0.004992,0.049634,0.000736,0.013440,0.162567,0.001344,0.000416,0.876514
0.430641,0.017697,0.204072,0.004800,0.047746,0.000800,0.013633,0.181991,0.001376,0.000384,0.910916
0.415889,0.017505,0.204392,0.005280,0.047650,0.000832,0.013440,0.203592,0.001472,0.000320,0.917316
0.415056,0.017537,0.204232,0.005280,0.048770,0.000576,0.013408,0.165287,0.001312,0.000384,0.879330
0.416113,0.017632,0.203208,0.005121,0.047810,0.000576,0.013408,0.190344,0.001280,0.000288,0.902052
0.415280,0.017697,0.203272,0.005152,0.047010,0.000576,0.013345,0.145317,0.001024,0.000320,0.855329
0.421137,0.017472,0.203624,0.004801,0.047361,0.000576,0.013377,0.173511,0.001376,0.000448,0.890819
0.417168,0.017920,0.203560,0.005312,0.047682,0.000832,0.013729,0.165382,0.001249,0.000352,0.880483
0.419857,0.017568,0.222089,0.005216,0.047810,0.000800,0.013409,0.179623,0.001248,0.000352,0.916164
0.419697,0.017793,0.204552,0.005344,0.048930,0.001024,0.013728,0.178183,0.001248,0.000577,0.898308
0.415825,0.017504,0.204200,0.005281,0.048610,0.000800,0.013440,0.173319,0.001408,0.000384,0.888163
0.416688,0.017601,0.204200,0.005184,0.048898,0.000800,0.013665,0.179495,0.001248,0.000384,0.895843
0.420336,0.017505,0.203784,0.005024,0.048354,0.001056,0.013761,0.161190,0.001312,0.000832,0.880514
0.419825,0.017504,0.204072,0.005057,0.048545,0.000800,0.013409,0.184583,0.001376,0.000960,0.903363
0.420337,0.017824,0.204168,0.005025,0.048705,0.000800,0.013697,0.175655,0.001440,0.000640,0.895939
0.417201,0.017568,0.222665,0.005152,0.048610,0.000576,0.013697,0.172807,0.001216,0.000384,0.907780
0.417136,0.017857,0.206024,0.005120,0.048706,0.000768,0.013729,0.180487,0.001376,0.000352,0.899395
0.416688,0.017697,0.204328,0.005088,0.047842,0.000576,0.013825,0.178407,0.001504,0.000384,0.894563
0.415760,0.017537,0.204328,0.005120,0.047714,0.000768,0.013601,0.184231,0.001440,0.000384,0.899139
0.416848,0.017793,0.204040,0.005280,0.048770,0.000832,0.013921,0.177351,0.001408,0.000384,0.893955
0.420337,0.017856,0.204264,0.005217,0.050402,0.000608,0.013696,0.178471,0.001472,0.000384,0.900387
0.419632,0.017601,0.204456,0.005280,0.048514,0.000576,0.013761,0.184199,0.001344,0.000384,0.903779
