Layer[0],TEE[1-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416178,0.246475,0.203529,0.005472,0.048418,0.000992,0.013472,0.000416,0.001472,0.001408,0.000384,0.946729
0.420434,0.203625,0.203017,0.005537,0.047874,0.000768,0.013440,0.000352,0.001504,0.001217,0.000352,0.905640
0.438611,0.205609,0.203369,0.005505,0.049186,0.000992,0.013504,0.000352,0.001473,0.001376,0.000352,0.928265
0.420626,0.205578,0.203305,0.005536,0.047650,0.000576,0.013473,0.000320,0.001472,0.001184,0.000384,0.908424
0.421043,0.276172,0.203113,0.005568,0.047682,0.000576,0.013505,0.000352,0.001472,0.000896,0.000352,0.980331
0.420307,0.217161,0.224074,0.005345,0.047010,0.001056,0.013536,0.000320,0.001377,0.000928,0.000352,0.941226
0.422131,0.215273,0.205545,0.005601,0.047554,0.000992,0.013504,0.000416,0.001761,0.001120,0.000384,0.924297
0.420595,0.254539,0.204617,0.005537,0.047842,0.000576,0.013728,0.000320,0.001569,0.000960,0.000352,0.959403
0.416627,0.214665,0.203977,0.005345,0.048386,0.000832,0.013536,0.000320,0.001440,0.001056,0.000352,0.915049
0.434675,0.234346,0.203785,0.009505,0.048578,0.000576,0.013601,0.000384,0.001472,0.000992,0.000384,0.958410
0.416178,0.222858,0.203113,0.005312,0.048034,0.000992,0.013504,0.000384,0.001504,0.000928,0.000353,0.921865
0.420307,0.216873,0.203465,0.005633,0.048002,0.000512,0.013536,0.000352,0.001440,0.000896,0.000352,0.919913
0.415794,0.239947,0.203497,0.005536,0.048354,0.000992,0.013537,0.000384,0.001440,0.000960,0.000352,0.940073
0.417299,0.257355,0.203177,0.005537,0.048002,0.000576,0.013536,0.000320,0.001472,0.000929,0.000352,0.957515
0.419794,0.254252,0.203177,0.005408,0.048034,0.000992,0.013569,0.000320,0.001408,0.000928,0.000352,0.956778
0.420403,0.219178,0.203465,0.009408,0.047618,0.000832,0.013537,0.000352,0.001472,0.000928,0.000384,0.926985
0.420211,0.208169,0.203465,0.009377,0.047778,0.000608,0.013505,0.000384,0.001440,0.001152,0.000608,0.915849
0.421523,0.221610,0.204265,0.005344,0.047810,0.000576,0.013537,0.000320,0.001440,0.000992,0.000416,0.926921
0.415570,0.213578,0.203497,0.009440,0.047074,0.000576,0.013537,0.000352,0.001440,0.000960,0.000352,0.915016
0.436755,0.225514,0.203273,0.005536,0.047842,0.000544,0.013537,0.000384,0.001472,0.000992,0.000608,0.946249
0.420147,0.206633,0.203625,0.009376,0.047330,0.000544,0.013537,0.000352,0.001440,0.000896,0.000576,0.913384
0.420339,0.245931,0.203529,0.005312,0.047106,0.000544,0.013537,0.000352,0.001472,0.000928,0.000320,0.948298
0.417074,0.211113,0.221226,0.008608,0.047522,0.000768,0.013537,0.000352,0.001536,0.000992,0.000352,0.932265
0.420370,0.211914,0.203657,0.005376,0.047458,0.000576,0.013441,0.000320,0.001440,0.001120,0.000352,0.915176
0.415378,0.201577,0.203241,0.005824,0.048002,0.000576,0.013473,0.000352,0.001408,0.001024,0.000352,0.900071
0.419891,0.210217,0.203433,0.005601,0.047938,0.000544,0.013504,0.000352,0.001377,0.000960,0.000352,0.912489
0.436851,0.221257,0.205225,0.005537,0.047330,0.001024,0.013505,0.000384,0.001440,0.000992,0.000384,0.943754
0.415570,0.250763,0.203465,0.005600,0.047554,0.000544,0.013473,0.000384,0.001440,0.000928,0.000416,0.948362
0.420211,0.207657,0.203561,0.005600,0.047395,0.000768,0.013440,0.000352,0.001504,0.000928,0.000416,0.910472
0.420754,0.236203,0.203785,0.005504,0.047522,0.000576,0.013505,0.000352,0.001472,0.001152,0.000608,0.939466
0.420211,0.214409,0.203817,0.005313,0.047298,0.000992,0.013472,0.000384,0.001409,0.000896,0.000352,0.917417
0.419378,0.215850,0.203529,0.005536,0.047298,0.000544,0.013473,0.000384,0.001440,0.000960,0.000352,0.916040
0.419891,0.210409,0.203689,0.005537,0.047842,0.000544,0.013472,0.000320,0.001441,0.000960,0.000320,0.913993
0.419699,0.210121,0.203145,0.005537,0.047042,0.000608,0.013472,0.000352,0.001504,0.000961,0.000320,0.910377
0.419666,0.225130,0.203145,0.005440,0.046882,0.000576,0.013537,0.000352,0.001408,0.000992,0.000352,0.925673
0.420947,0.210313,0.203241,0.009441,0.046882,0.000544,0.013441,0.000320,0.001472,0.000960,0.000352,0.916297
0.431731,0.224554,0.203913,0.009376,0.046914,0.000768,0.013472,0.000384,0.001440,0.000960,0.000384,0.943145
0.415122,0.220874,0.203305,0.005504,0.046850,0.000544,0.013505,0.000352,0.001440,0.000928,0.000352,0.916520
0.420499,0.235754,0.203945,0.005504,0.046978,0.000576,0.013473,0.000384,0.001408,0.000960,0.000384,0.937289
0.415059,0.201065,0.221258,0.009664,0.046818,0.000800,0.013473,0.000352,0.001440,0.000992,0.000384,0.920489
0.420211,0.213001,0.204361,0.005440,0.046882,0.001024,0.013472,0.000352,0.001536,0.000896,0.000384,0.915464
0.420147,0.206057,0.203721,0.005248,0.046978,0.000992,0.013473,0.000384,0.001472,0.000896,0.000384,0.907432
0.415602,0.200681,0.203017,0.005376,0.046882,0.000960,0.013408,0.000352,0.001440,0.000960,0.000352,0.897223
0.437043,0.215849,0.203081,0.009313,0.046850,0.000544,0.013472,0.000352,0.001408,0.000928,0.000352,0.937353
0.415538,0.239274,0.203209,0.005280,0.046818,0.000577,0.013440,0.000352,0.001408,0.000960,0.000416,0.935849
0.415059,0.195656,0.203369,0.005473,0.046786,0.000576,0.013472,0.000352,0.001408,0.000928,0.000416,0.891208
0.420530,0.203593,0.222090,0.005408,0.047106,0.000736,0.013569,0.000352,0.001376,0.000928,0.000384,0.924105
0.415187,0.220938,0.203401,0.005472,0.047074,0.000800,0.013409,0.000352,0.001504,0.000928,0.000576,0.918857
0.419891,0.258955,0.205513,0.005601,0.047234,0.000576,0.013472,0.000384,0.001408,0.000961,0.000608,0.963019
0.415346,0.265580,0.203529,0.009505,0.046978,0.000992,0.013792,0.000352,0.001472,0.000960,0.000384,0.968139
