Layer[0],TEE[1-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.421171,0.260459,0.203945,0.005344,0.047586,0.000576,0.013632,0.000384,0.001504,0.000928,0.000672,0.964938
0.420275,0.212425,0.243307,0.014337,0.048002,0.000800,0.013505,0.000320,0.001472,0.000992,0.000608,0.966955
0.415506,0.234154,0.203145,0.005409,0.047330,0.000576,0.013440,0.000384,0.001504,0.000928,0.000352,0.930985
0.421138,0.256364,0.202953,0.005600,0.047202,0.000800,0.013409,0.000352,0.001408,0.000992,0.000384,0.959370
0.416242,0.255372,0.203305,0.005248,0.048834,0.000544,0.013537,0.000352,0.001472,0.000928,0.000352,0.953322
0.434259,0.264811,0.203977,0.005569,0.047522,0.000768,0.013664,0.000352,0.001633,0.000992,0.000576,0.982379
0.419442,0.217321,0.203305,0.005504,0.047202,0.000800,0.013408,0.000320,0.001536,0.000992,0.000352,0.919048
0.419955,0.225386,0.203753,0.005600,0.048322,0.000768,0.013473,0.000384,0.001440,0.000992,0.000608,0.929961
0.416243,0.231338,0.203401,0.005504,0.048674,0.000576,0.013473,0.000416,0.001472,0.000864,0.000576,0.932361
0.417106,0.231914,0.202953,0.005664,0.047779,0.000800,0.013440,0.000352,0.001472,0.000992,0.000608,0.931176
0.415986,0.218698,0.203465,0.005696,0.048738,0.000640,0.013473,0.000352,0.001408,0.000928,0.000640,0.919368
0.420947,0.245771,0.203529,0.005760,0.079267,0.001505,0.014720,0.000352,0.001504,0.001568,0.000800,0.989227
0.419763,0.225994,0.203273,0.009408,0.047554,0.000544,0.013409,0.000352,0.001472,0.000992,0.000384,0.931145
0.416147,0.240298,0.203305,0.005345,0.049410,0.001024,0.013472,0.000352,0.001440,0.000929,0.000576,0.940106
0.421298,0.238219,0.205001,0.005600,0.048866,0.000576,0.013569,0.000384,0.001568,0.000992,0.000608,0.946153
0.429523,0.225802,0.203433,0.005601,0.048322,0.000544,0.013472,0.000384,0.001473,0.000960,0.000608,0.938794
0.420626,0.234123,0.203881,0.005600,0.047618,0.000576,0.013409,0.000384,0.001440,0.000960,0.000288,0.937481
0.414674,0.276748,0.202857,0.005441,0.047426,0.000800,0.013472,0.000352,0.001408,0.000992,0.000352,0.973515
0.415570,0.277804,0.203145,0.005409,0.047202,0.000576,0.013440,0.000352,0.001440,0.000960,0.000608,0.975403
0.420019,0.217065,0.203049,0.009409,0.047138,0.000576,0.013440,0.000352,0.001472,0.001088,0.000384,0.922665
0.421394,0.237515,0.203177,0.005440,0.047042,0.000576,0.013473,0.000352,0.001472,0.000960,0.000608,0.941001
0.420243,0.216361,0.203337,0.005569,0.047778,0.000768,0.013440,0.000320,0.001377,0.000928,0.000352,0.918665
0.416498,0.222954,0.203145,0.005632,0.047394,0.000576,0.013409,0.000352,0.001472,0.000896,0.000352,0.921480
0.419731,0.213641,0.202857,0.005568,0.047266,0.000544,0.013473,0.000352,0.001440,0.000896,0.000352,0.914824
0.420531,0.216297,0.203432,0.005505,0.047810,0.000576,0.013408,0.000384,0.001472,0.000896,0.000352,0.919049
0.434131,0.236170,0.203176,0.005377,0.047970,0.000544,0.013440,0.000352,0.001504,0.000992,0.000384,0.953002
0.420274,0.265036,0.203113,0.005344,0.047330,0.000992,0.013441,0.000352,0.001568,0.000928,0.000416,0.967243
0.420594,0.242187,0.203145,0.005600,0.048002,0.000576,0.013440,0.000352,0.001504,0.000960,0.000320,0.946057
0.415314,0.224362,0.218666,0.005440,0.047298,0.001024,0.013409,0.000384,0.001440,0.000960,0.000608,0.937801
0.419698,0.233835,0.203049,0.005376,0.048290,0.000800,0.013441,0.000384,0.001472,0.000960,0.000352,0.935881
0.417874,0.219210,0.203273,0.005632,0.048226,0.000544,0.013441,0.000384,0.001440,0.000960,0.000352,0.920392
0.415410,0.230858,0.203433,0.005633,0.047874,0.000576,0.013440,0.000352,0.001504,0.000960,0.000609,0.929161
0.415667,0.278188,0.203209,0.005760,0.047714,0.000576,0.013409,0.000352,0.001440,0.000928,0.000384,0.975627
0.417170,0.205961,0.203337,0.005600,0.047042,0.000576,0.013441,0.000416,0.001440,0.000960,0.000352,0.904968
0.415218,0.227274,0.203081,0.005600,0.046946,0.000768,0.013441,0.000352,0.001472,0.000960,0.000352,0.923784
0.415474,0.228842,0.203049,0.005568,0.047234,0.000608,0.013441,0.000384,0.001344,0.000960,0.000384,0.926569
0.415282,0.228458,0.203081,0.005728,0.047298,0.000576,0.013473,0.000384,0.001408,0.001024,0.000352,0.925448
0.420851,0.230346,0.203049,0.005568,0.047906,0.000992,0.013504,0.000352,0.001536,0.000960,0.000640,0.934633
0.419731,0.235914,0.203369,0.005441,0.066883,0.000800,0.013504,0.000352,0.001472,0.000992,0.000576,0.957675
0.415186,0.214793,0.202953,0.005537,0.047778,0.000992,0.013472,0.000352,0.001408,0.000928,0.000609,0.911912
0.415378,0.227050,0.202921,0.005376,0.047362,0.000832,0.013537,0.000416,0.001440,0.000928,0.000352,0.925000
0.420019,0.218250,0.202953,0.005600,0.047650,0.000800,0.013441,0.000320,0.001472,0.000992,0.000352,0.920233
0.434707,0.224074,0.203337,0.009505,0.048578,0.000544,0.013408,0.000352,0.001377,0.001056,0.000384,0.946314
0.421363,0.217161,0.203145,0.005536,0.047203,0.000800,0.013408,0.000352,0.001408,0.001056,0.000384,0.920168
0.416947,0.234058,0.203337,0.005568,0.047778,0.000576,0.013441,0.000384,0.001536,0.001152,0.000384,0.935081
0.420755,0.296237,0.203401,0.005504,0.047778,0.000608,0.013441,0.000384,0.001472,0.001088,0.000544,1.000908
0.416691,0.233002,0.203113,0.005504,0.047554,0.000545,0.013440,0.000352,0.001536,0.001120,0.000384,0.931657
0.416723,0.220617,0.203209,0.005601,0.047202,0.000800,0.013536,0.000416,0.001440,0.001089,0.000320,0.919913
0.420243,0.253579,0.202889,0.005568,0.048098,0.000576,0.013505,0.000320,0.001472,0.001088,0.000384,0.956298
0.420274,0.265100,0.203369,0.005440,0.047970,0.000768,0.013825,0.000352,0.001440,0.001088,0.000416,0.968426
0.421266,0.268684,0.203529,0.009441,0.047842,0.000800,0.013440,0.000352,0.001472,0.001120,0.000576,0.978155
0.419954,0.205065,0.203017,0.005281,0.047618,0.000576,0.013440,0.000384,0.001536,0.000929,0.000352,0.906216
0.436403,0.251755,0.202921,0.005504,0.049122,0.000576,0.013537,0.000384,0.001472,0.001088,0.000608,0.972010
0.415763,0.260907,0.203337,0.005568,0.047266,0.000576,0.013473,0.000384,0.001472,0.000896,0.000384,0.957866
0.416146,0.222602,0.202953,0.005504,0.046883,0.000576,0.013440,0.000352,0.001504,0.000960,0.000384,0.918920
0.416531,0.291820,0.203080,0.005409,0.046818,0.000608,0.013472,0.000352,0.001377,0.000992,0.000320,0.989068
0.415443,0.222601,0.203081,0.005633,0.047330,0.000576,0.013440,0.000352,0.001472,0.000960,0.000832,0.919081
0.419891,0.205417,0.203785,0.005536,0.046946,0.000576,0.013441,0.000384,0.001440,0.000928,0.000576,0.907752
0.420691,0.224682,0.203305,0.005504,0.046978,0.000576,0.013473,0.000384,0.001504,0.000896,0.000320,0.926473
0.419666,0.217898,0.203209,0.005632,0.046882,0.000576,0.013473,0.000352,0.001408,0.000928,0.000352,0.919400
0.416050,0.204425,0.203401,0.005344,0.047203,0.000544,0.013440,0.000320,0.001504,0.000896,0.000384,0.902439
0.420306,0.247883,0.203305,0.005217,0.047266,0.000736,0.013408,0.000384,0.001473,0.001056,0.000320,0.951082
0.436435,0.221930,0.203369,0.005632,0.046850,0.000736,0.013441,0.000352,0.001472,0.001024,0.000608,0.941641
0.417106,0.207402,0.202984,0.005376,0.046914,0.000576,0.013536,0.000353,0.001440,0.000960,0.000384,0.906312
0.421618,0.223977,0.203849,0.005377,0.047042,0.000576,0.013504,0.000352,0.001441,0.001056,0.000384,0.928105
0.420819,0.216585,0.204393,0.005473,0.063810,0.000961,0.013856,0.000352,0.001472,0.000960,0.000352,0.938825
0.415762,0.226378,0.204073,0.005504,0.046914,0.000768,0.013569,0.000384,0.001440,0.000928,0.000416,0.924968
0.420466,0.215754,0.203817,0.005568,0.047458,0.000544,0.013473,0.000352,0.001472,0.000992,0.000576,0.919816
0.418098,0.215113,0.203145,0.005569,0.047970,0.000768,0.013504,0.000384,0.001537,0.000864,0.000384,0.915465
0.431795,0.217801,0.203465,0.005505,0.048034,0.000608,0.013632,0.000320,0.001440,0.000961,0.000352,0.932777
0.416818,0.218666,0.203465,0.005504,0.048002,0.000992,0.013601,0.000320,0.001504,0.000928,0.000384,0.918792
0.415251,0.252619,0.203241,0.005536,0.047842,0.000576,0.013633,0.000320,0.001472,0.000960,0.000352,0.950122
0.420307,0.217225,0.217066,0.005344,0.047586,0.000832,0.013505,0.000352,0.001472,0.000928,0.000352,0.933929
0.420050,0.262028,0.203305,0.005568,0.047522,0.000960,0.013857,0.000352,0.001472,0.001088,0.000352,0.966986
0.415378,0.215402,0.203753,0.005568,0.047906,0.000576,0.013409,0.000352,0.001504,0.001120,0.000352,0.913608
0.420946,0.229706,0.203849,0.005569,0.048642,0.000768,0.013632,0.000353,0.001408,0.001024,0.000320,0.934537
0.415378,0.226442,0.203337,0.005376,0.048290,0.000576,0.013569,0.000352,0.001440,0.001120,0.000608,0.925192
0.419922,0.221514,0.203209,0.005568,0.047362,0.000608,0.013473,0.000384,0.001376,0.001056,0.000416,0.924072
0.419859,0.249067,0.203529,0.005280,0.047618,0.000608,0.013505,0.000352,0.001472,0.001184,0.000576,0.951178
0.431187,0.226570,0.203561,0.005568,0.048098,0.000608,0.013441,0.000384,0.001504,0.001184,0.000576,0.941833
0.420115,0.227178,0.203049,0.005536,0.047714,0.000576,0.013793,0.000352,0.001504,0.001024,0.000384,0.929801
0.420498,0.220394,0.203337,0.005568,0.047778,0.000768,0.013953,0.000352,0.001536,0.000992,0.000608,0.924040
0.421427,0.260587,0.219529,0.005344,0.048099,0.001024,0.013824,0.000384,0.001408,0.001056,0.000608,0.982700
0.420915,0.214889,0.203209,0.005504,0.047714,0.000768,0.013793,0.000352,0.001440,0.001088,0.000640,0.918696
0.420018,0.229162,0.203177,0.005472,0.047586,0.000576,0.013825,0.000352,0.001536,0.001056,0.000384,0.932137
0.420050,0.214154,0.203625,0.005504,0.047586,0.000768,0.013729,0.000352,0.001440,0.001088,0.000320,0.917480
0.436147,0.213162,0.202953,0.005536,0.047202,0.000544,0.013633,0.000320,0.001408,0.001120,0.000384,0.931241
0.420562,0.208137,0.203849,0.005601,0.047970,0.000768,0.014272,0.000384,0.001440,0.001057,0.000576,0.914024
0.415219,0.217577,0.203273,0.005313,0.048066,0.001024,0.013728,0.000352,0.001440,0.001121,0.000352,0.916649
0.422002,0.254348,0.203753,0.005312,0.047906,0.000992,0.013729,0.000352,0.001472,0.001024,0.000576,0.960970
0.415890,0.216650,0.203305,0.005376,0.047650,0.000800,0.013953,0.000384,0.001472,0.001184,0.000416,0.916008
0.421427,0.225642,0.204041,0.005472,0.047746,0.000768,0.013729,0.000384,0.001408,0.001152,0.000576,0.930921
0.426323,0.237290,0.203305,0.005312,0.065859,0.000864,0.013601,0.000352,0.001472,0.001088,0.000576,0.965738
0.420179,0.217417,0.204041,0.005473,0.047778,0.000800,0.013440,0.000384,0.001472,0.001184,0.000352,0.921129
0.415186,0.220138,0.203209,0.005472,0.047746,0.001024,0.013505,0.000352,0.001536,0.001056,0.000576,0.918056
0.420755,0.222281,0.203592,0.005537,0.047298,0.000800,0.013408,0.000352,0.001505,0.001056,0.000576,0.925577
0.436787,0.248907,0.203241,0.005313,0.047554,0.000576,0.013504,0.000352,0.001344,0.001152,0.000353,0.967723
0.420051,0.218634,0.203432,0.009408,0.047490,0.000608,0.013537,0.000288,0.001408,0.001184,0.000320,0.925641
0.420978,0.248907,0.203913,0.005537,0.047298,0.000800,0.013504,0.000352,0.001440,0.000992,0.000416,0.952841
0.416242,0.296653,0.203497,0.005504,0.047842,0.000801,0.013472,0.000320,0.001440,0.001152,0.000640,0.997291
0.419090,0.249387,0.203305,0.005536,0.048291,0.000544,0.013728,0.000352,0.001536,0.001056,0.000640,0.952681
0.420467,0.216169,0.203337,0.005313,0.047426,0.000800,0.013472,0.000352,0.001440,0.000928,0.000576,0.918377
0.421266,0.202409,0.203369,0.005569,0.048130,0.000992,0.013472,0.000384,0.001440,0.000929,0.000640,0.906696
0.416082,0.239211,0.202921,0.005568,0.047746,0.000992,0.013505,0.000352,0.001408,0.001120,0.000384,0.937417
0.416019,0.214025,0.203593,0.005472,0.046946,0.000737,0.013440,0.000352,0.001408,0.000992,0.000352,0.911336
0.420499,0.210761,0.203241,0.005280,0.047618,0.000992,0.013376,0.000384,0.001536,0.001024,0.000576,0.914216
0.428402,0.266507,0.204265,0.005664,0.047203,0.000544,0.013504,0.000384,0.001536,0.000928,0.000672,0.978954
0.420306,0.215050,0.204105,0.005504,0.047394,0.000768,0.013441,0.000352,0.001472,0.000960,0.000384,0.918856
0.415826,0.243755,0.202985,0.005568,0.047970,0.000768,0.013473,0.000320,0.001440,0.000992,0.000608,0.942505
0.415219,0.257771,0.203465,0.005472,0.047747,0.000896,0.013568,0.000352,0.001472,0.000992,0.000352,0.957834
0.418739,0.209609,0.203017,0.009504,0.047746,0.000576,0.013601,0.000320,0.001536,0.001440,0.000352,0.916520
0.414802,0.206217,0.203433,0.005376,0.048387,0.000576,0.013472,0.000320,0.001408,0.000736,0.000320,0.903623
0.415794,0.228458,0.203593,0.005568,0.048514,0.000608,0.013569,0.000384,0.001472,0.000992,0.000384,0.927816
0.415314,0.234059,0.203593,0.005504,0.048610,0.000576,0.013505,0.000416,0.001376,0.000960,0.000384,0.932457
0.420371,0.232714,0.203337,0.005568,0.047939,0.000544,0.013472,0.000352,0.001408,0.000928,0.000352,0.934761
0.416562,0.235114,0.203529,0.005569,0.047362,0.000544,0.013472,0.000352,0.001408,0.001025,0.000384,0.933193
0.436915,0.261643,0.203113,0.005569,0.047490,0.000608,0.013536,0.000416,0.001409,0.000928,0.000352,0.979787
0.420755,0.226442,0.202921,0.005440,0.047586,0.001024,0.013505,0.000384,0.001472,0.000960,0.000640,0.929417
0.419634,0.266572,0.203465,0.005440,0.046850,0.001024,0.013536,0.000384,0.001408,0.000960,0.000384,0.968042
0.420082,0.219273,0.222666,0.005600,0.047362,0.000800,0.013537,0.000352,0.001440,0.001056,0.000608,0.942249
0.420339,0.201673,0.203465,0.005440,0.047394,0.000608,0.013409,0.000352,0.001344,0.000928,0.000384,0.904200
0.420115,0.221577,0.203625,0.005601,0.047138,0.001024,0.013440,0.000320,0.001441,0.000928,0.000576,0.924329
0.422099,0.200553,0.203177,0.005472,0.047554,0.000576,0.013537,0.000352,0.001440,0.000960,0.000352,0.904680
0.436724,0.226730,0.203689,0.005600,0.047746,0.000544,0.013537,0.000352,0.001440,0.000960,0.000384,0.946058
0.415155,0.217801,0.203273,0.009505,0.047490,0.000576,0.013472,0.000384,0.001440,0.000929,0.000384,0.918985
0.420147,0.212297,0.203657,0.005312,0.047458,0.000544,0.013473,0.000416,0.001440,0.000960,0.000544,0.913832
0.420626,0.237738,0.203433,0.005408,0.047138,0.000544,0.013505,0.000352,0.001408,0.000960,0.000576,0.940489
0.419730,0.233738,0.202921,0.005569,0.048066,0.000768,0.013472,0.000352,0.001408,0.000993,0.000608,0.935657
0.419667,0.271148,0.202761,0.005568,0.047266,0.000768,0.013409,0.000352,0.001440,0.000864,0.000384,0.971979
0.415666,0.226570,0.203017,0.005568,0.047554,0.000768,0.013473,0.000352,0.001440,0.000960,0.000384,0.923592
0.415538,0.214505,0.203305,0.005441,0.048546,0.000576,0.013440,0.000352,0.001408,0.001056,0.000609,0.913224
0.419859,0.224810,0.203177,0.005600,0.047970,0.000608,0.013569,0.000320,0.001408,0.000960,0.000576,0.927017
0.420211,0.202473,0.203273,0.009408,0.047458,0.000544,0.013505,0.000352,0.001408,0.000928,0.000608,0.908360
0.437395,0.228394,0.203336,0.005633,0.047010,0.001024,0.013504,0.000384,0.001440,0.001088,0.000352,0.949258
0.419699,0.223818,0.203081,0.009344,0.046946,0.000576,0.013441,0.000384,0.001408,0.000960,0.000640,0.929193
0.420914,0.225578,0.203913,0.005568,0.046882,0.000576,0.013505,0.000352,0.001504,0.000896,0.000384,0.928200
0.420178,0.221673,0.203305,0.005632,0.065347,0.000864,0.013569,0.000352,0.001504,0.000896,0.000384,0.942889
0.421139,0.231242,0.203433,0.005728,0.048162,0.000576,0.013473,0.000384,0.001440,0.000896,0.000640,0.935433
0.420243,0.207753,0.202729,0.005376,0.047266,0.000640,0.013537,0.000352,0.001472,0.000928,0.000352,0.908200
0.415730,0.216329,0.203529,0.005473,0.047554,0.000576,0.013536,0.000384,0.001440,0.001056,0.000576,0.914888
0.432947,0.221418,0.204457,0.005344,0.047330,0.000544,0.013441,0.000352,0.001504,0.000992,0.000384,0.937321
0.419602,0.210730,0.203529,0.009440,0.047426,0.000576,0.013473,0.000384,0.001408,0.000960,0.000384,0.916360
0.419858,0.213226,0.203241,0.005504,0.048354,0.000768,0.013441,0.000320,0.001536,0.000992,0.000576,0.916968
0.420242,0.250571,0.222634,0.012641,0.048610,0.000992,0.013440,0.000352,0.001441,0.000960,0.000576,0.982827
0.419410,0.227658,0.203145,0.005377,0.048354,0.000576,0.013760,0.000384,0.001440,0.000928,0.000608,0.931081
0.415859,0.232618,0.203081,0.005568,0.047074,0.000736,0.013761,0.000384,0.001408,0.000960,0.000608,0.930153
0.420339,0.224618,0.203369,0.005600,0.048674,0.000992,0.013441,0.000320,0.001440,0.000960,0.000576,0.929289
0.419762,0.236107,0.203561,0.005600,0.047650,0.000576,0.013729,0.000384,0.001504,0.000928,0.000320,0.938377
0.419763,0.249579,0.203497,0.005536,0.047170,0.000544,0.013697,0.000352,0.001440,0.000992,0.000416,0.951178
0.415570,0.214506,0.203144,0.005600,0.047554,0.000768,0.013473,0.000384,0.001440,0.000960,0.000576,0.913064
0.431891,0.220586,0.203273,0.005568,0.047874,0.000768,0.013505,0.000352,0.001408,0.000928,0.000544,0.935177
0.419571,0.213321,0.203849,0.005536,0.047682,0.000736,0.013473,0.000352,0.001440,0.001184,0.000576,0.916648
0.422451,0.253707,0.205481,0.007840,0.048674,0.001024,0.013632,0.000384,0.001504,0.001152,0.000576,0.965642
0.416594,0.230314,0.222890,0.007681,0.048354,0.000800,0.013760,0.000416,0.001440,0.001025,0.000544,0.952970
0.415730,0.226154,0.204201,0.007552,0.047299,0.000576,0.013728,0.000320,0.001376,0.001088,0.000576,0.927560
0.420083,0.262091,0.203817,0.010945,0.048066,0.000768,0.013761,0.000352,0.001408,0.001184,0.000384,0.972011
0.421427,0.220714,0.203433,0.007680,0.047586,0.000992,0.013409,0.000416,0.001568,0.001184,0.000544,0.926985
0.421683,0.207689,0.204265,0.007360,0.048194,0.000768,0.014049,0.000384,0.001504,0.001088,0.000544,0.916360
0.416722,0.211593,0.203369,0.007072,0.048034,0.001024,0.013889,0.000384,0.001504,0.001152,0.000352,0.914440
0.419378,0.228330,0.203657,0.005568,0.047779,0.000832,0.013920,0.000352,0.001504,0.001088,0.000576,0.932073
0.439475,0.238826,0.204201,0.005537,0.048194,0.001024,0.013440,0.000384,0.001505,0.001184,0.000352,0.963787
0.416691,0.229930,0.203561,0.005408,0.048066,0.000768,0.013409,0.000384,0.001440,0.001088,0.000352,0.930665
0.420114,0.215498,0.203529,0.005472,0.048226,0.000576,0.013409,0.000384,0.001440,0.001184,0.000576,0.919624
0.421010,0.223337,0.221354,0.005600,0.049059,0.000800,0.013440,0.000352,0.001408,0.001024,0.000352,0.946889
0.420530,0.211561,0.205001,0.005569,0.047298,0.000576,0.013472,0.000384,0.001409,0.001152,0.000384,0.916520
0.415410,0.208201,0.203497,0.009472,0.047875,0.000576,0.013472,0.000320,0.001408,0.001120,0.000352,0.910663
0.417619,0.252587,0.203561,0.005600,0.048578,0.000800,0.013473,0.000416,0.001440,0.001216,0.000352,0.955722
0.441139,0.222377,0.204425,0.009537,0.047938,0.000576,0.013569,0.000352,0.001504,0.001088,0.000352,0.951146
0.420722,0.281645,0.203657,0.005600,0.047586,0.000768,0.013793,0.000416,0.001472,0.001184,0.000352,0.987019
0.417586,0.229514,0.203369,0.005505,0.048130,0.000768,0.013440,0.000352,0.001473,0.001056,0.000608,0.930473
0.430067,0.248523,0.202953,0.005536,0.048515,0.000576,0.013568,0.000352,0.001408,0.001088,0.000544,0.962154
0.416114,0.227850,0.203657,0.005568,0.048482,0.000576,0.013569,0.000352,0.001440,0.000992,0.000576,0.928360
0.420818,0.275564,0.203273,0.005632,0.048354,0.000608,0.013504,0.000352,0.001504,0.001120,0.000352,0.980043
0.420818,0.250731,0.220393,0.005665,0.047618,0.000992,0.013824,0.000384,0.001472,0.001056,0.000352,0.973227
0.420146,0.223305,0.203145,0.005569,0.048258,0.000544,0.013536,0.000384,0.001504,0.001057,0.000576,0.926633
0.415794,0.220298,0.203849,0.005280,0.047842,0.000608,0.013569,0.000416,0.001504,0.001152,0.000576,0.919816
0.416114,0.224234,0.203433,0.005568,0.047010,0.000545,0.013472,0.000384,0.001504,0.001120,0.000608,0.923464
0.421586,0.224649,0.203529,0.005377,0.047938,0.000832,0.013760,0.000352,0.001441,0.001088,0.000352,0.930313
0.416274,0.216586,0.203561,0.005504,0.047970,0.000576,0.014049,0.000384,0.001536,0.001088,0.000608,0.917416
0.420467,0.221258,0.203497,0.005792,0.048290,0.000544,0.013441,0.000384,0.001504,0.001184,0.000576,0.925705
0.415314,0.251723,0.207049,0.005536,0.047235,0.000544,0.013440,0.000384,0.001504,0.001120,0.000576,0.953353
0.420083,0.216553,0.203881,0.005312,0.047907,0.000576,0.013728,0.000384,0.001440,0.001120,0.000384,0.919848
0.420691,0.225418,0.202793,0.006048,0.047938,0.000576,0.013825,0.000352,0.001440,0.001056,0.000384,0.929321
0.420850,0.225833,0.224009,0.008833,0.048258,0.000800,0.013505,0.000320,0.001440,0.000992,0.000576,0.956330
0.420947,0.226346,0.203016,0.005568,0.047810,0.000992,0.013473,0.000320,0.001472,0.001088,0.000640,0.930441
0.415474,0.222506,0.203721,0.005536,0.048418,0.000736,0.013857,0.000320,0.001440,0.001024,0.000608,0.922088
0.420562,0.229738,0.203465,0.005408,0.047394,0.000992,0.013473,0.000384,0.001504,0.001056,0.000608,0.933833
0.432306,0.223081,0.203273,0.005569,0.047650,0.000576,0.013728,0.000352,0.001472,0.001184,0.000609,0.938313
0.414994,0.212969,0.204008,0.005601,0.047778,0.001024,0.013984,0.000384,0.001504,0.001024,0.000352,0.912680
0.420371,0.222249,0.203400,0.005569,0.047938,0.000800,0.013472,0.000320,0.001473,0.001152,0.000352,0.925641
0.420274,0.242923,0.203241,0.005536,0.048034,0.000544,0.013537,0.000352,0.001408,0.001056,0.000352,0.946025
0.419986,0.238635,0.203529,0.005568,0.047714,0.000992,0.013409,0.000384,0.001472,0.000992,0.000384,0.941769
0.416051,0.212425,0.203593,0.005600,0.047906,0.000800,0.013569,0.000352,0.001440,0.001152,0.000352,0.912040
0.419826,0.228170,0.203657,0.009504,0.047266,0.000544,0.013473,0.000352,0.001440,0.001056,0.000352,0.934185
0.420467,0.261355,0.203209,0.005409,0.047682,0.000992,0.013472,0.000320,0.001440,0.001056,0.000576,0.964427
0.420754,0.228362,0.203401,0.005505,0.047554,0.000768,0.013472,0.000416,0.001504,0.001057,0.000576,0.932169
0.416178,0.259820,0.203145,0.005440,0.047458,0.000576,0.013537,0.000352,0.001472,0.000992,0.000608,0.959210
0.439123,0.269388,0.203401,0.005504,0.047907,0.000576,0.013440,0.000352,0.001504,0.001056,0.000384,0.991371
0.416306,0.233899,0.206825,0.005376,0.048162,0.000576,0.013537,0.000448,0.001440,0.001184,0.000384,0.937417
0.421939,0.243595,0.202985,0.005536,0.048354,0.000576,0.013857,0.000320,0.001440,0.001056,0.000320,0.948778
0.416210,0.246379,0.207465,0.005568,0.047874,0.000768,0.013665,0.000352,0.001760,0.000960,0.000384,0.950505
0.421074,0.209353,0.203593,0.005568,0.047938,0.000736,0.013409,0.000320,0.001536,0.000928,0.000352,0.913416
0.416050,0.216202,0.204553,0.005472,0.048194,0.000800,0.013665,0.000352,0.001536,0.001024,0.000384,0.917000
0.416786,0.218282,0.203177,0.005568,0.047074,0.000576,0.013665,0.000448,0.001728,0.001056,0.000352,0.934025
0.417042,0.219978,0.203945,0.009600,0.047298,0.000992,0.013633,0.000384,0.001504,0.000960,0.000384,0.924296
0.421107,0.225962,0.204425,0.005440,0.047042,0.000768,0.013537,0.000384,0.001504,0.000928,0.000320,0.931337
0.421587,0.239434,0.203977,0.005568,0.047586,0.000576,0.013600,0.000416,0.001472,0.000992,0.000384,0.944585
0.432851,0.234282,0.203369,0.009537,0.048290,0.000576,0.013536,0.000352,0.001473,0.001056,0.000384,0.954506
0.416082,0.229994,0.204297,0.005600,0.047874,0.000576,0.013537,0.000320,0.001408,0.001120,0.000352,0.930313
0.416339,0.243658,0.203560,0.009601,0.047842,0.000576,0.013665,0.000320,0.001376,0.000960,0.000320,0.947050
0.417778,0.249035,0.203305,0.005345,0.047970,0.000544,0.013568,0.000352,0.001536,0.000960,0.000609,0.949706
0.417106,0.205513,0.203337,0.005537,0.047330,0.000800,0.013568,0.000352,0.001408,0.000992,0.000352,0.904263
0.417395,0.206857,0.202665,0.005568,0.047266,0.000768,0.013601,0.000352,0.001472,0.000928,0.000384,0.905896
0.415698,0.220042,0.203081,0.005536,0.049218,0.000768,0.013953,0.000384,0.001472,0.001216,0.000384,0.922536
0.420722,0.261772,0.204777,0.006016,0.048002,0.000768,0.013889,0.000352,0.001408,0.001568,0.000608,0.971754
0.416722,0.235339,0.202857,0.005952,0.047842,0.000544,0.013729,0.000352,0.001568,0.001120,0.000384,0.935625
0.421522,0.236202,0.203529,0.005440,0.048258,0.000800,0.013665,0.000384,0.001440,0.000928,0.000352,0.941545
0.439444,0.229482,0.203977,0.005664,0.047778,0.000768,0.013409,0.000384,0.001440,0.000960,0.000352,0.952554
0.422515,0.283021,0.207049,0.005856,0.048706,0.000768,0.014081,0.000352,0.001792,0.002016,0.000864,0.999596
0.418034,0.230890,0.203657,0.005440,0.048419,0.000800,0.013632,0.000352,0.001536,0.001344,0.000320,0.932937
0.422771,0.255563,0.204265,0.005472,0.047906,0.000576,0.013761,0.000384,0.001504,0.000960,0.000352,0.961578
0.418835,0.252811,0.204233,0.005376,0.049154,0.000736,0.013729,0.000384,0.001536,0.000928,0.000352,0.956170
0.415314,0.208713,0.203208,0.012385,0.050018,0.000960,0.013665,0.000352,0.001472,0.001120,0.000384,0.916776
0.417074,0.223722,0.203625,0.005504,0.048099,0.000736,0.013728,0.000352,0.001536,0.000960,0.000576,0.924936
0.416722,0.235914,0.203529,0.005312,0.047682,0.000544,0.013569,0.000352,0.001472,0.000992,0.000608,0.935049
0.415859,0.218665,0.203657,0.005409,0.048322,0.000800,0.014176,0.000384,0.001440,0.000961,0.000352,0.918825
0.416978,0.221194,0.203945,0.005440,0.047842,0.000576,0.013473,0.000320,0.001440,0.000992,0.000320,0.921256
0.433523,0.264716,0.203113,0.005504,0.048034,0.000544,0.013601,0.000352,0.001440,0.000992,0.000608,0.981387
0.416626,0.232874,0.203625,0.005568,0.049282,0.000576,0.013825,0.000384,0.001568,0.001152,0.000608,0.935145
0.417106,0.225386,0.203561,0.005536,0.047554,0.000577,0.014016,0.000352,0.001888,0.000960,0.000384,0.925736
0.416530,0.227017,0.221417,0.005409,0.048962,0.000800,0.013888,0.000320,0.001536,0.001057,0.000576,0.947594
0.421074,0.218090,0.203561,0.005376,0.048066,0.000832,0.013697,0.000384,0.001568,0.001024,0.000352,0.922056
