Layer[0],TEE[1-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.420273,0.772992,0.000768,0.002368,0.001024,0.000384,1.204881
0.420401,0.761983,0.000864,0.002240,0.001216,0.000384,1.194321
0.420625,0.782112,0.000928,0.002272,0.001120,0.000576,1.215186
0.420561,0.770816,0.000832,0.002112,0.001024,0.000416,1.203089
0.416849,0.767328,0.000768,0.002208,0.001088,0.000416,1.195345
0.438226,0.758847,0.000672,0.002080,0.000960,0.000352,1.208369
0.422769,0.763936,0.000736,0.002240,0.001024,0.000384,1.197969
0.422193,0.767519,0.000704,0.002304,0.001024,0.000416,1.201201
0.440850,0.772800,0.001088,0.003072,0.001088,0.000416,1.226610
0.418001,0.778400,0.000832,0.002368,0.001216,0.000416,1.209073
0.421329,0.792288,0.001024,0.003200,0.001185,0.000416,1.226642
0.416753,0.801313,0.000736,0.002368,0.000992,0.000384,1.229330
0.420753,0.766303,0.000832,0.003264,0.001121,0.000416,1.200049
0.421201,0.781920,0.000800,0.002048,0.000960,0.000417,1.214802
0.417265,0.767808,0.000896,0.002400,0.001056,0.000576,1.197489
0.420337,0.751614,0.000800,0.002144,0.000992,0.000384,1.182417
0.434354,0.776672,0.000928,0.002144,0.001088,0.000640,1.223218
0.420753,0.795041,0.000896,0.002976,0.001184,0.000448,1.228434
0.421137,0.769792,0.000832,0.002560,0.001152,0.000416,1.202801
0.417521,0.777760,0.000864,0.003232,0.001281,0.000416,1.209394
0.416817,0.773887,0.000736,0.002240,0.001184,0.000448,1.202417
0.422865,0.804001,0.000736,0.002400,0.000960,0.000384,1.238706
0.422289,0.758399,0.000864,0.002848,0.001312,0.000448,1.193872
0.422577,0.760767,0.000768,0.002368,0.001152,0.000416,1.195249
0.422769,0.788032,0.000768,0.002144,0.000992,0.000384,1.222162
0.421489,0.757503,0.000800,0.002208,0.001184,0.000416,1.190384
0.423697,0.766975,0.000768,0.002304,0.001120,0.000608,1.202865
0.440018,0.768159,0.000832,0.002112,0.001152,0.000384,1.220562
0.416337,0.766176,0.000736,0.002208,0.001120,0.000384,1.193713
0.417585,0.766271,0.000736,0.002304,0.001120,0.000384,1.196465
0.417809,0.803841,0.000736,0.002304,0.001344,0.000416,1.233618
0.416977,0.768160,0.000832,0.003232,0.001216,0.000352,1.198033
0.422097,0.811234,0.000640,0.002368,0.001024,0.000384,1.244723
0.422833,0.801889,0.000800,0.002368,0.001120,0.000416,1.235922
0.421426,0.759583,0.000736,0.002272,0.001120,0.000352,1.192241
0.422385,0.821506,0.000800,0.002400,0.000960,0.000384,1.254899
0.421457,0.754943,0.000768,0.002368,0.001152,0.000384,1.188081
0.421425,0.764831,0.000768,0.002368,0.001089,0.000352,1.197841
0.438962,0.781568,0.000832,0.002848,0.000992,0.000352,1.234418
0.417905,0.796577,0.000736,0.002080,0.001248,0.000416,1.227058
0.422577,0.767808,0.000928,0.002240,0.000992,0.000352,1.201713
0.421234,0.769919,0.000928,0.002048,0.001184,0.000384,1.202354
0.424274,0.751614,0.000736,0.002016,0.000992,0.000416,1.187409
0.416241,0.783200,0.000832,0.002144,0.000961,0.000384,1.210802
0.421809,0.763359,0.000832,0.002112,0.001024,0.000352,1.195729
0.422226,0.767711,0.000704,0.002048,0.001024,0.000608,1.200881
0.421937,0.790112,0.000768,0.002464,0.001024,0.000416,1.224082
0.416049,0.762015,0.000768,0.002273,0.000992,0.000352,1.189041
0.418513,0.778592,0.000992,0.002304,0.001248,0.000416,1.209681
0.440690,0.781344,0.000768,0.002400,0.001088,0.000352,1.233906
0.420209,0.758367,0.000704,0.002145,0.000992,0.000384,1.189681
0.421617,0.763935,0.000768,0.002145,0.000896,0.000384,1.196305
0.415953,0.792993,0.000736,0.002080,0.001248,0.000416,1.221394
0.416497,0.766879,0.000992,0.002176,0.000928,0.000384,1.194480
0.421297,0.788193,0.000768,0.002144,0.000992,0.000384,1.221106
0.422481,0.790048,0.000736,0.002209,0.001056,0.000352,1.223410
0.420689,0.761279,0.000736,0.002304,0.001088,0.000416,1.193744
0.422514,0.778400,0.000704,0.002144,0.000992,0.000384,1.211602
0.416593,0.775775,0.000736,0.002336,0.001248,0.000384,1.204529
0.421457,0.765055,0.000864,0.002496,0.001056,0.000448,1.197905
0.439122,0.785952,0.000736,0.002240,0.000992,0.000352,1.236818
0.421137,0.762111,0.000864,0.002240,0.001088,0.000416,1.194321
0.417873,0.765568,0.000736,0.002400,0.000960,0.000416,1.194065
0.419697,0.792352,0.000864,0.002592,0.001152,0.000352,1.223666
0.417041,0.748671,0.000800,0.002208,0.000960,0.000352,1.176240
0.418289,0.779872,0.001088,0.003712,0.000992,0.000353,1.210322
0.422418,0.771455,0.000736,0.002368,0.001121,0.000384,1.206546
0.418097,0.759647,0.001152,0.003648,0.000928,0.000384,1.191793
0.420945,0.760223,0.000768,0.002496,0.001088,0.000384,1.194768
0.419890,0.756159,0.000768,0.002752,0.000992,0.000384,1.187473
0.418033,0.739230,0.000832,0.002272,0.001152,0.000416,1.168527
0.417905,0.772576,0.000864,0.002080,0.001056,0.000320,1.201393
0.416497,0.774784,0.000864,0.003104,0.000832,0.000352,1.204561
0.416753,0.757567,0.000768,0.002048,0.000928,0.000352,1.184432
0.430833,0.759871,0.000800,0.002112,0.000896,0.000416,1.200657
0.418129,0.763551,0.000864,0.002368,0.000800,0.000384,1.193360
0.418417,0.790689,0.001216,0.002528,0.000992,0.000352,1.220914
0.415889,0.755391,0.000832,0.002272,0.000864,0.000384,1.182096
0.422546,0.784256,0.000832,0.002240,0.001152,0.000384,1.219474
0.418353,0.767679,0.000768,0.002336,0.000896,0.000576,1.197329
0.421905,0.773727,0.000896,0.002208,0.001025,0.000352,1.208690
0.417905,0.800704,0.000704,0.002560,0.000960,0.000288,1.230130
0.416913,0.797536,0.001248,0.003393,0.001248,0.000352,1.228594
0.416401,0.775744,0.001120,0.003360,0.001056,0.000416,1.205649
0.419985,0.762527,0.000864,0.002528,0.000992,0.000448,1.193296
0.432082,0.761887,0.000992,0.002400,0.000992,0.000416,1.205937
0.418449,0.755359,0.000736,0.002336,0.001184,0.000320,1.184720
0.416081,0.785696,0.000768,0.002304,0.000928,0.000384,1.211921
0.440050,0.767935,0.000832,0.005696,0.001216,0.000512,1.223282
0.417425,0.751935,0.000736,0.002528,0.001088,0.000384,1.180400
0.421906,0.762847,0.000736,0.002464,0.000960,0.000384,1.211826
0.418674,0.791584,0.000704,0.002400,0.001056,0.000384,1.222034
0.422353,0.821762,0.000800,0.002688,0.001216,0.000320,1.256723
0.418001,0.839938,0.000864,0.002432,0.000864,0.000352,1.269812
0.416273,0.800897,0.000928,0.002368,0.000992,0.000352,1.228018
0.416657,0.770912,0.000864,0.003232,0.001056,0.000320,1.200593
0.439122,0.771199,0.000768,0.002464,0.001217,0.000384,1.223186
0.420465,0.765408,0.000704,0.002080,0.001152,0.000352,1.197457
0.416977,0.776320,0.000768,0.002176,0.001152,0.000384,1.206577
0.421841,0.786112,0.000736,0.001856,0.001056,0.000448,1.218609
0.415697,0.796001,0.000704,0.001920,0.000960,0.000352,1.223282
0.415921,0.775648,0.000864,0.002944,0.000864,0.000384,1.204561
0.416721,0.745311,0.000768,0.001888,0.000832,0.000352,1.172976
0.415921,0.755902,0.000801,0.001984,0.000896,0.000320,1.181777
0.415537,0.758847,0.000960,0.001920,0.000992,0.000352,1.184913
0.415793,0.753663,0.000864,0.001856,0.000928,0.000320,1.180240
0.427313,0.909989,0.001920,0.005249,0.003296,0.000608,1.358872
0.449586,0.891813,0.001664,0.004832,0.003264,0.000576,1.361303
0.428434,0.874596,0.001664,0.004416,0.002784,0.000864,1.322646
0.422545,0.888004,0.001568,0.003968,0.002400,0.000544,1.327798
0.420369,0.801697,0.001184,0.003904,0.001824,0.000608,1.238130
0.420977,0.786656,0.001120,0.002432,0.001408,0.000480,1.220754
0.453586,0.823362,0.001280,0.003936,0.001376,0.000576,1.294004
0.416625,0.779391,0.001056,0.003521,0.000960,0.000384,1.208018
0.421041,0.837986,0.001280,0.003264,0.001345,0.000320,1.275508
0.417329,0.775551,0.000672,0.002400,0.001121,0.000416,1.204978
0.414865,0.744031,0.000672,0.002048,0.001152,0.000448,1.168688
0.415185,0.793441,0.000896,0.003200,0.000960,0.000384,1.221106
0.415441,0.769215,0.000832,0.001888,0.000992,0.000384,1.195696
0.415697,0.758782,0.000864,0.001824,0.000896,0.000352,1.184273
0.416241,0.787104,0.000736,0.001824,0.000928,0.000384,1.212849
0.415345,0.768511,0.000832,0.001792,0.000800,0.000288,1.193584
0.415313,0.727678,0.000832,0.001888,0.000704,0.000352,1.153263
0.435922,0.776352,0.000864,0.001728,0.000800,0.000352,1.222418
0.415921,0.754527,0.000800,0.001760,0.000865,0.000352,1.179985
0.415632,0.757119,0.000768,0.001792,0.000864,0.000384,1.184337
0.415761,0.746782,0.000769,0.002208,0.000896,0.000352,1.172528
0.415345,0.750910,0.000864,0.002240,0.000928,0.000320,1.177616
0.415409,0.794496,0.000736,0.001824,0.001024,0.000448,1.220209
0.415281,0.779935,0.000896,0.002080,0.001152,0.000416,1.207057
0.416369,0.754623,0.000800,0.001984,0.000896,0.000352,1.181840
0.415344,0.761855,0.000832,0.002848,0.000992,0.000320,1.190640
0.415409,0.746238,0.000672,0.001760,0.000864,0.000384,1.172079
0.415153,0.757375,0.000736,0.002656,0.001120,0.000416,1.184080
0.415345,0.793024,0.000832,0.001888,0.000960,0.000352,1.217458
0.415345,0.797792,0.000640,0.002241,0.001056,0.000448,1.225266
0.415185,0.739774,0.000800,0.002561,0.001056,0.000448,1.165456
0.415793,0.750975,0.000640,0.002528,0.000992,0.000448,1.190128
0.415729,0.753310,0.000640,0.001984,0.000832,0.000416,1.179440
0.415249,0.739518,0.000672,0.001888,0.000928,0.000417,1.164112
0.426929,0.742687,0.000736,0.001920,0.000928,0.000352,1.179344
0.416209,0.757055,0.000576,0.001984,0.000832,0.000320,1.182513
0.414513,0.750975,0.000832,0.002784,0.001120,0.000384,1.176880
0.429809,0.758655,0.000800,0.001889,0.000928,0.000352,1.197361
0.415985,0.764799,0.000832,0.001824,0.000736,0.000352,1.190576
0.415505,0.799137,0.000864,0.002816,0.001248,0.000352,1.228434
0.420337,0.777024,0.000960,0.002944,0.001216,0.000576,1.211698
0.421777,0.784416,0.000736,0.002241,0.001248,0.000384,1.218642
0.416337,0.792032,0.000768,0.002208,0.001088,0.000608,1.222225
0.419794,0.769279,0.000704,0.001952,0.001184,0.000384,1.199153
0.421745,0.786176,0.000704,0.001952,0.001184,0.000384,1.217938
0.415760,0.778719,0.000704,0.001985,0.001184,0.000384,1.205073
0.416337,0.773824,0.000768,0.002304,0.001216,0.000416,1.202577
0.416689,0.758623,0.000800,0.001856,0.001088,0.000384,1.185328
0.431441,0.769343,0.000736,0.002016,0.001152,0.000608,1.211953
0.420241,0.762015,0.000544,0.002112,0.001152,0.000352,1.191760
0.415633,0.768991,0.000736,0.002048,0.001184,0.000320,1.196177
0.416113,0.767007,0.000832,0.002081,0.001120,0.000384,1.195857
0.421233,0.814754,0.000928,0.002176,0.001248,0.000384,1.247475
0.420306,0.785120,0.000672,0.002144,0.001088,0.000352,1.216626
0.419729,0.763359,0.000704,0.002144,0.001152,0.000416,1.194129
0.419697,0.756319,0.000864,0.002880,0.001280,0.000352,1.190224
0.421426,0.797120,0.000736,0.002240,0.001152,0.000416,1.229650
0.416785,0.796417,0.000832,0.002080,0.001184,0.000416,1.224306
0.415985,0.805760,0.000705,0.002016,0.001056,0.000384,1.232787
0.433170,0.773696,0.000672,0.002080,0.001184,0.000384,1.218514
0.416145,0.765919,0.000672,0.002112,0.001024,0.000352,1.193232
0.420689,0.819970,0.000832,0.002944,0.001216,0.000672,1.254259
0.420113,0.753950,0.000800,0.002113,0.001056,0.000448,1.185937
0.420209,0.762336,0.000704,0.002144,0.001024,0.000352,1.193937
0.420273,0.822018,0.000800,0.002208,0.001120,0.000352,1.254291
0.420146,0.765407,0.000800,0.002144,0.001024,0.000416,1.196465
0.420338,0.753086,0.000832,0.002209,0.000992,0.000416,1.184561
0.419729,0.785024,0.000800,0.002017,0.001024,0.000384,1.216242
0.420721,0.771327,0.000705,0.002240,0.001024,0.000800,1.204177
0.421393,0.810561,0.000737,0.002304,0.001184,0.000384,1.244019
0.433426,0.787872,0.000832,0.003264,0.001088,0.000384,1.235859
0.421585,0.764191,0.000864,0.002337,0.001120,0.000608,1.199729
0.420305,0.792800,0.000993,0.002144,0.001056,0.000416,1.224882
0.415697,0.766783,0.000768,0.002272,0.001024,0.000352,1.193168
0.420465,0.770272,0.000704,0.002144,0.001088,0.000416,1.201809
0.419889,0.792385,0.000896,0.003200,0.000992,0.000352,1.225906
0.421489,0.808161,0.000768,0.001984,0.000992,0.000608,1.241394
0.420978,0.773279,0.000704,0.002208,0.000961,0.000384,1.204626
0.438610,0.796929,0.000736,0.002272,0.001120,0.000352,1.247091
0.420369,0.770815,0.000896,0.002240,0.000992,0.000384,1.201585
0.416369,0.769151,0.000704,0.003136,0.001184,0.000608,1.198033
0.416049,0.774592,0.000768,0.002176,0.000960,0.000640,1.203217
0.415985,0.766143,0.000736,0.003104,0.000928,0.000384,1.193521
0.415985,0.824386,0.000896,0.003232,0.001056,0.000416,1.254131
0.418769,0.855619,0.001537,0.004512,0.003456,0.000640,1.296053
0.418993,0.830305,0.001409,0.003712,0.003232,0.000608,1.268212
0.435634,0.779584,0.000800,0.002336,0.001152,0.000416,1.227058
0.420369,0.770687,0.000800,0.001889,0.001056,0.000384,1.202033
0.415889,0.771231,0.000672,0.002208,0.001056,0.000640,1.199377
0.420241,0.777888,0.000736,0.002272,0.000992,0.000384,1.209489
0.415825,0.782400,0.000736,0.002432,0.001120,0.000384,1.209553
0.414865,0.828290,0.000960,0.002496,0.001120,0.000320,1.254964
0.416113,0.765695,0.000864,0.002112,0.001120,0.000320,1.193169
0.420433,0.773471,0.000768,0.002112,0.000992,0.000384,1.206033
0.420849,0.781408,0.000800,0.002145,0.001024,0.000416,1.213874
0.421137,0.755903,0.000736,0.002208,0.000928,0.000384,1.188496
0.420017,0.756831,0.000768,0.002176,0.001088,0.000384,1.187856
0.434194,0.756095,0.000640,0.002080,0.001024,0.000384,1.200945
0.420977,0.759615,0.000768,0.001984,0.001152,0.000384,1.192305
0.416049,0.760479,0.000736,0.002048,0.001216,0.000416,1.187632
0.420081,0.787489,0.000800,0.002176,0.001024,0.000384,1.219570
0.415985,0.762271,0.000704,0.002080,0.001152,0.000576,1.190001
0.419889,0.887908,0.001504,0.004224,0.002400,0.000576,1.326902
0.418161,0.773695,0.000800,0.002656,0.001344,0.000352,1.204561
0.415953,0.771679,0.000768,0.002144,0.001216,0.000448,1.199121
0.420529,0.804929,0.000832,0.003201,0.000928,0.000448,1.238899
0.421393,0.768767,0.000800,0.002176,0.001440,0.000385,1.202962
0.420817,0.804288,0.000864,0.003233,0.001120,0.000416,1.237523
0.437394,0.787072,0.000864,0.002241,0.001152,0.000416,1.236595
0.420433,0.760223,0.000704,0.002176,0.001184,0.000608,1.192625
0.420497,0.785888,0.000768,0.001984,0.001248,0.000608,1.218417
0.420978,0.801888,0.000672,0.002433,0.001280,0.000384,1.235027
0.417681,0.766399,0.000640,0.002176,0.001120,0.000352,1.194704
0.420273,0.784032,0.000896,0.003041,0.001056,0.000384,1.217874
0.416721,0.765183,0.000704,0.002080,0.000992,0.000352,1.192401
0.416209,0.764351,0.000672,0.001952,0.001120,0.000608,1.191376
0.415665,0.792896,0.000736,0.002112,0.001056,0.000352,1.238739
0.415569,0.754783,0.000800,0.002176,0.001024,0.000608,1.181424
0.416753,0.765471,0.000768,0.002016,0.001056,0.000384,1.193073
0.436754,0.775360,0.000768,0.003424,0.001120,0.000640,1.225010
0.420209,0.775679,0.000832,0.002240,0.001089,0.000384,1.207570
0.417265,0.815617,0.000832,0.002144,0.001089,0.000576,1.244755
0.420945,0.767840,0.000832,0.002080,0.001056,0.000320,1.199761
0.420721,0.766751,0.000800,0.002240,0.000960,0.000352,1.198193
0.420273,0.774496,0.000864,0.002112,0.001120,0.000384,1.205649
0.420337,0.749695,0.000768,0.002112,0.001056,0.000384,1.180752
0.420145,0.796128,0.000864,0.002208,0.000896,0.000672,1.227890
0.419921,0.809825,0.000704,0.002080,0.001120,0.000384,1.240946
0.420497,0.767135,0.000768,0.002176,0.000960,0.000384,1.198481
0.415505,0.751742,0.000832,0.002081,0.001152,0.000640,1.178896
0.440242,0.771775,0.000768,0.002272,0.001057,0.000384,1.223858
0.416017,0.765664,0.000704,0.002208,0.000960,0.000384,1.191985
0.419697,0.768448,0.000800,0.002112,0.001056,0.000608,1.199313
0.420594,0.801056,0.000736,0.002113,0.001120,0.000384,1.232179
0.420401,0.768863,0.000672,0.002176,0.000992,0.000384,1.199889
0.417681,0.810273,0.000768,0.002240,0.000992,0.000384,1.238739
0.416465,0.789696,0.000672,0.002048,0.000992,0.000545,1.216498
0.416113,0.771071,0.000832,0.003072,0.001120,0.000384,1.199025
0.416657,0.827138,0.000896,0.002976,0.001088,0.000576,1.255603
0.416209,0.770432,0.000928,0.003040,0.001152,0.000416,1.198353
0.415761,0.773056,0.000864,0.002144,0.001056,0.000384,1.200273
0.437938,0.772768,0.000736,0.002176,0.001344,0.000608,1.223314
0.420625,0.766560,0.000800,0.002336,0.001376,0.000384,1.198801
0.415665,0.770271,0.000704,0.002016,0.001184,0.000320,1.197104
0.420593,0.803105,0.000800,0.002336,0.001152,0.000416,1.235954
0.421265,0.771360,0.000800,0.002176,0.001216,0.000576,1.204049
0.420689,0.780415,0.000865,0.002752,0.001344,0.000416,1.214130
0.421041,0.773696,0.000768,0.002304,0.001248,0.000640,1.207313
0.416465,0.771936,0.000736,0.002272,0.001216,0.000608,1.201553
0.436274,0.806176,0.000768,0.002496,0.001248,0.000640,1.256147
0.416145,0.764447,0.000736,0.002368,0.001184,0.000640,1.193904
0.421425,0.760863,0.000736,0.002464,0.001152,0.000608,1.195601
0.420593,0.809697,0.000832,0.002528,0.001152,0.000352,1.242067
0.415537,0.768191,0.000768,0.002240,0.001184,0.000384,1.195824
0.421266,0.793024,0.000800,0.002144,0.001280,0.000672,1.226386
0.420497,0.774624,0.000864,0.002176,0.001152,0.000416,1.207665
0.420401,0.776096,0.000736,0.002976,0.001216,0.000544,1.209201
0.421041,0.795233,0.000896,0.002432,0.001088,0.000640,1.228818
0.420209,0.795904,0.000864,0.002240,0.001184,0.000640,1.228050
0.420273,0.771199,0.000800,0.002240,0.001120,0.000576,1.203154
0.437202,0.776064,0.000832,0.002368,0.001056,0.000352,1.225522
0.420881,0.772223,0.000864,0.002145,0.001152,0.000608,1.204849
0.419601,0.786688,0.000800,0.002240,0.001089,0.000640,1.218162
0.420850,0.761855,0.000832,0.002336,0.001120,0.000640,1.194161
0.420017,0.767584,0.000768,0.002112,0.001184,0.000448,1.198705
0.420273,0.793025,0.000768,0.002240,0.001120,0.000672,1.224370
0.420082,0.768159,0.000704,0.002240,0.001120,0.000384,1.199345
0.420946,0.798240,0.000800,0.002016,0.001088,0.000640,1.230995
0.420273,0.778400,0.000864,0.002240,0.001056,0.000608,1.210161
0.421298,0.769631,0.000768,0.002208,0.001088,0.000352,1.202545
0.421009,0.769408,0.000736,0.002368,0.001184,0.000640,1.202289
0.452051,0.765567,0.000800,0.002208,0.001120,0.000576,1.229202
0.420081,0.767167,0.000672,0.002016,0.001120,0.000384,1.197841
0.420657,0.786016,0.000704,0.002241,0.001216,0.000576,1.217906
0.420369,0.764447,0.000800,0.002176,0.001152,0.000384,1.195632
0.420433,0.764063,0.000832,0.001856,0.001152,0.000544,1.195153
0.420017,0.785921,0.000768,0.002240,0.001152,0.000352,1.216818
0.420689,0.766175,0.000864,0.002241,0.001088,0.000608,1.198833
0.416177,0.769887,0.000896,0.002080,0.000961,0.000416,1.197777
0.420977,0.774335,0.000800,0.002145,0.001056,0.000608,1.207090
0.419825,0.768063,0.000704,0.002208,0.001024,0.000576,1.198929
0.417489,0.788832,0.000736,0.002177,0.001152,0.000320,1.217842
0.433937,0.758815,0.000768,0.002177,0.001120,0.000352,1.204561
0.419985,0.767359,0.000737,0.002272,0.001056,0.000416,1.198641
0.415825,0.783008,0.000736,0.002208,0.001152,0.000704,1.210385
0.420402,0.763295,0.000768,0.002080,0.001152,0.000384,1.194513
0.421201,0.766335,0.000736,0.002112,0.001120,0.000384,1.199441
0.420337,0.788032,0.001120,0.003552,0.001152,0.000672,1.222545
0.415889,0.794305,0.000832,0.001952,0.001120,0.000384,1.221266
0.421105,0.766239,0.000800,0.002112,0.001152,0.000608,1.199601
0.435186,0.768032,0.000864,0.002144,0.001024,0.000608,1.215090
0.420498,0.768639,0.000800,0.002080,0.001024,0.000576,1.200689
0.415537,0.762111,0.000736,0.002112,0.001185,0.000576,1.189233
0.438450,0.756191,0.000736,0.002112,0.001056,0.000608,1.206289
0.420177,0.786592,0.000704,0.002016,0.001056,0.000416,1.217586
0.420913,0.804097,0.000704,0.002112,0.001025,0.000576,1.236787
0.419601,0.771903,0.000704,0.002112,0.001184,0.000416,1.202961
0.420273,0.788544,0.001120,0.002529,0.001024,0.000384,1.220850
0.419729,0.784128,0.000896,0.002016,0.001120,0.000448,1.215218
0.420209,0.761183,0.000928,0.002016,0.001248,0.000608,1.192976
0.420433,0.762559,0.000800,0.002241,0.001152,0.000448,1.195025
0.438162,0.770816,0.000832,0.003168,0.001120,0.000352,1.223090
0.419857,0.766335,0.000864,0.002016,0.001088,0.000544,1.197585
0.416369,0.773951,0.000704,0.002112,0.001120,0.000576,1.202129
0.420817,0.773920,0.000832,0.002752,0.001216,0.000608,1.206801
0.420017,0.761663,0.000768,0.002272,0.001024,0.000384,1.192753
0.417297,0.792320,0.000832,0.003201,0.001248,0.000384,1.224498
0.421394,0.766879,0.000768,0.002080,0.001088,0.000576,1.199153
0.420241,0.766303,0.000640,0.001984,0.001216,0.000384,1.197009
0.420209,0.788864,0.000864,0.002273,0.001088,0.000384,1.221682
0.420433,0.765439,0.000832,0.001984,0.001120,0.000416,1.196753
0.415793,0.765919,0.000832,0.001952,0.001120,0.000416,1.192656
0.436785,0.768671,0.000768,0.002176,0.001120,0.000608,1.217873
0.420177,0.788576,0.000736,0.002113,0.001056,0.000320,1.219954
0.420497,0.797216,0.000832,0.002048,0.001185,0.000384,1.228466
0.415729,0.765439,0.000928,0.002976,0.001088,0.000640,1.194224
0.416433,0.771167,0.000864,0.001952,0.001216,0.000640,1.199953
0.415857,0.792609,0.001152,0.003392,0.001120,0.000576,1.221810
0.419793,0.762303,0.000736,0.002016,0.001120,0.000352,1.192720
0.415793,0.769600,0.000896,0.002272,0.001184,0.000416,1.198097
0.420177,0.785056,0.000800,0.002272,0.001120,0.000352,1.217457
0.420433,0.753247,0.000736,0.002112,0.001152,0.000640,1.184720
0.419889,0.761855,0.000704,0.002016,0.001185,0.000608,1.192753
0.439954,0.764895,0.000736,0.001984,0.001120,0.000416,1.216530
0.416881,0.764191,0.000704,0.002112,0.001152,0.000640,1.192112
0.415473,0.770079,0.000672,0.002048,0.001024,0.000576,1.196049
0.420690,0.807681,0.000800,0.002336,0.001216,0.000448,1.240403
0.420690,0.765983,0.000864,0.002016,0.001024,0.000608,1.198321
0.415889,0.787328,0.000800,0.002176,0.001152,0.000640,1.216081
0.419633,0.760287,0.000736,0.001856,0.001120,0.000352,1.191120
0.416753,0.767712,0.000704,0.001952,0.001056,0.000352,1.195185
0.419473,0.817313,0.000736,0.002144,0.001120,0.000352,1.249171
0.419953,0.764512,0.000704,0.002048,0.001120,0.000640,1.195505
0.419761,0.755391,0.000704,0.001984,0.001184,0.000352,1.185808
0.431985,0.762943,0.000737,0.001920,0.001088,0.000448,1.205777
0.419665,0.763903,0.000704,0.001920,0.001120,0.000416,1.194288
0.420177,0.765567,0.000704,0.002304,0.001024,0.000384,1.197392
0.418225,0.804672,0.000864,0.002305,0.001280,0.000608,1.234899
0.421329,0.759871,0.000736,0.002176,0.001120,0.000384,1.192529
0.420850,0.785472,0.000896,0.003264,0.001184,0.000608,1.221650
0.415697,0.771775,0.000864,0.002240,0.001120,0.000416,1.199728
0.416849,0.800321,0.000800,0.002048,0.001120,0.000416,1.228338
0.439858,0.801697,0.000704,0.002144,0.001216,0.000704,1.253779
0.421073,0.782976,0.000736,0.002080,0.001056,0.000448,1.215026
0.420369,0.760511,0.000768,0.002080,0.001184,0.000384,1.191600
0.420177,0.767775,0.000832,0.002048,0.001184,0.000384,1.199184
0.420562,0.759839,0.000704,0.002336,0.001120,0.000384,1.191889
0.416497,0.792192,0.000672,0.002240,0.001088,0.000608,1.219986
0.421233,0.795361,0.000736,0.002368,0.001184,0.000608,1.229010
0.420209,0.805057,0.000864,0.002400,0.001152,0.000352,1.237394
0.420721,0.829153,0.001088,0.002657,0.001216,0.000576,1.264052
0.415761,0.797952,0.000833,0.002080,0.001152,0.000352,1.224242
0.419793,0.797377,0.000736,0.001920,0.001056,0.000384,1.227378
0.434290,0.776543,0.000769,0.002048,0.000960,0.000576,1.222578
0.421489,0.747295,0.000896,0.002208,0.000992,0.000416,1.178800
0.415569,0.755039,0.000736,0.002016,0.001056,0.000384,1.181040
0.420049,0.769184,0.000704,0.003168,0.001152,0.000416,1.201905
0.415409,0.762367,0.000832,0.001984,0.001056,0.000416,1.188176
0.420209,0.792161,0.000704,0.002240,0.001024,0.000352,1.223698
0.421073,0.884036,0.000736,0.002176,0.001216,0.000416,1.315765
0.416241,0.768127,0.000800,0.002144,0.000960,0.000608,1.194864
0.419953,0.809537,0.000704,0.003232,0.001057,0.000384,1.240915
0.419633,0.787840,0.001184,0.003040,0.001024,0.000576,1.220882
0.415889,0.800481,0.000736,0.002080,0.000992,0.000416,1.226418
0.438738,0.791328,0.000736,0.002240,0.000928,0.000416,1.241330
0.420497,0.766047,0.000704,0.002208,0.000992,0.000416,1.197649
0.419953,0.769183,0.000800,0.002176,0.001056,0.000384,1.200208
0.415249,0.765471,0.000736,0.001888,0.001056,0.000608,1.190896
0.420497,0.766559,0.000704,0.002880,0.001120,0.000320,1.199249
0.416657,0.782144,0.000768,0.002176,0.000929,0.000352,1.210002
0.420657,0.797408,0.000768,0.002048,0.001024,0.000416,1.229554
0.415889,0.765759,0.000832,0.002081,0.001056,0.000352,1.191985
0.420050,0.792480,0.000832,0.001888,0.000928,0.000352,1.222930
0.420018,0.761663,0.000576,0.002016,0.000832,0.000384,1.191537
0.419857,0.767135,0.000864,0.002016,0.000960,0.000384,1.196528
0.437201,0.797185,0.000800,0.002176,0.001152,0.000416,1.244690
0.420785,0.752479,0.000704,0.002080,0.000960,0.000608,1.183536
0.415441,0.757023,0.000800,0.002112,0.001089,0.000416,1.183089
0.420017,0.773024,0.000768,0.002176,0.000960,0.000352,1.205329
0.415185,0.767999,0.000864,0.002145,0.001152,0.000384,1.194545
0.419761,0.768320,0.000896,0.002112,0.000960,0.000352,1.198929
0.415985,0.754911,0.000896,0.002368,0.001120,0.000608,1.182160
0.419889,0.760703,0.000800,0.003168,0.001120,0.000352,1.192657
0.419569,0.778272,0.001024,0.002048,0.001056,0.000352,1.209425
0.420817,0.745887,0.000736,0.002080,0.000896,0.000384,1.177072
0.420369,0.769727,0.000672,0.002048,0.000896,0.000352,1.200657
0.443154,0.790368,0.000704,0.002112,0.000992,0.000352,1.244626
0.415153,0.769120,0.000768,0.002048,0.000992,0.000576,1.195505
0.415793,0.757983,0.000800,0.003232,0.001184,0.000640,1.186896
0.434002,0.763487,0.000704,0.002208,0.000928,0.000384,1.207953
0.415825,0.795072,0.000736,0.002241,0.000896,0.000352,1.222226
0.420145,0.813281,0.001088,0.003360,0.001152,0.000512,1.245779
