Layer[0],TEE[1-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.438738,0.767423,0.000800,0.002112,0.001216,0.000416,1.218706
0.421010,0.765759,0.000736,0.002112,0.000960,0.000384,1.198513
0.421457,0.793408,0.000864,0.002080,0.000992,0.000416,1.226034
0.420497,0.767552,0.000896,0.002240,0.000928,0.000352,1.199217
0.415921,0.757663,0.000928,0.002048,0.000960,0.000352,1.184240
0.420977,0.817442,0.001120,0.003136,0.001152,0.000384,1.252179
0.420306,0.769279,0.000864,0.002048,0.001057,0.000384,1.201298
0.421521,0.805825,0.000928,0.002080,0.000992,0.000448,1.238066
0.416337,0.787104,0.000960,0.002208,0.000992,0.000384,1.216690
0.421041,0.758111,0.000768,0.002240,0.000992,0.000384,1.191153
0.421937,0.762335,0.000864,0.002208,0.001024,0.000416,1.195153
0.439026,0.768288,0.000832,0.002208,0.000960,0.000352,1.219378
0.420145,0.756255,0.000800,0.002144,0.001056,0.000384,1.188304
0.421393,0.764383,0.000704,0.002272,0.001089,0.000416,1.196817
0.420914,0.763679,0.000736,0.002272,0.000992,0.000416,1.195953
0.421201,0.771616,0.000800,0.002272,0.000992,0.000384,1.204369
0.421777,0.784544,0.000800,0.002176,0.001152,0.000416,1.218834
0.420210,0.767583,0.000736,0.002240,0.001216,0.000352,1.199217
0.422129,0.756063,0.000736,0.002049,0.001056,0.000384,1.190001
0.416593,0.778304,0.000864,0.002112,0.001120,0.000352,1.206065
0.420497,0.764511,0.000800,0.002144,0.001024,0.000352,1.195953
0.417554,0.771839,0.000832,0.002080,0.000992,0.000384,1.200850
0.441074,0.770624,0.000736,0.002112,0.001056,0.000352,1.223954
0.421073,0.768640,0.000704,0.002112,0.001056,0.000384,1.200913
0.421362,0.791552,0.000736,0.001952,0.001056,0.000352,1.223091
0.435858,0.767264,0.000768,0.002304,0.001152,0.000384,1.215122
0.420721,0.765567,0.000672,0.002336,0.001057,0.000352,1.197489
0.420689,0.787680,0.000768,0.002048,0.000992,0.000352,1.219537
0.420785,0.770239,0.000768,0.002112,0.001120,0.000416,1.203121
0.419921,0.762272,0.000768,0.002016,0.001056,0.000416,1.193265
0.415633,0.821506,0.001152,0.003008,0.001056,0.000352,1.249235
0.420273,0.761439,0.000832,0.002080,0.001057,0.000352,1.192849
0.419345,0.763775,0.000705,0.002176,0.000960,0.000352,1.193617
0.436402,0.761567,0.000768,0.001984,0.001024,0.000384,1.208625
0.415473,0.750111,0.000800,0.002048,0.000928,0.000416,1.176976
0.420177,0.768255,0.000800,0.002017,0.000960,0.000352,1.199345
0.439410,0.795297,0.000768,0.002016,0.000960,0.000416,1.246419
0.419121,0.761728,0.000736,0.002208,0.001056,0.000384,1.192593
0.420146,0.820577,0.001024,0.002305,0.001184,0.000352,1.253076
0.414961,0.796864,0.000768,0.002208,0.001088,0.000384,1.224466
0.415121,0.796192,0.000800,0.002176,0.001120,0.000416,1.223026
0.419633,0.778080,0.001056,0.002208,0.001056,0.000384,1.209489
0.420337,0.768959,0.000672,0.002080,0.001056,0.000384,1.200017
0.414097,0.798720,0.000928,0.002209,0.001056,0.000384,1.223570
0.439282,0.765247,0.000736,0.002240,0.000992,0.000384,1.216433
0.420018,0.772639,0.000769,0.002144,0.001024,0.000352,1.204402
0.415825,0.768096,0.000864,0.002112,0.000896,0.000352,1.194513
0.436882,0.772063,0.000864,0.002112,0.000928,0.000352,1.220466
0.415057,0.766623,0.000800,0.002240,0.000992,0.000352,1.192144
0.419889,0.762591,0.000832,0.001952,0.000992,0.000384,1.210001
0.415729,0.762143,0.000864,0.002273,0.001088,0.000384,1.190289
0.420145,0.756415,0.000864,0.002208,0.001120,0.000416,1.188081
0.420273,0.775488,0.000832,0.002400,0.000992,0.000416,1.206833
0.420369,0.756735,0.000928,0.002272,0.000864,0.000352,1.189040
0.415313,0.758495,0.000865,0.002336,0.001024,0.000416,1.185585
0.415505,0.826561,0.000896,0.002176,0.001024,0.000384,1.254036
0.420145,0.755423,0.000864,0.001984,0.001056,0.000416,1.186704
0.419729,0.767936,0.000896,0.002208,0.001152,0.000448,1.199985
0.434482,0.791104,0.000800,0.002272,0.000992,0.000385,1.236467
0.419793,0.760063,0.000768,0.002048,0.001056,0.000384,1.190000
0.420049,0.761503,0.000705,0.001984,0.001088,0.000352,1.192593
0.415569,0.756127,0.000768,0.001952,0.001152,0.000384,1.181360
0.419633,0.757727,0.000800,0.002208,0.001120,0.000352,1.189040
0.420081,0.811425,0.000928,0.002688,0.001184,0.000416,1.244787
0.415057,0.761727,0.000768,0.002145,0.001024,0.000352,1.187601
0.420273,0.768991,0.000704,0.002240,0.000992,0.000384,1.200593
0.420017,0.796609,0.000832,0.002784,0.001120,0.000416,1.227890
0.420273,0.763935,0.000736,0.002208,0.001153,0.000384,1.195697
0.415569,0.808065,0.000864,0.002368,0.001088,0.000353,1.235379
0.438514,0.757823,0.001120,0.003008,0.001152,0.000416,1.210993
0.420977,0.769087,0.000896,0.002624,0.002016,0.000576,1.205937
0.416497,0.753183,0.000768,0.002048,0.001120,0.000384,1.180976
0.419665,0.765824,0.000736,0.002752,0.001120,0.000352,1.196721
0.421297,0.767168,0.000768,0.002112,0.001056,0.000416,1.200177
0.420593,0.771327,0.000768,0.002080,0.000992,0.000384,1.203249
0.421042,0.757663,0.000992,0.002304,0.001248,0.000352,1.190609
0.420529,0.762879,0.000768,0.002048,0.001024,0.000416,1.194513
0.422385,0.833058,0.000768,0.002273,0.001248,0.000352,1.268084
0.421169,0.780480,0.000896,0.002208,0.001056,0.000384,1.212625
0.417297,0.765696,0.000768,0.002048,0.001184,0.000352,1.193937
0.449074,0.777024,0.000736,0.002304,0.000928,0.000320,1.238195
0.417649,0.764031,0.000704,0.002208,0.001248,0.000352,1.192369
0.420177,0.800321,0.000832,0.002048,0.001056,0.000384,1.231474
0.420434,0.751998,0.000833,0.002080,0.001088,0.000448,1.183313
0.420913,0.773951,0.000864,0.002144,0.001025,0.000384,1.207122
0.421777,0.818626,0.001088,0.002944,0.001088,0.000384,1.254259
0.421393,0.788576,0.000736,0.002304,0.001088,0.000512,1.221041
0.421521,0.769504,0.000896,0.002240,0.001120,0.000416,1.203089
0.421073,0.791393,0.000800,0.002048,0.001088,0.000416,1.223410
0.422833,0.778080,0.000864,0.002272,0.001152,0.000384,1.213777
0.416497,0.772416,0.000960,0.002208,0.001088,0.000352,1.200401
0.439026,0.765695,0.000864,0.002208,0.001120,0.000416,1.216722
0.421073,0.759903,0.000768,0.003265,0.001184,0.000384,1.193265
0.416209,0.765503,0.000800,0.002304,0.001120,0.000384,1.193041
0.421521,0.800801,0.000672,0.002176,0.001152,0.000384,1.234130
0.421073,0.786592,0.000800,0.002241,0.001120,0.000384,1.218258
0.421745,0.784960,0.000768,0.002145,0.001056,0.000448,1.217938
0.420689,0.768544,0.000704,0.002144,0.001088,0.000384,1.200689
0.422001,0.774112,0.000832,0.002272,0.001088,0.000384,1.208081
0.421842,0.788576,0.000768,0.002144,0.001088,0.000352,1.221842
0.420721,0.766592,0.000864,0.002080,0.001152,0.000416,1.199377
0.421233,0.797345,0.000768,0.002144,0.001024,0.000384,1.230098
0.435954,0.778656,0.000768,0.002176,0.001024,0.000384,1.225938
0.420817,0.764511,0.000768,0.002048,0.001057,0.000352,1.196049
0.415505,0.769024,0.000832,0.002144,0.001056,0.000384,1.195633
0.420561,0.799521,0.000672,0.002304,0.000992,0.000576,1.231506
0.420146,0.795648,0.000736,0.002240,0.001121,0.000384,1.228211
0.420177,0.801441,0.000768,0.002176,0.001024,0.000384,1.233778
0.421009,0.806913,0.000897,0.002336,0.001088,0.000384,1.240051
0.420945,0.771488,0.000832,0.002144,0.001056,0.000384,1.203505
0.415633,0.778208,0.000896,0.002336,0.001152,0.000352,1.205585
0.420241,0.762495,0.000768,0.002176,0.001056,0.000352,1.193616
0.415409,0.753119,0.000864,0.002240,0.001120,0.000416,1.179344
0.436434,0.763807,0.000832,0.002848,0.001184,0.000416,1.212978
0.419826,0.770975,0.000704,0.002048,0.001056,0.000576,1.202002
0.415473,0.787392,0.000800,0.002080,0.000960,0.000384,1.213714
0.416337,0.770272,0.000800,0.002336,0.001056,0.000352,1.198641
0.415953,0.761407,0.000800,0.002848,0.001248,0.000416,1.189360
0.421874,0.792576,0.001056,0.004288,0.001120,0.000416,1.229171
0.420337,0.805569,0.000800,0.002112,0.001089,0.000352,1.237491
0.420530,0.787648,0.000928,0.002176,0.000960,0.000320,1.219570
0.420145,0.784352,0.000864,0.002688,0.001120,0.000416,1.216145
0.420081,0.765696,0.000800,0.002144,0.001088,0.000416,1.196529
0.420305,0.761055,0.000992,0.002144,0.001056,0.000384,1.193137
0.437618,0.781856,0.000864,0.003008,0.001088,0.000352,1.234290
0.415217,0.754495,0.000640,0.002144,0.001152,0.000416,1.181584
0.420338,0.780608,0.000768,0.005696,0.001120,0.000416,1.216658
0.421073,0.757374,0.000736,0.001952,0.001024,0.000352,1.189393
0.421073,0.771328,0.000832,0.002944,0.001152,0.000416,1.205201
0.421682,0.815265,0.000864,0.002240,0.000992,0.000384,1.248755
0.420849,0.798977,0.000800,0.002208,0.000864,0.000608,1.231763
0.415921,0.800993,0.000864,0.003072,0.001024,0.000384,1.230258
0.440466,0.797249,0.000768,0.002176,0.001056,0.000384,1.248915
0.415057,0.762335,0.000768,0.002145,0.000896,0.000352,1.188113
0.420049,0.763071,0.000768,0.002240,0.001056,0.000384,1.194481
0.434290,0.769536,0.000800,0.002112,0.001056,0.000416,1.214642
0.420209,0.761664,0.000768,0.002176,0.001088,0.000384,1.193489
0.415057,0.781856,0.000928,0.002976,0.001152,0.000416,1.209329
0.415345,0.762623,0.000704,0.002048,0.001024,0.000384,1.188369
0.416209,0.750975,0.000800,0.002112,0.001120,0.000576,1.178064
0.419825,0.830626,0.001056,0.003008,0.001088,0.000384,1.262291
0.415185,0.765503,0.000768,0.002144,0.001024,0.000416,1.191153
0.420017,0.762976,0.000896,0.002272,0.000960,0.000416,1.193873
0.420050,0.797376,0.000832,0.002945,0.001184,0.000384,1.228691
0.420145,0.771296,0.000864,0.002240,0.001120,0.000416,1.202801
0.419921,0.775072,0.000736,0.002208,0.000960,0.000416,1.206129
0.436242,0.774912,0.000896,0.002272,0.001120,0.000384,1.224530
0.415601,0.768608,0.000704,0.002080,0.001120,0.000352,1.195217
0.420305,0.801121,0.000832,0.002304,0.001056,0.000384,1.232626
0.421746,0.800032,0.000800,0.002272,0.001120,0.000352,1.233939
0.420050,0.759711,0.000800,0.002272,0.001024,0.000384,1.190641
0.420657,0.771584,0.000832,0.003200,0.001152,0.000352,1.204465
0.420465,0.764960,0.000800,0.002176,0.001152,0.000320,1.195985
0.420242,0.771775,0.000768,0.002304,0.001120,0.000384,1.204082
0.420145,0.804929,0.000800,0.002240,0.001152,0.000352,1.236498
0.415345,0.800961,0.000960,0.002272,0.001024,0.000384,1.227698
0.420145,0.766335,0.000896,0.002176,0.001088,0.000608,1.197841
0.431057,0.776640,0.000672,0.002048,0.001153,0.000384,1.220402
0.417425,0.758367,0.000704,0.002208,0.001216,0.000416,1.187697
0.416721,0.806977,0.000768,0.002272,0.001248,0.000417,1.234483
0.417425,0.798593,0.000768,0.002368,0.001216,0.000384,1.228722
0.418002,0.803873,0.000736,0.002368,0.001280,0.000384,1.235507
0.420658,0.796416,0.000832,0.002529,0.001184,0.000576,1.229459
0.420177,0.772448,0.000896,0.002208,0.001152,0.000352,1.204817
0.419889,0.772992,0.000704,0.002240,0.001248,0.000416,1.205329
0.439506,0.819905,0.001024,0.003328,0.001184,0.000544,1.274932
0.421490,0.772671,0.000768,0.002336,0.001280,0.000448,1.207858
0.416337,0.826690,0.000832,0.002336,0.001088,0.000384,1.255411
0.420018,0.772031,0.000768,0.002401,0.001120,0.000416,1.203410
0.420785,0.763072,0.000832,0.002880,0.001056,0.000352,1.196561
0.420529,0.781856,0.000800,0.002305,0.001152,0.000384,1.214034
0.415857,0.768127,0.000736,0.002240,0.001216,0.000640,1.195569
0.414417,0.757119,0.000736,0.002208,0.001248,0.000544,1.183184
0.440882,0.797120,0.001312,0.003713,0.001792,0.000608,1.253748
0.420625,0.771935,0.000832,0.003616,0.001248,0.000416,1.205873
0.416785,0.770655,0.000800,0.002145,0.001184,0.000576,1.198737
0.420433,0.779872,0.000768,0.002336,0.001248,0.000609,1.213330
0.416145,0.774720,0.000832,0.001984,0.001248,0.000416,1.204529
0.421426,0.857987,0.000832,0.002080,0.001184,0.000352,1.291381
0.420881,0.770464,0.000768,0.002400,0.001120,0.000608,1.204081
0.420625,0.771232,0.000896,0.002080,0.001184,0.000352,1.203825
0.415921,0.792161,0.000864,0.002208,0.001216,0.000352,1.220338
0.421489,0.751071,0.000736,0.002176,0.001344,0.000576,1.184656
0.421169,0.777344,0.000768,0.002304,0.001344,0.000384,1.211090
0.437714,0.774527,0.000800,0.002176,0.001184,0.000320,1.224627
0.420785,0.765023,0.000768,0.002048,0.001216,0.000352,1.197809
0.420561,0.822050,0.001152,0.003488,0.001248,0.000416,1.257139
0.416945,0.775039,0.000704,0.002272,0.001312,0.000352,1.204113
0.421105,0.816961,0.000768,0.002433,0.001152,0.000384,1.249907
0.421873,0.788736,0.000864,0.002112,0.001184,0.000384,1.223026
