Layer[0],Layer[1],Layer[2],TEE[3-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416176,0.017409,0.201992,0.238409,0.000736,0.014337,0.000352,0.001504,0.000992,0.000384,0.900323
0.417712,0.017760,0.203336,0.248074,0.000896,0.014241,0.000352,0.001504,0.001056,0.000576,0.915556
0.421233,0.017569,0.202952,0.231017,0.000768,0.013824,0.000352,0.001536,0.001056,0.000384,0.898212
0.416784,0.017505,0.202376,0.247370,0.000704,0.014208,0.000384,0.001472,0.001025,0.000608,0.911172
0.420432,0.018240,0.202120,0.231721,0.000864,0.014881,0.000384,0.001504,0.001408,0.000384,0.899939
0.420592,0.017441,0.229417,0.233001,0.000896,0.013985,0.000352,0.001504,0.000992,0.000384,0.926724
0.420433,0.017632,0.202056,0.231369,0.000736,0.014112,0.000352,0.001440,0.000896,0.000384,0.897219
0.415760,0.017729,0.202536,0.240361,0.000800,0.014561,0.000384,0.001536,0.001056,0.000640,0.902979
0.421105,0.017537,0.201992,0.245705,0.000736,0.014017,0.000416,0.001408,0.001184,0.000320,0.913060
0.420529,0.017569,0.202760,0.242505,0.000800,0.015425,0.000352,0.001568,0.001024,0.000288,0.910660
0.415409,0.017697,0.202119,0.237418,0.000832,0.014304,0.000384,0.001568,0.001024,0.000640,0.898372
0.418097,0.017920,0.202024,0.238698,0.000736,0.014048,0.000384,0.001504,0.001121,0.000352,0.904388
0.439154,0.017536,0.202440,0.237450,0.000800,0.013952,0.000416,0.001536,0.001056,0.000353,0.923205
0.415792,0.017729,0.202664,0.238729,0.000736,0.014113,0.000352,0.001440,0.001024,0.000544,0.901571
0.415920,0.017504,0.201768,0.238090,0.000768,0.014400,0.000384,0.001536,0.000992,0.000576,0.900611
0.419888,0.018145,0.202152,0.240009,0.000704,0.014369,0.000416,0.001536,0.001024,0.000352,0.907043
0.421009,0.017665,0.202632,0.238633,0.000768,0.014561,0.000416,0.001504,0.000992,0.000544,0.906948
0.420689,0.017536,0.201896,0.221449,0.000832,0.013857,0.000352,0.001504,0.000992,0.000288,0.886755
0.420433,0.017760,0.202312,0.244778,0.000768,0.014241,0.000384,0.001408,0.001024,0.000320,0.911876
0.433809,0.017633,0.202504,0.236489,0.000768,0.014049,0.000384,0.001536,0.000960,0.000288,0.916260
0.415856,0.017601,0.203016,0.233353,0.000768,0.015585,0.000416,0.001600,0.001152,0.000352,0.899395
0.416848,0.017697,0.201832,0.244905,0.000704,0.014465,0.000352,0.001568,0.001024,0.000352,0.908003
0.416881,0.017568,0.201896,0.226185,0.000672,0.014497,0.000352,0.001472,0.001056,0.000672,0.906852
0.415825,0.017760,0.202056,0.227881,0.000896,0.014177,0.000384,0.001568,0.000960,0.000576,0.889443
0.416976,0.017537,0.201736,0.239401,0.000672,0.014337,0.000416,0.001408,0.001344,0.000576,0.902499
0.421456,0.018177,0.201864,0.237961,0.000672,0.014400,0.000384,0.001472,0.001056,0.000576,0.906851
0.434257,0.017697,0.202056,0.240969,0.000736,0.014785,0.000384,0.001408,0.000992,0.000352,0.922084
0.419921,0.017697,0.202024,0.231785,0.000704,0.014272,0.000416,0.001472,0.001088,0.000384,0.897123
0.416464,0.017601,0.202152,0.243689,0.000768,0.014113,0.000384,0.001536,0.001120,0.000352,0.905603
0.420785,0.017761,0.202152,0.258122,0.000768,0.014048,0.000416,0.001536,0.001056,0.000384,0.924901
0.419889,0.017536,0.203272,0.228809,0.000896,0.014273,0.000384,0.001536,0.001056,0.000352,0.896643
0.416496,0.017473,0.202088,0.240233,0.000704,0.013889,0.000352,0.001440,0.001024,0.000608,0.902435
0.416432,0.017504,0.201960,0.248970,0.000928,0.014977,0.000416,0.001504,0.001088,0.000608,0.912452
0.433713,0.017601,0.202088,0.233161,0.000960,0.014273,0.000384,0.001472,0.001024,0.000320,0.912196
0.416241,0.017728,0.202280,0.237386,0.000768,0.014272,0.000416,0.001600,0.001153,0.000352,0.900708
0.419953,0.017536,0.202088,0.243178,0.000736,0.014080,0.000353,0.001536,0.001024,0.000384,0.908676
0.419985,0.017536,0.202056,0.249578,0.000768,0.014049,0.000384,0.001440,0.001088,0.000608,0.916228
0.416593,0.017505,0.202439,0.243402,0.000768,0.014337,0.000352,0.001536,0.001056,0.000352,0.906564
0.420945,0.017537,0.202248,0.234761,0.000768,0.014016,0.000320,0.001409,0.001024,0.000384,0.901700
0.416592,0.017473,0.202792,0.231145,0.000736,0.014209,0.000352,0.001536,0.001056,0.000544,0.894979
0.434321,0.017505,0.202792,0.264266,0.000768,0.014113,0.000416,0.001472,0.001248,0.000384,0.946501
0.421840,0.017441,0.202440,0.242314,0.000704,0.014272,0.000416,0.001504,0.001056,0.000352,0.910467
0.416784,0.017569,0.202184,0.241706,0.000768,0.014880,0.000416,0.001408,0.001056,0.000416,0.905283
0.420016,0.017697,0.219081,0.255850,0.000768,0.014272,0.000384,0.001504,0.000928,0.000320,0.939749
0.416048,0.017697,0.202120,0.226985,0.000736,0.014401,0.000352,0.001536,0.001152,0.000352,0.890243
0.421360,0.017761,0.202248,0.244874,0.000832,0.014496,0.000384,0.001536,0.000992,0.000320,0.913892
0.420945,0.017728,0.201800,0.232073,0.000768,0.013856,0.000416,0.001504,0.001152,0.000320,0.898787
0.420784,0.017697,0.202440,0.238185,0.000800,0.013985,0.000384,0.001504,0.000960,0.000352,0.905603
0.416240,0.017729,0.202344,0.239305,0.000768,0.014273,0.000352,0.001472,0.000992,0.000320,0.902371
0.420049,0.017504,0.202376,0.229193,0.000736,0.014977,0.000384,0.001504,0.000992,0.000352,0.895939
0.417712,0.018081,0.222793,0.239465,0.000736,0.014369,0.000352,0.001440,0.001024,0.000384,0.925956
0.416368,0.017729,0.202024,0.232489,0.000800,0.014176,0.000416,0.001536,0.001024,0.000352,0.895171
0.420913,0.018208,0.201864,0.226729,0.000704,0.013793,0.000384,0.001504,0.001024,0.000384,0.893379
0.416464,0.017505,0.205352,0.245097,0.000704,0.013856,0.000448,0.001504,0.001024,0.000576,0.909923
0.416432,0.017601,0.202152,0.254634,0.000800,0.014305,0.000448,0.001536,0.001024,0.000384,0.916484
0.417008,0.017761,0.201960,0.237257,0.001152,0.014209,0.000352,0.001504,0.001248,0.000384,0.901059
0.421808,0.017601,0.202504,0.239017,0.000960,0.014816,0.000352,0.001568,0.001088,0.000288,0.908323
0.423185,0.017569,0.220872,0.232746,0.000928,0.013920,0.000352,0.001536,0.001056,0.000320,0.920868
0.417169,0.017697,0.202215,0.241898,0.000896,0.015617,0.000352,0.001536,0.000992,0.000320,0.906564
0.421744,0.017857,0.202216,0.228073,0.000960,0.013889,0.000352,0.001568,0.001248,0.000352,0.896323
0.417616,0.017889,0.202024,0.243817,0.001376,0.015840,0.000384,0.001536,0.001056,0.000352,0.911139
0.422385,0.017825,0.202504,0.239593,0.000896,0.015425,0.000416,0.001632,0.001024,0.000352,0.910244
0.416689,0.017632,0.202184,0.236842,0.000864,0.014112,0.000416,0.001536,0.000993,0.000320,0.900036
0.417745,0.017824,0.202920,0.231209,0.000736,0.014881,0.000352,0.001504,0.000992,0.000384,0.896291
0.415920,0.058755,0.203080,0.240873,0.000640,0.014145,0.000384,0.001504,0.000992,0.000352,0.945573
0.417169,0.017505,0.202024,0.238665,0.000704,0.014113,0.000352,0.001440,0.001120,0.000320,0.901476
0.420208,0.017569,0.202280,0.241929,0.000768,0.014433,0.000352,0.001472,0.001056,0.000352,0.909091
0.421584,0.017696,0.201896,0.246122,0.000960,0.034529,0.000544,0.001568,0.001153,0.000352,0.935685
0.417169,0.017472,0.202120,0.231625,0.000705,0.015456,0.000416,0.001568,0.001152,0.000384,0.896643
0.420848,0.017633,0.202760,0.244938,0.000704,0.015072,0.000352,0.001472,0.001089,0.000352,0.913668
0.418448,0.017761,0.203368,0.250218,0.000832,0.014400,0.000384,0.001568,0.001152,0.000353,0.918340
0.442258,0.017600,0.202632,0.253546,0.000768,0.013985,0.000384,0.001504,0.001152,0.000416,0.943237
0.417808,0.017697,0.202184,0.233865,0.000864,0.014785,0.000384,0.001984,0.001120,0.000352,0.899939
0.420560,0.017761,0.202440,0.245546,0.000832,0.014496,0.000384,0.001568,0.001089,0.000320,0.913732
0.416017,0.017537,0.202279,0.266635,0.001056,0.014273,0.000384,0.001536,0.001024,0.000352,0.929573
0.421296,0.017505,0.202248,0.244298,0.000736,0.014336,0.000416,0.001536,0.001184,0.000384,0.912132
0.419697,0.017697,0.202248,0.240969,0.000736,0.013921,0.000384,0.001504,0.001024,0.000352,0.906340
0.419761,0.017760,0.202184,0.239562,0.000768,0.013760,0.000384,0.001473,0.000992,0.000576,0.904484
0.434513,0.017696,0.202760,0.231305,0.000832,0.014049,0.000384,0.001472,0.000992,0.000352,0.911299
0.420816,0.017504,0.204680,0.229129,0.000928,0.014465,0.000416,0.001472,0.001312,0.000352,0.898723
0.416944,0.017697,0.202472,0.247434,0.001344,0.015073,0.000384,0.001536,0.001056,0.000320,0.913956
0.416016,0.017857,0.201896,0.269482,0.000768,0.014209,0.000384,0.001472,0.000992,0.000320,0.931012
0.419729,0.017472,0.202984,0.236458,0.000704,0.014144,0.000416,0.001536,0.000992,0.000320,0.901764
0.420497,0.017568,0.202024,0.236714,0.000736,0.014016,0.000384,0.001504,0.000992,0.000320,0.902083
0.420944,0.017569,0.203272,0.228393,0.000800,0.014241,0.000384,0.001536,0.000960,0.000352,0.896067
0.432049,0.017537,0.202024,0.221033,0.000704,0.014112,0.000384,0.001472,0.000992,0.000384,0.898051
0.415953,0.017664,0.202024,0.226473,0.000704,0.014177,0.000352,0.001472,0.000960,0.000352,0.887587
0.416273,0.017536,0.202376,0.235370,0.000736,0.014176,0.000416,0.001536,0.001120,0.000352,0.897251
0.416624,0.017473,0.202632,0.302924,0.000736,0.014176,0.000416,0.001536,0.001057,0.000288,0.966630
0.416272,0.017601,0.202248,0.243114,0.000704,0.014144,0.000384,0.001504,0.001024,0.000384,0.905059
0.416624,0.017793,0.203080,0.246314,0.000864,0.015136,0.000384,0.001568,0.001633,0.000416,0.913188
0.416913,0.017760,0.201960,0.237098,0.000704,0.014368,0.000416,0.001504,0.001024,0.000384,0.900612
0.416465,0.017568,0.201992,0.227497,0.000768,0.014145,0.000416,0.001440,0.001152,0.000320,0.888835
0.415920,0.017537,0.202504,0.245417,0.000800,0.014241,0.000384,0.001440,0.001120,0.000384,0.907715
0.416048,0.017632,0.202184,0.237353,0.000704,0.014080,0.000352,0.001504,0.001024,0.000352,0.899331
0.421073,0.017505,0.220360,0.254186,0.000736,0.013953,0.000384,0.001536,0.000992,0.000384,0.939461
0.420497,0.017729,0.202536,0.227624,0.000704,0.014624,0.000384,0.001408,0.000992,0.000352,0.894947
0.421425,0.017793,0.204232,0.232937,0.000768,0.013985,0.000352,0.001536,0.001056,0.000352,0.902916
0.420528,0.017473,0.202536,0.226217,0.000768,0.014497,0.000384,0.001504,0.000960,0.000352,0.893283
0.416336,0.017536,0.201928,0.240394,0.000768,0.013920,0.000352,0.001472,0.001024,0.000416,0.901923
0.416304,0.017729,0.202120,0.251178,0.000800,0.014272,0.000384,0.001536,0.001152,0.000384,0.914819
0.415824,0.017473,0.202536,0.232521,0.000800,0.013921,0.000320,0.001536,0.001024,0.000576,0.895107
0.420689,0.017473,0.217032,0.243626,0.000704,0.013984,0.000384,0.001472,0.001056,0.000352,0.925285
0.416689,0.017665,0.202344,0.244585,0.000832,0.014017,0.000384,0.001504,0.000960,0.000352,0.907492
0.420785,0.017472,0.202056,0.242794,0.000864,0.014145,0.000416,0.001472,0.001024,0.000352,0.909700
0.421649,0.018272,0.202088,0.244938,0.000832,0.014657,0.000416,0.001472,0.001152,0.000384,0.914212
0.420400,0.017505,0.202184,0.242730,0.000736,0.014432,0.000384,0.001440,0.001024,0.000352,0.908451
0.416720,0.017537,0.202216,0.235017,0.000832,0.014209,0.000384,0.001472,0.001024,0.000352,0.898403
0.415665,0.017760,0.202472,0.230345,0.000768,0.014241,0.000384,0.001504,0.001056,0.000352,0.892675
0.435602,0.017760,0.202376,0.228361,0.000800,0.013953,0.000352,0.001504,0.001024,0.000352,0.910244
0.418001,0.017761,0.203816,0.258858,0.000864,0.014465,0.000384,0.001536,0.001152,0.000384,0.927013
0.416592,0.017473,0.203048,0.235017,0.000672,0.014337,0.000384,0.001696,0.001216,0.000576,0.899939
0.421040,0.018465,0.202216,0.266282,0.000832,0.014081,0.000416,0.001504,0.001248,0.000352,0.935492
0.421168,0.017377,0.202280,0.246218,0.000768,0.014464,0.000384,0.001504,0.001120,0.000352,0.914019
0.420912,0.017569,0.202280,0.241290,0.000736,0.014368,0.000352,0.001696,0.001184,0.000352,0.909059
0.420304,0.018080,0.203368,0.245162,0.000800,0.015873,0.000384,0.001536,0.001120,0.000352,0.915876
0.436177,0.017664,0.202792,0.254186,0.000736,0.014049,0.000384,0.001504,0.001216,0.000352,0.937733
0.414800,0.017665,0.202568,0.230793,0.000832,0.014464,0.000416,0.001536,0.001120,0.000352,0.892963
0.420753,0.017537,0.202216,0.230825,0.000832,0.014400,0.000417,0.001472,0.001120,0.000352,0.898404
0.422544,0.017697,0.202536,0.260362,0.000736,0.016353,0.000384,0.001568,0.001344,0.000384,0.933124
0.420657,0.017569,0.202248,0.250601,0.000768,0.014368,0.000384,0.001632,0.001152,0.000352,0.918596
0.419984,0.017601,0.202216,0.247626,0.000704,0.014304,0.000384,0.001505,0.001120,0.000352,0.914852
0.420241,0.017569,0.204584,0.278219,0.000960,0.014720,0.000384,0.001824,0.001280,0.000353,0.948806
0.416048,0.017697,0.202536,0.238922,0.000896,0.014432,0.000352,0.001568,0.001184,0.000384,0.902339
0.415184,0.017537,0.202024,0.238281,0.001472,0.015905,0.000384,0.001536,0.000960,0.000352,0.901155
0.415472,0.017761,0.202056,0.240009,0.000864,0.014433,0.000352,0.001504,0.000928,0.000576,0.901283
0.415664,0.017761,0.220073,0.233929,0.001248,0.015745,0.000352,0.001472,0.001344,0.000320,0.916452
0.420752,0.017601,0.201896,0.228745,0.000704,0.015297,0.000352,0.001504,0.000960,0.000352,0.895715
0.415824,0.017569,0.203048,0.216329,0.000704,0.014176,0.000384,0.001504,0.000896,0.000320,0.878723
0.416592,0.017696,0.202376,0.243914,0.000768,0.014208,0.000384,0.001441,0.001120,0.000352,0.907748
0.421872,0.017633,0.202152,0.233929,0.000704,0.014529,0.000384,0.001504,0.001056,0.000288,0.901219
0.420624,0.017473,0.202120,0.261034,0.000704,0.014049,0.000384,0.001536,0.001088,0.000320,0.926052
0.420592,0.017569,0.202440,0.219945,0.000832,0.014240,0.000352,0.001504,0.000960,0.000352,0.886562
0.416017,0.017504,0.219369,0.241961,0.000768,0.014240,0.000416,0.001472,0.000832,0.000352,0.920964
0.417392,0.017664,0.202440,0.258858,0.000993,0.014880,0.000384,0.001664,0.001664,0.000352,0.927812
0.416368,0.017696,0.202120,0.241002,0.000704,0.014240,0.000384,0.001472,0.001089,0.000352,0.904420
0.416144,0.017505,0.202216,0.232873,0.000704,0.014080,0.000352,0.001505,0.001088,0.000384,0.895075
0.415793,0.017473,0.202760,0.230025,0.001152,0.016384,0.000384,0.001440,0.001440,0.000384,0.895844
0.421777,0.017473,0.202920,0.212520,0.000736,0.013921,0.000352,0.001536,0.001056,0.000384,0.880963
0.418097,0.018528,0.204136,0.241834,0.000896,0.014369,0.000352,0.001536,0.001024,0.000352,0.910692
0.433969,0.017857,0.202568,0.244074,0.000736,0.014176,0.000352,0.001472,0.001121,0.000320,0.924933
0.416560,0.017633,0.202440,0.226793,0.000704,0.014080,0.000352,0.001504,0.001056,0.000288,0.889858
0.420369,0.017537,0.201992,0.234857,0.000736,0.014112,0.000384,0.001473,0.001024,0.000320,0.900516
0.420753,0.017633,0.201896,0.221864,0.000736,0.014240,0.000384,0.001440,0.001024,0.000352,0.888739
0.420529,0.017472,0.202088,0.244298,0.000704,0.013920,0.000384,0.001504,0.001536,0.000320,0.910500
0.416464,0.017665,0.202600,0.229705,0.000864,0.015136,0.000416,0.001472,0.000993,0.000352,0.893571
0.420849,0.017632,0.202504,0.244874,0.000896,0.014017,0.000384,0.001472,0.000992,0.000320,0.912548
0.434097,0.017825,0.202536,0.228905,0.000768,0.014080,0.000352,0.001504,0.000992,0.000321,0.909508
0.421296,0.017569,0.202440,0.231337,0.000864,0.015137,0.000384,0.001504,0.000992,0.000352,0.900195
0.417873,0.017568,0.202760,0.240586,0.000800,0.014560,0.000416,0.001536,0.001344,0.000608,0.907300
0.416497,0.017761,0.202792,0.236009,0.000896,0.014048,0.000352,0.001504,0.001120,0.000544,0.899780
0.416689,0.017441,0.203112,0.235145,0.000896,0.014624,0.000417,0.001504,0.000992,0.000352,0.899876
0.421200,0.017568,0.202280,0.231689,0.000864,0.014497,0.000416,0.001792,0.001024,0.000384,0.900131
0.421553,0.017600,0.202184,0.233674,0.000960,0.014528,0.000384,0.001536,0.001024,0.000384,0.902051
0.434289,0.017729,0.202088,0.248714,0.000928,0.014528,0.000352,0.001472,0.000960,0.000384,0.930820
0.420944,0.017729,0.202184,0.240393,0.000800,0.015233,0.000352,0.001664,0.001024,0.000384,0.910467
0.415952,0.017601,0.202024,0.243817,0.000768,0.014017,0.000288,0.001440,0.001024,0.000416,0.905891
0.417009,0.017665,0.201831,0.262987,0.000864,0.014176,0.000384,0.001504,0.001184,0.000384,0.928133
0.415952,0.017665,0.201960,0.262506,0.000832,0.014081,0.000384,0.001504,0.001056,0.000576,0.925188
0.416625,0.017728,0.202600,0.244938,0.000704,0.014337,0.000352,0.001568,0.001248,0.000576,0.909860
0.421456,0.017505,0.202600,0.241673,0.000768,0.014561,0.000384,0.001600,0.001088,0.000576,0.911203
0.431985,0.017665,0.201928,0.245321,0.000800,0.014977,0.000384,0.001536,0.001056,0.000352,0.924548
0.420912,0.017761,0.201960,0.244074,0.000736,0.014112,0.000416,0.001600,0.000960,0.000224,0.910467
0.421808,0.017505,0.202184,0.248714,0.000800,0.014913,0.000448,0.001504,0.001120,0.000576,0.917316
0.416240,0.017377,0.202056,0.247754,0.000736,0.014208,0.000352,0.001472,0.001120,0.000576,0.911235
0.416368,0.017537,0.202920,0.247434,0.000736,0.014240,0.000384,0.001536,0.001152,0.000352,0.911139
0.421969,0.017568,0.203432,0.233930,0.000736,0.014272,0.000384,0.001440,0.001280,0.000352,0.905060
0.420657,0.017568,0.203112,0.245354,0.000928,0.014049,0.000352,0.001600,0.001248,0.000320,0.914052
0.421104,0.017601,0.202600,0.240234,0.000768,0.014176,0.000416,0.002048,0.001120,0.000352,0.909347
0.416688,0.017760,0.202824,0.242762,0.000832,0.014560,0.000385,0.001600,0.001248,0.000384,0.908868
0.421457,0.017600,0.202120,0.250506,0.000768,0.014689,0.000384,0.001632,0.001184,0.000384,0.919492
0.420752,0.017568,0.220585,0.243562,0.000864,0.013984,0.000416,0.001504,0.001088,0.000352,0.929988
0.420240,0.017601,0.202568,0.240617,0.000800,0.014400,0.000352,0.001568,0.001248,0.000352,0.908515
0.417009,0.017568,0.202568,0.230569,0.000800,0.014048,0.000352,0.001408,0.000992,0.000288,0.893475
0.416848,0.018049,0.202120,0.233801,0.000672,0.014241,0.000416,0.001536,0.000992,0.000256,0.896995
0.416144,0.017761,0.202248,0.245290,0.000768,0.014368,0.000352,0.001536,0.001088,0.000320,0.909444
0.417393,0.017696,0.202024,0.256202,0.000736,0.014497,0.000416,0.001792,0.001312,0.000384,0.921604
0.420720,0.017537,0.201864,0.248970,0.000768,0.014912,0.000384,0.001537,0.001088,0.000384,0.917444
0.442545,0.017633,0.202056,0.239721,0.000800,0.016161,0.000384,0.001696,0.001088,0.000352,0.931748
0.419665,0.017921,0.205192,0.247754,0.000832,0.015648,0.000384,0.001600,0.001344,0.000384,0.920100
0.417105,0.017633,0.202344,0.249705,0.000928,0.014913,0.000608,0.001408,0.001312,0.000352,0.915076
0.420848,0.017792,0.202216,0.263115,0.001024,0.014976,0.000608,0.001696,0.001056,0.000320,0.932516
0.421424,0.017601,0.202280,0.239689,0.000832,0.015169,0.000352,0.001600,0.001120,0.000352,0.909059
0.420657,0.017569,0.202280,0.246089,0.000832,0.015521,0.000416,0.001568,0.001184,0.000416,0.915076
0.421008,0.017761,0.202440,0.244106,0.000928,0.014304,0.000448,0.001536,0.001088,0.000352,0.912483
0.434705,0.017761,0.202504,0.261002,0.000768,0.014689,0.000352,0.001440,0.001120,0.000352,0.942277
0.421009,0.017825,0.204040,0.243721,0.000704,0.015105,0.000384,0.001536,0.001088,0.000384,0.914948
0.417104,0.017856,0.201640,0.231337,0.000736,0.014401,0.000416,0.001504,0.001056,0.000416,0.895011
0.421936,0.017792,0.220009,0.252426,0.000992,0.014913,0.000448,0.001440,0.001184,0.000320,0.941573
0.417201,0.017793,0.202184,0.245001,0.001024,0.014369,0.000416,0.001632,0.001184,0.000352,0.910724
0.420528,0.017729,0.201928,0.232041,0.000832,0.014817,0.000384,0.001504,0.001088,0.000352,0.900003
0.422033,0.017600,0.201927,0.229129,0.000897,0.014208,0.000352,0.001472,0.001088,0.000352,0.897571
0.420977,0.017728,0.201864,0.233130,0.000736,0.014240,0.000384,0.001536,0.001056,0.000384,0.900291
0.421328,0.017601,0.201928,0.237801,0.000704,0.014433,0.000384,0.001600,0.001056,0.000384,0.905827
0.421393,0.017664,0.202279,0.247306,0.000992,0.014145,0.000384,0.001600,0.001152,0.000384,0.915780
0.416561,0.031457,0.202696,0.236041,0.001057,0.014336,0.000416,0.001504,0.001504,0.000384,0.914948
0.421425,0.017601,0.202056,0.254538,0.000864,0.014368,0.000384,0.001409,0.001184,0.000384,0.923269
0.417936,0.017761,0.202760,0.229769,0.001024,0.014273,0.000416,0.001600,0.001376,0.000352,0.896995
0.421969,0.017888,0.203688,0.232426,0.000928,0.014336,0.000416,0.001504,0.001184,0.000352,0.903331
0.418640,0.017600,0.202536,0.258762,0.000864,0.014625,0.000352,0.001536,0.001152,0.000384,0.925956
0.421745,0.017953,0.202536,0.245801,0.000736,0.014017,0.000384,0.001472,0.001184,0.000352,0.914660
0.418641,0.017825,0.202376,0.234697,0.000928,0.014144,0.000352,0.001601,0.001088,0.000384,0.900708
0.438321,0.017569,0.202312,0.227657,0.000896,0.014720,0.000384,0.001472,0.001056,0.000352,0.913476
0.418768,0.017825,0.202248,0.249834,0.000704,0.014304,0.000352,0.001440,0.001024,0.000352,0.915107
0.421136,0.017825,0.202184,0.234089,0.000800,0.014017,0.000352,0.001440,0.001056,0.000352,0.901859
0.416753,0.017568,0.202056,0.263851,0.000928,0.014304,0.000384,0.001408,0.001025,0.000384,0.926853
0.417424,0.017857,0.202472,0.232745,0.000896,0.014337,0.000384,0.001472,0.001088,0.000352,0.897251
0.420817,0.017665,0.202215,0.227369,0.000928,0.013953,0.000416,0.001472,0.000992,0.000352,0.894499
0.422417,0.017633,0.202728,0.241033,0.000960,0.014209,0.000384,0.001504,0.000992,0.000352,0.910916
0.444977,0.017569,0.202696,0.250442,0.000736,0.014240,0.000352,0.001473,0.001152,0.000352,0.942725
0.421873,0.017600,0.202600,0.243274,0.000736,0.014049,0.000384,0.001504,0.001056,0.000320,0.911972
0.420145,0.017856,0.201864,0.241834,0.000864,0.013985,0.000384,0.001472,0.001280,0.000288,0.908708
0.421456,0.017760,0.221705,0.266858,0.000704,0.014400,0.000416,0.001536,0.001024,0.000352,0.954757
0.420528,0.017920,0.201896,0.241482,0.000736,0.014336,0.000416,0.001472,0.001088,0.000288,0.908996
0.421232,0.017345,0.202312,0.243306,0.000704,0.014400,0.000448,0.001472,0.001056,0.000320,0.911267
0.415408,0.017473,0.202056,0.246377,0.000704,0.014369,0.000384,0.001408,0.000960,0.000320,0.907619
0.420272,0.017697,0.202280,0.244266,0.000704,0.014304,0.000384,0.001504,0.000992,0.000352,0.910723
0.417233,0.017889,0.202312,0.252521,0.000865,0.015136,0.000576,0.001728,0.001760,0.000576,0.921348
0.417969,0.017793,0.202632,0.245769,0.000832,0.014977,0.000352,0.001568,0.001280,0.000384,0.914756
0.436369,0.017537,0.202216,0.243306,0.000736,0.015008,0.000416,0.001472,0.001152,0.000320,0.926917
0.421552,0.017984,0.201832,0.245994,0.000736,0.014688,0.000352,0.001472,0.001056,0.000288,0.914180
0.422064,0.017792,0.201992,0.229289,0.000736,0.014305,0.000416,0.001504,0.001472,0.000384,0.897763
0.420113,0.017697,0.202280,0.261418,0.000800,0.013889,0.000448,0.001472,0.001056,0.000352,0.928069
0.419921,0.017569,0.202472,0.231209,0.000704,0.014592,0.000352,0.001504,0.000992,0.000320,0.898116
0.421392,0.017536,0.202312,0.241034,0.000800,0.014048,0.000384,0.001504,0.001216,0.000320,0.908835
0.421552,0.017665,0.201960,0.236841,0.000704,0.015329,0.000384,0.001504,0.000992,0.000320,0.905571
0.440114,0.017568,0.201832,0.227977,0.000672,0.014209,0.000384,0.001504,0.000896,0.000352,0.913988
0.415696,0.017601,0.201800,0.234025,0.000736,0.014529,0.000448,0.001472,0.001024,0.000320,0.895875
0.415760,0.017760,0.202056,0.248490,0.000800,0.014593,0.000448,0.001472,0.001120,0.000352,0.912356
0.416721,0.017505,0.202248,0.266922,0.000800,0.014049,0.000352,0.001472,0.001088,0.000384,0.930277
0.421521,0.018304,0.201832,0.246378,0.000896,0.014209,0.000416,0.001536,0.001376,0.000320,0.915108
0.420241,0.017729,0.202216,0.238601,0.000736,0.014241,0.000384,0.001472,0.001056,0.000576,0.905476
0.416625,0.017665,0.204040,0.240777,0.000736,0.015233,0.000384,0.001472,0.001024,0.000352,0.906980
0.438737,0.017569,0.202568,0.250281,0.000768,0.014689,0.000416,0.001440,0.001120,0.000384,0.937092
0.420144,0.017569,0.201992,0.237129,0.000768,0.013985,0.000384,0.001472,0.001088,0.000384,0.902787
0.418480,0.017857,0.204040,0.255114,0.000736,0.014081,0.000416,0.001536,0.001216,0.000320,0.923684
0.417776,0.017537,0.222313,0.248681,0.000832,0.014497,0.000448,0.001472,0.001376,0.000352,0.934852
0.420464,0.017729,0.203016,0.227913,0.000736,0.014272,0.000384,0.001536,0.001152,0.000352,0.896483
0.422257,0.017505,0.202280,0.245385,0.000704,0.014049,0.000416,0.001504,0.001248,0.000384,0.914724
0.421808,0.017761,0.202408,0.247690,0.000896,0.014976,0.000640,0.001793,0.001120,0.000320,0.918436
0.417425,0.017825,0.202440,0.245161,0.000896,0.014337,0.000384,0.001568,0.001312,0.000320,0.910532
0.421521,0.017633,0.202280,0.230249,0.000768,0.014208,0.000352,0.001600,0.001184,0.000320,0.898980
0.417264,0.017441,0.202312,0.226121,0.000736,0.014081,0.000352,0.001472,0.001088,0.000352,0.889891
0.421041,0.017792,0.202984,0.240714,0.000768,0.014945,0.000384,0.001504,0.001120,0.000352,0.927109
0.420944,0.017537,0.202184,0.231945,0.000864,0.014049,0.000416,0.001568,0.001312,0.000352,0.899395
0.420625,0.017504,0.202023,0.230121,0.000800,0.014176,0.000416,0.001472,0.001152,0.000320,0.896259
0.420240,0.017665,0.202600,0.240170,0.000864,0.014592,0.000352,0.001536,0.001120,0.000320,0.907395
0.421392,0.017536,0.201800,0.238890,0.000768,0.014272,0.000384,0.001472,0.001152,0.000352,0.905315
0.421233,0.017473,0.202216,0.246057,0.000768,0.014177,0.000416,0.001504,0.001152,0.000352,0.914308
0.420401,0.017601,0.201928,0.250217,0.000736,0.014272,0.000448,0.001504,0.001216,0.000576,0.916996
0.433105,0.017504,0.202632,0.256394,0.000896,0.015361,0.000352,0.001536,0.001504,0.000576,0.938276
0.419760,0.017536,0.202120,0.222089,0.000704,0.013953,0.000352,0.001504,0.001024,0.000384,0.887203
0.420817,0.017665,0.202280,0.249033,0.000704,0.014176,0.000416,0.001472,0.001120,0.000576,0.916036
