Layer[0],Layer[1],TEE[2-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416785,0.017504,0.722077,0.048066,0.000576,0.013441,0.000480,0.001504,0.001152,0.000384,1.230033
0.415761,0.017569,0.710716,0.048450,0.000576,0.013440,0.000384,0.001505,0.001056,0.000864,1.218833
0.415696,0.017569,0.684923,0.049026,0.000640,0.013537,0.000448,0.001472,0.001216,0.000384,1.193391
0.432658,0.017472,0.682363,0.048769,0.000609,0.013600,0.000416,0.001568,0.001120,0.000352,1.207536
0.416049,0.017697,0.680059,0.049282,0.000608,0.013376,0.000352,0.001472,0.001216,0.000384,1.188560
0.415792,0.017857,0.680699,0.048578,0.000608,0.013473,0.000416,0.001504,0.001120,0.000384,1.188463
0.416689,0.017824,0.676379,0.048706,0.000608,0.013473,0.000448,0.001568,0.001216,0.000384,1.186543
0.415953,0.017888,0.681500,0.048930,0.000576,0.013408,0.000416,0.001504,0.001056,0.000384,1.189743
0.415985,0.017185,0.730173,0.049378,0.000576,0.013472,0.000384,0.001536,0.001056,0.000352,1.238609
0.415697,0.017665,0.682331,0.048642,0.000608,0.013440,0.000384,0.001505,0.000960,0.000352,1.189200
0.416113,0.017697,0.671194,0.048994,0.000576,0.013345,0.000384,0.001536,0.001280,0.000320,1.179439
0.416688,0.017697,0.691388,0.049026,0.000576,0.013344,0.000384,0.001504,0.001184,0.000352,1.200623
0.415856,0.017633,0.681627,0.048706,0.000576,0.013313,0.000384,0.001472,0.001184,0.000384,1.189967
0.416208,0.017793,0.670619,0.048482,0.000576,0.013504,0.000416,0.001408,0.001088,0.000384,1.178542
0.434833,0.017632,0.676123,0.047906,0.000608,0.013377,0.000416,0.001472,0.001184,0.000384,1.201680
0.417584,0.017281,0.678107,0.047394,0.000576,0.013409,0.000416,0.001504,0.001280,0.000384,1.186703
0.417233,0.017504,0.675899,0.047682,0.000608,0.013409,0.000416,0.001536,0.001184,0.000384,1.185455
0.430193,0.017601,0.687835,0.048802,0.000576,0.013313,0.000416,0.001504,0.000928,0.000608,1.209232
0.416465,0.017409,0.682587,0.048770,0.000544,0.013408,0.000416,0.001472,0.001088,0.000800,1.191791
0.416401,0.017632,0.668795,0.048834,0.000544,0.013312,0.000416,0.001440,0.001024,0.000384,1.176015
0.415857,0.017664,0.667323,0.048770,0.000544,0.013312,0.000416,0.001505,0.000928,0.000320,1.173615
0.415632,0.017600,0.678715,0.048674,0.000576,0.013377,0.000384,0.001472,0.000960,0.000352,1.186639
0.416081,0.017600,0.695420,0.048706,0.000480,0.013409,0.000416,0.001440,0.000960,0.000384,1.202992
0.415761,0.017248,0.672347,0.048162,0.000512,0.013377,0.000352,0.001504,0.001056,0.000416,1.178223
0.416209,0.017665,0.675867,0.048514,0.000544,0.013312,0.000384,0.001536,0.001184,0.000832,1.183663
0.417040,0.017473,0.711004,0.048770,0.000576,0.013505,0.000384,0.001408,0.001152,0.000384,1.220304
0.416528,0.017632,0.676347,0.048450,0.000608,0.013537,0.000384,0.001536,0.001184,0.000384,1.186095
0.415857,0.017825,0.685851,0.048834,0.000640,0.013473,0.000416,0.001568,0.001088,0.000416,1.194032
0.434705,0.017569,0.687195,0.048610,0.000608,0.013473,0.000384,0.001568,0.001184,0.000352,1.214992
0.415345,0.017473,0.677115,0.048514,0.000576,0.013440,0.000416,0.001536,0.001152,0.000384,1.184079
0.416528,0.017281,0.681595,0.048770,0.000576,0.013569,0.000416,0.001600,0.001216,0.000384,1.190511
0.415697,0.017280,0.681563,0.048290,0.000608,0.013537,0.000416,0.001568,0.001248,0.000352,1.188303
0.415953,0.017568,0.681084,0.048161,0.000576,0.013568,0.000448,0.001536,0.001120,0.000384,1.189391
0.415952,0.017633,0.705084,0.047682,0.000576,0.013504,0.000416,0.001568,0.001216,0.000384,1.212400
0.416305,0.017729,0.671642,0.048450,0.000608,0.013569,0.000416,0.001568,0.001152,0.000352,1.179727
0.416272,0.017632,0.670363,0.048098,0.000576,0.013472,0.000416,0.001504,0.001120,0.000320,1.177775
0.416817,0.017537,0.711868,0.048386,0.000576,0.013600,0.000416,0.001601,0.001184,0.000384,1.221649
0.417328,0.017409,0.684091,0.048226,0.000608,0.013537,0.000416,0.001504,0.001152,0.000576,1.193391
0.415760,0.017504,0.682267,0.048386,0.000576,0.013441,0.000352,0.001568,0.001184,0.000352,1.190095
0.436561,0.017569,0.706492,0.048866,0.000608,0.013441,0.000384,0.001536,0.001184,0.000320,1.235057
0.415792,0.017536,0.688316,0.048130,0.000544,0.013504,0.000384,0.001504,0.001216,0.000320,1.195215
0.415664,0.017472,0.684731,0.047745,0.000576,0.013473,0.000384,0.001440,0.001184,0.000384,1.191215
0.416304,0.017409,0.684827,0.047938,0.000608,0.013409,0.000384,0.001504,0.001120,0.000384,1.193007
