Layer[0],Layer[1],TEE[2-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415345,0.017440,0.673595,0.048674,0.000576,0.013409,0.000416,0.001376,0.001152,0.000352,1.179375
0.415376,0.017409,0.679931,0.048194,0.000608,0.013408,0.000320,0.001569,0.000960,0.000864,1.186191
0.415440,0.017633,0.683227,0.047778,0.000576,0.013313,0.000384,0.001472,0.000992,0.000320,1.188143
0.416433,0.017601,0.673018,0.047426,0.000576,0.013569,0.000352,0.001440,0.001184,0.000384,1.180943
0.416080,0.017569,0.666907,0.049154,0.000544,0.013408,0.000416,0.001440,0.001184,0.000352,1.175054
0.442161,0.017633,0.683611,0.049090,0.000544,0.013313,0.000448,0.001440,0.001248,0.000320,1.217680
0.415344,0.017473,0.668507,0.048481,0.000608,0.013568,0.000384,0.001440,0.001088,0.000320,1.175534
0.416368,0.017729,0.659002,0.047298,0.000608,0.013377,0.000416,0.001504,0.001056,0.000320,1.164974
0.433810,0.017440,0.680507,0.047745,0.000576,0.013377,0.000352,0.001440,0.001120,0.000416,1.205040
0.417361,0.017408,0.685724,0.047554,0.000576,0.013536,0.000416,0.001472,0.001184,0.000416,1.194095
0.415856,0.017505,0.670586,0.047489,0.000576,0.013441,0.000352,0.001440,0.001120,0.000352,1.176462
0.415504,0.017440,0.681467,0.047554,0.000544,0.013377,0.000416,0.001472,0.001152,0.000352,1.186671
0.415569,0.017472,0.683036,0.047425,0.000544,0.013472,0.000480,0.001408,0.001184,0.000352,1.188015
0.416945,0.017568,0.700731,0.047586,0.000640,0.013569,0.000448,0.001536,0.001216,0.000384,1.210288
0.416753,0.017665,0.679803,0.047490,0.000672,0.013568,0.000416,0.001472,0.001120,0.000384,1.187023
0.416241,0.017601,0.687195,0.047618,0.000576,0.013537,0.000384,0.001440,0.001120,0.000352,1.193840
0.416144,0.017569,0.705404,0.048098,0.000608,0.013345,0.000352,0.001568,0.001152,0.000608,1.213136
0.415248,0.017409,0.688923,0.047842,0.000608,0.013377,0.000480,0.001408,0.001120,0.000416,1.194959
0.416305,0.017569,0.686011,0.047874,0.000960,0.013472,0.000385,0.001504,0.001120,0.000416,1.194320
0.433873,0.017472,0.673979,0.048290,0.000800,0.013473,0.000352,0.001472,0.001216,0.000800,1.199472
0.416304,0.017280,0.681755,0.049570,0.000608,0.013441,0.000352,0.001472,0.000992,0.000352,1.190127
0.415761,0.017696,0.684764,0.047809,0.000577,0.013408,0.000352,0.001440,0.001120,0.000352,1.191023
0.416017,0.017760,0.668379,0.048002,0.000576,0.013793,0.000384,0.001408,0.001120,0.000320,1.175215
0.417008,0.017601,0.666714,0.047778,0.000864,0.013793,0.000448,0.001568,0.001280,0.000320,1.176815
0.416017,0.017792,0.718205,0.048834,0.000576,0.013441,0.000384,0.001504,0.000960,0.000384,1.225393
0.416529,0.017441,0.679899,0.048386,0.000608,0.013440,0.000352,0.001504,0.001152,0.000416,1.187631
0.415824,0.017473,0.667483,0.047650,0.000576,0.013376,0.000384,0.001504,0.001120,0.000384,1.173582
0.416785,0.017537,0.703772,0.047553,0.000545,0.013344,0.000416,0.001504,0.001024,0.000384,1.209904
0.414576,0.017633,0.683099,0.048066,0.000800,0.013472,0.000417,0.001472,0.001088,0.000352,1.189423
0.415793,0.017505,0.685147,0.047778,0.000576,0.013440,0.000385,0.001472,0.000960,0.000800,1.191504
0.434129,0.017505,0.710812,0.047618,0.000608,0.013409,0.000384,0.001504,0.001120,0.000384,1.235953
0.416176,0.017377,0.664954,0.047458,0.000608,0.013377,0.000416,0.001440,0.000992,0.000352,1.170319
0.415441,0.017697,0.664826,0.047554,0.000608,0.013473,0.000448,0.001536,0.001184,0.000352,1.172111
0.432210,0.017664,0.688348,0.047490,0.000608,0.013408,0.000384,0.001536,0.001184,0.000384,1.211121
0.415505,0.017441,0.676058,0.047234,0.000576,0.013441,0.000384,0.001440,0.001184,0.000448,1.181391
0.415665,0.017569,0.690139,0.066435,0.000608,0.013696,0.000416,0.001632,0.001184,0.000384,1.217809
0.416240,0.017568,0.683163,0.048546,0.000640,0.013633,0.000416,0.001536,0.001216,0.000576,1.192847
0.416209,0.017824,0.695932,0.048578,0.000960,0.013665,0.000352,0.001472,0.001152,0.000576,1.205968
0.415825,0.017473,0.704444,0.048578,0.000640,0.013728,0.000416,0.001568,0.001216,0.000384,1.214256
0.415889,0.017537,0.688731,0.048130,0.000608,0.013568,0.000416,0.001569,0.001216,0.000800,1.197264
0.415248,0.017537,0.676667,0.048930,0.000768,0.014272,0.000384,0.001504,0.001120,0.000416,1.184430
0.431569,0.017825,0.699452,0.048322,0.000608,0.013472,0.000384,0.001472,0.001088,0.000416,1.222320
0.416176,0.017729,0.679451,0.048226,0.000640,0.013441,0.000416,0.001536,0.001184,0.000576,1.188015
0.415697,0.017601,0.671994,0.047650,0.000576,0.013473,0.000384,0.001536,0.001056,0.000768,1.178063
0.432849,0.017441,0.681755,0.048002,0.000576,0.013440,0.000384,0.001504,0.001088,0.000384,1.205392
0.415409,0.017537,0.680923,0.047810,0.000576,0.013440,0.000416,0.001472,0.001088,0.000384,1.187151
0.416977,0.017697,0.684027,0.047554,0.000864,0.032897,0.000640,0.001536,0.001120,0.000320,1.211728
0.416433,0.017505,0.680923,0.047362,0.000608,0.013376,0.000384,0.001536,0.001024,0.000352,1.186703
0.415888,0.018145,0.677403,0.047810,0.000800,0.013504,0.000384,0.001504,0.000960,0.000352,1.184943
0.415345,0.017697,0.701275,0.049121,0.000513,0.013376,0.000384,0.001472,0.000992,0.000352,1.208496
0.415760,0.017601,0.669787,0.048065,0.000609,0.013408,0.000384,0.001504,0.001120,0.000352,1.176046
0.416336,0.017473,0.689403,0.047713,0.000576,0.013345,0.000352,0.001536,0.001088,0.000352,1.195855
0.419153,0.017409,0.697180,0.047553,0.000545,0.013440,0.000416,0.001472,0.001152,0.000384,1.207600
0.415568,0.017377,0.685723,0.049026,0.000576,0.013345,0.000416,0.001472,0.001024,0.000352,1.192431
0.416561,0.017217,0.673498,0.048577,0.000737,0.013376,0.000352,0.001472,0.001024,0.000832,1.180975
0.431890,0.017664,0.677531,0.048130,0.000576,0.013377,0.000384,0.001440,0.001056,0.000832,1.200816
0.415696,0.017601,0.678875,0.047554,0.000576,0.013377,0.000352,0.001472,0.000928,0.000384,1.184047
0.416561,0.017408,0.670842,0.047490,0.000576,0.013313,0.000384,0.001472,0.001088,0.000384,1.177391
0.415569,0.017440,0.670747,0.047458,0.000544,0.013345,0.000416,0.001472,0.001152,0.000384,1.177263
0.416657,0.017472,0.670010,0.047810,0.000768,0.013345,0.000416,0.001440,0.001056,0.000352,1.177231
0.416529,0.017664,0.696892,0.047458,0.000576,0.013440,0.000416,0.001504,0.001312,0.000800,1.204272
0.416113,0.017409,0.675834,0.047458,0.000544,0.013377,0.000352,0.001440,0.001088,0.000352,1.180495
0.416081,0.017825,0.692827,0.047554,0.000576,0.013441,0.000384,0.001504,0.001152,0.000800,1.200880
0.416817,0.017441,0.718684,0.047746,0.001024,0.013601,0.000384,0.001600,0.001088,0.000384,1.226417
0.416336,0.017473,0.681979,0.047426,0.000576,0.013441,0.000352,0.001440,0.001120,0.000352,1.187951
0.416432,0.017601,0.678971,0.048482,0.000608,0.013344,0.000384,0.001408,0.000992,0.000352,1.186383
0.415984,0.017633,0.703548,0.047554,0.000544,0.013504,0.000352,0.001440,0.000992,0.000352,1.209744
0.417360,0.017633,0.682011,0.047714,0.000576,0.013537,0.000416,0.001440,0.001184,0.000384,1.189583
0.417328,0.017665,0.685595,0.047714,0.000608,0.013793,0.000384,0.001504,0.001120,0.000352,1.193583
0.442578,0.017505,0.661978,0.047426,0.000608,0.013632,0.000417,0.001536,0.001120,0.000352,1.195184
0.415504,0.017761,0.679099,0.047266,0.000608,0.013856,0.000416,0.001472,0.000896,0.000384,1.184623
0.417009,0.017824,0.708925,0.047425,0.000577,0.013632,0.000416,0.001472,0.001152,0.000576,1.216656
0.418225,0.017729,0.687163,0.047490,0.000544,0.013441,0.000448,0.001536,0.001152,0.000416,1.197360
0.417553,0.017696,0.681211,0.047746,0.000576,0.013953,0.000384,0.001536,0.001024,0.000352,1.189871
0.416593,0.017793,0.696219,0.047906,0.000544,0.013409,0.000448,0.001536,0.001184,0.000448,1.204016
0.418961,0.017632,0.687100,0.047746,0.000576,0.013696,0.000384,0.001472,0.000960,0.000352,1.197487
0.415921,0.017473,0.655642,0.048002,0.000576,0.013568,0.000384,0.001504,0.001120,0.000320,1.163054
0.416816,0.017569,0.697436,0.049026,0.000832,0.013664,0.000416,0.001504,0.001056,0.000352,1.207504
0.416817,0.017505,0.694011,0.048130,0.001024,0.013825,0.000352,0.001536,0.001056,0.000384,1.203792
0.418768,0.017505,0.678843,0.048898,0.000832,0.013953,0.000416,0.001600,0.001216,0.000384,1.189775
0.444786,0.017761,0.723164,0.048290,0.000608,0.013537,0.000384,0.001472,0.001056,0.000384,1.260050
0.416081,0.017473,0.666394,0.048450,0.000832,0.013473,0.000416,0.001472,0.001216,0.000576,1.174383
0.418768,0.018241,0.690779,0.048706,0.000832,0.013601,0.000384,0.001504,0.001216,0.000864,1.204431
0.416625,0.017505,0.687995,0.048770,0.000544,0.013473,0.000416,0.001504,0.001056,0.000384,1.196112
0.416048,0.017601,0.686555,0.049250,0.000800,0.013537,0.000384,0.001472,0.001088,0.000352,1.194415
0.416657,0.017601,0.711484,0.048738,0.000800,0.013568,0.000416,0.001408,0.000992,0.000384,1.220273
0.416657,0.017729,0.687099,0.048610,0.000768,0.013441,0.000352,0.001472,0.001120,0.000320,1.196720
0.416113,0.017472,0.692060,0.048834,0.000832,0.013440,0.000384,0.001409,0.001152,0.000384,1.200464
0.416400,0.017505,0.713724,0.048865,0.000833,0.013504,0.000384,0.001440,0.001152,0.000384,1.223216
0.416368,0.017505,0.681275,0.048514,0.000576,0.013345,0.000448,0.001504,0.000992,0.000384,1.189231
0.416336,0.017537,0.684955,0.048642,0.000544,0.013473,0.000384,0.001472,0.000992,0.000352,1.192751
0.434833,0.017569,0.686907,0.049825,0.000609,0.013472,0.000384,0.001440,0.001088,0.000352,1.214544
0.415665,0.017729,0.685819,0.048034,0.000576,0.013472,0.000384,0.001536,0.001184,0.000352,1.193968
0.415856,0.017761,0.677691,0.048610,0.000672,0.013825,0.000416,0.001504,0.001088,0.000352,1.186351
0.416560,0.017472,0.691644,0.048514,0.000576,0.013408,0.000384,0.001472,0.001152,0.000385,1.200944
0.416240,0.017569,0.690683,0.048834,0.000576,0.013409,0.000352,0.001568,0.000960,0.000384,1.198159
0.416273,0.017665,0.713468,0.049794,0.000640,0.013409,0.000384,0.001408,0.001120,0.000832,1.224401
0.415408,0.017441,0.692635,0.048322,0.000576,0.013409,0.000384,0.001568,0.000992,0.000416,1.198927
0.415697,0.017696,0.671546,0.048706,0.000544,0.013377,0.000384,0.001536,0.001120,0.000576,1.179727
0.416912,0.017409,0.699388,0.047938,0.000576,0.013376,0.000384,0.001440,0.001025,0.000352,1.207088
0.415696,0.017664,0.686716,0.048450,0.000768,0.013408,0.000416,0.001440,0.001024,0.000384,1.193839
0.416080,0.018209,0.676635,0.049058,0.000832,0.013473,0.000448,0.001504,0.001056,0.000832,1.186191
0.435442,0.017601,0.685403,0.048994,0.000800,0.013504,0.000480,0.001536,0.001184,0.000416,1.214513
0.416848,0.017473,0.686331,0.048898,0.000576,0.013377,0.000384,0.001504,0.001120,0.000352,1.195087
0.415249,0.017568,0.691228,0.048514,0.000576,0.013408,0.000416,0.001504,0.001056,0.000800,1.198320
0.417009,0.017473,0.695003,0.048258,0.000640,0.013473,0.000384,0.001440,0.001120,0.000352,1.204400
0.415793,0.017473,0.677531,0.048706,0.000800,0.013472,0.000416,0.001600,0.001152,0.000384,1.185743
0.415761,0.017473,0.707132,0.048546,0.000832,0.013440,0.000416,0.001440,0.001121,0.000832,1.215569
0.415857,0.017472,0.688892,0.048450,0.000768,0.013408,0.000416,0.001440,0.001024,0.000384,1.195952
0.416688,0.017441,0.672347,0.048386,0.000608,0.013504,0.000448,0.001504,0.001088,0.000416,1.180430
0.415729,0.017697,0.707292,0.048610,0.000576,0.013376,0.000416,0.001504,0.001024,0.000800,1.214960
0.417009,0.017728,0.687356,0.049090,0.000768,0.013440,0.000384,0.001568,0.001120,0.000352,1.197999
0.416049,0.017601,0.683035,0.048834,0.000768,0.013504,0.000416,0.001536,0.000928,0.000608,1.191792
0.434642,0.017408,0.679355,0.048546,0.000544,0.013441,0.000384,0.001536,0.001184,0.000864,1.206320
0.415600,0.017921,0.681595,0.048546,0.000672,0.013441,0.000416,0.001536,0.000960,0.000832,1.189359
0.415505,0.017569,0.678267,0.048642,0.000800,0.013728,0.000384,0.001568,0.001088,0.000416,1.186223
0.430417,0.017441,0.681371,0.048514,0.000576,0.013377,0.000384,0.001536,0.001120,0.000352,1.203376
0.415952,0.017665,0.686587,0.048258,0.000576,0.013345,0.000384,0.001568,0.000992,0.000352,1.194735
0.415568,0.017440,0.682203,0.048706,0.000800,0.013377,0.000320,0.001536,0.001152,0.000832,1.189775
0.416433,0.017505,0.674650,0.047810,0.000576,0.013345,0.000384,0.001472,0.001056,0.000416,1.181455
0.415536,0.017793,0.669947,0.048130,0.000608,0.013408,0.000352,0.001568,0.001024,0.000416,1.176430
0.416496,0.017505,0.731197,0.048610,0.000768,0.013601,0.000416,0.001568,0.001024,0.000384,1.240817
0.415888,0.017505,0.688155,0.048802,0.000800,0.013793,0.000448,0.001408,0.001056,0.000416,1.196271
0.417520,0.017473,0.683771,0.049186,0.000800,0.014081,0.000416,0.001600,0.001120,0.000640,1.194767
0.420657,0.017761,0.736541,0.048994,0.000992,0.014785,0.000384,0.001696,0.001600,0.000416,1.252754
0.416625,0.017761,0.696859,0.049570,0.000800,0.014721,0.000384,0.001568,0.001088,0.000576,1.208464
0.415792,0.017601,0.669755,0.049378,0.000736,0.014208,0.000416,0.001601,0.000992,0.000640,1.178991
0.429553,0.017473,0.686011,0.048770,0.000896,0.013985,0.000352,0.001536,0.001248,0.000640,1.208624
0.416561,0.017697,0.683547,0.049410,0.000576,0.013504,0.000417,0.001408,0.000960,0.000576,1.192336
0.416529,0.017473,0.684571,0.048578,0.000704,0.014208,0.000416,0.001504,0.001153,0.000384,1.193648
0.416881,0.017536,0.675835,0.048578,0.000896,0.013569,0.000416,0.001536,0.001120,0.000768,1.184911
0.416336,0.017793,0.680347,0.048290,0.000768,0.013856,0.000448,0.001793,0.001248,0.000352,1.190256
0.416433,0.017889,0.718812,0.049090,0.000544,0.013665,0.000352,0.001536,0.000864,0.000384,1.227281
0.417329,0.017761,0.668442,0.048546,0.000832,0.014177,0.000416,0.001504,0.000992,0.000256,1.178223
0.416625,0.017761,0.679547,0.048994,0.000576,0.013856,0.000448,0.001536,0.001152,0.000576,1.189263
0.417232,0.017601,0.699068,0.048866,0.000544,0.014144,0.000352,0.001568,0.001057,0.000416,1.208880
0.416049,0.017441,0.684699,0.048482,0.000576,0.013825,0.000416,0.001408,0.001216,0.000384,1.192848
0.416240,0.017633,0.687771,0.048642,0.000576,0.013505,0.000416,0.001472,0.001248,0.000384,1.197263
0.433425,0.017537,0.685467,0.048674,0.000608,0.013505,0.000384,0.001536,0.001152,0.000384,1.211472
0.417616,0.017696,0.685724,0.048962,0.000768,0.013568,0.000448,0.001472,0.001216,0.000384,1.196495
0.416976,0.017792,0.674459,0.049090,0.000768,0.013921,0.000480,0.001504,0.001216,0.000384,1.185231
0.417776,0.017632,0.684827,0.048546,0.000832,0.013601,0.000384,0.001472,0.001312,0.000800,1.196623
0.418736,0.017600,0.694716,0.048994,0.000800,0.013504,0.000384,0.001473,0.001216,0.000384,1.207728
0.416560,0.017665,0.705500,0.049538,0.000800,0.014017,0.000384,0.001472,0.001088,0.000384,1.216208
0.416816,0.017568,0.683035,0.048706,0.000800,0.013825,0.000352,0.001504,0.001216,0.000384,1.193455
0.416753,0.017569,0.682875,0.049474,0.000576,0.013824,0.000352,0.001536,0.001088,0.000352,1.193103
0.417009,0.017568,0.700060,0.049058,0.000576,0.014433,0.000352,0.001472,0.001280,0.000384,1.210992
0.416433,0.017697,0.681627,0.048930,0.000832,0.013760,0.000416,0.001504,0.001025,0.000384,1.191696
0.416369,0.017472,0.683004,0.048834,0.000768,0.014048,0.000448,0.001632,0.001120,0.000384,1.192239
0.434193,0.017601,0.677499,0.049058,0.000576,0.013728,0.000448,0.001792,0.001057,0.000384,1.205424
0.417104,0.017472,0.678683,0.048578,0.000992,0.014113,0.000416,0.001760,0.001120,0.000384,1.188527
0.418033,0.017793,0.697628,0.048706,0.000736,0.013536,0.000384,0.001472,0.001152,0.000416,1.209296
0.418161,0.017632,0.683996,0.048130,0.000800,0.013728,0.000448,0.001632,0.001120,0.000416,1.194287
0.416400,0.017536,0.692988,0.049666,0.000832,0.014016,0.000416,0.001600,0.001089,0.000576,1.203696
0.416913,0.017889,0.702267,0.048801,0.000832,0.013856,0.000480,0.001728,0.001120,0.000416,1.213168
0.416688,0.017441,0.685051,0.048194,0.000608,0.013601,0.000448,0.001728,0.001024,0.000352,1.193807
0.416688,0.017472,0.686203,0.048769,0.000544,0.013984,0.000352,0.001536,0.001088,0.000352,1.195471
0.415504,0.017473,0.713788,0.049282,0.000608,0.013633,0.000416,0.001504,0.001152,0.000384,1.222992
0.415664,0.017633,0.683131,0.048610,0.000768,0.013408,0.000385,0.001504,0.001056,0.000832,1.191215
0.416209,0.017568,0.680475,0.047938,0.000608,0.013569,0.000384,0.001440,0.001120,0.000352,1.187695
0.432625,0.017664,0.683099,0.048706,0.000768,0.014176,0.000416,0.001440,0.001120,0.000384,1.208687
0.416528,0.017537,0.692284,0.048674,0.000736,0.013408,0.000352,0.001536,0.001184,0.000320,1.201903
0.416176,0.018017,0.675611,0.047874,0.000576,0.013376,0.000448,0.001472,0.001089,0.000864,1.184175
0.415600,0.017793,0.678459,0.048514,0.000576,0.013376,0.000384,0.001569,0.001120,0.000384,1.186671
0.415696,0.017664,0.677915,0.047938,0.000640,0.013345,0.000416,0.001504,0.001120,0.000384,1.184271
0.415664,0.017569,0.709276,0.049090,0.000832,0.013377,0.000352,0.001504,0.001152,0.000352,1.217744
0.415537,0.017696,0.682076,0.048610,0.000832,0.013696,0.000352,0.001568,0.001152,0.000352,1.190127
0.416113,0.017504,0.686652,0.048610,0.000512,0.013536,0.000384,0.001440,0.001088,0.000384,1.194991
0.416016,0.017473,0.704988,0.049282,0.000736,0.013505,0.000448,0.001440,0.001024,0.000384,1.213872
0.415184,0.017601,0.673851,0.047746,0.000608,0.013440,0.000448,0.001504,0.000992,0.000800,1.179918
0.416208,0.017473,0.676955,0.048642,0.000576,0.013377,0.000416,0.001536,0.001184,0.000832,1.185775
0.437458,0.017857,0.683483,0.048706,0.000800,0.013376,0.000352,0.001600,0.001216,0.000416,1.214800
0.417937,0.017601,0.681019,0.048930,0.000800,0.013824,0.000384,0.001504,0.001312,0.000384,1.192943
0.418032,0.017665,0.687867,0.048482,0.000832,0.013537,0.000416,0.001536,0.001280,0.000352,1.199343
0.416112,0.017601,0.689948,0.048514,0.000736,0.013696,0.000384,0.001504,0.000960,0.000352,1.197135
0.416432,0.017664,0.687548,0.047746,0.000832,0.013472,0.000416,0.001408,0.001152,0.000320,1.194991
0.416337,0.017441,0.689083,0.048802,0.000576,0.013313,0.000416,0.001440,0.000992,0.000352,1.197008
0.416624,0.017472,0.681627,0.048546,0.000608,0.013313,0.000384,0.001376,0.001184,0.000384,1.189743
0.415857,0.017792,0.683548,0.048610,0.000608,0.013568,0.000352,0.001440,0.001248,0.000384,1.191503
0.416144,0.017665,0.699196,0.048066,0.000576,0.013440,0.000320,0.001472,0.001152,0.000384,1.206640
0.418129,0.017537,0.682907,0.049218,0.000832,0.013344,0.000384,0.001409,0.001280,0.000576,1.193712
0.416561,0.017569,0.684987,0.048418,0.000576,0.013504,0.000384,0.001441,0.001184,0.000384,1.194192
0.440434,0.017569,0.676794,0.048802,0.000832,0.013377,0.000448,0.001440,0.001184,0.000384,1.210160
0.415697,0.017505,0.684603,0.048834,0.000608,0.013408,0.000384,0.001376,0.001248,0.000576,1.192336
0.417552,0.017473,0.678267,0.048482,0.000576,0.013440,0.000384,0.001472,0.001217,0.000416,1.187151
0.430705,0.017568,0.687708,0.048578,0.000832,0.013408,0.000352,0.001504,0.001120,0.000352,1.210992
0.416240,0.017633,0.682491,0.048290,0.000608,0.013409,0.000384,0.001408,0.001216,0.000416,1.190479
0.416049,0.017696,0.671291,0.048642,0.000576,0.032833,0.000705,0.001568,0.001184,0.000352,1.199568
0.417809,0.017665,0.682587,0.048002,0.000832,0.013376,0.000416,0.001537,0.001056,0.000416,1.191536
0.415824,0.017441,0.680411,0.048098,0.000640,0.013409,0.000384,0.001472,0.001088,0.000384,1.186959
0.417776,0.017889,0.707068,0.047906,0.000800,0.013537,0.000416,0.001472,0.001248,0.000384,1.218416
0.416241,0.017697,0.668122,0.047682,0.000768,0.013505,0.000384,0.001504,0.000928,0.000384,1.175407
0.416305,0.017409,0.684667,0.048738,0.000672,0.013376,0.000384,0.001536,0.001153,0.000352,1.193232
0.416784,0.017569,0.710460,0.048610,0.000768,0.013729,0.000384,0.001504,0.001152,0.000576,1.219792
0.416720,0.017377,0.676027,0.048514,0.000608,0.013440,0.000416,0.001536,0.001120,0.000416,1.184079
0.417136,0.017665,0.685819,0.049090,0.000768,0.013697,0.000384,0.001504,0.001024,0.000416,1.196303
0.428145,0.017505,0.658074,0.048834,0.000768,0.013601,0.000416,0.001408,0.001056,0.000352,1.178127
0.416400,0.017665,0.683547,0.048834,0.000576,0.013537,0.000384,0.001472,0.000928,0.000352,1.191343
0.416208,0.017505,0.685435,0.049090,0.000640,0.013537,0.000384,0.001440,0.001184,0.000320,1.194287
0.416081,0.017537,0.683195,0.048002,0.000576,0.013472,0.000384,0.001408,0.001152,0.000352,1.190000
0.416113,0.017825,0.688123,0.048258,0.000832,0.013537,0.000416,0.001504,0.001280,0.000384,1.198064
0.415889,0.017857,0.720412,0.048802,0.000736,0.013473,0.000384,0.001440,0.001152,0.000352,1.229425
0.415984,0.017473,0.682491,0.048962,0.000736,0.013537,0.000448,0.001536,0.001152,0.000576,1.191407
0.415953,0.017601,0.683483,0.048674,0.000832,0.013472,0.000352,0.001472,0.001248,0.000833,1.192016
0.416176,0.017505,0.713148,0.048450,0.000832,0.013537,0.000416,0.001568,0.001280,0.000352,1.221616
0.416241,0.017536,0.683228,0.048482,0.000608,0.013568,0.000352,0.001504,0.001248,0.000320,1.191567
0.415888,0.017505,0.688347,0.049154,0.000800,0.013569,0.000416,0.001536,0.001248,0.000320,1.197807
0.435281,0.017537,0.688571,0.048770,0.000736,0.013633,0.000416,0.001472,0.001216,0.000352,1.216944
0.415728,0.017889,0.695132,0.048674,0.000832,0.013696,0.000416,0.001504,0.001217,0.000416,1.203536
0.416016,0.017505,0.687547,0.048737,0.000576,0.013601,0.000416,0.001408,0.001248,0.000384,1.195567
0.417840,0.017568,0.677627,0.048834,0.000576,0.013601,0.000352,0.001568,0.001248,0.000384,1.188943
0.415697,0.017441,0.684603,0.048930,0.000800,0.013792,0.000384,0.001504,0.001120,0.000384,1.192784
0.415601,0.017760,0.709501,0.048930,0.000768,0.013568,0.000416,0.001568,0.001184,0.000352,1.218704
0.415504,0.017761,0.683195,0.048738,0.000608,0.013697,0.000480,0.001536,0.001152,0.000384,1.191407
0.415473,0.017728,0.689339,0.048674,0.000576,0.013600,0.000416,0.001505,0.001184,0.000384,1.197872
0.415537,0.017313,0.712380,0.048354,0.000960,0.013440,0.000384,0.001472,0.001441,0.000384,1.220017
0.415664,0.017729,0.692507,0.049025,0.000801,0.013664,0.000480,0.001408,0.001216,0.000384,1.201711
0.415760,0.017665,0.691739,0.048834,0.000576,0.013665,0.000352,0.001472,0.001472,0.000608,1.200975
0.434353,0.017505,0.686107,0.049058,0.000768,0.013633,0.000384,0.001504,0.001312,0.000384,1.213616
0.415696,0.017761,0.690843,0.048642,0.000576,0.013473,0.000416,0.001504,0.001120,0.000352,1.198639
0.415921,0.017953,0.714492,0.048514,0.000576,0.033793,0.000672,0.001536,0.001248,0.000384,1.244498
0.415601,0.017345,0.687899,0.048962,0.000736,0.013537,0.000384,0.001472,0.001184,0.000384,1.196272
0.415665,0.017697,0.689243,0.048450,0.000640,0.013504,0.000384,0.001473,0.001152,0.000384,1.197936
0.415632,0.017633,0.704572,0.049058,0.000576,0.013504,0.000480,0.001504,0.001184,0.000832,1.213169
0.416080,0.017697,0.675131,0.047746,0.000576,0.013792,0.000416,0.001440,0.001184,0.000384,1.183151
0.415953,0.017856,0.674267,0.048642,0.000736,0.013537,0.000416,0.001440,0.001248,0.000384,1.182415
0.416080,0.017473,0.733181,0.048706,0.000768,0.013697,0.000384,0.001504,0.001216,0.000384,1.242097
0.417617,0.017761,0.685595,0.048002,0.000608,0.013889,0.000480,0.001504,0.001376,0.000384,1.195376
0.415664,0.017537,0.684379,0.048290,0.000576,0.013409,0.000416,0.001536,0.001312,0.000864,1.192463
0.435409,0.017697,0.677115,0.048034,0.000576,0.013376,0.000352,0.001536,0.001184,0.000384,1.204047
0.416273,0.017601,0.696411,0.049122,0.000832,0.014401,0.000416,0.001536,0.001312,0.000576,1.208848
0.415760,0.017696,0.728253,0.049634,0.000864,0.013441,0.000384,0.001536,0.000832,0.000288,1.236465
0.416304,0.017441,0.680859,0.048322,0.000832,0.013601,0.000384,0.001536,0.001056,0.000384,1.188591
0.415312,0.017377,0.678907,0.048642,0.000832,0.013568,0.000448,0.001568,0.001121,0.000384,1.186223
0.415440,0.017729,0.705820,0.048930,0.000576,0.013441,0.000384,0.001504,0.000992,0.000448,1.212464
0.415280,0.017633,0.670651,0.049186,0.000736,0.013408,0.000352,0.001504,0.001088,0.000609,1.178319
0.415632,0.017536,0.684059,0.049218,0.000800,0.013408,0.000416,0.001824,0.000960,0.000384,1.192911
0.417009,0.017601,0.688827,0.048034,0.000864,0.013473,0.000384,0.001536,0.001216,0.000352,1.197712
0.415953,0.017537,0.674907,0.048321,0.000801,0.013408,0.000416,0.001504,0.001216,0.000384,1.182223
0.415088,0.017569,0.682907,0.048386,0.000576,0.013409,0.000384,0.001472,0.001184,0.000352,1.189167
0.434129,0.017792,0.684636,0.048641,0.000992,0.013504,0.000448,0.001536,0.001152,0.000416,1.212048
0.416400,0.017729,0.688827,0.049186,0.000800,0.013729,0.000416,0.001504,0.001024,0.000576,1.198863
0.415696,0.017697,0.685339,0.048258,0.000576,0.013409,0.000384,0.001568,0.001056,0.000352,1.191599
0.416753,0.017473,0.682683,0.048322,0.000544,0.013376,0.000384,0.001408,0.001121,0.000352,1.190384
0.417041,0.017472,0.691611,0.048386,0.000800,0.013473,0.000416,0.001536,0.001184,0.000352,1.200720
0.416112,0.017696,0.685371,0.048385,0.000608,0.013665,0.000384,0.001440,0.000992,0.000384,1.193679
0.415153,0.017504,0.661403,0.048738,0.000608,0.013408,0.000480,0.001472,0.000928,0.000384,1.167758
0.415632,0.017569,0.659514,0.048642,0.000576,0.013665,0.000352,0.001440,0.000960,0.000288,1.166574
0.415889,0.017505,0.708028,0.049666,0.000544,0.013504,0.000384,0.001536,0.001312,0.000353,1.217041
0.416752,0.017697,0.667738,0.049090,0.000736,0.013473,0.000384,0.001504,0.001024,0.000384,1.176270
0.416176,0.017665,0.689627,0.048674,0.000736,0.013537,0.000384,0.001504,0.001248,0.000384,1.199759
0.447185,0.017633,0.683867,0.048674,0.000800,0.013665,0.000416,0.001504,0.001056,0.000896,1.223888
0.415793,0.017505,0.684923,0.049090,0.000672,0.013440,0.000448,0.001409,0.001024,0.000832,1.193296
